EDL	Record In	Record Out	Clipname	Subtitle

TITLE: TikTok CEO Shou Zi Chew testifies before Congress

https://www.youtube.com/watch?v=_E-4jtTFsO4

* Pre-open
EDL	00:00:03,959	00:00:06,500	| TikTok CEO Shou Zi Chew testifies before Congress |	everyone
EDL	00:00:06,500	00:00:19,920	| TikTok CEO Shou Zi Chew testifies before Congress |	[ SPACE 13.4 secs ]
EDL	00:00:19,920	00:00:21,920	| TikTok CEO Shou Zi Chew testifies before Congress |	else
EDL	00:00:21,920	00:01:27,180	| TikTok CEO Shou Zi Chew testifies before Congress |	[ SPACE 65.3 secs ]
EDL	00:01:27,180	00:01:29,479	| TikTok CEO Shou Zi Chew testifies before Congress |	foreign
EDL	00:01:29,479	00:03:32,819	| TikTok CEO Shou Zi Chew testifies before Congress |	[ SPACE 123.3 secs ]
EDL	00:03:32,819	00:03:35,220	| TikTok CEO Shou Zi Chew testifies before Congress |	and this morning on Capitol Hill the CEO
EDL	00:03:35,220	00:03:38,040	| TikTok CEO Shou Zi Chew testifies before Congress |	of Tik Tok show Chew is testifying on
EDL	00:03:38,040	00:03:39,900	| TikTok CEO Shou Zi Chew testifies before Congress |	the social media company's data security
EDL	00:03:39,900	00:03:42,180	| TikTok CEO Shou Zi Chew testifies before Congress |	practices and relationship with the
EDL	00:03:42,180	00:03:44,220	| TikTok CEO Shou Zi Chew testifies before Congress |	Chinese government he's expected to tell
EDL	00:03:44,220	00:03:46,319	| TikTok CEO Shou Zi Chew testifies before Congress |	lawmakers that banning the app in the
EDL	00:03:46,319	00:03:48,900	| TikTok CEO Shou Zi Chew testifies before Congress |	U.S would hurt American businesses and
EDL	00:03:48,900	00:03:50,580	| TikTok CEO Shou Zi Chew testifies before Congress |	the economy you're watching live
EDL	00:03:50,580	00:03:54,239	| TikTok CEO Shou Zi Chew testifies before Congress |	coverage here on C-Span 3.
EDL	00:03:54,239	00:03:57,239	| TikTok CEO Shou Zi Chew testifies before Congress |	available
EDL	00:03:57,239	00:05:03,300	| TikTok CEO Shou Zi Chew testifies before Congress |	[ SPACE 66.1 secs ]
EDL	00:05:03,300	00:05:05,419	| TikTok CEO Shou Zi Chew testifies before Congress |	thank you

EDL	00:05:05,419	00:05:10,139	| TikTok CEO Shou Zi Chew testifies before Congress |	[ SPACE 4.7 secs ]
EDL	00:05:10,139	00:05:12,259	| TikTok CEO Shou Zi Chew testifies before Congress |	thank you

EDL	00:05:12,259	00:06:21,660	| TikTok CEO Shou Zi Chew testifies before Congress |	[ SPACE 69.4 secs ]
EDL	00:06:21,660	00:06:24,660	| TikTok CEO Shou Zi Chew testifies before Congress |	foreign
EDL	00:06:24,660	00:07:15,900	| TikTok CEO Shou Zi Chew testifies before Congress |	[ SPACE 51.2 secs ]
EDL	00:07:15,900	00:07:18,970	| TikTok CEO Shou Zi Chew testifies before Congress |	[Music]
EDL	00:07:18,970	00:07:31,199	| TikTok CEO Shou Zi Chew testifies before Congress |	[ SPACE 12.2 secs ]
EDL	00:07:31,199	00:07:33,620	| TikTok CEO Shou Zi Chew testifies before Congress |	foreign
EDL	00:07:33,620	00:07:42,080	| TikTok CEO Shou Zi Chew testifies before Congress |	[ SPACE 8.5 secs ]
EDL	00:07:42,080	00:07:45,300	| TikTok CEO Shou Zi Chew testifies before Congress |	on Capitol Hill the CEO of Tik Tok
EDL	00:07:45,300	00:07:47,639	| TikTok CEO Shou Zi Chew testifies before Congress |	show Chew is testifying on the social
EDL	00:07:47,639	00:07:49,740	| TikTok CEO Shou Zi Chew testifies before Congress |	media company's data security practices
EDL	00:07:49,740	00:07:51,539	| TikTok CEO Shou Zi Chew testifies before Congress |	and relationship with the Chinese
EDL	00:07:51,539	00:07:53,460	| TikTok CEO Shou Zi Chew testifies before Congress |	government he's expected to tell
EDL	00:07:53,460	00:07:55,500	| TikTok CEO Shou Zi Chew testifies before Congress |	lawmakers that banning the app in the
EDL	00:07:55,500	00:07:58,139	| TikTok CEO Shou Zi Chew testifies before Congress |	U.S would hurt American businesses and
EDL	00:07:58,139	00:07:59,819	| TikTok CEO Shou Zi Chew testifies before Congress |	the economy you're watching live
EDL	00:07:59,819	00:08:03,860	| TikTok CEO Shou Zi Chew testifies before Congress |	coverage here on C-Span 3.
EDL	00:08:03,860	00:08:57,540	| TikTok CEO Shou Zi Chew testifies before Congress |	[ SPACE 53.7 secs ]
EDL	00:08:57,540	00:09:00,540	| TikTok CEO Shou Zi Chew testifies before Congress |	foreign
EDL	00:09:00,540	00:09:53,580	| TikTok CEO Shou Zi Chew testifies before Congress |	[ SPACE 53.0 secs ]
EDL	00:09:53,580	00:09:56,420	| TikTok CEO Shou Zi Chew testifies before Congress |	foreign
EDL	00:09:56,420	00:10:05,110	| TikTok CEO Shou Zi Chew testifies before Congress |	[ SPACE 8.7 secs ]
EDL	00:10:05,110	00:10:08,249	| TikTok CEO Shou Zi Chew testifies before Congress |	[Music]
EDL	00:10:08,249	00:11:21,779	| TikTok CEO Shou Zi Chew testifies before Congress |	[ SPACE 73.5 secs ]
EDL	00:11:21,779	00:11:24,019	| TikTok CEO Shou Zi Chew testifies before Congress |	foreign
EDL	00:11:24,019	00:13:37,800	| TikTok CEO Shou Zi Chew testifies before Congress |	[ SPACE 133.8 secs ]
EDL	00:13:37,800	00:13:40,579	| TikTok CEO Shou Zi Chew testifies before Congress |	laughs
EDL	00:13:40,579	00:13:41,700	| TikTok CEO Shou Zi Chew testifies before Congress |	[ SPACE 1.1 secs ]
EDL	00:13:41,700	00:13:44,300	| TikTok CEO Shou Zi Chew testifies before Congress |	right now
EDL	00:13:44,300	00:14:01,800	| TikTok CEO Shou Zi Chew testifies before Congress |	[ SPACE 17.5 secs ]
EDL	00:14:01,800	00:14:03,420	| TikTok CEO Shou Zi Chew testifies before Congress |	you're welcome



# Come to order


EDL	00:14:03,420	00:14:05,820	| TikTok CEO Shou Zi Chew testifies before Congress |	here we go the committee will come to
EDL	00:14:05,820	00:14:06,959	| TikTok CEO Shou Zi Chew testifies before Congress |	order
EDL	00:14:06,959	00:14:08,639	| TikTok CEO Shou Zi Chew testifies before Congress |	before I begin I'd like to take a moment
EDL	00:14:08,639	00:14:11,399	| TikTok CEO Shou Zi Chew testifies before Congress |	to address the guest in the audience
EDL	00:14:11,399	00:14:14,160	| TikTok CEO Shou Zi Chew testifies before Congress |	first of all thank you for coming

EDL	00:14:14,160	00:14:16,380	| TikTok CEO Shou Zi Chew testifies before Congress |	we think engaged citizens are welcome
EDL	00:14:16,380	00:14:18,420	| TikTok CEO Shou Zi Chew testifies before Congress |	and a valuable part of the political
EDL	00:14:18,420	00:14:19,740	| TikTok CEO Shou Zi Chew testifies before Congress |	process
EDL	00:14:19,740	00:14:22,260	| TikTok CEO Shou Zi Chew testifies before Congress |	I do want to remind the guest in the
EDL	00:14:22,260	00:14:24,060	| TikTok CEO Shou Zi Chew testifies before Congress |	audience that the chair is obliged under
EDL	00:14:24,060	00:14:25,740	| TikTok CEO Shou Zi Chew testifies before Congress |	the house rules and the rules of the
EDL	00:14:25,740	00:14:28,139	| TikTok CEO Shou Zi Chew testifies before Congress |	committee to maintain order and preserve
EDL	00:14:28,139	00:14:30,360	| TikTok CEO Shou Zi Chew testifies before Congress |	decorum in the committee room
EDL	00:14:30,360	00:14:32,459	| TikTok CEO Shou Zi Chew testifies before Congress |	I know that we have deep feelings on
EDL	00:14:32,459	00:14:34,800	| TikTok CEO Shou Zi Chew testifies before Congress |	these issues and that we all may not
EDL	00:14:34,800	00:14:37,139	| TikTok CEO Shou Zi Chew testifies before Congress |	agree on everything but I ask that we
EDL	00:14:37,139	00:14:39,120	| TikTok CEO Shou Zi Chew testifies before Congress |	abide by these rules and be respectful
EDL	00:14:39,120	00:14:41,699	| TikTok CEO Shou Zi Chew testifies before Congress |	of our audience members our viewers and
EDL	00:14:41,699	00:14:43,019	| TikTok CEO Shou Zi Chew testifies before Congress |	our Witnesses
EDL	00:14:43,019	00:14:45,000	| TikTok CEO Shou Zi Chew testifies before Congress |	the chair appreciates the audience
EDL	00:14:45,000	00:14:47,459	| TikTok CEO Shou Zi Chew testifies before Congress |	cooperation and maintaining order as we
EDL	00:14:47,459	00:14:49,920	| TikTok CEO Shou Zi Chew testifies before Congress |	have a full discussion on on these
EDL	00:14:49,920	00:14:51,240	| TikTok CEO Shou Zi Chew testifies before Congress |	important issues
EDL	00:14:51,240	00:14:53,279	| TikTok CEO Shou Zi Chew testifies before Congress |	the chair recognizes herself for five
EDL	00:14:53,279	00:14:55,920	| TikTok CEO Shou Zi Chew testifies before Congress |	minutes for an opening statement


EDL	00:14:55,920	00:14:58,079	| TikTok CEO Shou Zi Chew testifies before Congress |	Mr Chew you are here
EDL	00:14:58,079	00:14:59,880	| TikTok CEO Shou Zi Chew testifies before Congress |	because the American people need the
EDL	00:14:59,880	00:15:02,399	| TikTok CEO Shou Zi Chew testifies before Congress |	truth about the the threat Tik Tok
EDL	00:15:02,399	00:15:04,560	| TikTok CEO Shou Zi Chew testifies before Congress |	poses to our national and personal
EDL	00:15:04,560	00:15:06,180	| TikTok CEO Shou Zi Chew testifies before Congress |	security

# Chair开场: 强硬
EDL	00:15:06,180	00:15:08,880	| TikTok CEO Shou Zi Chew testifies before Congress |	Tik Tok collects nearly every data
EDL	00:15:08,880	00:15:11,459	| TikTok CEO Shou Zi Chew testifies before Congress |	point imaginable from people's location
EDL	00:15:11,459	00:15:14,220	| TikTok CEO Shou Zi Chew testifies before Congress |	to what they type and copy who they talk
EDL	00:15:14,220	00:15:18,180	| TikTok CEO Shou Zi Chew testifies before Congress |	to biometric data and more
EDL	00:15:18,180	00:15:20,279	| TikTok CEO Shou Zi Chew testifies before Congress |	even if they've never been on Tik Tok
EDL	00:15:20,279	00:15:22,260	| TikTok CEO Shou Zi Chew testifies before Congress |	your trackers are embedded in sites
EDL	00:15:22,260	00:15:23,699	| TikTok CEO Shou Zi Chew testifies before Congress |	across the web
EDL	00:15:23,699	00:15:25,920	| TikTok CEO Shou Zi Chew testifies before Congress |	Tik Tok surveills us all
EDL	00:15:25,920	00:15:28,079	| TikTok CEO Shou Zi Chew testifies before Congress |	and the Chinese Communist party is able
EDL	00:15:28,079	00:15:30,779	| TikTok CEO Shou Zi Chew testifies before Congress |	to use this as a tool to manipulate
EDL	00:15:30,779	00:15:32,940	| TikTok CEO Shou Zi Chew testifies before Congress |	America as a whole
EDL	00:15:32,940	00:15:35,220	| TikTok CEO Shou Zi Chew testifies before Congress |	we do not trust Tik Tok will ever
EDL	00:15:35,220	00:15:37,980	| TikTok CEO Shou Zi Chew testifies before Congress |	Embrace American values values for
EDL	00:15:37,980	00:15:41,160	| TikTok CEO Shou Zi Chew testifies before Congress |	Freedom human rights and innovation
EDL	00:15:41,160	00:15:43,440	| TikTok CEO Shou Zi Chew testifies before Congress |	Tik Tok has repeatedly chosen the path
EDL	00:15:43,440	00:15:46,139	| TikTok CEO Shou Zi Chew testifies before Congress |	for more control more surveillance and
EDL	00:15:46,139	00:15:47,940	| TikTok CEO Shou Zi Chew testifies before Congress |	more manipulation
EDL	00:15:47,940	00:15:51,120	| TikTok CEO Shou Zi Chew testifies before Congress |	your platform should be banned
EDL	00:15:51,120	00:15:53,519	| TikTok CEO Shou Zi Chew testifies before Congress |	I expect today you'll say anything to
EDL	00:15:53,519	00:15:56,060	| TikTok CEO Shou Zi Chew testifies before Congress |	avoid this outcome like you're 100
EDL	00:15:56,060	00:15:59,279	| TikTok CEO Shou Zi Chew testifies before Congress |	responsible for what Tik Tok does that
EDL	00:15:59,279	00:16:01,440	| TikTok CEO Shou Zi Chew testifies before Congress |	you suddenly endorse a National Data
EDL	00:16:01,440	00:16:03,120	| TikTok CEO Shou Zi Chew testifies before Congress |	privacy standard
EDL	00:16:03,120	00:16:05,339	| TikTok CEO Shou Zi Chew testifies before Congress |	that project Texas is more than a
EDL	00:16:05,339	00:16:07,079	| TikTok CEO Shou Zi Chew testifies before Congress |	marketing scheme

Marketing scheme!! Project Texas

EDL	00:16:07,079	00:16:10,019	| TikTok CEO Shou Zi Chew testifies before Congress |	that Tik Tok doesn't harm our innocent
EDL	00:16:10,019	00:16:11,459	| TikTok CEO Shou Zi Chew testifies before Congress |	children
EDL	00:16:11,459	00:16:13,260	| TikTok CEO Shou Zi Chew testifies before Congress |	or that you're ties to the Chinese
EDL	00:16:13,260	00:16:15,120	| TikTok CEO Shou Zi Chew testifies before Congress |	Communist Party through Byte Dance is
EDL	00:16:15,120	00:16:16,860	| TikTok CEO Shou Zi Chew testifies before Congress |	just a myth

EDL	00:16:16,860	00:16:18,600	| TikTok CEO Shou Zi Chew testifies before Congress |	we aren't buying it

EDL	00:16:18,600	00:16:21,060	| TikTok CEO Shou Zi Chew testifies before Congress |	in fact when you celebrate the 150
EDL	00:16:21,060	00:16:23,760	| TikTok CEO Shou Zi Chew testifies before Congress |	million American users on Tik Tok it
EDL	00:16:23,760	00:16:26,160	| TikTok CEO Shou Zi Chew testifies before Congress |	emphasizes the urgency for Congress to
EDL	00:16:26,160	00:16:27,060	| TikTok CEO Shou Zi Chew testifies before Congress |	act
EDL	00:16:27,060	00:16:30,600	| TikTok CEO Shou Zi Chew testifies before Congress |	that is 150 million Americans that CCP
EDL	00:16:30,600	00:16:33,240	| TikTok CEO Shou Zi Chew testifies before Congress |	can collect sensitive information on and
EDL	00:16:33,240	00:16:37,079	| TikTok CEO Shou Zi Chew testifies before Congress |	control what we ultimately see hear and
EDL	00:16:37,079	00:16:38,279	| TikTok CEO Shou Zi Chew testifies before Congress |	believe
EDL	00:16:38,279	00:16:40,920	| TikTok CEO Shou Zi Chew testifies before Congress |	Tik Tok has repeatedly been caught in
