EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,328	| 01_353_From_Bombay_with_Love_pt_01 |	99percentinvisible is brought to you by Progresso
EDL	00:00:03,840	00:00:05,888	| 01_353_From_Bombay_with_Love_pt_01 |	One of the country's leading providers of autumn
EDL	00:00:06,656	00:00:08,960	| 01_353_From_Bombay_with_Love_pt_01 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:12,544	| 01_353_From_Bombay_with_Love_pt_01 |	You can say what kind of coverage were looking for and how much you want to pay
EDL	00:00:12,544	00:00:15,104	| 01_353_From_Bombay_with_Love_pt_01 |	Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 01_353_From_Bombay_with_Love_pt_01 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 01_353_From_Bombay_with_Love_pt_01 |	Progressive.com
EDL	00:00:20,480	00:00:21,760	| 01_353_From_Bombay_with_Love_pt_01 |	Price in coverage match
EDL	00:00:21,760	00:00:22,528	| 01_353_From_Bombay_with_Love_pt_01 |	Limited by state law
EDL	00:00:24,064	00:00:26,112	| 01_353_From_Bombay_with_Love_pt_01 |	We need to talk about something
EDL	00:00:26,112	00:00:27,136	| 01_353_From_Bombay_with_Love_pt_01 |	Constipation
EDL	00:00:27,136	00:00:28,416	| 01_353_From_Bombay_with_Love_pt_01 |	Abdominal pain and bloating
EDL	00:00:28,416	00:00:29,440	| 01_353_From_Bombay_with_Love_pt_01 |	You tell yourself
EDL	00:00:29,440	00:00:33,280	| 01_353_From_Bombay_with_Love_pt_01 |	It's not that bad to take laxatives you modify your diet and exercise routine
EDL	00:00:33,280	00:00:35,328	| 01_353_From_Bombay_with_Love_pt_01 |	Thinking about it all the time is frustrate
EDL	00:00:35,328	00:00:40,704	| 01_353_From_Bombay_with_Love_pt_01 |	It doesn't have to Define you if your constipation and abdominal symptoms come back again and again
EDL	00:00:40,704	00:00:44,032	| 01_353_From_Bombay_with_Love_pt_01 |	You don't know why and it may be time to seek help
EDL	00:00:44,032	00:00:47,360	| 01_353_From_Bombay_with_Love_pt_01 |	Go to oh my God. Info podcast
EDL	00:00:47,360	00:00:52,480	| 01_353_From_Bombay_with_Love_pt_01 |	We can learn more about your symptoms that's oh my God. Info / podcast
EDL	00:00:52,480	00:00:52,992	| 01_353_From_Bombay_with_Love_pt_01 |	Oh my God
EDL	00:00:54,272	00:00:54,784	| 01_353_From_Bombay_with_Love_pt_01 |	Five podcast
EDL	00:00:55,808	00:00:57,600	| 01_353_From_Bombay_with_Love_pt_01 |	This is 99% invisible
EDL	00:00:58,112	00:00:59,136	| 01_353_From_Bombay_with_Love_pt_01 |	I'm Roman Mars
EDL	00:01:00,928	00:01:04,768	| 01_353_From_Bombay_with_Love_pt_01 |	Deepa boss they grew up in a very small town in Southern India
