EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,792	| 01_356_The_Automat_pt01 |	This is 99% invisible
EDL	00:00:02,304	00:00:03,328	| 01_356_The_Automat_pt01 |	I'm Roman Mars
EDL	00:00:03,328	00:00:09,472	| 01_356_The_Automat_pt01 |	In the shadow of Silicon Valley San Francisco is home to a futuristic Eatery with a virtual cashier putting change
EDL	00:00:09,984	00:00:10,752	| 01_356_The_Automat_pt01 |	On the menu
EDL	00:00:11,776	00:00:13,056	| 01_356_The_Automat_pt01 |	It was a new restaurant
EDL	00:00:13,056	00:00:16,128	| 01_356_The_Automat_pt01 |	But opened a few years back in downtown San Francisco
EDL	00:00:16,128	00:00:17,152	| 01_356_The_Automat_pt01 |	It was called
EDL	00:00:17,152	00:00:17,920	| 01_356_The_Automat_pt01 |	Itza
EDL	00:00:17,920	00:00:21,248	| 01_356_The_Automat_pt01 |	Pizza a high-tech new restaurant where you order on iPad
EDL	00:00:21,248	00:00:22,784	| 01_356_The_Automat_pt01 |	And get your quinoa bowls out of
EDL	00:00:22,784	00:00:26,112	| 01_356_The_Automat_pt01 |	A cubby and instead of placing an order with a waiter or
EDL	00:00:26,112	00:00:27,392	| 01_356_The_Automat_pt01 |	Someone behind the counter
EDL	00:00:27,392	00:00:29,952	| 01_356_The_Automat_pt01 |	You punch in your order on a screen
EDL	00:00:36,096	00:00:37,376	| 01_356_The_Automat_pt01 |	Why do you swipe your car
EDL	00:00:37,376	00:00:39,680	| 01_356_The_Automat_pt01 |	And then a few minutes later you would walk to a wall
EDL	00:00:40,192	00:00:41,728	| 01_356_The_Automat_pt01 |	Clear glass cubbies
EDL	00:00:41,728	00:00:47,872	| 01_356_The_Automat_pt01 |	Go dark for just a second so you don't see the actual food being placed in the cubby and then when the food was placed
EDL	00:00:47,872	00:00:49,920	| 01_356_The_Automat_pt01 |	The cubby woodglo with your name
EDL	00:00:50,432	00:00:51,712	| 01_356_The_Automat_pt01 |	You tap the glass twice
EDL	00:00:51,712	00:00:54,528	| 01_356_The_Automat_pt01 |	And you could open the cubby and your food order was in there
EDL	00:00:54,528	00:00:55,040	| 01_356_The_Automat_pt01 |	Waiting for you
EDL	00:00:55,552	00:01:00,928	| 01_356_The_Automat_pt01 |	You tap it you get your food and you leave the fact that you can just order on the iPad pick it up
EDL	00:01:00,928	00:01:03,744	| 01_356_The_Automat_pt01 |	It's really about the most productive way you can get lunch
