EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:02,048	| 01_358_The_Anthropocene_Reviewed_pt01 |	This is 99% invisible
EDL	00:00:02,560	00:00:03,328	| 01_358_The_Anthropocene_Reviewed_pt01 |	I'm Roman Mars
EDL	00:00:06,144	00:00:10,240	| 01_358_The_Anthropocene_Reviewed_pt01 |	On this so we tell stories about what we make and what it says about
EDL	00:00:10,240	00:00:11,008	| 01_358_The_Anthropocene_Reviewed_pt01 |	Does human
EDL	00:00:11,008	00:00:14,080	| 01_358_The_Anthropocene_Reviewed_pt01 |	But we never write those things on a 5-star scale
EDL	00:00:14,592	00:00:17,664	| 01_358_The_Anthropocene_Reviewed_pt01 |	The anthropocene reviewed is here to correct that oversight
EDL	00:00:17,664	00:00:19,200	| 01_358_The_Anthropocene_Reviewed_pt01 |	I love the show
EDL	00:00:19,200	00:00:24,576	| 01_358_The_Anthropocene_Reviewed_pt01 |	By John Green he's the author of best-selling books like the Fault in Our Stars and Turtles all the way down
EDL	00:00:24,576	00:00:30,976	| 01_358_The_Anthropocene_Reviewed_pt01 |	Kelso make some of the best stuff on YouTube with his brother Hank today we're going to be sure two of my favorite episodes of his new
EDL	00:00:30,976	00:00:33,536	| 01_358_The_Anthropocene_Reviewed_pt01 |	Podcast that I think will be of particular interest
EDL	00:00:33,536	00:00:38,144	| 01_358_The_Anthropocene_Reviewed_pt01 |	To an IPI listener have an interview with John about a lot of things like
EDL	00:00:38,144	00:00:41,216	| 01_358_The_Anthropocene_Reviewed_pt01 |	Sports and Marine telepopmusik as an adult
EDL	00:00:41,216	00:00:43,008	| 01_358_The_Anthropocene_Reviewed_pt01 |	I think you're really going to like it
EDL	00:00:43,008	00:00:47,360	| 01_358_The_Anthropocene_Reviewed_pt01 |	After I got done talking with John I just felt good all day about life
EDL	00:00:47,360	00:00:47,872	| 01_358_The_Anthropocene_Reviewed_pt01 |	Is great
EDL	00:00:48,896	00:00:49,664	| 01_358_The_Anthropocene_Reviewed_pt01 |	But first
