EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,792	| 01_360_The_Universal_Page_pt_01 |	This is 99% invisible
EDL	00:00:02,560	00:00:03,328	| 01_360_The_Universal_Page_pt_01 |	I'm Roman Mars
EDL	00:00:05,376	00:00:07,936	| 01_360_The_Universal_Page_pt_01 |	Andrew Weiland has always loved to read
EDL	00:00:08,448	00:00:14,080	| 01_360_The_Universal_Page_pt_01 |	5th grader with the kid who sat on a utility box during recess reading The Hobbit while everyone else
EDL	00:00:14,080	00:00:14,848	| 01_360_The_Universal_Page_pt_01 |	Play kickball
EDL	00:00:15,360	00:00:16,384	| 01_360_The_Universal_Page_pt_01 |	In Middle School
EDL	00:00:16,384	00:00:18,944	| 01_360_The_Universal_Page_pt_01 |	To learn the trade names of the book imprints
EDL	00:00:18,944	00:00:22,528	| 01_360_The_Universal_Page_pt_01 |	That published the druggie contemporary fiction that he was starting to get into
EDL	00:00:23,296	00:00:24,832	| 01_360_The_Universal_Page_pt_01 |	And in 2003
EDL	00:00:24,832	00:00:26,112	| 01_360_The_Universal_Page_pt_01 |	You dropped out of college
EDL	00:00:26,112	00:00:28,928	| 01_360_The_Universal_Page_pt_01 |	I moved to San Francisco to work for his favorite publisher
EDL	00:00:29,696	00:00:30,208	| 01_360_The_Universal_Page_pt_01 |	Mcsweeney's
EDL	00:00:31,232	00:00:32,256	| 01_360_The_Universal_Page_pt_01 |	It was my dream job
EDL	00:00:32,768	00:00:34,560	| 01_360_The_Universal_Page_pt_01 |	And working there exacerbated my already in
EDL	00:00:35,072	00:00:35,584	| 01_360_The_Universal_Page_pt_01 |	Spanish for pretty
EDL	00:00:36,096	00:00:36,608	| 01_360_The_Universal_Page_pt_01 |	Matthew Henry
EDL	00:00:37,120	00:00:43,264	| 01_360_The_Universal_Page_pt_01 |	I got to live out my fantasy of being an ink-stained wretch even if that meant logging 12-hour days an in-class computer
EDL	00:00:43,776	00:00:46,848	| 01_360_The_Universal_Page_pt_01 |	I edited essays and interviews played out articles
EDL	00:00:46,848	00:00:49,920	| 01_360_The_Universal_Page_pt_01 |	It's a weird amount of pleasure and typographical minutiae
EDL	00:00:49,920	00:00:51,456	| 01_360_The_Universal_Page_pt_01 |	Like italicize in Camas
EDL	00:00:51,456	00:00:53,760	| 01_360_The_Universal_Page_pt_01 |	And rewriting headlines so they fit the frame just so
EDL	00:00:54,528	00:00:57,600	| 01_360_The_Universal_Page_pt_01 |	Havoc Sweeney's books and magazines whenever just containers forward
EDL	00:00:58,368	00:00:59,136	| 01_360_The_Universal_Page_pt_01 |	They were works of art
EDL	00:01:00,416	00:01:02,720	| 01_360_The_Universal_Page_pt_01 |	And I was trying to take as much care with the look
EDL	00:01:02,720	00:01:03,744	| 01_360_The_Universal_Page_pt_01 |	Can feel if the print
EDL	00:01:03,744	00:01:04,512	| 01_360_The_Universal_Page_pt_01 |	As I did with you
EDL	00:01:04,512	00:01:05,280	| 01_360_The_Universal_Page_pt_01 |	Expression of the idea
EDL	00:01:06,816	00:01:09,632	| 01_360_The_Universal_Page_pt_01 |	But as much as Andrew love to print Pizza love
EDL	00:01:10,656	00:01:15,776	| 01_360_The_Universal_Page_pt_01 |	He also has a condition that will eventually change his relationship to it pretty radically
EDL	00:01:17,312	00:01:18,080	| 01_360_The_Universal_Page_pt_01 |	I'm going blind
EDL	00:01:18,592	00:01:19,616	| 01_360_The_Universal_Page_pt_01 |	Really really slowly
EDL	00:01:20,384	00:01:22,432	| 01_360_The_Universal_Page_pt_01 |	Right now it's like I've got a foot in both world
EDL	00:01:22,944	00:01:23,712	| 01_360_The_Universal_Page_pt_01 |	Blind and sighted
EDL	00:01:24,480	00:01:25,504	| 01_360_The_Universal_Page_pt_01 |	I have a degenerative retina
EDL	00:01:26,272	00:01:27,552	| 01_360_The_Universal_Page_pt_01 |	It's giving me severe tunnel vision
EDL	00:01:28,064	00:01:29,344	| 01_360_The_Universal_Page_pt_01 |	So basically no peripheral vision
EDL	00:01:30,112	00:01:32,160	| 01_360_The_Universal_Page_pt_01 |	It's like I'm peering at the world through a toilet paper
EDL	00:01:32,928	00:01:34,976	| 01_360_The_Universal_Page_pt_01 |	When it gets a little narrower every few months
EDL	00:01:37,536	00:01:38,304	| 01_360_The_Universal_Page_pt_01 |	10
EDL	00:01:38,816	00:01:41,376	| 01_360_The_Universal_Page_pt_01 |	I'm going to try to read this
EDL	00:01:41,376	00:01:42,656	| 01_360_The_Universal_Page_pt_01 |	See if I got it right
EDL	00:01:44,448	00:01:45,216	| 01_360_The_Universal_Page_pt_01 |	Can
EDL	00:01:46,752	00:01:47,264	| 01_360_The_Universal_Page_pt_01 |	We
EDL	00:01:47,776	00:01:52,640	| 01_360_The_Universal_Page_pt_01 |	My retinal specialist told me that I probably don't need to worry about losing the ability to read
EDL	00:01:52,640	00:01:53,664	| 01_360_The_Universal_Page_pt_01 |	For another five years or so
EDL	00:01:54,432	00:01:57,760	| 01_360_The_Universal_Page_pt_01 |	But I've already started using a special digital program to learn Braille
EDL	00:01:58,272	00:01:58,784	| 01_360_The_Universal_Page_pt_01 |	Which is not easy
EDL	00:01:59,808	00:02:00,576	| 01_360_The_Universal_Page_pt_01 |	B cockle
EDL	00:02:01,088	00:02:03,392	| 01_360_The_Universal_Page_pt_01 |	What I want to get a jumpstart in before I actually
EDL	00:02:04,928	00:02:05,440	| 01_360_The_Universal_Page_pt_01 |	Free
EDL	00:02:08,256	00:02:09,536	| 01_360_The_Universal_Page_pt_01 |	Rick Astley
EDL	00:02:10,048	00:02:10,560	| 01_360_The_Universal_Page_pt_01 |	What
EDL	00:02:12,096	00:02:13,120	| 01_360_The_Universal_Page_pt_01 |	A recycle
EDL	00:02:16,704	00:02:19,264	| 01_360_The_Universal_Page_pt_01 |	Can we recycle a metal can
EDL	00:02:21,568	00:02:24,640	| 01_360_The_Universal_Page_pt_01 |	I know I'll still be able to experience books for the rest of my life
EDL	00:02:25,152	00:02:27,456	| 01_360_The_Universal_Page_pt_01 |	I'm lucky to be going blind in the digital age
EDL	00:02:27,456	00:02:33,856	| 01_360_The_Universal_Page_pt_01 |	And the Golden Age of audio there's an abundance of well-produced audiobooks and technology that can read aloud
EDL	00:02:33,856	00:02:35,904	| 01_360_The_Universal_Page_pt_01 |	Almost anything that appears on a screen
EDL	00:02:37,440	00:02:38,464	| 01_360_The_Universal_Page_pt_01 |	Puzzles
EDL	00:02:40,000	00:02:43,584	| 01_360_The_Universal_Page_pt_01 |	Chinese can ride a unicycle or two puzzles
EDL	00:02:43,584	00:02:48,192	| 01_360_The_Universal_Page_pt_01 |	My niece can ride a unicycle or do puzzles
EDL	00:02:48,704	00:02:52,800	| 01_360_The_Universal_Page_pt_01 |	Does that mean my niece
EDL	00:02:52,800	00:02:59,200	| 01_360_The_Universal_Page_pt_01 |	Can do no such thing despite all that there's still some mellow tragedy
EDL	00:02:59,200	00:03:03,040	| 01_360_The_Universal_Page_pt_01 |	Any idea that in a few years I'll probably no longer be able to read print
EDL	00:03:03,040	00:03:09,184	| 01_360_The_Universal_Page_pt_01 |	After a life spent loving books there's now a real urgency for me in the question of how blind people experience literal
EDL	00:03:09,184	00:03:14,816	| 01_360_The_Universal_Page_pt_01 |	I find myself deeply curious about what graphic design might mean to someone who can't see
EDL	00:03:14,816	00:03:17,888	| 01_360_The_Universal_Page_pt_01 |	So I started looking into the history of reading Technologies for the blind
EDL	00:03:18,400	00:03:21,728	| 01_360_The_Universal_Page_pt_01 |	Traditionally books are visual objects
EDL	00:03:21,728	00:03:28,128	| 01_360_The_Universal_Page_pt_01 |	And for centuries now blind and sighted designers have been arguing over the most effective way to translate
EDL	00:03:28,128	00:03:29,920	| 01_360_The_Universal_Page_pt_01 |	Habitual ink print book
EDL	00:03:29,920	00:03:33,248	| 01_360_The_Universal_Page_pt_01 |	Into an accessible form for people with outside
EDL	00:03:33,248	00:03:39,648	| 01_360_The_Universal_Page_pt_01 |	Pres long as blind people have been reading there's been this tension between systems that try to stay close to the
EDL	00:03:39,648	00:03:40,928	| 01_360_The_Universal_Page_pt_01 |	Original form of a book
EDL	00:03:40,928	00:03:43,232	| 01_360_The_Universal_Page_pt_01 |	And systems that dramatically depart
EDL	00:03:43,232	00:03:46,048	| 01_360_The_Universal_Page_pt_01 |	Tomorrow ideas of what a book can be
EDL	00:03:46,048	00:03:52,448	| 01_360_The_Universal_Page_pt_01 |	Designers have made incredible breakthroughs to create non visual forms of reading for blind people
EDL	00:03:52,448	00:03:58,592	| 01_360_The_Universal_Page_pt_01 |	Find critic pointed out the designers have a bad habit of quote talking to the fingers in the language of the eyes
EDL	00:03:58,592	00:04:04,736	| 01_360_The_Universal_Page_pt_01 |	So the history of blind reading is really the history of finding a new language for the fingers and for the ear
EDL	00:04:05,504	00:04:09,600	| 01_360_The_Universal_Page_pt_01 |	One that captures the Essential Elements of the ink print book but
EDL	00:04:09,600	00:04:10,368	| 01_360_The_Universal_Page_pt_01 |	In a new language
EDL	00:04:10,880	00:04:12,672	| 01_360_The_Universal_Page_pt_01 |	That's Unbound from the visual
EDL	00:04:13,696	00:04:16,000	| 01_360_The_Universal_Page_pt_01 |	And that history centers around two main shapes
EDL	00:04:17,024	00:04:17,791	| 01_360_The_Universal_Page_pt_01 |	Lines
EDL	00:04:17,791	00:04:18,303	| 01_360_The_Universal_Page_pt_01 |	And.
EDL	00:04:19,839	00:04:26,239	| 01_360_The_Universal_Page_pt_01 |	Our story starts in 18th century Europe before Braille was invented before blind people were even taught
EDL	00:04:26,239	00:04:27,007	| 01_360_The_Universal_Page_pt_01 |	To read at all
EDL	00:04:27,519	00:04:29,567	| 01_360_The_Universal_Page_pt_01 |	First off no one thinks that it's possible
EDL	00:04:29,567	00:04:30,591	| 01_360_The_Universal_Page_pt_01 |	Formica
EDL	00:04:30,591	00:04:31,615	| 01_360_The_Universal_Page_pt_01 |	Kids II
EDL	00:04:31,615	00:04:32,895	| 01_360_The_Universal_Page_pt_01 |	Learn that's my cuts
EDL	00:04:33,407	00:04:38,015	| 01_360_The_Universal_Page_pt_01 |	The museum director at the American printing house for the blind in Louisville Kentucky
EDL	00:04:38,015	00:04:39,295	| 01_360_The_Universal_Page_pt_01 |	And if they could
EDL	00:04:39,295	00:04:40,063	| 01_360_The_Universal_Page_pt_01 |	No one knows how to do
EDL	00:04:40,575	00:04:42,367	| 01_360_The_Universal_Page_pt_01 |	Without access to education
EDL	00:04:42,367	00:04:44,415	| 01_360_The_Universal_Page_pt_01 |	Blind people were overwhelmingly poor
EDL	00:04:44,415	00:04:45,951	| 01_360_The_Universal_Page_pt_01 |	And employment prospects were dim
EDL	00:04:46,719	00:04:49,535	| 01_360_The_Universal_Page_pt_01 |	If their families had enough money and time to support them
EDL	00:04:49,535	00:04:53,375	| 01_360_The_Universal_Page_pt_01 |	They usually lived at home like adult children sitting idly around the house
EDL	00:04:54,143	00:04:55,935	| 01_360_The_Universal_Page_pt_01 |	Many others were forced to beg on the street
EDL	00:04:56,703	00:05:00,287	| 01_360_The_Universal_Page_pt_01 |	Dora handful of institutions in Europe to support the poorest cases
EDL	00:05:00,287	00:05:01,311	| 01_360_The_Universal_Page_pt_01 |	What a Pity the blind
EDL	00:05:01,823	00:05:02,335	| 01_360_The_Universal_Page_pt_01 |	Hid them away
EDL	00:05:03,871	00:05:06,431	| 01_360_The_Universal_Page_pt_01 |	Within this guy named Valentino he comes along
EDL	00:05:06,943	00:05:09,759	| 01_360_The_Universal_Page_pt_01 |	Are we was born into a family of Weaver's in France
EDL	00:05:09,759	00:05:11,039	| 01_360_The_Universal_Page_pt_01 |	Yes and he was a skilled linguist
EDL	00:05:11,807	00:05:14,879	| 01_360_The_Universal_Page_pt_01 |	He was first inspired to help the blind in 1771
EDL	00:05:15,391	00:05:17,695	| 01_360_The_Universal_Page_pt_01 |	We saw a group of blind people being mocked
EDL	00:05:18,719	00:05:19,487	| 01_360_The_Universal_Page_pt_01 |	Potable in Paris
EDL	00:05:19,999	00:05:21,535	| 01_360_The_Universal_Page_pt_01 |	They have been given dunce cap
EDL	00:05:21,535	00:05:23,071	| 01_360_The_Universal_Page_pt_01 |	And giant fake glasses
EDL	00:05:23,583	00:05:24,351	| 01_360_The_Universal_Page_pt_01 |	And they were made
EDL	00:05:24,351	00:05:26,655	| 01_360_The_Universal_Page_pt_01 |	Play musical instruments and pretend to read book
EDL	00:05:27,167	00:05:29,727	| 01_360_The_Universal_Page_pt_01 |	So are we founded the first known School for the Blind
EDL	00:05:30,239	00:05:31,519	| 01_360_The_Universal_Page_pt_01 |	It was called The Royal Institute
EDL	00:05:32,031	00:05:32,543	| 01_360_The_Universal_Page_pt_01 |	In Paris
EDL	00:05:33,055	00:05:34,847	| 01_360_The_Universal_Page_pt_01 |	But even as he's getting the school going
EDL	00:05:34,847	00:05:35,871	| 01_360_The_Universal_Page_pt_01 |	How we kept aside
EDL	00:05:36,383	00:05:37,663	| 01_360_The_Universal_Page_pt_01 |	And I wheeze
EDL	00:05:38,431	00:05:39,199	| 01_360_The_Universal_Page_pt_01 |	Sidegig
EDL	00:05:39,967	00:05:42,271	| 01_360_The_Universal_Page_pt_01 |	Is as a translator
EDL	00:05:43,295	00:05:45,599	| 01_360_The_Universal_Page_pt_01 |	And so every now and then go get these fancy
EDL	00:05:46,111	00:05:47,135	| 01_360_The_Universal_Page_pt_01 |	Embossed
EDL	00:05:47,135	00:05:48,159	| 01_360_The_Universal_Page_pt_01 |	Invitations Denver
EDL	00:05:48,927	00:05:49,951	| 01_360_The_Universal_Page_pt_01 |	And one day
EDL	00:05:49,951	00:05:50,719	| 01_360_The_Universal_Page_pt_01 |	What about we students
EDL	00:05:51,231	00:05:53,023	| 01_360_The_Universal_Page_pt_01 |	A kid named Francois Le Sueur
EDL	00:05:53,023	00:05:53,535	| 01_360_The_Universal_Page_pt_01 |	Touchpoint
EDL	00:05:54,047	00:05:55,839	| 01_360_The_Universal_Page_pt_01 |	And Francois Le Sueur notices
EDL	00:05:55,839	00:05:56,351	| 01_360_The_Universal_Page_pt_01 |	Is that he can
EDL	00:05:56,863	00:05:59,679	| 01_360_The_Universal_Page_pt_01 |	Feel something on these put on these invitations
EDL	00:06:00,447	00:06:06,847	| 01_360_The_Universal_Page_pt_01 |	And that gives a weedy idea the idea to develop this idea of embossed printing
EDL	00:06:06,847	00:06:13,247	| 01_360_The_Universal_Page_pt_01 |	Erased letters so in 1786 how he makes the first machine in Boston
EDL	00:06:13,247	00:06:14,015	| 01_360_The_Universal_Page_pt_01 |	Books for the blind
EDL	00:06:14,527	00:06:15,295	| 01_360_The_Universal_Page_pt_01 |	Treatise
EDL	00:06:15,295	00:06:16,831	| 01_360_The_Universal_Page_pt_01 |	Unblind education
EDL	00:06:16,831	00:06:18,111	| 01_360_The_Universal_Page_pt_01 |	It's written in print
EDL	00:06:18,111	00:06:20,159	| 01_360_The_Universal_Page_pt_01 |	The kind that sighted readers would recognize
