EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,792	| 01_Sound_and_Health_Hospitals_f01 |	Thanks for the Robert Wood Johnson
EDL	00:00:01,792	00:00:06,656	| 01_Sound_and_Health_Hospitals_f01 |	Foundation for underwriting this special two-part series about the power of sound to affect
EDL	00:00:06,656	00:00:08,960	| 01_Sound_and_Health_Hospitals_f01 |	And influence our health and well-being
EDL	00:00:08,960	00:00:15,104	| 01_Sound_and_Health_Hospitals_f01 |	The Robert Wood Johnson Foundation is working alongside other is to build a culture of Health for everyone in America
EDL	00:00:15,616	00:00:16,896	| 01_Sound_and_Health_Hospitals_f01 |	Learn more about the
EDL	00:00:16,896	00:00:18,688	| 01_Sound_and_Health_Hospitals_f01 |	At rwjf
EDL	00:00:18,688	00:00:19,456	| 01_Sound_and_Health_Hospitals_f01 |	. org
EDL	00:00:20,480	00:00:22,016	| 01_Sound_and_Health_Hospitals_f01 |	This is 99% invisible
EDL	00:00:22,528	00:00:23,296	| 01_Sound_and_Health_Hospitals_f01 |	I'm Roman Mars
EDL	00:00:26,112	00:00:27,904	| 01_Sound_and_Health_Hospitals_f01 |	Sound can have serious impacts
EDL	00:00:27,904	00:00:29,696	| 01_Sound_and_Health_Hospitals_f01 |	Our health and well-being
EDL	00:00:29,696	00:00:35,328	| 01_Sound_and_Health_Hospitals_f01 |	And ever since people moved into cities we've been exposed to an unhealthy amount of noise
EDL	00:00:35,328	00:00:39,424	| 01_Sound_and_Health_Hospitals_f01 |	Cars power lines and a constant ding of our devices
EDL	00:00:39,936	00:00:42,752	| 01_Sound_and_Health_Hospitals_f01 |	We live in a very noisy world
EDL	00:00:42,752	00:00:46,592	| 01_Sound_and_Health_Hospitals_f01 |	Most of the noises we hear aren't designed to work together
EDL	00:00:47,104	00:00:52,992	| 01_Sound_and_Health_Hospitals_f01 |	This is the second part of our special series on sound and health supported by the Robert Wood Johnson Foundation
EDL	00:00:52,992	00:00:55,296	| 01_Sound_and_Health_Hospitals_f01 |	We're taking a look at how I more intentional approach
EDL	00:00:55,296	00:00:58,368	| 01_Sound_and_Health_Hospitals_f01 |	The sound can help us live better healthier lives
EDL	00:00:58,368	00:01:00,928	| 01_Sound_and_Health_Hospitals_f01 |	And there's no better place to think about health
EDL	00:01:00,928	00:01:01,696	| 01_Sound_and_Health_Hospitals_f01 |	Vet hospitals
EDL	00:01:04,768	00:01:08,352	| 01_Sound_and_Health_Hospitals_f01 |	Is an anesthesiologist at Vanderbilt Medical Center
EDL	00:01:08,352	00:01:10,912	| 01_Sound_and_Health_Hospitals_f01 |	He spends a lot of his time in the operating room
EDL	00:01:11,680	00:01:12,960	| 01_Sound_and_Health_Hospitals_f01 |	The operating room is an inch
EDL	00:01:12,960	00:01:13,728	| 01_Sound_and_Health_Hospitals_f01 |	Christian space
EDL	00:01:13,728	00:01:18,080	| 01_Sound_and_Health_Hospitals_f01 |	Cuz we think of it it's like my cockpit if you will and anesthesiology
EDL	00:01:18,080	00:01:19,360	| 01_Sound_and_Health_Hospitals_f01 |	Related a lot to Aviation
EDL	00:01:20,128	00:01:23,968	| 01_Sound_and_Health_Hospitals_f01 |	We are culture of safety we have safety checklist just like Pilots do
EDL	00:01:24,736	00:01:28,576	| 01_Sound_and_Health_Hospitals_f01 |	We think of takeoff and Landing just like putting a patient to sleep and waking them up
EDL	00:01:29,088	00:01:32,928	| 01_Sound_and_Health_Hospitals_f01 |	If I can wake someone up from anesthesia we call it land in the plane
EDL	00:01:33,952	00:01:36,000	| 01_Sound_and_Health_Hospitals_f01 |	Landing the plane takes Focus
EDL	00:01:36,000	00:01:37,792	| 01_Sound_and_Health_Hospitals_f01 |	Hangzhou doesn't work in silence
EDL	00:01:38,304	00:01:40,352	| 01_Sound_and_Health_Hospitals_f01 |	It might come as a surprise but in the OR
EDL	00:01:40,864	00:01:42,400	| 01_Sound_and_Health_Hospitals_f01 |	There's music playing all the time
EDL	00:01:42,912	00:01:48,288	| 01_Sound_and_Health_Hospitals_f01 |	There's great data that shows that music improve surgical efficiency which can translate to an economic benefit
EDL	00:01:48,800	00:01:50,592	| 01_Sound_and_Health_Hospitals_f01 |	And music subjectively makes us feel good
EDL	00:01:51,104	00:01:53,408	| 01_Sound_and_Health_Hospitals_f01 |	And if you're working long hours being difficult
EDL	00:01:53,408	00:01:54,688	| 01_Sound_and_Health_Hospitals_f01 |	Court cases in the operating room
EDL	00:01:55,200	00:01:57,248	| 01_Sound_and_Health_Hospitals_f01 |	If you can improve mood certainly there's benefit
EDL	00:01:58,528	00:02:00,064	| 01_Sound_and_Health_Hospitals_f01 |	Who chooses the music
EDL	00:02:00,064	00:02:01,600	| 01_Sound_and_Health_Hospitals_f01 |	It's usually the surgeon
EDL	00:02:01,600	00:02:05,952	| 01_Sound_and_Health_Hospitals_f01 |	And if the surgeons excited the surgery is over and the Music Volume gets cranked up
EDL	00:02:06,464	00:02:10,304	| 01_Sound_and_Health_Hospitals_f01 |	It's really hard for us to be delicate and intentional and Artful
EDL	00:02:10,304	00:02:11,328	| 01_Sound_and_Health_Hospitals_f01 |	Elegant
EDL	00:02:13,120	00:02:16,448	| 01_Sound_and_Health_Hospitals_f01 |	Joe remembers one surgery where music was playing and then all the sudden
EDL	00:02:16,960	00:02:18,752	| 01_Sound_and_Health_Hospitals_f01 |	The patient's Vital Signs started the crash
EDL	00:02:19,264	00:02:22,080	| 01_Sound_and_Health_Hospitals_f01 |	Now my alarms are going off the music volume is high
EDL	00:02:22,592	00:02:27,712	| 01_Sound_and_Health_Hospitals_f01 |	The surgeon and I are having to raise our voices and almost yell at each other to communicate
EDL	00:02:27,712	00:02:29,248	| 01_Sound_and_Health_Hospitals_f01 |	Not because we're mad at each other
EDL	00:02:29,760	00:02:31,040	| 01_Sound_and_Health_Hospitals_f01 |	But just to understand each other
EDL	00:02:32,832	00:02:37,952	| 01_Sound_and_Health_Hospitals_f01 |	So Joan is researchers are trying to figure out how to get the benefits of Music in the OR
EDL	00:02:37,952	00:02:41,024	| 01_Sound_and_Health_Hospitals_f01 |	Without the risk of hearing we built this city on rock and roll
EDL	00:02:41,024	00:02:42,816	| 01_Sound_and_Health_Hospitals_f01 |	Well someone is having a heart attack
EDL	00:02:45,376	00:02:49,984	| 01_Sound_and_Health_Hospitals_f01 |	I'm working with another anesthesiologist on a device which is called the canary box
EDL	00:02:50,496	00:02:52,800	| 01_Sound_and_Health_Hospitals_f01 |	The canary box has two levels of alarm
EDL	00:02:53,312	00:02:55,872	| 01_Sound_and_Health_Hospitals_f01 |	Warning Zone and the danger zone
EDL	00:02:57,152	00:03:00,224	| 01_Sound_and_Health_Hospitals_f01 |	When the alarm is in the warning Zone
EDL	00:03:00,224	00:03:01,504	| 01_Sound_and_Health_Hospitals_f01 |	It haves
EDL	00:03:01,504	00:03:02,016	| 01_Sound_and_Health_Hospitals_f01 |	The Music Hall
EDL	00:03:03,296	00:03:05,600	| 01_Sound_and_Health_Hospitals_f01 |	And when the alarm is in the danger zone
EDL	00:03:05,600	00:03:06,880	| 01_Sound_and_Health_Hospitals_f01 |	It turns the music off
