EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,328	| 311_The_Barney_Design_pt01 |	99percentinvisible is brought to you by Progresso
EDL	00:00:03,840	00:00:06,144	| 311_The_Barney_Design_pt01 |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 311_The_Barney_Design_pt01 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:15,104	| 311_The_Barney_Design_pt01 |	You can say what kind of coverage were looking for and how much you want to pay and Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 311_The_Barney_Design_pt01 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 311_The_Barney_Design_pt01 |	Progressive.com
EDL	00:00:20,480	00:00:22,528	| 311_The_Barney_Design_pt01 |	Price in coverage match limited by state
EDL	00:00:24,576	00:00:26,368	| 311_The_Barney_Design_pt01 |	When it comes to marketing your business
EDL	00:00:26,368	00:00:29,184	| 311_The_Barney_Design_pt01 |	It's all about reaching the Right audience at the right time
EDL	00:00:29,184	00:00:32,256	| 311_The_Barney_Design_pt01 |	Connecting with that audience when your message will resonate the most
EDL	00:00:32,768	00:00:33,792	| 311_The_Barney_Design_pt01 |	LinkedIn can help
EDL	00:00:34,304	00:00:36,608	| 311_The_Barney_Design_pt01 |	LinkedIn is the world's largest professional network
EDL	00:00:36,608	00:00:43,008	| 311_The_Barney_Design_pt01 |	LinkedIn marketing Solutions allow you to Target your customers where they're engaging everyday when they're ready
EDL	00:00:43,008	00:00:44,032	| 311_The_Barney_Design_pt01 |	Need to make a decision
EDL	00:00:44,544	00:00:49,664	| 311_The_Barney_Design_pt01 |	When you advertise on LinkedIn you have the opportunity to build long-term relationships with their customers
EDL	00:00:49,664	00:00:52,480	| 311_The_Barney_Design_pt01 |	Those relationships often turn into high-quality leads
EDL	00:00:52,480	00:00:54,784	| 311_The_Barney_Design_pt01 |	Website traffic and higher brand awareness
EDL	00:00:55,296	00:00:59,904	| 311_The_Barney_Design_pt01 |	And Linkedin have the marketing tools to help you target your customers with precision
EDL	00:00:59,904	00:01:02,720	| 311_The_Barney_Design_pt01 |	Down to the job title company name and Industry
EDL	00:01:03,232	00:01:05,536	| 311_The_Barney_Design_pt01 |	Because we can Target exactly who you want to reach
EDL	00:01:05,536	00:01:08,352	| 311_The_Barney_Design_pt01 |	You can make sure your customers are getting a message that they care about
EDL	00:01:08,864	00:01:10,400	| 311_The_Barney_Design_pt01 |	Which in turn builds Trust
EDL	00:01:10,912	00:01:17,056	| 311_The_Barney_Design_pt01 |	To redeem a free $100 LinkedIn at credit and launch your first campaign go to linkedin.com
EDL	00:01:17,824	00:01:20,128	| 311_The_Barney_Design_pt01 |	Linkedin.com invisible
EDL	00:01:20,128	00:01:22,176	| 311_The_Barney_Design_pt01 |	A free $100 at credit
EDL	00:01:22,688	00:01:23,968	| 311_The_Barney_Design_pt01 |	Terms and conditions
EDL	00:01:23,968	00:01:24,480	| 311_The_Barney_Design_pt01 |	Apply
EDL	00:01:24,992	00:01:26,528	| 311_The_Barney_Design_pt01 |	This is 99% invisible
EDL	00:01:27,040	00:01:27,808	| 311_The_Barney_Design_pt01 |	I'm Roman Mars
EDL	00:01:31,136	00:01:33,696	| 311_The_Barney_Design_pt01 |	On a March afternoon in 1996
EDL	00:01:33,696	00:01:34,720	| 311_The_Barney_Design_pt01 |	Toronto rap
EDL	00:01:34,720	00:01:37,024	| 311_The_Barney_Design_pt01 |	There's a brand-new team in the NBA at the time
EDL	00:01:37,536	00:01:39,072	| 311_The_Barney_Design_pt01 |	Playing the Chicago Bulls
EDL	00:01:39,584	00:01:41,376	| 311_The_Barney_Design_pt01 |	Jordans
EDL	00:01:41,376	00:01:44,192	| 311_The_Barney_Design_pt01 |	The Bulls were the best team in the league
EDL	00:01:44,192	00:01:45,472	| 311_The_Barney_Design_pt01 |	And the Raptors
EDL	00:01:45,472	00:01:46,496	| 311_The_Barney_Design_pt01 |	We're pretty terrible
EDL	00:01:47,008	00:01:49,056	| 311_The_Barney_Design_pt01 |	36000 fan showed up that day
EDL	00:01:49,568	00:01:51,104	| 311_The_Barney_Design_pt01 |	And the Raptors actually beat the Bulls
EDL	00:01:51,616	00:01:53,920	| 311_The_Barney_Design_pt01 |	But it was a mostly meaningless game at the end of the
EDL	00:01:53,920	00:01:55,968	| 311_The_Barney_Design_pt01 |	Season this is reporter Whitney Jones
EDL	00:01:56,736	00:01:59,552	| 311_The_Barney_Design_pt01 |	What's the weather is going to be about this game isn't who won or have a team
EDL	00:01:59,552	00:02:00,320	| 311_The_Barney_Design_pt01 |	Who's played
EDL	00:02:00,320	00:02:01,344	| 311_The_Barney_Design_pt01 |	But the way they look
EDL	00:02:02,368	00:02:04,416	| 311_The_Barney_Design_pt01 |	There's the Bulls were just classic NBA
EDL	00:02:05,184	00:02:06,976	| 311_The_Barney_Design_pt01 |	I've had the same logo since 19
EDL	00:02:06,976	00:02:07,744	| 311_The_Barney_Design_pt01 |	66
EDL	00:02:07,744	00:02:09,280	| 311_The_Barney_Design_pt01 |	They're wearing their red away jersey
EDL	00:02:09,280	00:02:11,840	| 311_The_Barney_Design_pt01 |	Basically like every Chicago Bulls jersey
EDL	00:02:12,608	00:02:14,912	| 311_The_Barney_Design_pt01 |	It's red with the word bull was written across
EDL	00:02:14,912	00:02:15,936	| 311_The_Barney_Design_pt01 |	The front and black and white letter
EDL	00:02:16,704	00:02:17,216	| 311_The_Barney_Design_pt01 |	It's simple
EDL	00:02:17,728	00:02:18,240	| 311_The_Barney_Design_pt01 |	Classic
EDL	00:02:18,752	00:02:23,616	| 311_The_Barney_Design_pt01 |	But then there's the Toronto Raptors
EDL	00:02:23,616	00:02:28,992	| 311_The_Barney_Design_pt01 |	The team is wearing their white home uniforms which have Jagged silver and black pinstripe
EDL	00:02:28,992	00:02:30,016	| 311_The_Barney_Design_pt01 |	As if they were
EDL	00:02:30,016	00:02:36,416	| 311_The_Barney_Design_pt01 |	Cut by slashing Raptor Claws and then across the whole front for the giant red.
EDL	00:02:36,416	00:02:37,696	| 311_The_Barney_Design_pt01 |	Basketball playing Dinosaur
EDL	00:02:37,696	00:02:41,536	| 311_The_Barney_Design_pt01 |	Who himself is wearing sneakers and a uniform a totally different uniform
EDL	00:02:41,536	00:02:43,072	| 311_The_Barney_Design_pt01 |	And he dribbling a basketball
EDL	00:02:43,840	00:02:45,376	| 311_The_Barney_Design_pt01 |	And that was just their home uniform
EDL	00:02:46,144	00:02:47,936	| 311_The_Barney_Design_pt01 |	The road jerseys that you're even more fun
EDL	00:02:48,704	00:02:49,728	| 311_The_Barney_Design_pt01 |	They were bright purple
EDL	00:02:50,496	00:02:56,896	| 311_The_Barney_Design_pt01 |	All this including the Raptors name had been inspired by the Velociraptors in the wildly successful movie duress
EDL	00:02:56,896	00:02:57,664	| 311_The_Barney_Design_pt01 |	Beihai Park
EDL	00:02:57,664	00:02:59,712	| 311_The_Barney_Design_pt01 |	But these jerseys got compared to a different
EDL	00:03:00,224	00:03:02,272	| 311_The_Barney_Design_pt01 |	Much friendlier 90s dinosaur
EDL	00:03:02,272	00:03:08,416	| 311_The_Barney_Design_pt01 |	Dinosaur
EDL	00:03:10,976	00:03:15,584	| 311_The_Barney_Design_pt01 |	That's now known as the Barney design because
EDL	00:03:15,584	00:03:16,608	| 311_The_Barney_Design_pt01 |	Their Road uniforms
EDL	00:03:16,608	00:03:17,120	| 311_The_Barney_Design_pt01 |	Purple
EDL	00:03:17,632	00:03:18,400	| 311_The_Barney_Design_pt01 |	This is
EDL	00:03:18,400	00:03:18,912	| 311_The_Barney_Design_pt01 |	Paul Lucas
EDL	00:03:19,424	00:03:23,264	| 311_The_Barney_Design_pt01 |	Uniform obsessive and writer of a column an ESPN called yunnan
EDL	00:03:24,032	00:03:25,824	| 311_The_Barney_Design_pt01 |	It's it looks so cartoonish conservative
EDL	00:03:26,592	00:03:27,616	| 311_The_Barney_Design_pt01 |	You look at it in
EDL	00:03:27,616	00:03:28,896	| 311_The_Barney_Design_pt01 |	Like really that's a professional
