EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 312_Post_Narco_Urbanism_pt01 |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,144	| 312_Post_Narco_Urbanism_pt01 |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 312_Post_Narco_Urbanism_pt01 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:15,104	| 312_Post_Narco_Urbanism_pt01 |	You can say what kind of coverage were looking for and how much you want to pay and Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 312_Post_Narco_Urbanism_pt01 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 312_Post_Narco_Urbanism_pt01 |	Progressive.com
EDL	00:00:20,480	00:00:22,784	| 312_Post_Narco_Urbanism_pt01 |	Price in coverage match limited by state law
EDL	00:00:24,832	00:00:25,600	| 312_Post_Narco_Urbanism_pt01 |	Family ghosts
EDL	00:00:25,600	00:00:31,232	| 312_Post_Narco_Urbanism_pt01 |	Is a podcast explores all the unexpected ways our family structure and shape our view of the world
EDL	00:00:31,744	00:00:33,280	| 312_Post_Narco_Urbanism_pt01 |	Each episode of Family ghost
EDL	00:00:33,280	00:00:37,376	| 312_Post_Narco_Urbanism_pt01 |	Takes a look at the story behind a different person's family lore
EDL	00:00:37,376	00:00:40,192	| 312_Post_Narco_Urbanism_pt01 |	Digging into unanswered questions about their history
EDL	00:00:40,192	00:00:46,080	| 312_Post_Narco_Urbanism_pt01 |	Season 2 Launches on May 15th featuring an episode where they take you inside the love Israel family called
EDL	00:00:46,080	00:00:50,688	| 312_Post_Narco_Urbanism_pt01 |	An episode about uncovering the secrets scrolled in a newly discovered stack of Love Letters
EDL	00:00:50,688	00:00:57,088	| 312_Post_Narco_Urbanism_pt01 |	Asuna episode that brings you along to the hunt for a container of missing Chinese food that's haunted a family
EDL	00:00:57,088	00:00:58,368	| 312_Post_Narco_Urbanism_pt01 |	For 25 years
EDL	00:00:58,368	00:00:58,880	| 312_Post_Narco_Urbanism_pt01 |	And more
EDL	00:00:59,392	00:01:03,488	| 312_Post_Narco_Urbanism_pt01 |	Subscribe to family goes wherever you get your podcast and find out why they say
EDL	00:01:03,488	00:01:04,768	| 312_Post_Narco_Urbanism_pt01 |	Every house is haunted
EDL	00:01:05,792	00:01:07,328	| 312_Post_Narco_Urbanism_pt01 |	This is 99% invisible
EDL	00:01:07,840	00:01:08,608	| 312_Post_Narco_Urbanism_pt01 |	I'm Roman Mars
EDL	00:01:11,680	00:01:13,472	| 312_Post_Narco_Urbanism_pt01 |	Back in the late 1980s
EDL	00:01:13,472	00:01:16,800	| 312_Post_Narco_Urbanism_pt01 |	When Louis guy was a little kid growing up in Columbia
EDL	00:01:16,800	00:01:19,104	| 312_Post_Narco_Urbanism_pt01 |	His brother didn't have babysitters
EDL	00:01:19,616	00:01:20,640	| 312_Post_Narco_Urbanism_pt01 |	They had bodyguards
EDL	00:01:21,408	00:01:27,296	| 312_Post_Narco_Urbanism_pt01 |	His parents would send them to school in an SUV that was accompanied by another identical as UV
EDL	00:01:27,296	00:01:28,832	| 312_Post_Narco_Urbanism_pt01 |	Which was a decoy
EDL	00:01:28,832	00:01:31,392	| 312_Post_Narco_Urbanism_pt01 |	Because that meant if one of the vehicles was attacked
EDL	00:01:31,904	00:01:33,184	| 312_Post_Narco_Urbanism_pt01 |	It would be a chance we would not be
EDL	00:01:33,952	00:01:34,720	| 312_Post_Narco_Urbanism_pt01 |	That's Lewis
EDL	00:01:35,232	00:01:37,024	| 312_Post_Narco_Urbanism_pt01 |	Are life is strange in many ways back then
EDL	00:01:37,536	00:01:39,328	| 312_Post_Narco_Urbanism_pt01 |	My brother and I had our own bedroom
EDL	00:01:39,328	00:01:42,144	| 312_Post_Narco_Urbanism_pt01 |	But every night our whole family would sleep in the same room
EDL	00:01:42,912	00:01:46,240	| 312_Post_Narco_Urbanism_pt01 |	It had a door to the back patio and a ladder ready to use in case we need it to
EDL	00:01:47,264	00:01:49,568	| 312_Post_Narco_Urbanism_pt01 |	My parents made it seem like we were just having a slumber party
EDL	00:01:50,592	00:01:56,992	| 312_Post_Narco_Urbanism_pt01 |	But the real reason that Louis's family took these precautions is that Lewis's dad was a captain in the anti-narcotics
EDL	00:01:56,992	00:01:58,784	| 312_Post_Narco_Urbanism_pt01 |	Unit for Colombia's National Police
EDL	00:01:59,296	00:02:00,576	| 312_Post_Narco_Urbanism_pt01 |	Pablo Escobar
EDL	00:02:00,576	00:02:02,112	| 312_Post_Narco_Urbanism_pt01 |	Notorious drug lord
EDL	00:02:02,112	00:02:03,904	| 312_Post_Narco_Urbanism_pt01 |	I declare war on the police
EDL	00:02:04,416	00:02:06,720	| 312_Post_Narco_Urbanism_pt01 |	On the whole Colombian state relay
EDL	00:02:06,720	00:02:11,840	| 312_Post_Narco_Urbanism_pt01 |	It's become a typical day in Colombia three more judges who quit their jobs after being tracking
EDL	00:02:11,840	00:02:13,888	| 312_Post_Narco_Urbanism_pt01 |	By the murderous drug cartels
EDL	00:02:13,888	00:02:16,704	| 312_Post_Narco_Urbanism_pt01 |	The government has imposed a curfew in nine cities
EDL	00:02:16,704	00:02:19,264	| 312_Post_Narco_Urbanism_pt01 |	In the heart of cocaine country including
EDL	00:02:19,264	00:02:21,312	| 312_Post_Narco_Urbanism_pt01 |	The cartels Capital Medellin
EDL	00:02:21,312	00:02:22,080	| 312_Post_Narco_Urbanism_pt01 |	Today the
EDL	00:02:22,080	00:02:23,872	| 312_Post_Narco_Urbanism_pt01 |	The late 80s and early 90s
EDL	00:02:23,872	00:02:26,688	| 312_Post_Narco_Urbanism_pt01 |	Esqueleto supplying 80% of the world's cocaine
EDL	00:02:27,456	00:02:30,016	| 312_Post_Narco_Urbanism_pt01 |	And environment surrounding the drug trade have gotten really bad
EDL	00:02:31,040	00:02:33,088	| 312_Post_Narco_Urbanism_pt01 |	The epicenter of the violence was minnijean
EDL	00:02:33,600	00:02:35,136	| 312_Post_Narco_Urbanism_pt01 |	Escobar's cartel was based at
EDL	00:02:35,648	00:02:36,416	| 312_Post_Narco_Urbanism_pt01 |	And they control
EDL	00:02:37,184	00:02:43,328	| 312_Post_Narco_Urbanism_pt01 |	13 bombs have gone off and Midian since the weekend all aimed a government owned Banks or state liquor stores
EDL	00:02:44,096	00:02:46,656	| 312_Post_Narco_Urbanism_pt01 |	Marine became the most dangerous city in the world
EDL	00:02:47,168	00:02:50,752	| 312_Post_Narco_Urbanism_pt01 |	In 1991 alone around 6000 people were killed
EDL	00:02:51,264	00:02:55,360	| 312_Post_Narco_Urbanism_pt01 |	The murder rate was almost 400 people per 100 thousand residents
EDL	00:02:55,360	00:02:57,152	| 312_Post_Narco_Urbanism_pt01 |	Which to put things in perspective
EDL	00:02:57,152	00:03:01,248	| 312_Post_Narco_Urbanism_pt01 |	That's three or four times more than the most violent cities in the world today
EDL	00:03:02,016	00:03:03,552	| 312_Post_Narco_Urbanism_pt01 |	But today me the genie is very different
EDL	00:03:04,064	00:03:05,600	| 312_Post_Narco_Urbanism_pt01 |	In just 30 years
EDL	00:03:05,600	00:03:08,672	| 312_Post_Narco_Urbanism_pt01 |	It's changed from being the bloody cooking capital of the world
EDL	00:03:08,672	00:03:10,720	| 312_Post_Narco_Urbanism_pt01 |	Into a place that's often described as a model
EDL	00:03:12,000	00:03:13,792	| 312_Post_Narco_Urbanism_pt01 |	It's no safer than many cities in the US
EDL	00:03:14,304	00:03:15,328	| 312_Post_Narco_Urbanism_pt01 |	And amazingly
EDL	00:03:15,840	00:03:17,888	| 312_Post_Narco_Urbanism_pt01 |	What are the things that helped to pull the city out of the vile
EDL	00:03:18,912	00:03:20,448	| 312_Post_Narco_Urbanism_pt01 |	What's a whole new approach to urban planning
EDL	00:03:20,960	00:03:22,752	| 312_Post_Narco_Urbanism_pt01 |	Including a major overhaul
EDL	00:03:22,752	00:03:24,032	| 312_Post_Narco_Urbanism_pt01 |	Best cities public transportation
EDL	00:03:25,056	00:03:27,616	| 312_Post_Narco_Urbanism_pt01 |	Lewis's family experience Colombia's many changes
EDL	00:03:28,384	00:03:29,664	| 312_Post_Narco_Urbanism_pt01 |	Louis is now a journalist
EDL	00:03:29,664	00:03:31,712	| 312_Post_Narco_Urbanism_pt01 |	Annie's going to help us tell the story of what happened
EDL	00:03:32,224	00:03:36,064	| 312_Post_Narco_Urbanism_pt01 |	Along with Maria Elena HOSA the host of NPR's Latino USA
EDL	00:03:36,576	00:03:39,392	| 312_Post_Narco_Urbanism_pt01 |	She covered the violence in Medellin back in the 1980s
EDL	00:03:39,904	00:03:43,232	| 312_Post_Narco_Urbanism_pt01 |	And she went back again last year to explore the city with Luis
EDL	00:03:44,000	00:03:45,280	| 312_Post_Narco_Urbanism_pt01 |	Alright so funny
EDL	00:03:45,792	00:03:47,840	| 312_Post_Narco_Urbanism_pt01 |	So we are here in downtown Meridian
EDL	00:03:49,120	00:03:51,680	| 312_Post_Narco_Urbanism_pt01 |	You were here 30 years ago
EDL	00:03:51,680	00:03:52,192	| 312_Post_Narco_Urbanism_pt01 |	What was it like
EDL	00:03:52,960	00:03:54,752	| 312_Post_Narco_Urbanism_pt01 |	Yeah I know I remember that when we
EDL	00:03:54,752	00:03:55,264	| 312_Post_Narco_Urbanism_pt01 |	Came to this
EDL	00:03:55,776	00:03:56,288	| 312_Post_Narco_Urbanism_pt01 |	Circular Park
EDL	00:03:56,800	00:03:58,848	| 312_Post_Narco_Urbanism_pt01 |	I just remember walking here
EDL	00:03:59,872	00:04:00,896	| 312_Post_Narco_Urbanism_pt01 |	I'm feeling very afraid
EDL	00:04:02,176	00:04:03,712	| 312_Post_Narco_Urbanism_pt01 |	Feeling very afraid because
EDL	00:04:05,760	00:04:07,808	| 312_Post_Narco_Urbanism_pt01 |	Everybody knew that at any moment
EDL	00:04:07,808	00:04:08,832	| 312_Post_Narco_Urbanism_pt01 |	Anywhere a bumpkin
EDL	00:04:10,112	00:04:13,184	| 312_Post_Narco_Urbanism_pt01 |	Our story today is a collaboration with
EDL	00:04:13,184	00:04:14,976	| 312_Post_Narco_Urbanism_pt01 |	Latino USA
EDL	00:04:17,024	00:04:20,095	| 312_Post_Narco_Urbanism_pt01 |	Marine sits in a valley surrounded by steep Green Mountain
EDL	00:04:20,607	00:04:22,143	| 312_Post_Narco_Urbanism_pt01 |	In the cities early days
EDL	00:04:22,143	00:04:23,423	| 312_Post_Narco_Urbanism_pt01 |	The mountains were undeveloped
EDL	00:04:23,935	00:04:27,775	| 312_Post_Narco_Urbanism_pt01 |	During the first half of the 20th century the city rapidly industrialized
EDL	00:04:28,287	00:04:32,127	| 312_Post_Narco_Urbanism_pt01 |	More and more people came to Medellin for manufacturing and textile jobs
EDL	00:04:32,639	00:04:36,735	| 312_Post_Narco_Urbanism_pt01 |	And it began building homes and communities of the sides of those mountains
EDL	00:04:36,735	00:04:39,807	| 312_Post_Narco_Urbanism_pt01 |	These informal settlements became known as camunas
EDL	00:04:40,575	00:04:43,647	| 312_Post_Narco_Urbanism_pt01 |	The community really thought of as separate from the rest of the city below
EDL	00:04:44,159	00:04:47,231	| 312_Post_Narco_Urbanism_pt01 |	Both because of their geographical distance from downtown
EDL	00:04:47,231	00:04:48,767	| 312_Post_Narco_Urbanism_pt01 |	And also because it would neglect
EDL	00:04:48,767	00:04:49,535	| 312_Post_Narco_Urbanism_pt01 |	By city government
