EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,328	| 328_Devolutionary_Design_pt_01 |	99percentinvisible is brought to you by Progresso
EDL	00:00:03,840	00:00:06,144	| 328_Devolutionary_Design_pt_01 |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 328_Devolutionary_Design_pt_01 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:15,104	| 328_Devolutionary_Design_pt_01 |	You can say what kind of coverage were looking for and how much you want to pay and Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 328_Devolutionary_Design_pt_01 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 328_Devolutionary_Design_pt_01 |	Progressive.com
EDL	00:00:20,480	00:00:22,528	| 328_Devolutionary_Design_pt_01 |	Price in coverage match limited by state
EDL	00:00:24,832	00:00:25,600	| 328_Devolutionary_Design_pt_01 |	Family ghosts
EDL	00:00:25,600	00:00:31,232	| 328_Devolutionary_Design_pt_01 |	Is a podcast explores all the unexpected ways our family structure and shape our view of the world
EDL	00:00:31,744	00:00:33,280	| 328_Devolutionary_Design_pt_01 |	Each episode of Family ghost
EDL	00:00:33,280	00:00:37,376	| 328_Devolutionary_Design_pt_01 |	Takes a look at the story behind a different person's family lore
EDL	00:00:37,376	00:00:40,192	| 328_Devolutionary_Design_pt_01 |	Digging into unanswered questions about their history
EDL	00:00:40,192	00:00:42,752	| 328_Devolutionary_Design_pt_01 |	Season 2 Launches on May 15th
EDL	00:00:42,752	00:00:46,080	| 328_Devolutionary_Design_pt_01 |	Between episode where they take you inside the love Israel family called
EDL	00:00:46,080	00:00:50,688	| 328_Devolutionary_Design_pt_01 |	An episode about uncovering the secrets scrolled in a newly discovered stack of Love Letters
EDL	00:00:50,688	00:00:57,088	| 328_Devolutionary_Design_pt_01 |	Asuna episode that brings you along to the hunt for a container of missing Chinese food that's haunted a family
EDL	00:00:57,088	00:00:58,368	| 328_Devolutionary_Design_pt_01 |	For 25 years
EDL	00:00:58,368	00:00:58,880	| 328_Devolutionary_Design_pt_01 |	And more
EDL	00:00:59,392	00:01:03,488	| 328_Devolutionary_Design_pt_01 |	Subscribe to family goes wherever you get your podcast and find out why they say
EDL	00:01:03,488	00:01:04,768	| 328_Devolutionary_Design_pt_01 |	Every house is haunted
EDL	00:01:05,792	00:01:07,584	| 328_Devolutionary_Design_pt_01 |	This is 99% invisible
EDL	00:01:07,584	00:01:08,864	| 328_Devolutionary_Design_pt_01 |	I'm Roman Mars
EDL	00:01:08,864	00:01:15,264	| 328_Devolutionary_Design_pt_01 |	It's hard to overstate just how important record album art was to music before we
EDL	00:01:15,264	00:01:16,288	| 328_Devolutionary_Design_pt_01 |	I downloaded everything
EDL	00:01:16,800	00:01:20,128	| 328_Devolutionary_Design_pt_01 |	Our experience with a record or CD used to be visual
EDL	00:01:20,128	00:01:24,224	| 328_Devolutionary_Design_pt_01 |	The design of the record cover was your first impression of what was to come
EDL	00:01:24,224	00:01:30,624	| 328_Devolutionary_Design_pt_01 |	I would stare at the font on the cover and pour over the liner notes the first time I put an album on it why
EDL	00:01:30,624	00:01:35,488	| 328_Devolutionary_Design_pt_01 |	Was a ritual I'm not saying that error music was better it wasn't it was just different
EDL	00:01:35,488	00:01:41,888	| 328_Devolutionary_Design_pt_01 |	BR on the records try to encapsulate the essence of a band and then that Essence was transferred to you because you were a
EDL	00:01:41,888	00:01:44,704	| 328_Devolutionary_Design_pt_01 |	Fan and it became part of your identity to
EDL	00:01:44,704	00:01:47,008	| 328_Devolutionary_Design_pt_01 |	At least that's what it felt like
EDL	00:01:47,008	00:01:50,848	| 328_Devolutionary_Design_pt_01 |	Albemarle would certainly important to my friend and reporter Shawn Cole
EDL	00:01:50,848	00:01:52,640	| 328_Devolutionary_Design_pt_01 |	One certain album
EDL	00:01:52,640	00:01:54,944	| 328_Devolutionary_Design_pt_01 |	In one certain band in particular
EDL	00:01:55,712	00:01:57,504	| 328_Devolutionary_Design_pt_01 |	The Roman were you ever Devo fan
EDL	00:01:58,272	00:02:03,904	| 328_Devolutionary_Design_pt_01 |	I was aboard evil appreciate it I don't think it was really a fan like I listen to unlike the songs I heard
EDL	00:02:03,904	00:02:05,952	| 328_Devolutionary_Design_pt_01 |	I remember with it when I was a kid
EDL	00:02:05,952	00:02:09,792	| 328_Devolutionary_Design_pt_01 |	I remember that you're not a devotee
EDL	00:02:09,792	00:02:11,072	| 328_Devolutionary_Design_pt_01 |	I remember the wren
