EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 335_Gathering_the_Magic_pt01 |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,144	| 335_Gathering_the_Magic_pt01 |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 335_Gathering_the_Magic_pt01 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:15,104	| 335_Gathering_the_Magic_pt01 |	You can say what kind of coverage were looking for and how much you want to pay and Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 335_Gathering_the_Magic_pt01 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 335_Gathering_the_Magic_pt01 |	Progressive.com
EDL	00:00:20,480	00:00:22,784	| 335_Gathering_the_Magic_pt01 |	Price in coverage match limited by state law
EDL	00:00:24,320	00:00:26,368	| 335_Gathering_the_Magic_pt01 |	When it comes to marketing your business
EDL	00:00:26,368	00:00:32,768	| 335_Gathering_the_Magic_pt01 |	It's all about reaching the Right audience at the right time and connecting with that audience when your message will resonate the most
EDL	00:00:32,768	00:00:33,792	| 335_Gathering_the_Magic_pt01 |	LinkedIn can help
EDL	00:00:34,304	00:00:40,704	| 335_Gathering_the_Magic_pt01 |	LinkedIn is the world's largest Professional Network in LinkedIn marketing Solutions allow you to Target your customers were there
EDL	00:00:40,704	00:00:44,032	| 335_Gathering_the_Magic_pt01 |	Engaging every day when they're ready to make a decision
EDL	00:00:44,544	00:00:49,664	| 335_Gathering_the_Magic_pt01 |	When you advertise on LinkedIn you have the opportunity to build long-term relationships with their customers
EDL	00:00:49,664	00:00:56,064	| 335_Gathering_the_Magic_pt01 |	Those relationships often turn into high-quality leads website traffic and higher brand awareness and Linkedin
EDL	00:00:56,064	00:00:59,904	| 335_Gathering_the_Magic_pt01 |	Didn't have the marketing tools to help you target your customers with precision
EDL	00:00:59,904	00:01:02,720	| 335_Gathering_the_Magic_pt01 |	Down to the job title company name and Industry
EDL	00:01:03,232	00:01:05,536	| 335_Gathering_the_Magic_pt01 |	Because we can Target exactly who you want to reach
EDL	00:01:05,536	00:01:08,608	| 335_Gathering_the_Magic_pt01 |	You can make sure your customers are getting a message that they care about
EDL	00:01:08,608	00:01:10,912	| 335_Gathering_the_Magic_pt01 |	Which in turn builds Trust
EDL	00:01:10,912	00:01:17,312	| 335_Gathering_the_Magic_pt01 |	To redeem a free $100 LinkedIn at credit and launch your first campaign go to linkedin.com
EDL	00:01:17,312	00:01:22,176	| 335_Gathering_the_Magic_pt01 |	Isabel linkedin.com invisible Pier free $100 at credit
EDL	00:01:22,688	00:01:24,224	| 335_Gathering_the_Magic_pt01 |	Terms and conditions apply
EDL	00:01:24,992	00:01:26,784	| 335_Gathering_the_Magic_pt01 |	This is 99% invisible
EDL	00:01:27,296	00:01:28,320	| 335_Gathering_the_Magic_pt01 |	Roman Mars
EDL	00:01:29,856	00:01:36,256	| 335_Gathering_the_Magic_pt01 |	Eric molinsky has reported a few episodes for us over the years and he has his own right podcast called imaginary world
EDL	00:01:36,256	00:01:38,048	| 335_Gathering_the_Magic_pt01 |	A picture of a couple of times
EDL	00:01:38,048	00:01:41,376	| 335_Gathering_the_Magic_pt01 |	Imaginary worlds has a very special place in my heart because
EDL	00:01:41,376	00:01:43,680	| 335_Gathering_the_Magic_pt01 |	It is the podcast I listen to the most
EDL	00:01:43,680	00:01:45,728	| 335_Gathering_the_Magic_pt01 |	With my boys Maslow and Carver
EDL	00:01:45,728	00:01:50,336	| 335_Gathering_the_Magic_pt01 |	Because it covers all the sci-fi and fantasy subjects that they love like
EDL	00:01:50,336	00:01:53,152	| 335_Gathering_the_Magic_pt01 |	D&D in Doctor Who and LARPing
EDL	00:01:53,152	00:01:55,712	| 335_Gathering_the_Magic_pt01 |	In a really thoughtful and entertaining way
EDL	00:01:55,712	00:01:57,248	| 335_Gathering_the_Magic_pt01 |	And like every great show
EDL	00:01:57,248	00:01:58,528	| 335_Gathering_the_Magic_pt01 |	It's about those things
EDL	00:01:58,528	00:02:03,904	| 335_Gathering_the_Magic_pt01 |	But it's really about who we are as humans through these worlds that we create and share
EDL	00:02:03,904	00:02:08,000	| 335_Gathering_the_Magic_pt01 |	How early this year imaginary world produced the story about the thing that is most
EDL	00:02:08,000	00:02:10,560	| 335_Gathering_the_Magic_pt01 |	Near and dear to my boys hearts
EDL	00:02:10,560	00:02:12,096	| 335_Gathering_the_Magic_pt01 |	And that's the card game
EDL	00:02:12,096	00:02:13,632	| 335_Gathering_the_Magic_pt01 |	Magic the Gathering
EDL	00:02:14,144	00:02:19,264	| 335_Gathering_the_Magic_pt01 |	I just called Magic a card game but if you spent any time around someone who loves magic you know
EDL	00:02:19,264	00:02:22,592	| 335_Gathering_the_Magic_pt01 |	It is way more than a guard game it is a way of life
EDL	00:02:23,104	00:02:25,408	| 335_Gathering_the_Magic_pt01 |	I'm pretty sure it rewired my son's brains
EDL	00:02:25,920	00:02:32,320	| 335_Gathering_the_Magic_pt01 |	I wanted to cover Magic on 99 Pi for a while now but Eric did such a great job with it it made more sense to share his
EDL	00:02:32,320	00:02:36,160	| 335_Gathering_the_Magic_pt01 |	Persian and introduce you to another great podcast that you might not know already
EDL	00:02:37,952	00:02:38,464	| 335_Gathering_the_Magic_pt01 |	Enjoy
EDL	00:02:41,024	00:02:42,816	| 335_Gathering_the_Magic_pt01 |	You're listening to imaginary worlds
EDL	00:02:42,816	00:02:45,376	| 335_Gathering_the_Magic_pt01 |	And why we suspend our disbelief
EDL	00:02:45,888	00:02:46,656	| 335_Gathering_the_Magic_pt01 |	IMac Gilinsky
EDL	00:02:47,424	00:02:48,448	| 335_Gathering_the_Magic_pt01 |	And this is not
EDL	00:02:49,984	00:02:51,264	| 335_Gathering_the_Magic_pt01 |	My name is
EDL	00:02:51,776	00:02:58,176	| 335_Gathering_the_Magic_pt01 |	Nat is teaching me how to play Magic the Gathering at the Brooklyn strategist which is the same game shop
EDL	00:02:58,176	00:03:00,480	| 335_Gathering_the_Magic_pt01 |	Copperline play Dungeons & Dragons Fierce ago
EDL	00:03:01,248	00:03:03,552	| 335_Gathering_the_Magic_pt01 |	What were DND is role playing game
EDL	00:03:03,552	00:03:05,856	| 335_Gathering_the_Magic_pt01 |	Magic is very much a card game
EDL	00:03:05,856	00:03:08,928	| 335_Gathering_the_Magic_pt01 |	And by the way magic is the shorthand that most people called Magic
EDL	00:03:10,208	00:03:12,512	| 335_Gathering_the_Magic_pt01 |	Mostly call it magic in this episode
EDL	00:03:13,280	00:03:16,352	| 335_Gathering_the_Magic_pt01 |	Simplest level there are two basic types of cards in magic
EDL	00:03:18,656	00:03:20,448	| 335_Gathering_the_Magic_pt01 |	Enterprise magic is like any card game
EDL	00:03:20,960	00:03:23,776	| 335_Gathering_the_Magic_pt01 |	You need a combination of luck and skill to win
EDL	00:03:23,776	00:03:25,568	| 335_Gathering_the_Magic_pt01 |	And it's usually played with just two people
EDL	00:03:26,080	00:03:27,872	| 335_Gathering_the_Magic_pt01 |	But it is not a generic
EDL	00:03:27,872	00:03:28,384	| 335_Gathering_the_Magic_pt01 |	Deck of cards
EDL	00:03:29,152	00:03:30,432	| 335_Gathering_the_Magic_pt01 |	Each of the cards
EDL	00:03:30,432	00:03:31,456	| 335_Gathering_the_Magic_pt01 |	The creature
EDL	00:03:31,456	00:03:32,736	| 335_Gathering_the_Magic_pt01 |	Or spell
EDL	00:03:32,736	00:03:36,576	| 335_Gathering_the_Magic_pt01 |	Or magical artifact on it that you can use to attack your opponent
EDL	00:03:37,344	00:03:40,416	| 335_Gathering_the_Magic_pt01 |	And some cards represent the source of your magic which our lands
EDL	00:03:41,184	00:03:46,304	| 335_Gathering_the_Magic_pt01 |	The more land cards that you have the more magic you can wield against the person sitting across from you
EDL	00:03:46,816	00:03:47,840	| 335_Gathering_the_Magic_pt01 |	And your goal
EDL	00:03:47,840	00:03:50,144	| 335_Gathering_the_Magic_pt01 |	It's a knock your opponent from 20 points
EDL	00:03:50,144	00:03:50,912	| 335_Gathering_the_Magic_pt01 |	20 points
EDL	00:03:51,936	00:03:52,448	| 335_Gathering_the_Magic_pt01 |	Danceable
EDL	00:03:53,472	00:03:53,984	| 335_Gathering_the_Magic_pt01 |	It's not
EDL	00:03:54,752	00:03:57,312	| 335_Gathering_the_Magic_pt01 |	It's really really not
EDL	00:03:58,848	00:04:02,432	| 335_Gathering_the_Magic_pt01 |	So when you play you always have 7 cards in your hand that you're taking from a deck of 60 card
EDL	00:04:03,456	00:04:06,784	| 335_Gathering_the_Magic_pt01 |	But that deck of 60 cards or something that you custom make
EDL	00:04:07,296	00:04:09,600	| 335_Gathering_the_Magic_pt01 |	Because the company that makes Magic the Gathering
EDL	00:04:09,600	00:04:10,624	| 335_Gathering_the_Magic_pt01 |	Wizards of the Coast
EDL	00:04:11,136	00:04:12,928	| 335_Gathering_the_Magic_pt01 |	Has put out over 10
EDL	00:04:12,928	00:04:15,488	| 335_Gathering_the_Magic_pt01 |	Thousand possible cards to choose from
EDL	00:04:15,488	00:04:17,280	| 335_Gathering_the_Magic_pt01 |	Over the last quarter-century
EDL	00:04:18,047	00:04:22,399	| 335_Gathering_the_Magic_pt01 |	And there is a central mythology that unites those thousands and thousands of car
EDL	00:04:23,167	00:04:25,727	| 335_Gathering_the_Magic_pt01 |	Because Magic the Gathering takes place in a Multiverse
EDL	00:04:26,239	00:04:27,775	| 335_Gathering_the_Magic_pt01 |	And some of the cards represent
EDL	00:04:28,287	00:04:32,895	| 335_Gathering_the_Magic_pt01 |	Plane Walker's the main characters of the game can jump from one parallel universe to another
EDL	00:04:34,431	00:04:36,479	| 335_Gathering_the_Magic_pt01 |	No I always do that magic the Gathering
EDL	00:04:36,479	00:04:36,991	| 335_Gathering_the_Magic_pt01 |	Was huge
EDL	00:04:37,759	00:04:38,527	| 335_Gathering_the_Magic_pt01 |	But
EDL	00:04:38,527	00:04:41,599	| 335_Gathering_the_Magic_pt01 |	I had never done an episode about it because I was kind of intimidated
EDL	00:04:42,367	00:04:45,439	| 335_Gathering_the_Magic_pt01 |	Like when I used to go to the Brooklyn strategist to play D&D
EDL	00:04:45,951	00:04:50,047	| 335_Gathering_the_Magic_pt01 |	We'd all be role-playing are characters like we're in some kind of medieval improv troupe
EDL	00:04:50,815	00:04:54,143	| 335_Gathering_the_Magic_pt01 |	And then I look at the table where these people playing Magic the Gathering
EDL	00:04:54,143	00:04:56,447	| 335_Gathering_the_Magic_pt01 |	And it was like they were speaking a whole other language
EDL	00:04:57,471	00:05:00,799	| 335_Gathering_the_Magic_pt01 |	Now this year is the 25th anniversary of Magic the Gathering
EDL	00:05:01,567	00:05:04,639	| 335_Gathering_the_Magic_pt01 |	And it amazes me the game is still so popular
