EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 341_National_Sword_pt_01 |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,144	| 341_National_Sword_pt_01 |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 341_National_Sword_pt_01 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:15,104	| 341_National_Sword_pt_01 |	You can say what kind of coverage were looking for and how much you want to pay and Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 341_National_Sword_pt_01 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 341_National_Sword_pt_01 |	Progressive.com
EDL	00:00:20,480	00:00:22,784	| 341_National_Sword_pt_01 |	Price in coverage match limited by state law
EDL	00:00:24,832	00:00:25,600	| 341_National_Sword_pt_01 |	Family ghosts
EDL	00:00:25,600	00:00:31,232	| 341_National_Sword_pt_01 |	Is a podcast explores all the unexpected ways our family structure and shape our view of the world
EDL	00:00:31,744	00:00:33,280	| 341_National_Sword_pt_01 |	Each episode of Family ghost
EDL	00:00:33,280	00:00:37,376	| 341_National_Sword_pt_01 |	Takes a look at the story behind a different person's family lore
EDL	00:00:37,376	00:00:40,192	| 341_National_Sword_pt_01 |	Digging into unanswered questions about their history
EDL	00:00:40,192	00:00:42,752	| 341_National_Sword_pt_01 |	Season 2 Launches on May 15th
EDL	00:00:42,752	00:00:46,080	| 341_National_Sword_pt_01 |	Between episode where they take you inside the love Israel family called
EDL	00:00:46,080	00:00:50,688	| 341_National_Sword_pt_01 |	An episode about uncovering the secrets scrolled in a newly discovered stack of Love Letters
EDL	00:00:50,688	00:00:57,088	| 341_National_Sword_pt_01 |	Asuna episode that brings you along to the hunt for a container of missing Chinese food that's haunted a family
EDL	00:00:57,088	00:00:58,368	| 341_National_Sword_pt_01 |	For 25 years
EDL	00:00:58,368	00:00:58,880	| 341_National_Sword_pt_01 |	And more
EDL	00:00:59,392	00:01:03,488	| 341_National_Sword_pt_01 |	Subscribe to family goes wherever you get your podcast and find out why they say
EDL	00:01:03,488	00:01:04,768	| 341_National_Sword_pt_01 |	Every house is haunted
EDL	00:01:05,536	00:01:07,328	| 341_National_Sword_pt_01 |	This is 99% invisible
EDL	00:01:07,840	00:01:08,864	| 341_National_Sword_pt_01 |	I'm Roman Mars
EDL	00:01:09,376	00:01:12,704	| 341_National_Sword_pt_01 |	Let me give you these thank you
EDL	00:01:12,704	00:01:13,216	| 341_National_Sword_pt_01 |	Learn
EDL	00:01:13,728	00:01:14,752	| 341_National_Sword_pt_01 |	Ear plugs
EDL	00:01:15,264	00:01:16,800	| 341_National_Sword_pt_01 |	Let me take you back
EDL	00:01:16,800	00:01:18,592	| 341_National_Sword_pt_01 |	Back to a simpler time
EDL	00:01:18,592	00:01:19,616	| 341_National_Sword_pt_01 |	The year
EDL	00:01:19,616	00:01:20,640	| 341_National_Sword_pt_01 |	2016
EDL	00:01:20,640	00:01:21,408	| 341_National_Sword_pt_01 |	What is this
EDL	00:01:21,920	00:01:23,968	| 341_National_Sword_pt_01 |	So this is recycle Central
EDL	00:01:23,968	00:01:25,248	| 341_National_Sword_pt_01 |	To stay large
EDL	00:01:25,248	00:01:29,344	| 341_National_Sword_pt_01 |	A recycling plant where we sort all the materials from the blue band the bottle
EDL	00:01:29,344	00:01:30,368	| 341_National_Sword_pt_01 |	Cans with paper
EDL	00:01:31,136	00:01:37,536	| 341_National_Sword_pt_01 |	In 2016 producer Avery trufelman was working on a story about garbage and recycling pickup systems its episode
EDL	00:01:37,536	00:01:38,560	| 341_National_Sword_pt_01 |	213
EDL	00:01:38,560	00:01:40,352	| 341_National_Sword_pt_01 |	But don't worry this is not a rerun
EDL	00:01:40,352	00:01:41,376	| 341_National_Sword_pt_01 |	The story is different
EDL	00:01:41,888	00:01:45,728	| 341_National_Sword_pt_01 |	Back then to that story in 2016 I took a tour of the plant
EDL	00:01:45,728	00:01:48,288	| 341_National_Sword_pt_01 |	That's sort all of San Francisco's recycling
EDL	00:01:48,288	00:01:50,592	| 341_National_Sword_pt_01 |	We do 600 tons a day here
EDL	00:01:50,592	00:01:54,432	| 341_National_Sword_pt_01 |	That's Robert Reed the representative for San Francisco Recology
EDL	00:01:54,432	00:01:57,760	| 341_National_Sword_pt_01 |	Which is the company that is responsible for San Francisco's recycling
EDL	00:01:58,528	00:02:01,344	| 341_National_Sword_pt_01 |	Their trucks Roundup all the recycling around the city
EDL	00:02:01,344	00:02:01,856	| 341_National_Sword_pt_01 |	And bring it
EDL	00:02:02,368	00:02:03,136	| 341_National_Sword_pt_01 |	To immerse
EDL	00:02:03,648	00:02:04,416	| 341_National_Sword_pt_01 |	Murph
EDL	00:02:04,416	00:02:04,928	| 341_National_Sword_pt_01 |	Mrf
EDL	00:02:05,440	00:02:06,976	| 341_National_Sword_pt_01 |	Materials recovery facility
EDL	00:02:07,488	00:02:08,256	| 341_National_Sword_pt_01 |	At the Murph
EDL	00:02:08,768	00:02:11,328	| 341_National_Sword_pt_01 |	The trucks dump all their cycling into a big mountain
EDL	00:02:12,096	00:02:13,632	| 341_National_Sword_pt_01 |	And then the wild park again
EDL	00:02:14,656	00:02:17,216	| 341_National_Sword_pt_01 |	This particular Murph in San Francisco
EDL	00:02:17,216	00:02:21,312	| 341_National_Sword_pt_01 |	Has all this elaborate Machinery that looks like it's out of a Miyazaki movie
EDL	00:02:21,824	00:02:24,128	| 341_National_Sword_pt_01 |	UCI recycling superstructure
EDL	00:02:24,640	00:02:25,920	| 341_National_Sword_pt_01 |	Three stories high
EDL	00:02:25,920	00:02:26,944	| 341_National_Sword_pt_01 |	Pretty shortly
EDL	00:02:27,712	00:02:30,528	| 341_National_Sword_pt_01 |	The conveyor belt to start up or going to sort all this
EDL	00:02:30,528	00:02:33,088	| 341_National_Sword_pt_01 |	Material here in the 16 different types of material
EDL	00:02:33,600	00:02:39,488	| 341_National_Sword_pt_01 |	This three-story tall superstructure and the 173 people that were working on it
EDL	00:02:39,488	00:02:40,512	| 341_National_Sword_pt_01 |	We're separating
EDL	00:02:40,512	00:02:41,280	| 341_National_Sword_pt_01 |	Cleaning the recycling
EDL	00:02:41,792	00:02:43,328	| 341_National_Sword_pt_01 |	Starting at the glass paper plastic
EDL	00:02:44,608	00:02:45,376	| 341_National_Sword_pt_01 |	Separate
EDL	00:02:45,888	00:02:47,424	| 341_National_Sword_pt_01 |	Is there a combination of
EDL	00:02:47,936	00:02:50,752	| 341_National_Sword_pt_01 |	Hand sorting and Modern Recycling equipment
EDL	00:02:51,264	00:02:53,568	| 341_National_Sword_pt_01 |	Modern Recycling equipment like
EDL	00:02:53,568	00:02:57,408	| 341_National_Sword_pt_01 |	The optical sorter that can automatically separate different color plastic
EDL	00:02:57,920	00:02:58,688	| 341_National_Sword_pt_01 |	Right here
EDL	00:02:59,968	00:03:04,064	| 341_National_Sword_pt_01 |	The scanners looking at the materials as they come by and when it sees a
EDL	00:03:04,064	00:03:06,624	| 341_National_Sword_pt_01 |	Clear plastic like a clear plastic water bottle
EDL	00:03:06,624	00:03:08,416	| 341_National_Sword_pt_01 |	Hitler was a puff of air
EDL	00:03:08,416	00:03:09,440	| 341_National_Sword_pt_01 |	Can you can hear it
EDL	00:03:16,352	00:03:21,216	| 341_National_Sword_pt_01 |	Spencer the first 3 million dollars for this machine and it came from the Netherlands
EDL	00:03:22,240	00:03:23,776	| 341_National_Sword_pt_01 |	And at the time
EDL	00:03:23,776	00:03:26,848	| 341_National_Sword_pt_01 |	In 2016 when I was younger and things were simpler
EDL	00:03:27,360	00:03:28,640	| 341_National_Sword_pt_01 |	I'm quite grasp
EDL	00:03:28,640	00:03:29,664	| 341_National_Sword_pt_01 |	The simple fact
EDL	00:03:31,712	00:03:34,016	| 341_National_Sword_pt_01 |	Actually recycling anyting
EDL	00:03:34,528	00:03:38,112	| 341_National_Sword_pt_01 |	Do not turning the paper into pulp or melting down the plastic and appellate
EDL	00:03:38,880	00:03:40,160	| 341_National_Sword_pt_01 |	The Murph workout
EDL	00:03:40,160	00:03:41,696	| 341_National_Sword_pt_01 |	Simply sorting and
EDL	00:03:41,696	00:03:42,976	| 341_National_Sword_pt_01 |	Cleaning all the materials
EDL	00:03:43,488	00:03:44,768	| 341_National_Sword_pt_01 |	They were loading bales
EDL	00:03:44,768	00:03:46,560	| 341_National_Sword_pt_01 |	Clean recycling onto shipping container
EDL	00:03:47,072	00:03:51,168	| 341_National_Sword_pt_01 |	So they could sell them to millswood then pulp the paper and melt the plastic
EDL	00:03:51,680	00:03:53,216	| 341_National_Sword_pt_01 |	And I was just like okay cool
EDL	00:03:53,728	00:03:55,008	| 341_National_Sword_pt_01 |	And left well enough alone
EDL	00:03:55,776	00:03:59,360	| 341_National_Sword_pt_01 |	I just figured all those Mills and plants would always be there
EDL	00:03:59,360	00:04:00,384	| 341_National_Sword_pt_01 |	Wherever they were
EDL	00:04:00,384	00:04:01,920	| 341_National_Sword_pt_01 |	Waiting to accept our stuff
EDL	00:04:02,688	00:04:04,224	| 341_National_Sword_pt_01 |	How could I have known
EDL	00:04:04,224	00:04:05,504	| 341_National_Sword_pt_01 |	But in the near future
