EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,144	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:15,104	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	You can say what kind of coverage were looking for and how much you want to pay and Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	Progressive.com
EDL	00:00:20,480	00:00:22,784	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	Price in coverage match limited by state law
EDL	00:00:24,576	00:00:26,368	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	When it comes to marketing your business
EDL	00:00:26,368	00:00:29,184	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	It's all about reaching the Right audience at the right time
EDL	00:00:29,184	00:00:32,256	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	Connecting with that audience when your message will resonate the most
EDL	00:00:32,768	00:00:33,792	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	LinkedIn can help
EDL	00:00:34,304	00:00:40,704	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	LinkedIn is the world's largest Professional Network in LinkedIn marketing Solutions allow you to Target your customers were there
EDL	00:00:40,704	00:00:44,032	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	Engaging every day when they're ready to make a decision
EDL	00:00:44,544	00:00:49,664	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	When you advertise on LinkedIn you have the opportunity to build long-term relationships with their customers
EDL	00:00:49,664	00:00:55,296	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	Those relationships often turn into high-quality leads website traffic and higher brand awareness
EDL	00:00:55,296	00:00:59,904	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	And Linkedin have the marketing tools to help you target your customers with precision
EDL	00:00:59,904	00:01:02,720	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	Down to the job title company name and Industry
EDL	00:01:03,232	00:01:05,536	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	Because we can Target exactly who you want to reach
EDL	00:01:05,536	00:01:08,352	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	You can make sure your customers are getting a message that they care about
EDL	00:01:08,864	00:01:10,400	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	Which in turn builds Trust
EDL	00:01:10,912	00:01:17,056	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	To redeem a free $100 LinkedIn at credit and launch your first campaign go to linkedin.com
EDL	00:01:17,824	00:01:20,128	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	Linkedin.com invisible
EDL	00:01:20,128	00:01:22,176	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	A free $100 at credit
EDL	00:01:22,688	00:01:24,224	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	Terms and conditions apply
EDL	00:01:24,992	00:01:26,784	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	This is 99% invisible
EDL	00:01:27,296	00:01:28,320	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	My Roman Mars
EDL	00:01:29,600	00:01:33,696	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	Barbara Visser was 9 years old the first time she saw it
EDL	00:01:33,696	00:01:38,304	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	She was on the school field trip to the State art museum in the center of Amsterdam
EDL	00:01:38,816	00:01:40,608	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	I guess it's about
EDL	00:01:40,608	00:01:41,888	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	1975
EDL	00:01:45,728	00:01:48,288	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	They were really at the Forefront of
EDL	00:01:49,056	00:01:51,104	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	Modern and contemporary art
EDL	00:01:51,104	00:01:53,408	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	The State Electric was built to impress
EDL	00:01:54,944	00:01:56,480	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	A huge
EDL	00:01:56,480	00:01:57,504	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	Stairway
EDL	00:01:57,504	00:02:03,136	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	Leading up to the light anyway a bit biblical stairway
EDL	00:02:03,136	00:02:06,976	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	Note to heaven but almost to Heaven 2
EDL	00:02:06,976	00:02:08,000	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	The whole of all nurse
EDL	00:02:08,768	00:02:12,352	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	Has displayed some of the Museum's finest paintings
EDL	00:02:12,352	00:02:14,912	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	In particular dominated the room
EDL	00:02:15,936	00:02:18,496	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	The tour guide LED Barbara and her class over
EDL	00:02:19,264	00:02:22,080	| 347_The_Many_Deaths_of_a_Painting_pt_01 |	And this painting it struck me
