EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 40-Billy-Possum |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,144	| 40-Billy-Possum |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 40-Billy-Possum |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:15,104	| 40-Billy-Possum |	You can say what kind of coverage were looking for and how much you want to pay and Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 40-Billy-Possum |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 40-Billy-Possum |	Progressive.com
EDL	00:00:20,480	00:00:22,784	| 40-Billy-Possum |	Price in coverage match limited by state law
EDL	00:00:24,576	00:00:26,368	| 40-Billy-Possum |	When it comes to marketing your business
EDL	00:00:26,368	00:00:29,184	| 40-Billy-Possum |	It's all about reaching the Right audience at the right time
EDL	00:00:29,184	00:00:32,256	| 40-Billy-Possum |	Connecting with that audience when your message will resonate the most
EDL	00:00:32,768	00:00:33,792	| 40-Billy-Possum |	LinkedIn can help
EDL	00:00:34,304	00:00:40,704	| 40-Billy-Possum |	LinkedIn is the world's largest Professional Network in LinkedIn marketing Solutions allow you to Target your customers were there
EDL	00:00:40,704	00:00:44,032	| 40-Billy-Possum |	Engaging every day when they're ready to make a decision
EDL	00:00:44,544	00:00:49,664	| 40-Billy-Possum |	When you advertise on LinkedIn you have the opportunity to build long-term relationships with their customers
EDL	00:00:49,664	00:00:52,480	| 40-Billy-Possum |	Those relationships often turn into high-quality leads
EDL	00:00:52,480	00:00:54,784	| 40-Billy-Possum |	Website traffic and higher brand awareness
EDL	00:00:55,296	00:00:59,904	| 40-Billy-Possum |	And Linkedin have the marketing tools to help you target your customers with precision
EDL	00:00:59,904	00:01:02,720	| 40-Billy-Possum |	Down to the job title company name and Industry
EDL	00:01:03,232	00:01:05,536	| 40-Billy-Possum |	Because we can Target exactly who you want to reach
EDL	00:01:05,536	00:01:08,352	| 40-Billy-Possum |	You can make sure your customers are getting a message that they care about
EDL	00:01:08,864	00:01:10,400	| 40-Billy-Possum |	Which in turn builds Trust
EDL	00:01:10,912	00:01:17,056	| 40-Billy-Possum |	To redeem a free $100 LinkedIn at credit and launch your first campaign go to linkedin.com
EDL	00:01:17,824	00:01:20,128	| 40-Billy-Possum |	Linkedin.com invisible
EDL	00:01:20,128	00:01:22,176	| 40-Billy-Possum |	A free $100 at credit
EDL	00:01:22,688	00:01:23,968	| 40-Billy-Possum |	Terms and conditions
EDL	00:01:23,968	00:01:24,480	| 40-Billy-Possum |	Apply
EDL	00:01:25,504	00:01:29,088	| 40-Billy-Possum |	We get support from UC Davis globally ranked University
EDL	00:01:29,088	00:01:34,208	| 40-Billy-Possum |	Working to solve the world's most pressing problems and food energy health education and the environment
EDL	00:01:34,720	00:01:40,352	| 40-Billy-Possum |	UC Davis researchers collaborate and innovate in California and around the globe define transformational solution
EDL	00:01:40,864	00:01:43,680	| 40-Billy-Possum |	Quality of life
EDL	00:01:43,680	00:01:44,704	| 40-Billy-Possum |	For all living things
EDL	00:01:44,704	00:01:48,032	| 40-Billy-Possum |	Find out more at 21st century. UC Davis
EDL	00:01:48,032	00:01:48,800	| 40-Billy-Possum |	. EDU
EDL	00:01:53,408	00:01:55,456	| 40-Billy-Possum |	This is 99% invisible
EDL	00:01:55,456	00:01:56,224	| 40-Billy-Possum |	Roman Mars
EDL	00:01:59,552	00:02:01,344	| 40-Billy-Possum |	It's totally unfair
EDL	00:02:02,112	00:02:04,672	| 40-Billy-Possum |	Hydrox cookies came out in 1908
EDL	00:02:05,184	00:02:08,256	| 40-Billy-Possum |	Didn't show up until 4 years later
EDL	00:02:09,024	00:02:09,792	| 40-Billy-Possum |	But it didn't matter
EDL	00:02:10,560	00:02:12,608	| 40-Billy-Possum |	Hydrox could never shake the image
EDL	00:02:12,608	00:02:13,888	| 40-Billy-Possum |	Sabina knockoff
EDL	00:02:13,888	00:02:14,912	| 40-Billy-Possum |	An also-ran
EDL	00:02:15,680	00:02:19,008	| 40-Billy-Possum |	Hydrox lovers with champion its 10-year cream filling
EDL	00:02:19,520	00:02:22,592	| 40-Billy-Possum |	Vegetarian surprise them for being cruelty free
EDL	00:02:22,592	00:02:24,640	| 40-Billy-Possum |	America's favorite cookie the Oreo
EDL	00:02:25,152	00:02:27,456	| 40-Billy-Possum |	Contain animal lard into the mid-90s
EDL	00:02:28,480	00:02:29,504	| 40-Billy-Possum |	As a consumer
EDL	00:02:29,504	00:02:30,272	| 40-Billy-Possum |	Product
EDL	00:02:30,272	00:02:31,296	| 40-Billy-Possum |	It's just not up to you
EDL	00:02:31,808	00:02:34,880	| 40-Billy-Possum |	Sometimes you redeemed the mighty Transformer
EDL	00:02:35,392	00:02:36,160	| 40-Billy-Possum |	And sometimes
EDL	00:02:36,672	00:02:38,720	| 40-Billy-Possum |	You would love some Gobot
EDL	00:02:43,328	00:02:44,608	| 40-Billy-Possum |	It's capricious you win
EDL	00:02:45,376	00:02:47,424	| 40-Billy-Possum |	Swiss cake roll vs hoho
EDL	00:02:47,424	00:02:48,704	| 40-Billy-Possum |	Twizzler vs. red vine
EDL	00:02:49,728	00:02:52,800	| 40-Billy-Possum |	Maybe you were supposed to First Family on the Block Wiki technologically Sue
EDL	00:02:52,800	00:02:54,336	| 40-Billy-Possum |	Superior betamax player
EDL	00:02:54,336	00:02:57,408	| 40-Billy-Possum |	Only to be overwhelmed by the mediocre VHS
EDL	00:02:58,688	00:03:00,224	| 40-Billy-Possum |	Sometimes it doesn't make
EDL	00:03:00,224	00:03:00,992	| 40-Billy-Possum |	Any sense
EDL	00:03:00,992	00:03:01,504	| 40-Billy-Possum |	At all
EDL	00:03:04,064	00:03:04,832	| 40-Billy-Possum |	But sometimes it does
EDL	00:03:05,600	00:03:06,880	| 40-Billy-Possum |	I'm John Wallin
EDL	00:03:06,880	00:03:12,512	| 40-Billy-Possum |	John is a writer for New York Times magazine in a writer at large for pop-up magazine live magazine in San
EDL	00:03:12,512	00:03:14,048	| 40-Billy-Possum |	Where this story first appeared
EDL	00:03:14,560	00:03:16,352	| 40-Billy-Possum |	Greatest Hits 1902
EDL	00:03:16,352	00:03:20,960	| 40-Billy-Possum |	And Theodore Roosevelt as president and he decides to vacation in a town called
EDL	00:03:20,960	00:03:22,496	| 40-Billy-Possum |	Snead's in the Mississippi Woods
EDL	00:03:23,008	00:03:24,288	| 40-Billy-Possum |	Rican and black
EDL	00:03:24,288	00:03:25,824	| 40-Billy-Possum |	Is a big Outdoorsman
EDL	00:03:25,824	00:03:28,896	| 40-Billy-Possum |	Hunter and his hunting trip became kind of a famous story
EDL	00:03:28,896	00:03:31,456	| 40-Billy-Possum |	Basically it's been a few days hunting in
EDL	00:03:31,456	00:03:34,272	| 40-Billy-Possum |	I don't think they even saw a single bear they definitely didn't get to
EDL	00:03:34,272	00:03:36,064	| 40-Billy-Possum |	Shoot at any and then one morning
EDL	00:03:36,064	00:03:40,672	| 40-Billy-Possum |	The dog is get the scent of a bear and they follow it down to this really weedy place where the
EDL	00:03:40,672	00:03:45,536	| 40-Billy-Possum |	Presidents guide says you know what don't even bother going in there and then troubling yourself I'll go and I'll flush the beer out
EDL	00:03:45,536	00:03:47,328	| 40-Billy-Possum |	You just stay here and I'll flush it right to you
EDL	00:03:47,840	00:03:49,632	| 40-Billy-Possum |	So Roosevelt Waits and waits
EDL	00:03:49,632	00:03:51,936	| 40-Billy-Possum |	But then he gets bored and decides to go off and eat lunch
EDL	00:03:52,704	00:03:59,104	| 40-Billy-Possum |	Eventually the dog is to Corner the baron and the guide not really knowing what to do for scratched the bear over the head
EDL	00:03:59,104	00:04:01,152	| 40-Billy-Possum |	With the butt of his rifle Knox
EDL	00:04:01,152	00:04:03,968	| 40-Billy-Possum |	Unconscious or semi unconscious and tied it to a tree
EDL	00:04:03,968	00:04:10,112	| 40-Billy-Possum |	And then starts blowing around reviewal trying to call Roosevelt facts that the president can be the one who has the honor of shooting
EDL	00:04:11,136	00:04:12,672	| 40-Billy-Possum |	Roosevelt heaters Dubuque
EDL	00:04:12,672	00:04:14,208	| 40-Billy-Possum |	And makes his way back to the hunting
EDL	00:04:15,488	00:04:19,583	| 40-Billy-Possum |	Rdr2 female bear is about 235 lb
EDL	00:04:20,095	00:04:21,119	| 40-Billy-Possum |	It's tied to a tree
EDL	00:04:21,631	00:04:23,167	| 40-Billy-Possum |	It still semi-conscious
EDL	00:04:23,167	00:04:25,215	| 40-Billy-Possum |	Injured it looks a little mangy
EDL	00:04:25,215	00:04:30,591	| 40-Billy-Possum |	It's actually probably about half as heavy and big as it should be but there's been a real drought going on in the area
EDL	00:04:30,591	00:04:31,359	| 40-Billy-Possum |	The bear look
EDL	00:04:31,359	00:04:31,871	| 40-Billy-Possum |	Looks pathetic
EDL	00:04:32,639	00:04:33,407	| 40-Billy-Possum |	Roosevelt
EDL	00:04:33,407	00:04:36,223	| 40-Billy-Possum |	Expedia let me decide said it's it's unsportsmanlike
EDL	00:04:36,735	00:04:40,063	| 40-Billy-Possum |	To shoot this thing you know he's not going to do it he doesn't want anyone else to do it either
EDL	00:04:41,855	00:04:42,879	| 40-Billy-Possum |	And
EDL	00:04:42,879	00:04:44,671	| 40-Billy-Possum |	In This Server merciful Momin
EDL	00:04:45,439	00:04:48,511	| 40-Billy-Possum |	Is that your word of this spreads and a political cartoonist
EDL	00:04:49,023	00:04:51,071	| 40-Billy-Possum |	Draw the cartoon of the of the moment of him
EDL	00:04:52,095	00:04:53,375	| 40-Billy-Possum |	Showing the bear this Mercy
EDL	00:04:53,375	00:04:58,751	| 40-Billy-Possum |	And the way the cartoonist draws the berries almost like a little Labrador puppy or a golden retriever
EDL	00:04:58,751	00:04:59,519	| 40-Billy-Possum |	PizzaRev on it
EDL	00:05:00,031	00:05:01,567	| 40-Billy-Possum |	On its butt and its hind legs
EDL	00:05:02,079	00:05:03,615	| 40-Billy-Possum |	Kentucky's big round
EDL	00:05:03,615	00:05:05,663	| 40-Billy-Possum |	Perked up ears almost like Mickey Mouse
EDL	00:05:05,663	00:05:06,943	| 40-Billy-Possum |	Chinese big white eyes
EDL	00:05:06,943	00:05:07,711	| 40-Billy-Possum |	Staring at the
EDL	00:05:07,711	00:05:08,991	| 40-Billy-Possum |	The president waiting to see
EDL	00:05:08,991	00:05:09,503	| 40-Billy-Possum |	What is fate
EDL	00:05:10,527	00:05:11,551	| 40-Billy-Possum |	The cartoon was called
EDL	00:05:11,551	00:05:13,087	| 40-Billy-Possum |	Drawing the Line in Mississippi
EDL	00:05:13,599	00:05:17,183	| 40-Billy-Possum |	And from that basically spawn the teddy bear this adorable little
