EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 48-The-Bathtubs-or-the-Boiler-Room |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,144	| 48-The-Bathtubs-or-the-Boiler-Room |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 48-The-Bathtubs-or-the-Boiler-Room |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:15,104	| 48-The-Bathtubs-or-the-Boiler-Room |	You can say what kind of coverage were looking for and how much you want to pay and Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 48-The-Bathtubs-or-the-Boiler-Room |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 48-The-Bathtubs-or-the-Boiler-Room |	Progressive.com
EDL	00:00:20,480	00:00:22,784	| 48-The-Bathtubs-or-the-Boiler-Room |	Price in coverage match limited by state law
EDL	00:00:24,576	00:00:30,976	| 48-The-Bathtubs-or-the-Boiler-Room |	Family ghosts is a podcast explores all the unexpected ways our family structure and shape our view
EDL	00:00:30,976	00:00:31,744	| 48-The-Bathtubs-or-the-Boiler-Room |	Of the world
EDL	00:00:31,744	00:00:37,376	| 48-The-Bathtubs-or-the-Boiler-Room |	Each episode of Family ghosts takes a look at the story behind a different person's family lore
EDL	00:00:37,376	00:00:40,192	| 48-The-Bathtubs-or-the-Boiler-Room |	Digging into unanswered questions about their history
EDL	00:00:40,192	00:00:46,080	| 48-The-Bathtubs-or-the-Boiler-Room |	Season 2 Launches on May 15th featuring an episode where they take you inside the love Israel family called
EDL	00:00:46,080	00:00:50,688	| 48-The-Bathtubs-or-the-Boiler-Room |	An episode about uncovering the secrets scrolled in a newly discovered stack of Love Letters
EDL	00:00:50,688	00:00:57,088	| 48-The-Bathtubs-or-the-Boiler-Room |	Asuna episode that brings you along to the hunt for a container of missing Chinese food that's haunted a family
EDL	00:00:57,088	00:00:58,368	| 48-The-Bathtubs-or-the-Boiler-Room |	For 25 years
EDL	00:00:58,368	00:00:58,880	| 48-The-Bathtubs-or-the-Boiler-Room |	And more
EDL	00:00:59,392	00:01:03,488	| 48-The-Bathtubs-or-the-Boiler-Room |	Subscribe to family goes wherever you get your podcast and find out why they say
EDL	00:01:03,488	00:01:04,768	| 48-The-Bathtubs-or-the-Boiler-Room |	Every house is haunted
EDL	00:01:06,304	00:01:12,704	| 48-The-Bathtubs-or-the-Boiler-Room |	We get support from UC Davis globally ranked University working to solve the world's most pressing problems and food
EDL	00:01:12,704	00:01:15,264	| 48-The-Bathtubs-or-the-Boiler-Room |	Energy health education and the environment
