EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 51-The-Arsenal-of-Exclusion |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,144	| 51-The-Arsenal-of-Exclusion |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 51-The-Arsenal-of-Exclusion |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:15,104	| 51-The-Arsenal-of-Exclusion |	You can say what kind of coverage were looking for and how much you want to pay and Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 51-The-Arsenal-of-Exclusion |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 51-The-Arsenal-of-Exclusion |	Progressive.com
EDL	00:00:20,480	00:00:22,784	| 51-The-Arsenal-of-Exclusion |	Price in coverage match limited by state law
EDL	00:00:24,576	00:00:30,976	| 51-The-Arsenal-of-Exclusion |	Family ghosts is a podcast explores all the unexpected ways our family structure and shape our view
EDL	00:00:30,976	00:00:31,744	| 51-The-Arsenal-of-Exclusion |	Of the world
EDL	00:00:31,744	00:00:37,376	| 51-The-Arsenal-of-Exclusion |	Each episode of Family ghosts takes a look at the story behind a different person's family lore
EDL	00:00:37,376	00:00:40,192	| 51-The-Arsenal-of-Exclusion |	Digging into unanswered questions about their history
EDL	00:00:40,192	00:00:46,592	| 51-The-Arsenal-of-Exclusion |	Season 2 Launches on May 15th featuring an episode where they take you inside the love Israel family called
EDL	00:00:46,592	00:00:50,688	| 51-The-Arsenal-of-Exclusion |	So what about uncovering the secret scroll in a newly discovered stack of Love Letters
EDL	00:00:50,688	00:00:57,088	| 51-The-Arsenal-of-Exclusion |	Asuna episode that brings you along to the hunt for a container of missing Chinese food that's haunted a family
EDL	00:00:57,088	00:00:58,880	| 51-The-Arsenal-of-Exclusion |	For 25 years and more
EDL	00:00:59,392	00:01:03,488	| 51-The-Arsenal-of-Exclusion |	Subscribe to family goes wherever you get your podcast and find out why they say
EDL	00:01:03,488	00:01:04,768	| 51-The-Arsenal-of-Exclusion |	Every house is haunted
EDL	00:01:06,304	00:01:12,704	| 51-The-Arsenal-of-Exclusion |	We get support from UC Davis globally ranked University working to solve the world's most pressing problems and food
EDL	00:01:12,704	00:01:15,264	| 51-The-Arsenal-of-Exclusion |	Energy health education and the environment
EDL	00:01:15,264	00:01:21,408	| 51-The-Arsenal-of-Exclusion |	UC Davis researchers collaborate and innovate in California and around the globe Define transformational Solutions
EDL	00:01:21,408	00:01:25,504	| 51-The-Arsenal-of-Exclusion |	Quality of life for all living things
EDL	00:01:25,504	00:01:29,600	| 51-The-Arsenal-of-Exclusion |	Find out more at 21st century. Ucdavis.edu
EDL	00:01:34,464	00:01:36,000	| 51-The-Arsenal-of-Exclusion |	This is 99% invisible
EDL	00:01:36,512	00:01:37,024	| 51-The-Arsenal-of-Exclusion |	Imerman
EDL	00:01:39,584	00:01:40,608	| 51-The-Arsenal-of-Exclusion |	Here's here's the
EDL	00:01:41,120	00:01:42,144	| 51-The-Arsenal-of-Exclusion |	The Baltimore city county line
EDL	00:01:44,192	00:01:45,216	| 51-The-Arsenal-of-Exclusion |	Weapons in the Arsenal
EDL	00:01:47,264	00:01:47,776	| 51-The-Arsenal-of-Exclusion |	Alphabetical
EDL	00:01:48,544	00:01:49,568	| 51-The-Arsenal-of-Exclusion |	Armrest
EDL	00:01:49,568	00:01:50,080	| 51-The-Arsenal-of-Exclusion |	Benches
EDL	00:01:50,592	00:01:51,616	| 51-The-Arsenal-of-Exclusion |	Blood relative chords
EDL	00:01:52,640	00:01:53,152	| 51-The-Arsenal-of-Exclusion |	Blockbuster
EDL	00:01:53,920	00:01:54,432	| 51-The-Arsenal-of-Exclusion |	Bouncer
EDL	00:01:58,784	00:02:00,320	| 51-The-Arsenal-of-Exclusion |	I think cities are great
EDL	00:02:00,832	00:02:03,136	| 51-The-Arsenal-of-Exclusion |	Inactivity and diversity
EDL	00:02:03,648	00:02:06,976	| 51-The-Arsenal-of-Exclusion |	Go to any City and it's pretty clear a place can be the first
EDL	00:02:06,976	00:02:08,512	| 51-The-Arsenal-of-Exclusion |	Without really being injured
EDL	00:02:09,024	00:02:12,864	| 51-The-Arsenal-of-Exclusion |	Cities exist to bring people together but cities can also keep people apart
EDL	00:02:12,864	00:02:15,424	| 51-The-Arsenal-of-Exclusion |	What's Daniel do yoga
EDL	00:02:15,424	00:02:17,472	| 51-The-Arsenal-of-Exclusion |	And I am an urban planner
EDL	00:02:18,240	00:02:21,312	| 51-The-Arsenal-of-Exclusion |	I have a company in New York called interboro partners
EDL	00:02:21,312	00:02:26,688	| 51-The-Arsenal-of-Exclusion |	Over the last few years Daniel and his two colleagues at interboro partners
EDL	00:02:26,688	00:02:28,224	| 51-The-Arsenal-of-Exclusion |	Theodore and Tobias armbrust
EDL	00:02:28,224	00:02:29,504	| 51-The-Arsenal-of-Exclusion |	And the three of us
EDL	00:02:29,504	00:02:33,344	| 51-The-Arsenal-of-Exclusion |	I'm working on this project for number years called the Arsenal of exclusion and inclusion
EDL	00:02:33,344	00:02:37,440	| 51-The-Arsenal-of-Exclusion |	This Arsenal is a catalog of stuff inside a city will be called weapons
EDL	00:02:37,440	00:02:38,464	| 51-The-Arsenal-of-Exclusion |	Concierge
EDL	00:02:39,232	00:02:40,256	| 51-The-Arsenal-of-Exclusion |	Expulsive zoning
EDL	00:02:40,256	00:02:41,024	| 51-The-Arsenal-of-Exclusion |	Fire hydrant
EDL	00:02:41,792	00:02:42,304	| 51-The-Arsenal-of-Exclusion |	Food truck horn
EDL	00:02:43,072	00:02:49,472	| 51-The-Arsenal-of-Exclusion |	That architects-planners policymakers developers Etc used either bring people together or keep people apart
EDL	00:02:49,472	00:02:51,008	| 51-The-Arsenal-of-Exclusion |	Open the city or closed
EDL	00:02:51,008	00:02:53,568	| 51-The-Arsenal-of-Exclusion |	City or increase access to space to restrict people's access
EDL	00:02:53,568	00:02:55,104	| 51-The-Arsenal-of-Exclusion |	Number waste
EDL	00:02:55,104	00:02:56,384	| 51-The-Arsenal-of-Exclusion |	Stork preservation
EDL	00:02:58,432	00:02:59,968	| 51-The-Arsenal-of-Exclusion |	Weapons ranging from
EDL	00:02:59,968	00:03:00,992	| 51-The-Arsenal-of-Exclusion |	No loitering signs
EDL	00:03:01,504	00:03:04,320	| 51-The-Arsenal-of-Exclusion |	Two big things like housing vouchers and it
EDL	00:03:04,320	00:03:05,344	| 51-The-Arsenal-of-Exclusion |	Exclusionary zoning
EDL	00:03:05,344	00:03:05,856	| 51-The-Arsenal-of-Exclusion |	And all that kind of
EDL	00:03:06,624	00:03:09,440	| 51-The-Arsenal-of-Exclusion |	Today we're only going to focus on the Arsenal of Acts
EDL	00:03:09,952	00:03:10,976	| 51-The-Arsenal-of-Exclusion |	The weapons that
EDL	00:03:10,976	00:03:12,000	| 51-The-Arsenal-of-Exclusion |	People apart
EDL	00:03:12,512	00:03:13,024	| 51-The-Arsenal-of-Exclusion |	Arsenal
EDL	00:03:13,536	00:03:16,608	| 51-The-Arsenal-of-Exclusion |	In the city of Baltimore a place Daniel yoga truly loves
EDL	00:03:17,632	00:03:18,912	| 51-The-Arsenal-of-Exclusion |	Maryland Institute College of Art
EDL	00:03:20,192	00:03:21,728	| 51-The-Arsenal-of-Exclusion |	So I have a
EDL	00:03:21,728	00:03:22,752	| 51-The-Arsenal-of-Exclusion |	A strong connection with
EDL	00:03:22,752	00:03:23,520	| 51-The-Arsenal-of-Exclusion |	Baltimore
EDL	00:03:23,520	00:03:24,288	| 51-The-Arsenal-of-Exclusion |	It's dog
EDL	00:03:24,288	00:03:25,056	| 51-The-Arsenal-of-Exclusion |	A city that I
EDL	00:03:25,568	00:03:27,104	| 51-The-Arsenal-of-Exclusion |	Love and admire very much
EDL	00:03:27,104	00:03:28,640	| 51-The-Arsenal-of-Exclusion |	It's a wonderful place
EDL	00:03:28,640	00:03:31,712	| 51-The-Arsenal-of-Exclusion |	But it's a city that has been honing its arsenal of exclusion
EDL	00:03:31,712	00:03:32,480	| 51-The-Arsenal-of-Exclusion |	For decades
EDL	00:03:32,480	00:03:36,320	| 51-The-Arsenal-of-Exclusion |	Baltimore was once to be invisible while building industry with Detroit was
EDL	00:03:36,320	00:03:37,088	| 51-The-Arsenal-of-Exclusion |	To the automotive industry
EDL	00:03:37,856	00:03:39,136	| 51-The-Arsenal-of-Exclusion |	Innovative Workshop
EDL	00:03:39,136	00:03:44,256	| 51-The-Arsenal-of-Exclusion |	Creative minds work to think up and vent test out and ultimately export methods of it
EDL	00:03:44,256	00:03:45,280	| 51-The-Arsenal-of-Exclusion |	Conclusion
EDL	00:03:45,792	00:03:51,424	| 51-The-Arsenal-of-Exclusion |	Are producer and resin baltimorean Sam Greenspan went to look at some of charm cities exclusive offering
EDL	00:03:53,984	00:03:55,008	| 51-The-Arsenal-of-Exclusion |	Before we go
EDL	00:04:01,408	00:04:03,200	| 51-The-Arsenal-of-Exclusion |	Where we going to go and what we're doing
EDL	00:04:05,760	00:04:06,272	| 51-The-Arsenal-of-Exclusion |	How to get there
EDL	00:04:06,784	00:04:07,296	| 51-The-Arsenal-of-Exclusion |	Give me a second
EDL	00:04:10,112	00:04:13,952	| 51-The-Arsenal-of-Exclusion |	Dandy yoga and I are driving north on Greenmount Avenue in East Baltimore
EDL	00:04:14,464	00:04:19,071	| 51-The-Arsenal-of-Exclusion |	I can't think of Green Mountain North 33rd to Cold Spring
EDL	00:04:19,071	00:04:25,215	| 51-The-Arsenal-of-Exclusion |	As a kind of Museum of of exclusion on Greenmount Avenue North of 30
EDL	00:04:25,727	00:04:29,311	| 51-The-Arsenal-of-Exclusion |	It's clear that Greenmount Avenue is a dividing line but
EDL	00:04:29,311	00:04:33,151	| 51-The-Arsenal-of-Exclusion |	Between rich and poor and black and white but what's not immediately obvious
EDL	00:04:33,663	00:04:34,175	| 51-The-Arsenal-of-Exclusion |	Is why
EDL	00:04:35,455	00:04:37,247	| 51-The-Arsenal-of-Exclusion |	Just to give you a sense
EDL	00:04:37,247	00:04:39,551	| 51-The-Arsenal-of-Exclusion |	As we drive north on Greenmount to our right
EDL	00:04:40,831	00:04:44,927	| 51-The-Arsenal-of-Exclusion |	Eastside is Waverly Waverly is lower-income and around 80%
EDL	00:04:46,207	00:04:47,999	| 51-The-Arsenal-of-Exclusion |	16% of a bachelor's degree
EDL	00:04:47,999	00:04:51,071	| 51-The-Arsenal-of-Exclusion |	Median income is $40,000 and on the other side
EDL	00:04:51,071	00:04:52,607	| 51-The-Arsenal-of-Exclusion |	On the west side or left
EDL	00:04:52,607	00:04:54,655	| 51-The-Arsenal-of-Exclusion |	What is oakenshaw and then Guildford
EDL	00:04:55,167	00:04:56,447	| 51-The-Arsenal-of-Exclusion |	Well to the north of that
EDL	00:04:56,447	00:04:58,751	| 51-The-Arsenal-of-Exclusion |	A really aswan area buffered by a middle-income
EDL	00:04:59,519	00:05:00,543	| 51-The-Arsenal-of-Exclusion |	Only about seven percent
EDL	00:05:01,567	00:05:06,431	| 51-The-Arsenal-of-Exclusion |	Can 75% have a bachelor's degree in the median income is $75,000
EDL	00:05:06,431	00:05:12,831	| 51-The-Arsenal-of-Exclusion |	And then you'll be okay as view it's not the wide Greenmount Avenue that keeps these neighborhoods apart
EDL	00:05:12,831	00:05:13,855	| 51-The-Arsenal-of-Exclusion |	Total and invisible
EDL	00:05:13,855	00:05:15,391	| 51-The-Arsenal-of-Exclusion |	Get totally intentional
EDL	00:05:15,903	00:05:17,439	| 51-The-Arsenal-of-Exclusion |	The teepees neighborhood sepehr
EDL	00:05:17,439	00:05:19,999	| 51-The-Arsenal-of-Exclusion |	Demographically The Divide is very strict
EDL	00:05:20,511	00:05:24,095	| 51-The-Arsenal-of-Exclusion |	And severe you can just see all these physical measures that
EDL	00:05:24,095	00:05:24,863	| 51-The-Arsenal-of-Exclusion |	Deployed
EDL	00:05:24,863	00:05:27,167	| 51-The-Arsenal-of-Exclusion |	To keep people from getting from one side
EDL	00:05:27,167	00:05:29,727	| 51-The-Arsenal-of-Exclusion |	To the other Crossing Greenmount on foot is annoying
EDL	00:05:30,239	00:05:35,871	| 51-The-Arsenal-of-Exclusion |	To crosswalks in that 1.25 Mile Stretch but what's more interesting is when we talk about the grid
EDL	00:05:35,871	00:05:38,175	| 51-The-Arsenal-of-Exclusion |	Greenmount is where the grid end
EDL	00:05:38,687	00:05:41,247	| 51-The-Arsenal-of-Exclusion |	The grid is there in Waverly on the east side
EDL	00:05:41,247	00:05:43,039	| 51-The-Arsenal-of-Exclusion |	Notice that on the right
EDL	00:05:43,039	00:05:46,879	| 51-The-Arsenal-of-Exclusion |	There's the grid is 37th Street 38th Street
EDL	00:05:46,879	00:05:53,279	| 51-The-Arsenal-of-Exclusion |	We can make a right into Waverly no problem but on our left there's no grit right it stops to notice we're heading North now
EDL	00:05:53,279	00:05:55,839	| 51-The-Arsenal-of-Exclusion |	If we try to make a left we're going to be confronted with
EDL	00:05:55,839	00:05:58,143	| 51-The-Arsenal-of-Exclusion |	Dead End Street Ballard
EDL	00:05:58,143	00:06:03,007	| 51-The-Arsenal-of-Exclusion |	If they're like these security poles that you can stick in the ground
EDL	00:06:03,007	00:06:07,615	| 51-The-Arsenal-of-Exclusion |	Oh here's a wall right there's this long row of middle-income houses on the Westside
EDL	00:06:08,127	00:06:09,663	| 51-The-Arsenal-of-Exclusion |	What kind of a buffer against the
EDL	00:06:10,175	00:06:11,455	| 51-The-Arsenal-of-Exclusion |	Really wealthy Guildford stuff
EDL	00:06:12,223	00:06:12,735	| 51-The-Arsenal-of-Exclusion |	Just behind
EDL	00:06:13,247	00:06:17,855	| 51-The-Arsenal-of-Exclusion |	Almost all of the roads dead and the houses and the few street that do go through
EDL	00:06:17,855	00:06:20,671	| 51-The-Arsenal-of-Exclusion |	Are mostly one-way streets coming the opposite direction
EDL	00:06:20,671	00:06:21,439	| 51-The-Arsenal-of-Exclusion |	Outon
EDL	00:06:21,439	00:06:23,487	| 51-The-Arsenal-of-Exclusion |	Greenmount is no way for us to
EDL	00:06:23,487	00:06:23,999	| 51-The-Arsenal-of-Exclusion |	Baguette
EDL	00:06:24,511	00:06:26,815	| 51-The-Arsenal-of-Exclusion |	Left into open shop or Guilford
EDL	00:06:27,327	00:06:29,887	| 51-The-Arsenal-of-Exclusion |	There has to be some way to get into the neighborhood
EDL	00:06:29,887	00:06:35,519	| 51-The-Arsenal-of-Exclusion |	Well there is but on Guilford Eastside you really have to go out of your way to find a street that will let you in
EDL	00:06:35,519	00:06:37,567	| 51-The-Arsenal-of-Exclusion |	Tomorrow in Guilford finally
EDL	00:06:37,567	00:06:39,871	| 51-The-Arsenal-of-Exclusion |	And then once you're inside you'll notice two things
EDL	00:06:40,383	00:06:41,919	| 51-The-Arsenal-of-Exclusion |	The houses are super nice
EDL	00:06:41,919	00:06:44,223	| 51-The-Arsenal-of-Exclusion |	And the roads are super weird
EDL	00:06:44,735	00:06:46,015	| 51-The-Arsenal-of-Exclusion |	The roads are winding
EDL	00:06:46,015	00:06:48,063	| 51-The-Arsenal-of-Exclusion |	And they feel disproportionately small
EDL	00:06:48,063	00:06:51,647	| 51-The-Arsenal-of-Exclusion |	Next to these houses giant lawn and you need a permit to park
EDL	00:06:51,647	00:06:53,695	| 51-The-Arsenal-of-Exclusion |	Another interesting
EDL	00:06:53,695	00:06:54,975	| 51-The-Arsenal-of-Exclusion |	Residential parking permit
EDL	00:06:55,487	00:06:56,255	| 51-The-Arsenal-of-Exclusion |	Residential parking
EDL	00:06:57,023	00:06:59,327	| 51-The-Arsenal-of-Exclusion |	Case you're wondering you do not need a permit
EDL	00:06:59,327	00:07:01,375	| 51-The-Arsenal-of-Exclusion |	Spark in the less affluent Waverly neighborhood
EDL	00:07:01,887	00:07:05,727	| 51-The-Arsenal-of-Exclusion |	But back to Guilford the weirdest thing about these roads is that it's hard to know what direction
EDL	00:07:06,751	00:07:08,799	| 51-The-Arsenal-of-Exclusion |	And could you tell if you snore
EDL	00:07:09,311	00:07:14,943	| 51-The-Arsenal-of-Exclusion |	Westar South Philly how to tell right I would imagine we're actually going east
EDL	00:07:14,943	00:07:16,223	| 51-The-Arsenal-of-Exclusion |	Greenmount Avenue
EDL	00:07:17,759	00:07:24,159	| 51-The-Arsenal-of-Exclusion |	Super Outsiders and we don't know our way around Guilford we were shunted out of the neighborhood on a one-way Street
EDL	00:07:24,159	00:07:26,207	| 51-The-Arsenal-of-Exclusion |	Greenmount Avenue
EDL	00:07:26,719	00:07:30,815	| 51-The-Arsenal-of-Exclusion |	This is one of the one-way streets heading out of the neighborhood I got shall we really
EDL	00:07:31,583	00:07:35,679	| 51-The-Arsenal-of-Exclusion |	Y'all got out back to remount and I thought we were going through it
EDL	00:07:35,679	00:07:42,079	| 51-The-Arsenal-of-Exclusion |	These physical barriers in the Arsenal of exclusion grids and one-way streets are not that big a deal they're not that
EDL	00:07:42,079	00:07:43,103	| 51-The-Arsenal-of-Exclusion |	Hard to overcome
EDL	00:07:43,103	00:07:47,455	| 51-The-Arsenal-of-Exclusion |	But their placement has meaning because really matter that you can make a left turn into
EDL	00:07:47,455	00:07:49,503	| 51-The-Arsenal-of-Exclusion |	Guilford wood would this be a more Equitable City
EDL	00:07:50,015	00:07:51,551	| 51-The-Arsenal-of-Exclusion |	If we could make that left turn
EDL	00:07:51,551	00:07:52,831	| 51-The-Arsenal-of-Exclusion |	Probably not right away
EDL	00:07:52,831	00:07:53,855	| 51-The-Arsenal-of-Exclusion |	Is Morrison boxing
EDL	00:07:53,855	00:07:55,903	| 51-The-Arsenal-of-Exclusion |	Right at this place where this demographic
EDL	00:07:55,903	00:07:56,671	| 51-The-Arsenal-of-Exclusion |	Divided dish
EDL	00:07:56,671	00:07:57,951	| 51-The-Arsenal-of-Exclusion |	Just rendered very
EDL	00:07:57,951	00:07:59,231	| 51-The-Arsenal-of-Exclusion |	Physically in space
EDL	00:07:59,231	00:08:04,863	| 51-The-Arsenal-of-Exclusion |	But it's worth noting that other weapons in the Arsenal of exclusion that once existed here in Guilford are now it illegal
EDL	00:08:05,375	00:08:10,751	| 51-The-Arsenal-of-Exclusion |	Like restrictive housing Covenants
EDL	00:08:10,751	00:08:12,287	| 51-The-Arsenal-of-Exclusion |	Restrictive housing Covenant
EDL	00:08:12,287	00:08:16,383	| 51-The-Arsenal-of-Exclusion |	Tioga says that this neighborhood actually pioneered the use of segregation is covenant
EDL	00:08:16,895	00:08:18,943	| 51-The-Arsenal-of-Exclusion |	Housing Deeds that restricted occupancy
EDL	00:08:19,455	00:08:20,223	| 51-The-Arsenal-of-Exclusion |	Do only white
EDL	00:08:21,247	00:08:23,807	| 51-The-Arsenal-of-Exclusion |	This wasn't illegal until 1968
EDL	00:08:24,319	00:08:30,719	| 51-The-Arsenal-of-Exclusion |	You can point these Guerrilla street is being an emblem of the racial segregation that still exist in Baltimore
EDL	00:08:30,719	00:08:36,095	| 51-The-Arsenal-of-Exclusion |	What is interesting to speculate what the neighborhood would be like if he's exclusionary measures warrant in place
EDL	00:08:36,607	00:08:38,911	| 51-The-Arsenal-of-Exclusion |	Neighborhood been built on a grid
EDL	00:08:38,911	00:08:42,751	| 51-The-Arsenal-of-Exclusion |	Upper middle class white people living here probably would have flooded the suburbs
EDL	00:08:42,751	00:08:45,055	| 51-The-Arsenal-of-Exclusion |	In the seventies eighties right
EDL	00:08:45,055	00:08:46,591	| 51-The-Arsenal-of-Exclusion |	Given that there are
EDL	00:08:47,359	00:08:48,639	| 51-The-Arsenal-of-Exclusion |	Rich white people
EDL	00:08:49,151	00:08:51,711	| 51-The-Arsenal-of-Exclusion |	Still living here within the city limits paying
EDL	00:08:51,711	00:08:52,735	| 51-The-Arsenal-of-Exclusion |	City taxes
EDL	00:08:53,247	00:08:56,063	| 51-The-Arsenal-of-Exclusion |	Is it worse than just having all the rich white people live in
EDL	00:08:56,063	00:08:56,831	| 51-The-Arsenal-of-Exclusion |	Adams County
EDL	00:08:57,343	00:09:02,719	| 51-The-Arsenal-of-Exclusion |	It's a really good question then the trick is to try to develop neighborhood
EDL	00:09:02,719	00:09:03,999	| 51-The-Arsenal-of-Exclusion |	That's not a zero-sum game
EDL	00:09:04,511	00:09:06,303	| 51-The-Arsenal-of-Exclusion |	Where one party loses in
EDL	00:09:06,303	00:09:07,327	| 51-The-Arsenal-of-Exclusion |	Another party game
EDL	00:09:08,351	00:09:10,655	| 51-The-Arsenal-of-Exclusion |	And that is interboro Partners next project
EDL	00:09:10,655	00:09:13,983	| 51-The-Arsenal-of-Exclusion |	Green development solutions that are not zero-sum games
EDL	00:09:13,983	00:09:18,591	| 51-The-Arsenal-of-Exclusion |	It all starts with labeling and categorizing the weapons in the Arsenal of exclusion
EDL	00:09:18,591	00:09:19,103	| 51-The-Arsenal-of-Exclusion |	And inclusion
