EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 55-The-Best-Beer-in-the-World |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,144	| 55-The-Best-Beer-in-the-World |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 55-The-Best-Beer-in-the-World |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:15,104	| 55-The-Best-Beer-in-the-World |	You can say what kind of coverage were looking for and how much you want to pay and Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 55-The-Best-Beer-in-the-World |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 55-The-Best-Beer-in-the-World |	Progressive.com
EDL	00:00:20,480	00:00:22,784	| 55-The-Best-Beer-in-the-World |	Price in coverage match limited by state law
EDL	00:00:24,320	00:00:26,368	| 55-The-Best-Beer-in-the-World |	When it comes to marketing your business
EDL	00:00:26,368	00:00:32,768	| 55-The-Best-Beer-in-the-World |	It's all about reaching the Right audience at the right time and connecting with that audience when your message will resonate the most
EDL	00:00:32,768	00:00:33,792	| 55-The-Best-Beer-in-the-World |	LinkedIn can help
EDL	00:00:34,304	00:00:40,704	| 55-The-Best-Beer-in-the-World |	LinkedIn is the world's largest Professional Network in LinkedIn marketing Solutions allow you to Target your customers were there
EDL	00:00:40,704	00:00:44,032	| 55-The-Best-Beer-in-the-World |	Engaging every day when they're ready to make a decision
EDL	00:00:44,544	00:00:49,664	| 55-The-Best-Beer-in-the-World |	When you advertise on LinkedIn you have the opportunity to build long-term relationships with their customers
EDL	00:00:49,664	00:00:56,064	| 55-The-Best-Beer-in-the-World |	Those relationships often turn into high-quality leads website traffic and higher brand awareness and Linkedin
EDL	00:00:56,064	00:00:59,904	| 55-The-Best-Beer-in-the-World |	Didn't have the marketing tools to help you target your customers with precision
EDL	00:00:59,904	00:01:02,720	| 55-The-Best-Beer-in-the-World |	Down to the job title company name and Industry
EDL	00:01:03,232	00:01:05,536	| 55-The-Best-Beer-in-the-World |	Because we can Target exactly who you want to reach
EDL	00:01:05,536	00:01:10,912	| 55-The-Best-Beer-in-the-World |	You can make sure your customers are getting a message that they care about which in turn builds Trust
EDL	00:01:10,912	00:01:17,312	| 55-The-Best-Beer-in-the-World |	To redeem a free $100 LinkedIn at credit and launch your first campaign go to linkedin.com
EDL	00:01:17,312	00:01:22,176	| 55-The-Best-Beer-in-the-World |	Isabel linkedin.com invisible Pier free $100 at credit
EDL	00:01:22,688	00:01:24,224	| 55-The-Best-Beer-in-the-World |	Terms and conditions apply
EDL	00:01:25,504	00:01:31,904	| 55-The-Best-Beer-in-the-World |	We get support from UC Davis globally ranked University working to solve the world's most pressing problems
EDL	00:01:31,904	00:01:34,208	| 55-The-Best-Beer-in-the-World |	Food energy health education and the environment
EDL	00:01:34,720	00:01:40,864	| 55-The-Best-Beer-in-the-World |	UC Davis researchers collaborate and innovate in California and around the globe Define transformational Solutions
EDL	00:01:40,864	00:01:43,680	| 55-The-Best-Beer-in-the-World |	Quality of life
EDL	00:01:43,680	00:01:44,704	| 55-The-Best-Beer-in-the-World |	For all living things
EDL	00:01:44,704	00:01:48,800	| 55-The-Best-Beer-in-the-World |	Find out more at 21st century. Ucdavis.edu
EDL	00:01:53,408	00:01:54,944	| 55-The-Best-Beer-in-the-World |	This is 99% invisible
EDL	00:01:55,456	00:01:56,224	| 55-The-Best-Beer-in-the-World |	I'm Roman Mars
EDL	00:01:59,296	00:02:02,368	| 55-The-Best-Beer-in-the-World |	Navarre is on a mission
EDL	00:02:02,368	00:02:05,952	| 55-The-Best-Beer-in-the-World |	He's trying to get a case of beer called West flavor
EDL	00:02:05,952	00:02:12,096	| 55-The-Best-Beer-in-the-World |	I'm not a hundred percent sure but I think it's West Placer but apparently it's worth it
EDL	00:02:12,608	00:02:15,168	| 55-The-Best-Beer-in-the-World |	0 beernardo have a friend who's appearing
EDL	00:02:15,680	00:02:17,472	| 55-The-Best-Beer-in-the-World |	You probably heard a Belgian beer
