EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,072	| 99PI-0118-songexploder-1 |	99percentinvisible is brought to you by
EDL	00:00:03,072	00:00:03,840	| 99PI-0118-songexploder-1 |	By Progressive
EDL	00:00:03,840	00:00:05,888	| 99PI-0118-songexploder-1 |	One of the country's leading providers of autumn
EDL	00:00:06,656	00:00:08,960	| 99PI-0118-songexploder-1 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:12,544	| 99PI-0118-songexploder-1 |	You can say what kind of coverage were looking for and how much you want to pay
EDL	00:00:12,544	00:00:15,104	| 99PI-0118-songexploder-1 |	Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 99PI-0118-songexploder-1 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 99PI-0118-songexploder-1 |	Progressive.com
EDL	00:00:20,480	00:00:21,760	| 99PI-0118-songexploder-1 |	Price in coverage match
EDL	00:00:21,760	00:00:22,528	| 99PI-0118-songexploder-1 |	Limited by state law
EDL	00:00:24,832	00:00:25,600	| 99PI-0118-songexploder-1 |	Family ghosts
EDL	00:00:25,600	00:00:26,368	| 99PI-0118-songexploder-1 |	Is a
EDL	00:00:26,368	00:00:29,184	| 99PI-0118-songexploder-1 |	Explores all the unexpected ways are family
EDL	00:00:29,184	00:00:31,232	| 99PI-0118-songexploder-1 |	Structure and shape our view of the world
EDL	00:00:31,744	00:00:33,280	| 99PI-0118-songexploder-1 |	Each episode of Family ghost
EDL	00:00:33,280	00:00:37,376	| 99PI-0118-songexploder-1 |	Takes a look at the story behind a different person's family lore
EDL	00:00:37,376	00:00:39,680	| 99PI-0118-songexploder-1 |	Digging into unanswered questions about their history
EDL	00:00:40,192	00:00:42,752	| 99PI-0118-songexploder-1 |	Season 2 Launches on May 15th
EDL	00:00:42,752	00:00:46,080	| 99PI-0118-songexploder-1 |	Between episode where they take you inside the love Israel family called
EDL	00:00:46,080	00:00:50,688	| 99PI-0118-songexploder-1 |	An episode about uncovering the secrets scrolled in a newly discovered stack of Love Letters
EDL	00:00:50,688	00:00:51,968	| 99PI-0118-songexploder-1 |	Asuna episode
EDL	00:00:51,968	00:00:55,808	| 99PI-0118-songexploder-1 |	It brings you along to the hunt for a container of missing Chinese food that's
EDL	00:00:55,808	00:00:57,856	| 99PI-0118-songexploder-1 |	Haunted a family for 25 years
EDL	00:00:58,368	00:00:58,880	| 99PI-0118-songexploder-1 |	And more
EDL	00:00:59,392	00:01:01,184	| 99PI-0118-songexploder-1 |	Subscribe to family goes wherever you go
EDL	00:01:01,184	00:01:03,488	| 99PI-0118-songexploder-1 |	Podcasts and find out why they say
EDL	00:01:03,488	00:01:04,768	| 99PI-0118-songexploder-1 |	Every house is haunted
EDL	00:01:05,536	00:01:07,840	| 99PI-0118-songexploder-1 |	This is 99% invisible
EDL	00:01:08,352	00:01:09,120	| 99PI-0118-songexploder-1 |	I'm Roman Mars
EDL	00:01:15,520	00:01:21,920	| 99PI-0118-songexploder-1 |	Hrishikesh hirway has a podcast called song Exploder the concept is simple but
EDL	00:01:21,920	00:01:28,320	| 99PI-0118-songexploder-1 |	Brilliant I ask musicians to take apart one of their songs and go through it piece by piece and
EDL	00:01:28,320	00:01:34,720	| 99PI-0118-songexploder-1 |	What listeners hear what's going on inside some of the tracks and reveal the secrets
EDL	00:01:34,720	00:01:35,488	| 99PI-0118-songexploder-1 |	Of
EDL	00:01:35,488	00:01:38,304	| 99PI-0118-songexploder-1 |	What went into making the song whether it's
EDL	00:01:38,304	00:01:40,352	| 99PI-0118-songexploder-1 |	The Sounds inside of it or just
EDL	00:01:41,632	00:01:44,704	| 99PI-0118-songexploder-1 |	Memories of what they were going through
EDL	00:01:44,704	00:01:45,728	| 99PI-0118-songexploder-1 |	When they were creating song
EDL	00:01:52,896	00:01:58,272	| 99PI-0118-songexploder-1 |	Palms are sweaty
EDL	00:01:59,552	00:02:02,368	| 99PI-0118-songexploder-1 |	I don't think she would mind me saying but it's
EDL	00:02:02,368	00:02:04,160	| 99PI-0118-songexploder-1 |	Hidesign show
EDL	00:02:04,160	00:02:04,928	| 99PI-0118-songexploder-1 |	About music
EDL	00:02:05,440	00:02:07,744	| 99PI-0118-songexploder-1 |	Play 99% invisible for song
EDL	00:02:18,240	00:02:24,640	| 99PI-0118-songexploder-1 |	On the very first episode of song Exploder Richie interview Jimmy tamborello of the band Postal Service
EDL	00:02:24,640	00:02:29,504	| 99PI-0118-songexploder-1 |	Invited him to take a deep dive into each individual element of the song
EDL	00:02:29,504	00:02:31,808	| 99PI-0118-songexploder-1 |	The district sleeps alone tonight
EDL	00:02:31,808	00:02:36,672	| 99PI-0118-songexploder-1 |	If the song is playing mind me now if you don't already own the loan Postal Service album
EDL	00:02:36,672	00:02:38,976	| 99PI-0118-songexploder-1 |	You made some poor choices in life
EDL	00:02:38,976	00:02:39,744	| 99PI-0118-songexploder-1 |	I'm serious
EDL	00:02:40,256	00:02:45,376	| 99PI-0118-songexploder-1 |	Anyway this is Jimmy tamborello isolating the backing Vocal Track sung by Jenny Lewis
EDL	00:02:46,144	00:02:47,168	| 99PI-0118-songexploder-1 |	So here's some of
EDL	00:02:47,168	00:02:48,704	| 99PI-0118-songexploder-1 |	Jenny's background vocals solo.
EDL	00:03:04,320	00:03:08,416	| 99PI-0118-songexploder-1 |	So Timber Ella was looking to add more texture to the Final Mix the song
EDL	00:03:08,416	00:03:10,464	| 99PI-0118-songexploder-1 |	Any had these beautiful backing vocals
EDL	00:03:10,976	00:03:13,792	| 99PI-0118-songexploder-1 |	It might have been just an accident with a delay pedal but
EDL	00:03:13,792	00:03:15,328	| 99PI-0118-songexploder-1 |	Lips a little bit of Chinese vocals
EDL	00:03:15,840	00:03:17,120	| 99PI-0118-songexploder-1 |	And made into
EDL	00:03:17,120	00:03:19,424	| 99PI-0118-songexploder-1 |	Texture in the Sun as one of the last things
EDL	00:03:19,424	00:03:21,216	| 99PI-0118-songexploder-1 |	That we put into that into the district
EDL	00:03:21,984	00:03:22,496	| 99PI-0118-songexploder-1 |	Play that part
EDL	00:03:30,944	00:03:35,296	| 99PI-0118-songexploder-1 |	This vocal Loop comes in after the second verse when it's kind of going into the
EDL	00:03:35,296	00:03:36,576	| 99PI-0118-songexploder-1 |	More Dancy Down trailer
EDL	00:03:42,720	00:03:45,536	| 99PI-0118-songexploder-1 |	Here's her schedule away from song Exploder again
EDL	00:03:46,048	00:03:49,120	| 99PI-0118-songexploder-1 |	I'd heard that song The District sleeps alone tonight I mean
EDL	00:03:49,120	00:03:51,936	| 99PI-0118-songexploder-1 |	So many times since it came out in 2003
EDL	00:03:51,936	00:03:55,776	| 99PI-0118-songexploder-1 |	I knew that part and I knew that sound I have no idea
EDL	00:03:55,776	00:03:56,544	| 99PI-0118-songexploder-1 |	But that was a
EDL	00:03:56,544	00:03:57,568	| 99PI-0118-songexploder-1 |	Human voice
EDL	00:03:57,568	00:03:59,872	| 99PI-0118-songexploder-1 |	Making that sound until he took everything away
EDL	00:04:00,640	00:04:05,504	| 99PI-0118-songexploder-1 |	And that was the first episode that was for like the pilot before the show is called
EDL	00:04:05,504	00:04:08,064	| 99PI-0118-songexploder-1 |	Song Exploder before when I was closer to figuring it out
EDL	00:04:08,064	00:04:11,136	| 99PI-0118-songexploder-1 |	And when Jimmy play that part I was like oh this is it this is
EDL	00:04:11,648	00:04:13,440	| 99PI-0118-songexploder-1 |	This is the reason why I want to do the show
EDL	00:04:14,464	00:04:16,256	| 99PI-0118-songexploder-1 |	And a radio show was born
EDL	00:04:17,536	00:04:18,815	| 99PI-0118-songexploder-1 |	Podcast whatever
EDL	00:04:19,327	00:04:21,119	| 99PI-0118-songexploder-1 |	As opposed to like a magic
EDL	00:04:21,119	00:04:23,679	| 99PI-0118-songexploder-1 |	Trick where the intention is to
EDL	00:04:24,191	00:04:25,727	| 99PI-0118-songexploder-1 |	Fool the audience
