EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 99pi-0062-q2-1 |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,656	| 99pi-0062-q2-1 |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 99pi-0062-q2-1 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:15,104	| 99pi-0062-q2-1 |	You can say what kind of coverage were looking for and how much you want to pay and Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:19,968	| 99pi-0062-q2-1 |	Use the Name Your Price tool and start an online quote today at progressive.com
EDL	00:00:20,480	00:00:22,784	| 99pi-0062-q2-1 |	Price in coverage match limited by state law
EDL	00:00:24,576	00:00:30,976	| 99pi-0062-q2-1 |	Family ghosts is a podcast explores all the unexpected ways our family structure and shape our view
EDL	00:00:30,976	00:00:31,744	| 99pi-0062-q2-1 |	Of the world
EDL	00:00:31,744	00:00:38,144	| 99pi-0062-q2-1 |	Each episode of Family ghosts takes a look at the story behind a different person's family lore digging into
EDL	00:00:38,144	00:00:40,192	| 99pi-0062-q2-1 |	Unanswered questions about their history
EDL	00:00:40,192	00:00:46,592	| 99pi-0062-q2-1 |	Season 2 Launches on May 15th featuring an episode where they take you inside the love Israel family called
EDL	00:00:46,592	00:00:52,992	| 99pi-0062-q2-1 |	So what about uncovering the secret scroll in a newly discovered stack of love letters and Moon episode that brings you alone
EDL	00:00:52,992	00:00:59,392	| 99pi-0062-q2-1 |	On the hunt for a container of missing Chinese food that's haunted a family for 25 years and more
EDL	00:00:59,392	00:01:03,488	| 99pi-0062-q2-1 |	Subscribe to family goes wherever you get your podcast and find out why they say
EDL	00:01:03,488	00:01:04,768	| 99pi-0062-q2-1 |	Every house is haunted
EDL	00:01:05,536	00:01:07,584	| 99pi-0062-q2-1 |	This is 99% invisible
EDL	00:01:07,584	00:01:08,096	| 99pi-0062-q2-1 |	I'm Roman Mars
EDL	00:01:11,680	00:01:13,728	| 99pi-0062-q2-1 |	So tell me why this isn't a repeat
EDL	00:01:13,728	00:01:14,496	| 99pi-0062-q2-1 |	Goatman
EDL	00:01:14,496	00:01:17,568	| 99pi-0062-q2-1 |	In the first story we talk to Doctor Keith
EDL	00:01:17,568	00:01:18,336	| 99pi-0062-q2-1 |	Okay
EDL	00:01:18,336	00:01:22,944	| 99pi-0062-q2-1 |	In the first story we talk to doctor Q at MIT and he told me how America you
EDL	00:01:22,944	00:01:24,224	| 99pi-0062-q2-1 |	Used to be all about the
EDL	00:01:24,224	00:01:25,760	| 99pi-0062-q2-1 |	Serpentine line the first
EDL	00:01:25,760	00:01:27,040	| 99pi-0062-q2-1 |	Come first serve
EDL	00:01:27,040	00:01:32,416	| 99pi-0062-q2-1 |	This is where one line serves all the available register is like the way the airline ticket counter used to be
EDL	00:01:32,928	00:01:36,256	| 99pi-0062-q2-1 |	Or Wendy's
EDL	00:01:36,256	00:01:39,072	| 99pi-0062-q2-1 |	Changing the American Experience of waiting in line
EDL	00:01:39,072	00:01:40,864	| 99pi-0062-q2-1 |	He said that I was onto something
EDL	00:01:40,864	00:01:44,704	| 99pi-0062-q2-1 |	Priority line is where you pay to get to the front of the line
EDL	00:01:44,704	00:01:45,472	| 99pi-0062-q2-1 |	Exclusive
EDL	00:01:45,472	00:01:46,240	| 99pi-0062-q2-1 |	Shorter
EDL	00:01:46,240	00:01:47,008	| 99pi-0062-q2-1 |	Faster-moving one
EDL	00:01:47,520	00:01:49,056	| 99pi-0062-q2-1 |	All right I think that's good
EDL	00:01:50,080	00:01:51,360	| 99pi-0062-q2-1 |	That is Benjamin Walker
EDL	00:01:51,360	00:01:56,480	| 99pi-0062-q2-1 |	I hear all about cute earring design check out episode number 49 of 99% invisible
EDL	00:01:56,480	00:01:58,784	| 99pi-0062-q2-1 |	Benjamin Walker is Q obsessed
EDL	00:01:58,784	00:02:02,368	| 99pi-0062-q2-1 |	He also did a half hour radio documentary on priority queues
EDL	00:02:02,368	00:02:03,648	| 99pi-0062-q2-1 |	For the BBC
EDL	00:02:03,648	00:02:04,672	| 99pi-0062-q2-1 |	I took a trip a
EDL	00:02:04,672	00:02:05,440	| 99pi-0062-q2-1 |	Across the country
EDL	00:02:05,440	00:02:06,208	| 99pi-0062-q2-1 |	Tree and I visited
EDL	00:02:06,208	00:02:06,720	| 99pi-0062-q2-1 |	Highways
EDL	00:02:07,232	00:02:08,512	| 99pi-0062-q2-1 |	Amusement park
EDL	00:02:09,280	00:02:10,304	| 99pi-0062-q2-1 |	Community colleges
EDL	00:02:10,304	00:02:13,376	| 99pi-0062-q2-1 |	Who was using these priority queues and how they work
EDL	00:02:13,888	00:02:15,936	| 99pi-0062-q2-1 |	But the other thing I found out is that
EDL	00:02:15,936	00:02:18,496	| 99pi-0062-q2-1 |	Can actually help us understand
EDL	00:02:18,496	00:02:20,544	| 99pi-0062-q2-1 |	All the fighting that's going on
EDL	00:02:20,544	00:02:21,312	| 99pi-0062-q2-1 |	Over the internet
EDL	00:02:21,824	00:02:23,104	| 99pi-0062-q2-1 |	You mean like on a message board
EDL	00:02:24,896	00:02:27,200	| 99pi-0062-q2-1 |	Talking about the internet internet
EDL	00:02:27,200	00:02:28,736	| 99pi-0062-q2-1 |	The wires and the pipes
EDL	00:02:29,248	00:02:29,760	| 99pi-0062-q2-1 |	Where do we start
EDL	00:02:30,272	00:02:31,552	| 99pi-0062-q2-1 |	We start with Netflix
EDL	00:02:33,344	00:02:39,488	| 99pi-0062-q2-1 |	Chief product officer at Netflix and I've been here for about 10 minutes
EDL	00:02:40,256	00:02:42,048	| 99pi-0062-q2-1 |	And
EDL	00:02:42,048	00:02:47,424	| 99pi-0062-q2-1 |	Built a lot of the technology that we refuse to fill both the DVD service and now the streaming service
EDL	00:02:47,424	00:02:49,472	| 99pi-0062-q2-1 |	News accent has faded a bit
