EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 99pi-0063-thepoliticalstage-1 |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,144	| 99pi-0063-thepoliticalstage-1 |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 99pi-0063-thepoliticalstage-1 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:15,104	| 99pi-0063-thepoliticalstage-1 |	You can say what kind of coverage were looking for and how much you want to pay and Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 99pi-0063-thepoliticalstage-1 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 99pi-0063-thepoliticalstage-1 |	Progressive.com
EDL	00:00:20,480	00:00:22,784	| 99pi-0063-thepoliticalstage-1 |	Price in coverage match limited by state law
EDL	00:00:24,576	00:00:26,368	| 99pi-0063-thepoliticalstage-1 |	When it comes to marketing your business
EDL	00:00:26,368	00:00:29,184	| 99pi-0063-thepoliticalstage-1 |	It's all about reaching the Right audience at the right time
EDL	00:00:29,184	00:00:32,768	| 99pi-0063-thepoliticalstage-1 |	Connecting with that audience when your message will resonate the most
EDL	00:00:32,768	00:00:33,792	| 99pi-0063-thepoliticalstage-1 |	LinkedIn can help
EDL	00:00:34,304	00:00:40,704	| 99pi-0063-thepoliticalstage-1 |	LinkedIn is the world's largest Professional Network in LinkedIn marketing Solutions allow you to Target your customers were there
EDL	00:00:40,704	00:00:44,032	| 99pi-0063-thepoliticalstage-1 |	Engaging every day when they're ready to make a decision
EDL	00:00:44,544	00:00:49,664	| 99pi-0063-thepoliticalstage-1 |	When you advertise on LinkedIn you have the opportunity to build long-term relationships with their customers
EDL	00:00:49,664	00:00:55,296	| 99pi-0063-thepoliticalstage-1 |	Those relationships often turn into high-quality leads website traffic and higher brand awareness
EDL	00:00:55,296	00:00:59,904	| 99pi-0063-thepoliticalstage-1 |	And Linkedin have the marketing tools to help you target your customers with precision
EDL	00:00:59,904	00:01:02,720	| 99pi-0063-thepoliticalstage-1 |	Down to the job title company name and Industry
EDL	00:01:03,232	00:01:05,536	| 99pi-0063-thepoliticalstage-1 |	Because we can Target exactly who you want to reach
EDL	00:01:05,536	00:01:08,352	| 99pi-0063-thepoliticalstage-1 |	You can make sure your customers are getting a message that they care about
EDL	00:01:08,864	00:01:10,912	| 99pi-0063-thepoliticalstage-1 |	Which in turn builds Trust
EDL	00:01:10,912	00:01:17,312	| 99pi-0063-thepoliticalstage-1 |	To redeem a free $100 LinkedIn at credit and launch your first campaign go to linkedin.com
EDL	00:01:17,312	00:01:22,176	| 99pi-0063-thepoliticalstage-1 |	Isabel linkedin.com invisible Pier free $100 at credit
EDL	00:01:22,688	00:01:24,224	| 99pi-0063-thepoliticalstage-1 |	Terms and conditions apply
EDL	00:01:24,992	00:01:27,040	| 99pi-0063-thepoliticalstage-1 |	This is 99% invisible
EDL	00:01:27,040	00:01:28,576	| 99pi-0063-thepoliticalstage-1 |	And decodedc
EDL	00:01:29,088	00:01:34,208	| 99pi-0063-thepoliticalstage-1 |	Is a special joint episode between my friend here Roman Mars
EDL	00:01:36,512	00:01:38,560	| 99pi-0063-thepoliticalstage-1 |	It's election season as you know
EDL	00:01:38,560	00:01:42,912	| 99pi-0063-thepoliticalstage-1 |	And I found out we had a lot of the same questions about the political events
EDL	00:01:42,912	00:01:44,704	| 99pi-0063-thepoliticalstage-1 |	That are everywhere right now
EDL	00:01:44,704	00:01:45,728	| 99pi-0063-thepoliticalstage-1 |	Questions like
EDL	00:01:45,728	00:01:50,080	| 99pi-0063-thepoliticalstage-1 |	How much of a debate or a press conference is genuinely spontaneous
EDL	00:01:50,080	00:01:51,872	| 99pi-0063-thepoliticalstage-1 |	And how much is pre-planned
EDL	00:01:51,872	00:01:54,432	| 99pi-0063-thepoliticalstage-1 |	Who designed the theater of politics
EDL	00:01:54,432	00:01:57,504	| 99pi-0063-thepoliticalstage-1 |	Why do speeches in town hall meetings look the way they do
EDL	00:01:57,504	00:02:00,320	| 99pi-0063-thepoliticalstage-1 |	And what message are the campaign's trying to ask
EDL	00:02:00,320	00:02:01,600	| 99pi-0063-thepoliticalstage-1 |	With their design
EDL	00:02:02,368	00:02:03,904	| 99pi-0063-thepoliticalstage-1 |	Answer some of these questions
EDL	00:02:03,904	00:02:07,744	| 99pi-0063-thepoliticalstage-1 |	We tracked them to the most interesting people I've ever talked to
EDL	00:02:07,744	00:02:08,256	| 99pi-0063-thepoliticalstage-1 |	Solitaire
EDL	00:02:09,024	00:02:10,304	| 99pi-0063-thepoliticalstage-1 |	Let me ask them for their secret
EDL	00:02:11,584	00:02:12,352	| 99pi-0063-thepoliticalstage-1 |	Cigar number one
EDL	00:02:12,864	00:02:14,912	| 99pi-0063-thepoliticalstage-1 |	Every campaign has a brand
EDL	00:02:14,912	00:02:18,496	| 99pi-0063-thepoliticalstage-1 |	This is probably not a huge secret that anyone is paying close attention
EDL	00:02:18,496	00:02:22,592	| 99pi-0063-thepoliticalstage-1 |	It's more than just a politician himself as a brand is an abstraction that
EDL	00:02:22,592	00:02:25,664	| 99pi-0063-thepoliticalstage-1 |	Float on top of the human being that's running for office so
EDL	00:02:25,664	00:02:27,456	| 99pi-0063-thepoliticalstage-1 |	Obama in 2008 it was hope
EDL	00:02:28,224	00:02:30,272	| 99pi-0063-thepoliticalstage-1 |	And virami right now
EDL	00:02:30,272	00:02:31,296	| 99pi-0063-thepoliticalstage-1 |	I don't know I can't read
EDL	00:02:31,296	00:02:32,320	| 99pi-0063-thepoliticalstage-1 |	Put my finger on it
EDL	00:02:32,320	00:02:33,600	| 99pi-0063-thepoliticalstage-1 |	Tommy's brand is like a
EDL	00:02:33,600	00:02:34,880	| 99pi-0063-thepoliticalstage-1 |	Competent
EDL	00:02:34,880	00:02:36,416	| 99pi-0063-thepoliticalstage-1 |	This man who can bring back jobs
EDL	00:02:36,928	00:02:42,304	| 99pi-0063-thepoliticalstage-1 |	That is the message that the campaign is selling and every detail is arranged the market that brand
EDL	00:02:42,304	00:02:46,144	| 99pi-0063-thepoliticalstage-1 |	The politicians clothes how he walks what he says where he goes
EDL	00:02:46,144	00:02:47,424	| 99pi-0063-thepoliticalstage-1 |	A sense of humor
EDL	00:02:47,424	00:02:48,448	| 99pi-0063-thepoliticalstage-1 |	His wife
EDL	00:02:48,448	00:02:49,472	| 99pi-0063-thepoliticalstage-1 |	His haircut
EDL	00:02:49,472	00:02:50,752	| 99pi-0063-thepoliticalstage-1 |	His watch
EDL	00:02:50,752	00:02:53,312	| 99pi-0063-thepoliticalstage-1 |	Which brings us to secret number
EDL	00:02:53,312	00:02:53,824	| 99pi-0063-thepoliticalstage-1 |	2
EDL	00:02:54,336	00:02:55,872	| 99pi-0063-thepoliticalstage-1 |	Every campaign has a
EDL	00:02:55,872	00:02:56,896	| 99pi-0063-thepoliticalstage-1 |	Team of people
EDL	00:02:56,896	00:02:59,200	| 99pi-0063-thepoliticalstage-1 |	Who are in charge of making every event
EDL	00:02:59,712	00:03:00,480	| 99pi-0063-thepoliticalstage-1 |	Fit that brand
EDL	00:03:01,248	00:03:03,040	| 99pi-0063-thepoliticalstage-1 |	The called the advanced
EDL	00:03:03,040	00:03:03,808	| 99pi-0063-thepoliticalstage-1 |	Team
EDL	00:03:03,808	00:03:05,856	| 99pi-0063-thepoliticalstage-1 |	From campaign headquarters
EDL	00:03:05,856	00:03:07,392	| 99pi-0063-thepoliticalstage-1 |	They're giving a location
EDL	00:03:07,392	00:03:08,160	| 99pi-0063-thepoliticalstage-1 |	Update
EDL	00:03:08,160	00:03:08,928	| 99pi-0063-thepoliticalstage-1 |	A type of event
EDL	00:03:12,512	00:03:17,120	| 99pi-0063-thepoliticalstage-1 |	Donnie Fowler is a longtime Advanced guy he worked for Bill Clinton Al Gore John
EDL	00:03:17,120	00:03:18,400	| 99pi-0063-thepoliticalstage-1 |	Scary Barack Obama
EDL	00:03:20,448	00:03:21,216	| 99pi-0063-thepoliticalstage-1 |	Very much Democrat
