EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 99pi-0076-themodernmoloch-1 |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,656	| 99pi-0076-themodernmoloch-1 |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 99pi-0076-themodernmoloch-1 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:15,104	| 99pi-0076-themodernmoloch-1 |	You can say what kind of coverage were looking for and how much you want to pay and Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 99pi-0076-themodernmoloch-1 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 99pi-0076-themodernmoloch-1 |	Progressive.com
EDL	00:00:20,480	00:00:22,784	| 99pi-0076-themodernmoloch-1 |	Price in coverage match limited by state law
EDL	00:00:24,576	00:00:30,976	| 99pi-0076-themodernmoloch-1 |	Family ghosts is a podcast explores all the unexpected ways our family structure and shape our view
EDL	00:00:30,976	00:00:31,744	| 99pi-0076-themodernmoloch-1 |	Of the world
EDL	00:00:31,744	00:00:37,376	| 99pi-0076-themodernmoloch-1 |	Each episode of Family ghosts takes a look at the story behind a different person's family lore
EDL	00:00:37,376	00:00:40,192	| 99pi-0076-themodernmoloch-1 |	Digging into unanswered questions about their history
EDL	00:00:40,192	00:00:46,592	| 99pi-0076-themodernmoloch-1 |	Season 2 Launches on May 15th featuring an episode where they take you inside the love Israel family called
EDL	00:00:46,592	00:00:50,688	| 99pi-0076-themodernmoloch-1 |	So what about uncovering the secret scroll in a newly discovered stack of Love Letters
EDL	00:00:50,688	00:00:57,088	| 99pi-0076-themodernmoloch-1 |	Asuna episode that brings you along to the hunt for a container of missing Chinese food that's haunted a family
EDL	00:00:57,088	00:00:58,880	| 99pi-0076-themodernmoloch-1 |	For 25 years and more
EDL	00:00:59,392	00:01:03,488	| 99pi-0076-themodernmoloch-1 |	Subscribe to family goes wherever you get your podcast and find out why they say
EDL	00:01:03,488	00:01:04,768	| 99pi-0076-themodernmoloch-1 |	Every house is haunted
EDL	00:01:05,792	00:01:07,584	| 99pi-0076-themodernmoloch-1 |	This is 99% invisible
EDL	00:01:08,096	00:01:09,376	| 99pi-0076-themodernmoloch-1 |	I'm Roman Mars
EDL	00:01:12,448	00:01:18,848	| 99pi-0076-themodernmoloch-1 |	If you live in an American city and you walk outside to a major intersection and look into this
EDL	00:01:18,848	00:01:19,872	| 99pi-0076-themodernmoloch-1 |	Streets
EDL	00:01:19,872	00:01:26,272	| 99pi-0076-themodernmoloch-1 |	You know what you'll say you'll see cars and trucks and buses you might see a few bicycles trying to sneak
EDL	00:01:26,272	00:01:32,416	| 99pi-0076-themodernmoloch-1 |	Either way through the traffic but you won't see our people not on the street anyway maybe on the sidewalk waiting for their turn to cross
EDL	00:01:32,928	00:01:34,464	| 99pi-0076-themodernmoloch-1 |	And I'm crossing quickly
EDL	00:01:34,464	00:01:38,048	| 99pi-0076-themodernmoloch-1 |	Hurrying to get out of the way so that the cars can get going again
EDL	00:01:38,816	00:01:39,840	| 99pi-0076-themodernmoloch-1 |	In recent times
EDL	00:01:40,352	00:01:43,424	| 99pi-0076-themodernmoloch-1 |	Some of us are coming to think the city streets shouldn't just be for cars
EDL	00:01:43,424	00:01:45,728	| 99pi-0076-themodernmoloch-1 |	And trucks the cars take up too much space
EDL	00:01:45,728	00:01:46,752	| 99pi-0076-themodernmoloch-1 |	Lewis too much carbon
EDL	00:01:47,264	00:01:49,312	| 99pi-0076-themodernmoloch-1 |	Just to move a couple of people a short distance
EDL	00:01:49,824	00:01:51,872	| 99pi-0076-themodernmoloch-1 |	But even those anti-car haters
EDL	00:01:51,872	00:01:52,640	| 99pi-0076-themodernmoloch-1 |	And I am one
EDL	00:01:53,152	00:01:54,944	| 99pi-0076-themodernmoloch-1 |	We know the streets belong to our enemy
EDL	00:01:55,456	00:01:57,504	| 99pi-0076-themodernmoloch-1 |	We look both ways before Crossing
