EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 99pi-0088-thebroadcastclock-1 |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,144	| 99pi-0088-thebroadcastclock-1 |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 99pi-0088-thebroadcastclock-1 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:15,104	| 99pi-0088-thebroadcastclock-1 |	You can say what kind of coverage were looking for and how much you want to pay and Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 99pi-0088-thebroadcastclock-1 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 99pi-0088-thebroadcastclock-1 |	Progressive.com
EDL	00:00:20,480	00:00:22,784	| 99pi-0088-thebroadcastclock-1 |	Price in coverage match limited by state law
EDL	00:00:24,576	00:00:26,368	| 99pi-0088-thebroadcastclock-1 |	When it comes to marketing your business
EDL	00:00:26,368	00:00:29,184	| 99pi-0088-thebroadcastclock-1 |	It's all about reaching the Right audience at the right time
EDL	00:00:29,184	00:00:32,256	| 99pi-0088-thebroadcastclock-1 |	Connecting with that audience when your message will resonate the most
EDL	00:00:32,768	00:00:33,792	| 99pi-0088-thebroadcastclock-1 |	LinkedIn can help
EDL	00:00:34,304	00:00:40,704	| 99pi-0088-thebroadcastclock-1 |	LinkedIn is the world's largest Professional Network in LinkedIn marketing Solutions allow you to Target your customers were there
EDL	00:00:40,704	00:00:44,032	| 99pi-0088-thebroadcastclock-1 |	Engaging every day when they're ready to make a decision
EDL	00:00:44,544	00:00:49,664	| 99pi-0088-thebroadcastclock-1 |	When you advertise on LinkedIn you have the opportunity to build long-term relationships with their customers
EDL	00:00:49,664	00:00:55,296	| 99pi-0088-thebroadcastclock-1 |	Those relationships often turn into high-quality leads website traffic and higher brand awareness
EDL	00:00:55,296	00:00:59,904	| 99pi-0088-thebroadcastclock-1 |	And Linkedin have the marketing tools to help you target your customers with precision
EDL	00:00:59,904	00:01:02,720	| 99pi-0088-thebroadcastclock-1 |	Down to the job title company name and Industry
EDL	00:01:03,232	00:01:05,536	| 99pi-0088-thebroadcastclock-1 |	Because we can Target exactly who you want to reach
EDL	00:01:05,536	00:01:08,352	| 99pi-0088-thebroadcastclock-1 |	You can make sure your customers are getting a message that they care about
EDL	00:01:08,864	00:01:10,912	| 99pi-0088-thebroadcastclock-1 |	Which in turn builds Trust
EDL	00:01:10,912	00:01:17,056	| 99pi-0088-thebroadcastclock-1 |	To redeem a free $100 LinkedIn at credit and launch your first campaign go to linkedin.com
EDL	00:01:17,824	00:01:20,128	| 99pi-0088-thebroadcastclock-1 |	Linkedin.com invisible
EDL	00:01:20,128	00:01:22,176	| 99pi-0088-thebroadcastclock-1 |	A free $100 at credit
EDL	00:01:22,688	00:01:24,224	| 99pi-0088-thebroadcastclock-1 |	Terms and conditions apply
EDL	00:01:24,992	00:01:27,040	| 99pi-0088-thebroadcastclock-1 |	This is 99% invisible
EDL	00:01:27,552	00:01:28,320	| 99pi-0088-thebroadcastclock-1 |	I'm Roman Mars
EDL	00:01:29,344	00:01:31,904	| 99pi-0088-thebroadcastclock-1 |	Ready open on Roman open
EDL	00:01:32,416	00:01:38,816	| 99pi-0088-thebroadcastclock-1 |	When I'm not making radio I listen to a lot of radio more than
EDL	00:01:38,816	00:01:45,216	| 99pi-0088-thebroadcastclock-1 |	Set a clock for 4:30 please my earbuds are constantly lost in my ears
EDL	00:01:45,216	00:01:49,824	| 99pi-0088-thebroadcastclock-1 |	So that I can press play and listen to radio at any moment that doesn't require me to talk
EDL	00:01:49,824	00:01:56,224	| 99pi-0088-thebroadcastclock-1 |	Or listen to an actual human being in the real world
EDL	00:01:56,224	00:02:02,624	| 99pi-0088-thebroadcastclock-1 |	Riverside by Troy malattia
EDL	00:02:02,624	00:02:09,024	| 99pi-0088-thebroadcastclock-1 |	Produced by speaking into microphones
EDL	00:02:09,024	00:02:11,328	| 99pi-0088-thebroadcastclock-1 |	Julia walking on cement stairs
EDL	00:02:11,328	00:02:17,728	| 99pi-0088-thebroadcastclock-1 |	Or doing the dishes open or driving the car they are but you're somewhere else too
EDL	00:02:17,728	00:02:19,776	| 99pi-0088-thebroadcastclock-1 |	Create driveway moments
EDL	00:02:19,776	00:02:20,544	| 99pi-0088-thebroadcastclock-1 |	TM
EDL	00:02:20,544	00:02:22,080	| 99pi-0088-thebroadcastclock-1 |	Story so good
EDL	00:02:22,080	00:02:28,224	| 99pi-0088-thebroadcastclock-1 |	That listeners can't leave their car until they're over part of what makes a driveway moment is the end of that moment
EDL	00:02:28,736	00:02:30,272	| 99pi-0088-thebroadcastclock-1 |	When you realize what time it is
EDL	00:02:30,784	00:02:34,112	| 99pi-0088-thebroadcastclock-1 |	You could have been staring at a clock all along but for a while
EDL	00:02:34,112	00:02:34,880	| 99pi-0088-thebroadcastclock-1 |	For once
EDL	00:02:34,880	00:02:36,416	| 99pi-0088-thebroadcastclock-1 |	It had no power of you
EDL	00:02:36,416	00:02:39,744	| 99pi-0088-thebroadcastclock-1 |	That time Distortion field is one of public radio Secret
EDL	00:02:39,744	00:02:41,024	| 99pi-0088-thebroadcastclock-1 |	Awesome powers
EDL	00:02:41,024	00:02:43,072	| 99pi-0088-thebroadcastclock-1 |	Which is why it is such a shock
EDL	00:02:43,072	00:02:45,632	| 99pi-0088-thebroadcastclock-1 |	When those of us go from being radio listeners
EDL	00:02:45,632	00:02:47,168	| 99pi-0088-thebroadcastclock-1 |	Do radio producers
EDL	00:02:47,168	00:02:49,728	| 99pi-0088-thebroadcastclock-1 |	Like me and my friend Julia Barton here
EDL	00:02:49,728	00:02:53,568	| 99pi-0088-thebroadcastclock-1 |	The audience is hearing this it's hard to believe he's not nervous
EDL	00:02:54,848	00:02:58,944	| 99pi-0088-thebroadcastclock-1 |	But this is what radio sounds like on the inside and 32 seconds
EDL	00:02:58,944	00:03:00,224	| 99pi-0088-thebroadcastclock-1 |	Short of what I'm
EDL	00:03:00,224	00:03:00,992	| 99pi-0088-thebroadcastclock-1 |	Supposed to have
EDL	00:03:01,760	00:03:05,088	| 99pi-0088-thebroadcastclock-1 |	So what I'll do is I'll just take 15 seconds of this song
EDL	00:03:05,600	00:03:07,392	| 99pi-0088-thebroadcastclock-1 |	And then why would they be 60 Seconds
EDL	00:03:08,160	00:03:08,672	| 99pi-0088-thebroadcastclock-1 |	You will
EDL	00:03:09,440	00:03:12,768	| 99pi-0088-thebroadcastclock-1 |	I visited NPR's headquarters in Washington DC
EDL	00:03:12,768	00:03:15,840	| 99pi-0088-thebroadcastclock-1 |	And sat in on the live roll of All Things Considered
EDL	00:03:15,840	00:03:17,632	| 99pi-0088-thebroadcastclock-1 |	Their Flagship Afternoon News Maga
EDL	00:03:18,144	00:03:20,448	| 99pi-0088-thebroadcastclock-1 |	Show their clocks all over the studios
EDL	00:03:20,448	00:03:22,240	| 99pi-0088-thebroadcastclock-1 |	Big Red digital clock
EDL	00:03:22,240	00:03:24,288	| 99pi-0088-thebroadcastclock-1 |	Huge round analog clocks
EDL	00:03:24,288	00:03:26,080	| 99pi-0088-thebroadcastclock-1 |	Special software and calculator
EDL	00:03:26,592	00:03:27,872	| 99pi-0088-thebroadcastclock-1 |	Time calculator
EDL	00:03:27,872	00:03:30,688	| 99pi-0088-thebroadcastclock-1 |	What's 60 + 60 equals 200
EDL	00:03:33,248	00:03:33,760	| 99pi-0088-thebroadcastclock-1 |	Hi
EDL	00:03:35,808	00:03:41,952	| 99pi-0088-thebroadcastclock-1 |	Bring one of the only two play 15 seconds but you're wrapped up 45 seconds earlier so now I have to pay a long time is it okay
EDL	00:03:43,744	00:03:44,768	| 99pi-0088-thebroadcastclock-1 |	Yeah I mean
EDL	00:03:44,768	00:03:45,280	| 99pi-0088-thebroadcastclock-1 |	Choice really
EDL	00:03:46,304	00:03:47,584	| 99pi-0088-thebroadcastclock-1 |	We have enough to Detroit
EDL	00:03:47,584	00:03:48,608	| 99pi-0088-thebroadcastclock-1 |	I don't think so
EDL	00:03:49,376	00:03:52,960	| 99pi-0088-thebroadcastclock-1 |	Monica is Stevia directs all things considered 4 days a week
EDL	00:03:53,472	00:03:59,616	| 99pi-0088-thebroadcastclock-1 |	To me it's the scariest job in the world is built into the design of a program like all things considered
EDL	00:04:00,128	00:04:00,896	| 99pi-0088-thebroadcastclock-1 |	It's the show
EDL	00:04:01,664	00:04:02,688	| 99pi-0088-thebroadcastclock-1 |	The show has a set
EDL	00:04:02,688	00:04:03,968	| 99pi-0088-thebroadcastclock-1 |	The clock is a template
EDL	00:04:03,968	00:04:05,504	| 99pi-0088-thebroadcastclock-1 |	From which it almost never varies
EDL	00:04:06,016	00:04:07,808	| 99pi-0088-thebroadcastclock-1 |	Every show that broadcast
EDL	00:04:07,808	00:04:10,368	| 99pi-0088-thebroadcastclock-1 |	Soar aspires to broadcast in the public radio system
EDL	00:04:10,880	00:04:11,648	| 99pi-0088-thebroadcastclock-1 |	Has a clock
EDL	00:04:12,416	00:04:14,976	| 99pi-0088-thebroadcastclock-1 |	Basically it looks like a pi it's round
EDL	00:04:14,976	00:04:17,280	| 99pi-0088-thebroadcastclock-1 |	And sliced and lots of weird ways
EDL	00:04:17,280	00:04:22,143	| 99pi-0088-thebroadcastclock-1 |	Some of the spices are very thin there's 59 seconds fit program opening we call that the billboard
EDL	00:04:22,655	00:04:24,703	| 99pi-0088-thebroadcastclock-1 |	14 seconds for the funding credits
EDL	00:04:24,703	00:04:26,495	| 99pi-0088-thebroadcastclock-1 |	Ephedra slices 5 minutes
EDL	00:04:26,495	00:04:27,007	| 99pi-0088-thebroadcastclock-1 |	For the news
EDL	00:04:27,775	00:04:30,847	| 99pi-0088-thebroadcastclock-1 |	The biggest slices are lettered a b c and d
EDL	00:04:30,847	00:04:31,615	| 99pi-0088-thebroadcastclock-1 |	And they are the psychic
EDL	00:04:32,127	00:04:34,431	| 99pi-0088-thebroadcastclock-1 |	That's where the stories and interviews live
EDL	00:04:34,431	00:04:35,967	| 99pi-0088-thebroadcastclock-1 |	And they have to fit together
EDL	00:04:35,967	00:04:36,991	| 99pi-0088-thebroadcastclock-1 |	1 minute to close
EDL	00:04:36,991	00:04:38,015	| 99pi-0088-thebroadcastclock-1 |	I remember I was very
EDL	00:04:40,063	00:04:40,575	| 99pi-0088-thebroadcastclock-1 |	Meteors
EDL	00:04:41,599	00:04:42,367	| 99pi-0088-thebroadcastclock-1 |	Figure it out
EDL	00:04:43,391	00:04:46,463	| 99pi-0088-thebroadcastclock-1 |	The clock is your master for the two hours the show rolls out
EDL	00:04:46,463	00:04:47,487	| 99pi-0088-thebroadcastclock-1 |	Everything has to be ready
EDL	00:04:47,999	00:04:49,791	| 99pi-0088-thebroadcastclock-1 |	Segments can't run long by even a second
EDL	00:04:50,303	00:04:52,607	| 99pi-0088-thebroadcastclock-1 |	Because most of the local stations are automated
EDL	00:04:52,607	00:04:53,631	| 99pi-0088-thebroadcastclock-1 |	To cut off the national
EDL	00:04:53,631	00:04:55,423	| 99pi-0088-thebroadcastclock-1 |	Program where the clock says they can
EDL	00:04:55,935	00:04:56,959	| 99pi-0088-thebroadcastclock-1 |	These times are called post
EDL	00:04:57,727	00:04:58,239	| 99pi-0088-thebroadcastclock-1 |	You have to
EDL	00:04:59,263	00:05:00,031	| 99pi-0088-thebroadcastclock-1 |	Nothing
EDL	00:05:00,031	00:05:00,799	| 99pi-0088-thebroadcastclock-1 |	Can go wrong
