EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,328	| 99pi-0101-coverstory-1 |	99percentinvisible is brought to you by Progresso
EDL	00:00:03,840	00:00:06,144	| 99pi-0101-coverstory-1 |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 99pi-0101-coverstory-1 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:12,544	| 99pi-0101-coverstory-1 |	You can say what kind of coverage were looking for and how much you want to pay
EDL	00:00:12,544	00:00:15,104	| 99pi-0101-coverstory-1 |	Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 99pi-0101-coverstory-1 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 99pi-0101-coverstory-1 |	Progressive.com
EDL	00:00:20,480	00:00:21,760	| 99pi-0101-coverstory-1 |	Price in coverage match
EDL	00:00:21,760	00:00:22,528	| 99pi-0101-coverstory-1 |	Limited by state law
EDL	00:00:24,576	00:00:26,368	| 99pi-0101-coverstory-1 |	When it comes to marketing your business
EDL	00:00:26,368	00:00:29,184	| 99pi-0101-coverstory-1 |	It's all about reaching the Right audience at the right time
EDL	00:00:29,184	00:00:32,256	| 99pi-0101-coverstory-1 |	Connecting with that audience when your message will resonate the most
EDL	00:00:32,768	00:00:33,792	| 99pi-0101-coverstory-1 |	LinkedIn can help
EDL	00:00:34,304	00:00:36,608	| 99pi-0101-coverstory-1 |	LinkedIn is the world's largest professional network
EDL	00:00:36,608	00:00:43,008	| 99pi-0101-coverstory-1 |	LinkedIn marketing Solutions allow you to Target your customers where they're engaging everyday when they're ready
EDL	00:00:43,008	00:00:44,032	| 99pi-0101-coverstory-1 |	Need to make a decision
EDL	00:00:44,544	00:00:49,152	| 99pi-0101-coverstory-1 |	When you advertise on LinkedIn you have the opportunity to build long-term relationships with their customer
EDL	00:00:49,664	00:00:52,480	| 99pi-0101-coverstory-1 |	Those relationships often turn into high-quality leads
EDL	00:00:52,480	00:00:54,784	| 99pi-0101-coverstory-1 |	Website traffic and higher brand awareness
EDL	00:00:55,296	00:00:59,904	| 99pi-0101-coverstory-1 |	And Linkedin have the marketing tools to help you target your customers with precision
EDL	00:00:59,904	00:01:02,464	| 99pi-0101-coverstory-1 |	Down to the job title company name and ended
EDL	00:01:03,232	00:01:05,536	| 99pi-0101-coverstory-1 |	Because we can Target exactly who you want to reach
EDL	00:01:05,536	00:01:08,352	| 99pi-0101-coverstory-1 |	You can make sure your customers are getting a message that they care about
EDL	00:01:08,864	00:01:10,400	| 99pi-0101-coverstory-1 |	Which in turn builds Trust
EDL	00:01:10,912	00:01:17,056	| 99pi-0101-coverstory-1 |	To redeem a free $100 LinkedIn at credit and launch your first campaign go to linkedin.com
EDL	00:01:17,824	00:01:19,360	| 99pi-0101-coverstory-1 |	Linkedin.com
EDL	00:01:19,360	00:01:20,128	| 99pi-0101-coverstory-1 |	Invisible
EDL	00:01:20,128	00:01:21,920	| 99pi-0101-coverstory-1 |	Beer free $100 at
EDL	00:01:21,920	00:01:22,688	| 99pi-0101-coverstory-1 |	Bad credit
EDL	00:01:22,688	00:01:23,968	| 99pi-0101-coverstory-1 |	Terms and conditions
EDL	00:01:23,968	00:01:24,480	| 99pi-0101-coverstory-1 |	Apply
EDL	00:01:25,248	00:01:27,040	| 99pi-0101-coverstory-1 |	This is 99% invisible
EDL	00:01:27,552	00:01:28,320	| 99pi-0101-coverstory-1 |	I'm Roman Mars
EDL	00:01:29,344	00:01:30,112	| 99pi-0101-coverstory-1 |	Ideas
EDL	00:01:30,112	00:01:30,624	| 99pi-0101-coverstory-1 |	PS4 magazine
EDL	00:01:33,696	00:01:34,208	| 99pi-0101-coverstory-1 |	Cover
EDL	00:01:35,744	00:01:36,256	| 99pi-0101-coverstory-1 |	Our God
EDL	00:01:38,048	00:01:38,816	| 99pi-0101-coverstory-1 |	You know the same
EDL	00:01:39,328	00:01:40,608	| 99pi-0101-coverstory-1 |	You can't judge a book
EDL	00:01:40,608	00:01:41,376	| 99pi-0101-coverstory-1 |	By its cover
EDL	00:01:41,376	00:01:44,960	| 99pi-0101-coverstory-1 |	Woodmagazine it's pretty much the opposite
EDL	00:01:44,960	00:01:45,728	| 99pi-0101-coverstory-1 |	He works here
EDL	00:01:45,728	00:01:49,056	| 99pi-0101-coverstory-1 |	You can and you should judge a magazine by its cover
EDL	00:01:50,080	00:01:50,592	| 99pi-0101-coverstory-1 |	Everyone is
EDL	00:01:51,360	00:01:53,152	| 99pi-0101-coverstory-1 |	They want you to
EDL	00:01:54,688	00:01:56,224	| 99pi-0101-coverstory-1 |	The cover of the magazine
EDL	00:01:56,224	00:02:02,624	| 99pi-0101-coverstory-1 |	Is the unified identity for a whole host of ideas and authors and designers who created The Eclectic array of
EDL	00:02:02,624	00:02:05,440	| 99pi-0101-coverstory-1 |	Stories and articles and materials within each issue
EDL	00:02:05,440	00:02:09,280	| 99pi-0101-coverstory-1 |	And some would argue this identity extends to the reader as well
EDL	00:02:10,304	00:02:11,584	| 99pi-0101-coverstory-1 |	Magazine covers
EDL	00:02:11,584	00:02:12,352	| 99pi-0101-coverstory-1 |	Third person
EDL	00:02:15,168	00:02:16,960	| 99pi-0101-coverstory-1 |	In the moment you'll seen with that
EDL	00:02:16,960	00:02:17,984	| 99pi-0101-coverstory-1 |	Either by yourself
EDL	00:02:18,496	00:02:19,264	| 99pi-0101-coverstory-1 |	Oh by your peers
EDL	00:02:20,032	00:02:21,312	| 99pi-0101-coverstory-1 |	And you are a bo3.
EDL	00:02:21,312	00:02:26,432	| 99pi-0101-coverstory-1 |	And this is different than being a Twilight reader or a DaVinci Code Reader
EDL	00:02:26,432	00:02:27,200	| 99pi-0101-coverstory-1 |	Moment In Time
EDL	00:02:27,712	00:02:28,480	| 99pi-0101-coverstory-1 |	Where's the magazine
EDL	00:02:28,480	00:02:31,040	| 99pi-0101-coverstory-1 |	Is a constant source of ever-changing
EDL	00:02:31,040	00:02:37,184	| 99pi-0101-coverstory-1 |	Content and that's why the design challenging
EDL	00:02:37,952	00:02:43,840	| 99pi-0101-coverstory-1 |	Magazine covers are a composition of text and visuals that are designed to express a specific identity
EDL	00:02:46,912	00:02:48,192	| 99pi-0101-coverstory-1 |	Hugo the phone girl
EDL	00:02:48,192	00:02:49,216	| 99pi-0101-coverstory-1 |	You got color
EDL	00:02:49,216	00:02:52,544	| 99pi-0101-coverstory-1 |	Secrets of magazine design
EDL	00:02:53,056	00:02:56,896	| 99pi-0101-coverstory-1 |	Reveals All This is Andy
EDL	00:02:56,896	00:03:03,296	| 99pi-0101-coverstory-1 |	Which is a block in Creative at Marie Claire
EDL	00:03:03,296	00:03:06,368	| 99pi-0101-coverstory-1 |	And a whole bunch of other magazines both in the United States and England
EDL	00:03:06,368	00:03:09,184	| 99pi-0101-coverstory-1 |	So we are two about covers starting from the top
EDL	00:03:09,696	00:03:10,464	| 99pi-0101-coverstory-1 |	Literally
EDL	00:03:10,464	00:03:13,024	| 99pi-0101-coverstory-1 |	Because that's where the name of the magazine always is
EDL	00:03:13,024	00:03:16,352	| 99pi-0101-coverstory-1 |	When you see a magazine
EDL	00:03:16,864	00:03:17,888	| 99pi-0101-coverstory-1 |	Best Central
EDL	00:03:17,888	00:03:19,424	| 99pi-0101-coverstory-1 |	If that doesn't happen everything else
EDL	00:03:19,424	00:03:25,568	| 99pi-0101-coverstory-1 |	And then you got to show them that this is the new issue the one they don't have yet
EDL	00:03:26,336	00:03:27,872	| 99pi-0101-coverstory-1 |	300 the last one
EDL	00:03:27,872	00:03:29,408	| 99pi-0101-coverstory-1 |	Is green
EDL	00:03:29,408	00:03:30,176	| 99pi-0101-coverstory-1 |	This one is blue
EDL	00:03:31,456	00:03:33,248	| 99pi-0101-coverstory-1 |	The photograph
EDL	00:03:33,248	00:03:35,040	| 99pi-0101-coverstory-1 |	Is the thing that creates really pound
EDL	00:03:35,552	00:03:36,320	| 99pi-0101-coverstory-1 |	Emotional
EDL	00:03:36,320	00:03:37,088	| 99pi-0101-coverstory-1 |	Connection
EDL	00:03:37,088	00:03:37,600	| 99pi-0101-coverstory-1 |	Weather radar
EDL	00:03:38,112	00:03:40,416	| 99pi-0101-coverstory-1 |	You see somebody you see the eye contact
EDL	00:03:41,952	00:03:43,232	| 99pi-0101-coverstory-1 |	Celebrity
EDL	00:03:43,232	00:03:44,256	| 99pi-0101-coverstory-1 |	On my level
EDL	00:03:45,280	00:03:48,096	| 99pi-0101-coverstory-1 |	But the photograph wasn't always part of the equation
EDL	00:03:48,608	00:03:50,912	| 99pi-0101-coverstory-1 |	The early magazine covers were recently illustrator
EDL	00:03:51,424	00:03:52,704	| 99pi-0101-coverstory-1 |	And so you looking at
EDL	00:03:52,704	00:03:54,752	| 99pi-0101-coverstory-1 |	Rockwell unisaw
EDL	00:03:54,752	00:03:55,776	| 99pi-0101-coverstory-1 |	Amazing Oliver
EDL	00:03:55,776	00:03:56,544	| 99pi-0101-coverstory-1 |	On the cover of Vogue
