EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 99pi-0125-duplitecture-1 |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,144	| 99pi-0125-duplitecture-1 |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 99pi-0125-duplitecture-1 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:15,104	| 99pi-0125-duplitecture-1 |	You can say what kind of coverage were looking for and how much you want to pay and Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 99pi-0125-duplitecture-1 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 99pi-0125-duplitecture-1 |	Progressive.com
EDL	00:00:20,480	00:00:22,784	| 99pi-0125-duplitecture-1 |	Price in coverage match limited by state law
EDL	00:00:24,576	00:00:26,368	| 99pi-0125-duplitecture-1 |	When it comes to marketing your business
EDL	00:00:26,368	00:00:29,184	| 99pi-0125-duplitecture-1 |	It's all about reaching the Right audience at the right time
EDL	00:00:29,184	00:00:32,256	| 99pi-0125-duplitecture-1 |	Connecting with that audience when your message will resonate the most
EDL	00:00:32,768	00:00:33,792	| 99pi-0125-duplitecture-1 |	LinkedIn can help
EDL	00:00:34,304	00:00:40,704	| 99pi-0125-duplitecture-1 |	LinkedIn is the world's largest Professional Network in LinkedIn marketing Solutions allow you to Target your customers were there
EDL	00:00:40,704	00:00:44,032	| 99pi-0125-duplitecture-1 |	Engaging every day when they're ready to make a decision
EDL	00:00:44,544	00:00:49,664	| 99pi-0125-duplitecture-1 |	When you advertise on LinkedIn you have the opportunity to build long-term relationships with their customers
EDL	00:00:49,664	00:00:55,296	| 99pi-0125-duplitecture-1 |	Those relationships often turn into high-quality leads website traffic and higher brand awareness
EDL	00:00:55,296	00:00:59,904	| 99pi-0125-duplitecture-1 |	And Linkedin have the marketing tools to help you target your customers with precision
EDL	00:00:59,904	00:01:02,720	| 99pi-0125-duplitecture-1 |	Down to the job title company name and Industry
EDL	00:01:03,232	00:01:05,536	| 99pi-0125-duplitecture-1 |	Because we can Target exactly who you want to reach
EDL	00:01:05,536	00:01:08,352	| 99pi-0125-duplitecture-1 |	You can make sure your customers are getting a message that they care about
EDL	00:01:08,864	00:01:10,400	| 99pi-0125-duplitecture-1 |	Which in turn builds Trust
EDL	00:01:10,912	00:01:17,056	| 99pi-0125-duplitecture-1 |	To redeem a free $100 LinkedIn at credit and launch your first campaign go to linkedin.com
EDL	00:01:17,824	00:01:20,128	| 99pi-0125-duplitecture-1 |	Linkedin.com invisible
EDL	00:01:20,128	00:01:22,176	| 99pi-0125-duplitecture-1 |	A free $100 at credit
EDL	00:01:22,688	00:01:24,224	| 99pi-0125-duplitecture-1 |	Terms and conditions apply
EDL	00:01:24,992	00:01:27,040	| 99pi-0125-duplitecture-1 |	This is 99% invisible
EDL	00:01:27,552	00:01:28,320	| 99pi-0125-duplitecture-1 |	I'm Roman Mars
EDL	00:01:31,392	00:01:34,208	| 99pi-0125-duplitecture-1 |	The best knockoffs in the world are in China
EDL	00:01:34,720	00:01:37,024	| 99pi-0125-duplitecture-1 |	Sure designer handbags and roll up his butt
EDL	00:01:37,024	00:01:39,840	| 99pi-0125-duplitecture-1 |	Also really large-scale imitations
EDL	00:01:39,840	00:01:42,656	| 99pi-0125-duplitecture-1 |	Like fake Apple stores that are so dead on
EDL	00:01:42,656	00:01:44,448	| 99pi-0125-duplitecture-1 |	Can employees of the store
EDL	00:01:44,448	00:01:46,752	| 99pi-0125-duplitecture-1 |	Think they're working in a real Apple Store
EDL	00:01:47,264	00:01:53,408	| 99pi-0125-duplitecture-1 |	But beyond just working and knockoffs many residents of Chinese suburbs live their lives in replica cities
EDL	00:01:53,408	00:01:57,248	| 99pi-0125-duplitecture-1 |	Venice's with complete canals in replicas of the Doge's Palace
EDL	00:01:57,248	00:01:59,552	| 99pi-0125-duplitecture-1 |	Paris with Eiffel Tower is an Arc de Triomphe
EDL	00:02:00,064	00:02:01,600	| 99pi-0125-duplitecture-1 |	Chrysler Building
EDL	00:02:01,600	00:02:02,368	| 99pi-0125-duplitecture-1 |	Sydney Opera House
EDL	00:02:03,136	00:02:04,416	| 99pi-0125-duplitecture-1 |	Driving to the suburbs
EDL	00:02:04,928	00:02:05,696	| 99pi-0125-duplitecture-1 |	A penny
EDL	00:02:05,696	00:02:06,976	| 99pi-0125-duplitecture-1 |	City in China
EDL	00:02:06,976	00:02:08,000	| 99pi-0125-duplitecture-1 |	You will find
EDL	00:02:08,000	00:02:09,536	| 99pi-0125-duplitecture-1 |	A plethora
EDL	00:02:09,536	00:02:12,096	| 99pi-0125-duplitecture-1 |	A fake Versace
EDL	00:02:12,096	00:02:13,376	| 99pi-0125-duplitecture-1 |	British development
EDL	00:02:13,888	00:02:14,656	| 99pi-0125-duplitecture-1 |	California
EDL	00:02:14,656	00:02:15,424	| 99pi-0125-duplitecture-1 |	Dancehall bumping
EDL	00:02:15,424	00:02:16,192	| 99pi-0125-duplitecture-1 |	App side-by-side
EDL	00:02:16,704	00:02:18,240	| 99pi-0125-duplitecture-1 |	Just Shanghai itself has
EDL	00:02:19,264	00:02:20,544	| 99pi-0125-duplitecture-1 |	Cities all built the ark
EDL	00:02:21,056	00:02:21,824	| 99pi-0125-duplitecture-1 |	Profile of gif
EDL	00:02:21,824	00:02:22,592	| 99pi-0125-duplitecture-1 |	European countries
EDL	00:02:23,104	00:02:26,688	| 99pi-0125-duplitecture-1 |	It's possible to travel from Germany to Italy
EDL	00:02:26,688	00:02:27,712	| 99pi-0125-duplitecture-1 |	To London
EDL	00:02:27,712	00:02:28,736	| 99pi-0125-duplitecture-1 |	In the course of a few hours
EDL	00:02:29,248	00:02:30,272	| 99pi-0125-duplitecture-1 |	Vitatress
EDL	00:02:31,296	00:02:34,368	| 99pi-0125-duplitecture-1 |	Bianca bosker is the author of the book original copies
EDL	00:02:34,368	00:02:37,184	| 99pi-0125-duplitecture-1 |	Architectural mimicry in contemporary China
EDL	00:02:37,184	00:02:39,488	| 99pi-0125-duplitecture-1 |	And she coined a term for these buildings
EDL	00:02:40,256	00:02:41,024	| 99pi-0125-duplitecture-1 |	Duplitech sure
EDL	00:02:42,304	00:02:44,864	| 99pi-0125-duplitecture-1 |	Dipa texture refers to
EDL	00:02:44,864	00:02:46,912	| 99pi-0125-duplitecture-1 |	Is Nationwide movement
EDL	00:02:46,912	00:02:47,424	| 99pi-0125-duplitecture-1 |	Taking place
EDL	00:02:48,704	00:02:49,728	| 99pi-0125-duplitecture-1 |	Whereby people are
EDL	00:02:49,728	00:02:50,496	| 99pi-0125-duplitecture-1 |	Hopping in
