EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 99pi-0161-showofforce-1 |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,144	| 99pi-0161-showofforce-1 |	One of the country's leading providers of Auto insurer
EDL	00:00:06,912	00:00:08,960	| 99pi-0161-showofforce-1 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:12,544	| 99pi-0161-showofforce-1 |	You can say what kind of coverage were looking for and how much you want to pay
EDL	00:00:12,544	00:00:14,336	| 99pi-0161-showofforce-1 |	Progressive will show you options that
EDL	00:00:14,336	00:00:15,104	| 99pi-0161-showofforce-1 |	Fit within your budget
EDL	00:00:15,616	00:00:18,944	| 99pi-0161-showofforce-1 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 99pi-0161-showofforce-1 |	Progressive.com
EDL	00:00:20,480	00:00:22,528	| 99pi-0161-showofforce-1 |	Price and coverage match limited by state
EDL	00:00:24,576	00:00:26,368	| 99pi-0161-showofforce-1 |	When it comes to marketing your business
EDL	00:00:26,368	00:00:29,184	| 99pi-0161-showofforce-1 |	It's all about reaching the Right audience at the right time
EDL	00:00:29,184	00:00:32,256	| 99pi-0161-showofforce-1 |	Connecting with that audience when your message will resonate the most
EDL	00:00:32,768	00:00:33,792	| 99pi-0161-showofforce-1 |	LinkedIn can help
EDL	00:00:34,304	00:00:40,704	| 99pi-0161-showofforce-1 |	LinkedIn is the world's largest Professional Network in LinkedIn marketing Solutions allow you to Target your customers were there
EDL	00:00:40,704	00:00:44,032	| 99pi-0161-showofforce-1 |	Engaging every day when they're ready to make a decision
EDL	00:00:44,544	00:00:49,152	| 99pi-0161-showofforce-1 |	When you advertise on LinkedIn you have the opportunity to build long-term relationships with their custom
EDL	00:00:49,664	00:00:52,736	| 99pi-0161-showofforce-1 |	Those relationships often turn into high-quality leads
EDL	00:00:52,736	00:00:53,760	| 99pi-0161-showofforce-1 |	Website traffic
EDL	00:00:53,760	00:00:54,784	| 99pi-0161-showofforce-1 |	And higher brand awareness
EDL	00:00:55,296	00:00:59,136	| 99pi-0161-showofforce-1 |	Tools to help you target your customers with
EDL	00:00:59,136	00:00:59,904	| 99pi-0161-showofforce-1 |	Precision
EDL	00:00:59,904	00:01:01,440	| 99pi-0161-showofforce-1 |	Down to the job title
EDL	00:01:01,440	00:01:02,720	| 99pi-0161-showofforce-1 |	Company name and Industry
EDL	00:01:03,232	00:01:05,536	| 99pi-0161-showofforce-1 |	Because we can Target exactly who you want to reach
EDL	00:01:05,536	00:01:08,352	| 99pi-0161-showofforce-1 |	You can make sure your customers are getting a message that they care about
EDL	00:01:08,864	00:01:10,400	| 99pi-0161-showofforce-1 |	Which in turn builds Trust
EDL	00:01:10,912	00:01:17,056	| 99pi-0161-showofforce-1 |	To redeem a free $100 LinkedIn at credit and launch your first campaign go to linkedin.com
EDL	00:01:17,824	00:01:19,104	| 99pi-0161-showofforce-1 |	Linkedin.com
EDL	00:01:20,128	00:01:21,920	| 99pi-0161-showofforce-1 |	Fear free $100 app
EDL	00:01:21,920	00:01:22,688	| 99pi-0161-showofforce-1 |	Bad credit
EDL	00:01:22,688	00:01:23,968	| 99pi-0161-showofforce-1 |	Terms and conditions
EDL	00:01:23,968	00:01:24,480	| 99pi-0161-showofforce-1 |	Reply
EDL	00:01:25,248	00:01:27,552	| 99pi-0161-showofforce-1 |	This is 99% invisible
EDL	00:01:27,552	00:01:28,320	| 99pi-0161-showofforce-1 |	I'm Roman Mars
EDL	00:01:32,160	00:01:38,304	| 99pi-0161-showofforce-1 |	In the 1940s there were as there are today a lot of great Art and Design schools in New York City
EDL	00:01:38,304	00:01:39,072	| 99pi-0161-showofforce-1 |	Pratt
EDL	00:01:39,072	00:01:39,584	| 99pi-0161-showofforce-1 |	Cooper Union
EDL	00:01:40,096	00:01:40,864	| 99pi-0161-showofforce-1 |	Parsons
EDL	00:01:40,864	00:01:46,496	| 99pi-0161-showofforce-1 |	And there were then as there are today a lot of young talented artists and designers that those schools
EDL	00:01:46,496	00:01:48,544	| 99pi-0161-showofforce-1 |	Who would go on to have great careers
EDL	00:01:49,568	00:01:51,872	| 99pi-0161-showofforce-1 |	But in the 1940s there was something else
EDL	00:01:52,384	00:01:54,432	| 99pi-0161-showofforce-1 |	Some of those artists and designers
EDL	00:01:54,432	00:01:55,200	| 99pi-0161-showofforce-1 |	How to do
EDL	00:01:56,480	00:01:58,016	| 99pi-0161-showofforce-1 |	That's our own Katie McCall
EDL	00:01:58,016	00:01:59,040	| 99pi-0161-showofforce-1 |	There was a war going
EDL	00:01:59,552	00:02:00,320	| 99pi-0161-showofforce-1 |	World War
EDL	00:02:00,832	00:02:02,112	| 99pi-0161-showofforce-1 |	And the Army needed artists
EDL	00:02:02,880	00:02:03,904	| 99pi-0161-showofforce-1 |	Because well
EDL	00:02:03,904	00:02:04,928	| 99pi-0161-showofforce-1 |	They had
EDL	00:02:04,928	00:02:05,952	| 99pi-0161-showofforce-1 |	Kind of a crazy idea
EDL	00:02:07,744	00:02:13,888	| 99pi-0161-showofforce-1 |	And it was a crazy idea that came out of one of the most conservative organizations you can imagine the United States are
EDL	00:02:14,656	00:02:17,216	| 99pi-0161-showofforce-1 |	That's Rick Beyer more about Rick in a minute
