EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,072	| 99pi-0197-fishcannon-1 |	99percentinvisible is brought to you by
EDL	00:00:03,072	00:00:03,840	| 99pi-0197-fishcannon-1 |	By Progressive
EDL	00:00:03,840	00:00:05,888	| 99pi-0197-fishcannon-1 |	One of the country's leading providers of autumn
EDL	00:00:06,656	00:00:08,448	| 99pi-0197-fishcannon-1 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:12,544	| 99pi-0197-fishcannon-1 |	You can say what kind of coverage were looking for and how much you want to pay
EDL	00:00:12,544	00:00:14,336	| 99pi-0197-fishcannon-1 |	Progressive will show you options that
EDL	00:00:14,336	00:00:15,104	| 99pi-0197-fishcannon-1 |	Fit within your budget
EDL	00:00:15,616	00:00:18,944	| 99pi-0197-fishcannon-1 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 99pi-0197-fishcannon-1 |	Progressive.com
EDL	00:00:20,480	00:00:21,760	| 99pi-0197-fishcannon-1 |	Price in coverage match
EDL	00:00:21,760	00:00:22,528	| 99pi-0197-fishcannon-1 |	Limited by state law
EDL	00:00:24,832	00:00:25,600	| 99pi-0197-fishcannon-1 |	Family ghosts
EDL	00:00:25,600	00:00:26,112	| 99pi-0197-fishcannon-1 |	Is a
EDL	00:00:26,624	00:00:29,184	| 99pi-0197-fishcannon-1 |	Explores all the unexpected ways are family
EDL	00:00:29,184	00:00:31,232	| 99pi-0197-fishcannon-1 |	Structure and shape our view of the world
EDL	00:00:31,744	00:00:32,768	| 99pi-0197-fishcannon-1 |	Each episode of Family Guy
EDL	00:00:33,536	00:00:35,328	| 99pi-0197-fishcannon-1 |	Takes a look at the story behind
EDL	00:00:35,328	00:00:36,864	| 99pi-0197-fishcannon-1 |	A different person's family lore
EDL	00:00:37,376	00:00:39,680	| 99pi-0197-fishcannon-1 |	Digging into unanswered questions about their history
EDL	00:00:40,192	00:00:42,752	| 99pi-0197-fishcannon-1 |	Season 2 Launches on May 15th
EDL	00:00:42,752	00:00:46,080	| 99pi-0197-fishcannon-1 |	Between episode where they take you inside the love Israel family called
EDL	00:00:46,080	00:00:50,688	| 99pi-0197-fishcannon-1 |	An episode about uncovering the secrets scrolled in a newly discovered stack of Love Letters
EDL	00:00:50,688	00:00:51,968	| 99pi-0197-fishcannon-1 |	Asuna episode
EDL	00:00:51,968	00:00:55,808	| 99pi-0197-fishcannon-1 |	It brings you along to the hunt for a container of missing Chinese food that's
EDL	00:00:55,808	00:00:57,856	| 99pi-0197-fishcannon-1 |	Haunted a family for 25 years
EDL	00:00:58,368	00:00:58,880	| 99pi-0197-fishcannon-1 |	And more
EDL	00:00:59,392	00:01:01,184	| 99pi-0197-fishcannon-1 |	Subscribe to family goes wherever you go
EDL	00:01:01,184	00:01:03,488	| 99pi-0197-fishcannon-1 |	Podcasts and find out why they say
EDL	00:01:03,488	00:01:04,768	| 99pi-0197-fishcannon-1 |	Every house is haunted
EDL	00:01:05,792	00:01:07,584	| 99pi-0197-fishcannon-1 |	This is 99% invisible
EDL	00:01:08,096	00:01:08,864	| 99pi-0197-fishcannon-1 |	I'm Roman Mars
EDL	00:01:10,400	00:01:15,776	| 99pi-0197-fishcannon-1 |	During the Cold War a so-called Iron Curtain separated eastern and western Europe
EDL	00:01:15,776	00:01:17,312	| 99pi-0197-fishcannon-1 |	Communism capitalism
EDL	00:01:17,312	00:01:18,336	| 99pi-0197-fishcannon-1 |	The Soviet Union
