EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 99pi-0213-separationanxiety-1 |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,144	| 99pi-0213-separationanxiety-1 |	One of the country's leading providers of Auto insurer
EDL	00:00:06,912	00:00:08,960	| 99pi-0213-separationanxiety-1 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:12,544	| 99pi-0213-separationanxiety-1 |	You can say what kind of coverage were looking for and how much you want to pay
EDL	00:00:12,544	00:00:14,336	| 99pi-0213-separationanxiety-1 |	Progressive will show you options.
EDL	00:00:14,336	00:00:15,104	| 99pi-0213-separationanxiety-1 |	Fit within your budget
EDL	00:00:15,616	00:00:18,944	| 99pi-0213-separationanxiety-1 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 99pi-0213-separationanxiety-1 |	Progressive.com
EDL	00:00:20,480	00:00:22,528	| 99pi-0213-separationanxiety-1 |	Price in coverage match limited by state
EDL	00:00:24,832	00:00:25,600	| 99pi-0213-separationanxiety-1 |	Family ghosts
EDL	00:00:25,600	00:00:31,232	| 99pi-0213-separationanxiety-1 |	Is a podcast explores all the unexpected ways our family structure and shape our view of the world
EDL	00:00:31,744	00:00:33,024	| 99pi-0213-separationanxiety-1 |	Each episode of Family Guy
EDL	00:00:33,536	00:00:37,376	| 99pi-0213-separationanxiety-1 |	Takes a look at the story behind a different person's family lore
EDL	00:00:37,376	00:00:39,936	| 99pi-0213-separationanxiety-1 |	Digging into unanswered questions about their history
EDL	00:00:40,448	00:00:42,752	| 99pi-0213-separationanxiety-1 |	Season 2 Launches on May 15th
EDL	00:00:42,752	00:00:46,080	| 99pi-0213-separationanxiety-1 |	Between episode where they take you inside the love Israel family cult
EDL	00:00:46,080	00:00:49,920	| 99pi-0213-separationanxiety-1 |	An episode about uncovering the secrets crawled in a newly discovered stuck
EDL	00:00:49,920	00:00:50,432	| 99pi-0213-separationanxiety-1 |	Love letters
EDL	00:00:50,944	00:00:57,344	| 99pi-0213-separationanxiety-1 |	Moon episode that brings you along to the hunt for a container of missing Chinese food that's haunted a family Ford
EDL	00:00:57,344	00:00:58,368	| 99pi-0213-separationanxiety-1 |	25 years
EDL	00:00:58,368	00:00:58,880	| 99pi-0213-separationanxiety-1 |	And more
EDL	00:00:59,392	00:01:03,232	| 99pi-0213-separationanxiety-1 |	The proud family goes to wherever you get your podcast and find out why they say
EDL	00:01:03,744	00:01:04,768	| 99pi-0213-separationanxiety-1 |	Every house is haunted
EDL	00:01:06,304	00:01:08,096	| 99pi-0213-separationanxiety-1 |	This is 99% invisible
EDL	00:01:08,608	00:01:09,632	| 99pi-0213-separationanxiety-1 |	Roman Mars
EDL	00:01:12,448	00:01:15,520	| 99pi-0213-separationanxiety-1 |	If you could recognize any piece of classical music
EDL	00:01:15,520	00:01:16,544	| 99pi-0213-separationanxiety-1 |	I bet it's this one
EDL	00:01:17,568	00:01:21,664	| 99pi-0213-separationanxiety-1 |	This is true release written by Ludwig van Beethoven in 1810
EDL	00:01:22,176	00:01:26,016	| 99pi-0213-separationanxiety-1 |	Maybe it reminds you of piano lessons you took when you were a kid
EDL	00:01:26,016	00:01:29,344	| 99pi-0213-separationanxiety-1 |	In my town it was also the song the ice cream truck used
EDL	00:01:29,344	00:01:29,856	| 99pi-0213-separationanxiety-1 |	To play
EDL	00:01:31,648	00:01:33,184	| 99pi-0213-separationanxiety-1 |	That's producer Avery trufelman
EDL	00:01:33,696	00:01:35,488	| 99pi-0213-separationanxiety-1 |	But if you live in Taiwan
EDL	00:01:35,488	00:01:38,560	| 99pi-0213-separationanxiety-1 |	And you hear a truck rumbling down the street playing Fearless
EDL	00:01:38,560	00:01:40,608	| 99pi-0213-separationanxiety-1 |	It doesn't mean it's time to buy a pops
EDL	00:01:42,400	00:01:44,448	| 99pi-0213-separationanxiety-1 |	It means it's time to take out your trash
EDL	00:01:45,472	00:01:48,544	| 99pi-0213-separationanxiety-1 |	Because this is what a garbage truck in Taiwan sounds
EDL	00:01:55,200	00:01:58,784	| 99pi-0213-separationanxiety-1 |	This garbage truck song isn't just supposed to be cute and fun
EDL	00:01:59,296	00:02:01,600	| 99pi-0213-separationanxiety-1 |	Although it is also supposed to be cute and fun
EDL	00:02:02,112	00:02:03,392	| 99pi-0213-separationanxiety-1 |	The singing garbage truck
EDL	00:02:03,392	00:02:06,464	| 99pi-0213-separationanxiety-1 |	Are all a part of a completely different way of
EDL	00:02:06,464	00:02:12,864	| 99pi-0213-separationanxiety-1 |	Thinking about waste disposal completely different that is from the way that we think about it in the United States
EDL	00:02:12,864	00:02:17,472	| 99pi-0213-separationanxiety-1 |	In the late 1990s Taiwan recycled only 5% of its waste
EDL	00:02:17,472	00:02:19,776	| 99pi-0213-separationanxiety-1 |	Today Taiwan recycles well over half
EDL	00:02:20,288	00:02:22,848	| 99pi-0213-separationanxiety-1 |	The country is now among the world's top recyclers
