EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 99pi-0231-halfahouse-1 |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,144	| 99pi-0231-halfahouse-1 |	One of the country's leading providers of Auto insurer
EDL	00:00:06,912	00:00:08,960	| 99pi-0231-halfahouse-1 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:12,544	| 99pi-0231-halfahouse-1 |	You can say what kind of coverage were looking for and how much you want to pay
EDL	00:00:12,544	00:00:14,336	| 99pi-0231-halfahouse-1 |	Progressive will show you options.
EDL	00:00:14,336	00:00:15,616	| 99pi-0231-halfahouse-1 |	Fit within your budget
EDL	00:00:15,616	00:00:18,944	| 99pi-0231-halfahouse-1 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 99pi-0231-halfahouse-1 |	Progressive.com
EDL	00:00:20,480	00:00:22,784	| 99pi-0231-halfahouse-1 |	Price in coverage match limited by state law
EDL	00:00:24,576	00:00:26,368	| 99pi-0231-halfahouse-1 |	When it comes to marketing your business
EDL	00:00:26,368	00:00:29,184	| 99pi-0231-halfahouse-1 |	It's all about reaching the Right audience at the right time
EDL	00:00:29,184	00:00:32,256	| 99pi-0231-halfahouse-1 |	Connecting with that audience when your message will resonate the most
EDL	00:00:32,768	00:00:33,792	| 99pi-0231-halfahouse-1 |	LinkedIn can help
EDL	00:00:34,304	00:00:40,704	| 99pi-0231-halfahouse-1 |	LinkedIn is the world's largest Professional Network in LinkedIn marketing Solutions allow you to Target your customers were there
EDL	00:00:40,704	00:00:44,032	| 99pi-0231-halfahouse-1 |	Engaging every day when they're ready to make a decision
EDL	00:00:44,544	00:00:49,664	| 99pi-0231-halfahouse-1 |	When you advertise on LinkedIn you have the opportunity to build long-term relationships with your customers
EDL	00:00:49,664	00:00:53,760	| 99pi-0231-halfahouse-1 |	Those relationships often turn into high quality leads website traffic
EDL	00:00:53,760	00:00:55,296	| 99pi-0231-halfahouse-1 |	And higher brand awareness
EDL	00:00:55,296	00:00:59,904	| 99pi-0231-halfahouse-1 |	Tools to help you target your customers with precision
EDL	00:00:59,904	00:01:01,440	| 99pi-0231-halfahouse-1 |	Down to the job title
EDL	00:01:01,440	00:01:02,720	| 99pi-0231-halfahouse-1 |	Company name and Industry
EDL	00:01:03,232	00:01:05,536	| 99pi-0231-halfahouse-1 |	Because we can Target exactly who you want to reach
EDL	00:01:05,536	00:01:08,352	| 99pi-0231-halfahouse-1 |	You can make sure your customers are getting a message that they care about
EDL	00:01:08,864	00:01:10,400	| 99pi-0231-halfahouse-1 |	Which in turn builds Trust
EDL	00:01:10,912	00:01:17,056	| 99pi-0231-halfahouse-1 |	To redeem a free $100 LinkedIn at credit and launch your first campaign go to linkedin.com
EDL	00:01:17,824	00:01:22,176	| 99pi-0231-halfahouse-1 |	Linkedin.com invisible Pier free $100 at credit
EDL	00:01:22,688	00:01:23,968	| 99pi-0231-halfahouse-1 |	Terms and conditions
EDL	00:01:23,968	00:01:24,480	| 99pi-0231-halfahouse-1 |	Reply
EDL	00:01:25,248	00:01:27,040	| 99pi-0231-halfahouse-1 |	This is 99% invisible
EDL	00:01:27,040	00:01:28,320	| 99pi-0231-halfahouse-1 |	I'm Roman Mars
EDL	00:01:30,624	00:01:33,440	| 99pi-0231-halfahouse-1 |	The night of February 27 2010
EDL	00:01:33,440	00:01:37,024	| 99pi-0231-halfahouse-1 |	Luis henriquez was getting home from his job at a lumber Factory
EDL	00:01:37,024	00:01:38,560	| 99pi-0231-halfahouse-1 |	In constitucion Chile
EDL	00:01:39,072	00:01:40,864	| 99pi-0231-halfahouse-1 |	Isolated
EDL	00:01:42,144	00:01:43,424	| 99pi-0231-halfahouse-1 |	It was around 3 in the morning
EDL	00:01:44,192	00:01:50,592	| 99pi-0231-halfahouse-1 |	I was watching TV with my wife and a neighbor and all of a sudden we started feeling the Earth
EDL	00:01:50,592	00:01:56,992	| 99pi-0231-halfahouse-1 |	Shake and it was just getting stronger and stronger
EDL	00:01:56,992	00:02:03,392	| 99pi-0231-halfahouse-1 |	Couldn't stand up producer Sam Greenspan translating for Lewis Lewis was in an earthquake
EDL	00:02:03,392	00:02:09,536	| 99pi-0231-halfahouse-1 |	A bad one when the shaking finally stopped he was relieved to see that his wife and their two kids are all fine
EDL	00:02:10,048	00:02:16,448	| 99pi-0231-halfahouse-1 |	But Lewis knew they were still in danger because into a everyone is taught from childhood that after North
EDL	00:02:16,448	00:02:17,216	| 99pi-0231-halfahouse-1 |	Quick hits
