EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,328	| 99pi_0281_lasagradafamilia_1 |	99percentinvisible is brought to you by Progresso
EDL	00:00:03,840	00:00:06,144	| 99pi_0281_lasagradafamilia_1 |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 99pi_0281_lasagradafamilia_1 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:12,544	| 99pi_0281_lasagradafamilia_1 |	You can say what kind of coverage were looking for and how much you want to pay
EDL	00:00:12,544	00:00:15,104	| 99pi_0281_lasagradafamilia_1 |	Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 99pi_0281_lasagradafamilia_1 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 99pi_0281_lasagradafamilia_1 |	Progressive.com
EDL	00:00:20,480	00:00:22,528	| 99pi_0281_lasagradafamilia_1 |	Price in coverage match limited by state
EDL	00:00:24,832	00:00:25,600	| 99pi_0281_lasagradafamilia_1 |	Family ghosts
EDL	00:00:25,600	00:00:31,232	| 99pi_0281_lasagradafamilia_1 |	Is a podcast explores all the unexpected ways our family structure and shape our view of the world
EDL	00:00:31,744	00:00:33,280	| 99pi_0281_lasagradafamilia_1 |	Each episode of Family ghost
EDL	00:00:33,280	00:00:37,376	| 99pi_0281_lasagradafamilia_1 |	Takes a look at the story behind a different person's family lore
EDL	00:00:37,376	00:00:40,192	| 99pi_0281_lasagradafamilia_1 |	Digging into unanswered questions about their history
EDL	00:00:40,192	00:00:42,752	| 99pi_0281_lasagradafamilia_1 |	Season 2 Launches on May 15th
EDL	00:00:42,752	00:00:46,080	| 99pi_0281_lasagradafamilia_1 |	Between episode where they take you inside the love Israel family called
EDL	00:00:46,080	00:00:50,688	| 99pi_0281_lasagradafamilia_1 |	An episode about uncovering the secrets scrolled in a newly discovered stack of Love Letters
EDL	00:00:50,688	00:00:57,088	| 99pi_0281_lasagradafamilia_1 |	Asuna episode that brings you along to the hunt for a container of missing Chinese food that's haunted a family
EDL	00:00:57,088	00:00:58,368	| 99pi_0281_lasagradafamilia_1 |	For 25 years
EDL	00:00:58,368	00:00:58,880	| 99pi_0281_lasagradafamilia_1 |	And more
EDL	00:00:59,392	00:01:03,488	| 99pi_0281_lasagradafamilia_1 |	Subscribe to family goes wherever you get your podcast and find out why they say
EDL	00:01:03,488	00:01:04,768	| 99pi_0281_lasagradafamilia_1 |	Every house is haunted
EDL	00:01:05,792	00:01:07,072	| 99pi_0281_lasagradafamilia_1 |	This is 99% invisible
EDL	00:01:07,840	00:01:08,608	| 99pi_0281_lasagradafamilia_1 |	I'm Roman Mars
EDL	00:01:12,448	00:01:16,800	| 99pi_0281_lasagradafamilia_1 |	The Mind enter Barcelona's most famous Cathedral often stretches around the block
EDL	00:01:17,312	00:01:18,592	| 99pi_0281_lasagradafamilia_1 |	La Sagrada Familia
EDL	00:01:18,592	00:01:24,992	| 99pi_0281_lasagradafamilia_1 |	Designed by Antoni Gaudi draw so many people to see at the neighborhood is congested with tour buses and
EDL	00:01:24,992	00:01:26,272	| 99pi_0281_lasagradafamilia_1 |	Taxis in scooters
EDL	00:01:30,624	00:01:37,024	| 99pi_0281_lasagradafamilia_1 |	3 million people went inside the church in 2016 and another 7 million came just to stare at the outside
EDL	00:01:37,024	00:01:39,072	| 99pi_0281_lasagradafamilia_1 |	Estranged Behemoth structure
EDL	00:01:39,840	00:01:42,912	| 99pi_0281_lasagradafamilia_1 |	If you travel around Spain you'll see a lot
EDL	00:01:42,912	00:01:44,448	| 99pi_0281_lasagradafamilia_1 |	Old Gothic churches
EDL	00:01:45,216	00:01:47,264	| 99pi_0281_lasagradafamilia_1 |	Razor Katie mingle was in Spain
EDL	00:01:47,264	00:01:48,032	| 99pi_0281_lasagradafamilia_1 |	Earlier this year
EDL	00:01:48,544	00:01:50,080	| 99pi_0281_lasagradafamilia_1 |	But this one is different
EDL	00:01:50,592	00:01:53,408	| 99pi_0281_lasagradafamilia_1 |	First it doesn't look like a Gothic Cathedral
EDL	00:01:53,408	00:01:55,712	| 99pi_0281_lasagradafamilia_1 |	It looks like it was built out of Bones
EDL	00:01:55,712	00:01:56,736	| 99pi_0281_lasagradafamilia_1 |	Are saying
EDL	00:01:56,736	00:01:57,760	| 99pi_0281_lasagradafamilia_1 |	Or like it just
EDL	00:01:57,760	00:01:59,040	| 99pi_0281_lasagradafamilia_1 |	World out of the sea
EDL	00:01:59,552	00:02:00,064	| 99pi_0281_lasagradafamilia_1 |	Fractal
EDL	00:02:00,832	00:02:02,368	| 99pi_0281_lasagradafamilia_1 |	It looks organic somehow
EDL	00:02:03,136	00:02:07,488	| 99pi_0281_lasagradafamilia_1 |	But there's another thing that sets it apart from your average old Gothic
EDL	00:02:07,488	00:02:08,000	| 99pi_0281_lasagradafamilia_1 |	Cathedral
EDL	00:02:08,768	00:02:10,304	| 99pi_0281_lasagradafamilia_1 |	It isn't actually old
EDL	00:02:11,072	00:02:15,168	| 99pi_0281_lasagradafamilia_1 |	LD wasn't able to build very much of it before he died in 1926
EDL	00:02:15,680	00:02:18,496	| 99pi_0281_lasagradafamilia_1 |	Most of the church has been built in the last 40 years
EDL	00:02:18,496	00:02:20,288	| 99pi_0281_lasagradafamilia_1 |	And it still isn't finished
EDL	00:02:20,288	00:02:25,152	| 99pi_0281_lasagradafamilia_1 |	Which means that Architects have had to figure out and still are figuring out
EDL	00:02:25,664	00:02:27,712	| 99pi_0281_lasagradafamilia_1 |	How gow do you wanted the church to be built
EDL	00:02:30,528	00:02:32,320	| 99pi_0281_lasagradafamilia_1 |	We are all together in that room is
EDL	00:02:32,320	00:02:33,344	| 99pi_0281_lasagradafamilia_1 |	The special room
EDL	00:02:33,344	00:02:35,392	| 99pi_0281_lasagradafamilia_1 |	The most important part of the
EDL	00:02:35,392	00:02:36,672	| 99pi_0281_lasagradafamilia_1 |	Building we are building
EDL	00:02:38,208	00:02:42,560	| 99pi_0281_lasagradafamilia_1 |	That's heronema Boucher Rio one of the current architects of the building
EDL	00:02:42,560	00:02:47,936	| 99pi_0281_lasagradafamilia_1 |	He says the clues to understanding how to move forward on the construction of La Sagrada Familia
EDL	00:02:48,448	00:02:51,008	| 99pi_0281_lasagradafamilia_1 |	Are kept in the room were standing in right now
EDL	00:02:51,008	00:02:52,544	| 99pi_0281_lasagradafamilia_1 |	In the basement of the church
EDL	00:02:52,544	00:02:55,360	| 99pi_0281_lasagradafamilia_1 |	Photosynthesis radio can you describe
EDL	00:02:55,360	00:02:56,640	| 99pi_0281_lasagradafamilia_1 |	What's in this area
EDL	00:03:00,736	00:03:01,760	| 99pi_0281_lasagradafamilia_1 |	Now look up shelves
EDL	00:03:02,272	00:03:03,040	| 99pi_0281_lasagradafamilia_1 |	With
EDL	00:03:03,040	00:03:03,808	| 99pi_0281_lasagradafamilia_1 |	Fragments
EDL	00:03:04,576	00:03:05,600	| 99pi_0281_lasagradafamilia_1 |	Little pieces of
EDL	00:03:06,624	00:03:07,392	| 99pi_0281_lasagradafamilia_1 |	Plaster
EDL	00:03:07,392	00:03:07,904	| 99pi_0281_lasagradafamilia_1 |	Beeg
EDL	00:03:08,416	00:03:09,440	| 99pi_0281_lasagradafamilia_1 |	Small
EDL	00:03:10,976	00:03:16,096	| 99pi_0281_lasagradafamilia_1 |	Boy died geldi left elaborate plaster model of detailing his plans for finishing the church
EDL	00:03:16,096	00:03:17,632	| 99pi_0281_lasagradafamilia_1 |	But about 80 years ago
EDL	00:03:17,632	00:03:19,168	| 99pi_0281_lasagradafamilia_1 |	They're all basically destroyed
EDL	00:03:19,680	00:03:20,960	| 99pi_0281_lasagradafamilia_1 |	Nether in pieces
EDL	00:03:20,960	00:03:22,240	| 99pi_0281_lasagradafamilia_1 |	If it doesn't look like
EDL	00:03:22,240	00:03:25,824	| 99pi_0281_lasagradafamilia_1 |	Just from this and those little pieces that that would be enough
EDL	00:03:25,824	00:03:26,592	| 99pi_0281_lasagradafamilia_1 |	The lake
EDL	00:03:26,592	00:03:27,360	| 99pi_0281_lasagradafamilia_1 |	Figure out
EDL	00:03:27,360	00:03:28,128	| 99pi_0281_lasagradafamilia_1 |	The whole
EDL	00:03:28,128	00:03:28,640	| 99pi_0281_lasagradafamilia_1 |	Sing
EDL	00:03:29,920	00:03:31,968	| 99pi_0281_lasagradafamilia_1 |	I understand that it's difficult
EDL	00:03:31,968	00:03:35,296	| 99pi_0281_lasagradafamilia_1 |	To know what we have to do if the main architect is not
EDL	00:03:35,808	00:03:36,576	| 99pi_0281_lasagradafamilia_1 |	Cartier
EDL	00:03:36,576	00:03:40,160	| 99pi_0281_lasagradafamilia_1 |	Highest us what we try to do is to understand
EDL	00:03:40,160	00:03:40,928	| 99pi_0281_lasagradafamilia_1 |	How
EDL	00:03:40,928	00:03:41,440	| 99pi_0281_lasagradafamilia_1 |	He thought
EDL	00:03:41,952	00:03:42,976	| 99pi_0281_lasagradafamilia_1 |	And it's not easy
EDL	00:03:43,488	00:03:44,000	| 99pi_0281_lasagradafamilia_1 |	I know
EDL	00:03:46,816	00:03:49,632	| 99pi_0281_lasagradafamilia_1 |	It definitely hasn't been easy for the new architects
EDL	00:03:49,632	00:03:53,216	| 99pi_0281_lasagradafamilia_1 |	Recreate an understand the vision of Antoni Gaudi
EDL	00:03:53,984	00:03:55,520	| 99pi_0281_lasagradafamilia_1 |	And there are people who think
EDL	00:03:55,520	00:03:56,800	| 99pi_0281_lasagradafamilia_1 |	They shouldn't even have tried
