EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:18,432	00:00:18,944	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	Hi there
EDL	00:00:19,456	00:00:20,480	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	Welcome to the 9s
EDL	00:00:21,504	00:00:22,272	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	Brought to you
EDL	00:00:22,272	00:00:22,784	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	Virginia Beach
EDL	00:00:23,808	00:00:24,320	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	Co-produced
EDL	00:00:26,112	00:00:27,136	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	On the show
EDL	00:00:27,136	00:00:28,160	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	We interview movers and shakers
EDL	00:00:28,928	00:00:29,696	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	China's tech industry
EDL	00:00:30,464	00:00:31,232	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	That's was Tech leaders
EDL	00:00:31,744	00:00:32,512	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	Weather us
EDL	00:00:32,512	00:00:33,024	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	China
EDL	00:00:34,816	00:00:36,096	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	My name is Khan song
EDL	00:00:36,096	00:00:36,864	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	I'm a manager
EDL	00:00:36,864	00:00:37,376	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	Partner at YouTube
EDL	00:00:38,144	00:00:38,656	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	And I've been
EDL	00:00:39,168	00:00:39,936	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	Start up
EDL	00:00:39,936	00:00:40,704	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	Investing in them
EDL	00:00:41,216	00:00:42,240	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	In both in US
EDL	00:00:42,240	00:00:42,752	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	A China
EDL	00:00:44,544	00:00:45,824	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	My name is Sarah Jeong
EDL	00:00:45,824	00:00:47,360	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	I meant investment analyst
EDL	00:00:47,360	00:00:48,128	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	Ggv capital
EDL	00:00:48,640	00:00:49,408	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	Jennifer Moore journalist
EDL	00:00:50,176	00:00:51,712	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	Why is the show called 90
EDL	00:00:51,712	00:00:54,528	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	Lasix schedule
EDL	00:00:54,528	00:00:55,296	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	Chinese founder
EDL	00:00:55,296	00:00:56,320	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	Organically adopt
EDL	00:00:56,832	00:00:57,600	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	That is
EDL	00:00:57,600	00:00:59,136	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	9 a.m. to 9 p.m.
EDL	00:00:59,136	00:00:59,648	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	PlayStation
EDL	00:01:00,672	00:01:01,440	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	To us
EDL	00:01:01,440	00:01:01,952	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	996
EDL	00:01:03,488	00:01:04,000	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	Drive
EDL	00:01:04,512	00:01:05,024	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	10 speed
EDL	00:01:05,536	00:01:06,048	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	Of Chinese
EDL	00:01:06,816	00:01:07,328	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	Many
EDL	00:01:07,840	00:01:08,352	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	I'm moving fast
EDL	00:01:14,240	00:01:15,264	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	Today we're joined
EDL	00:01:16,544	00:01:17,312	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	One of the world
EDL	00:01:17,312	00:01:17,824	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	Top expert
EDL	00:01:18,592	00:01:19,360	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	An evangelist
EDL	00:01:19,360	00:01:19,872	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	AI
EDL	00:01:20,384	00:01:20,896	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	Fish intelligence
EDL	00:01:21,408	00:01:21,920	| Andrew_Ng_on_China_s_Ambitions_in_Artificial_Intelligence |	And
