EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:02,304	00:00:08,448	| Brian_Gu_of_XPENG_Motors_Why_Chinas_EV_Market_Excites_Me |	Vincent wrestler
EDL	00:00:15,104	00:00:19,200	| Brian_Gu_of_XPENG_Motors_Why_Chinas_EV_Market_Excites_Me |	Hi there
EDL	00:00:19,200	00:00:20,992	| Brian_Gu_of_XPENG_Motors_Why_Chinas_EV_Market_Excites_Me |	Welcome to the -6 podcast
EDL	00:00:20,992	00:00:23,552	| Brian_Gu_of_XPENG_Motors_Why_Chinas_EV_Market_Excites_Me |	Brought to you by Gigi Capital under show
EDL	00:00:23,552	00:00:25,088	| Brian_Gu_of_XPENG_Motors_Why_Chinas_EV_Market_Excites_Me |	Wintergreen movers and shakers
EDL	00:00:25,088	00:00:29,952	| Brian_Gu_of_XPENG_Motors_Why_Chinas_EV_Market_Excites_Me |	China's tech industry and discuss how Founders from around the world can draw that stands
EDL	00:00:29,952	00:00:32,768	| Brian_Gu_of_XPENG_Motors_Why_Chinas_EV_Market_Excites_Me |	I'm fine Aztec ecosystem
EDL	00:00:32,768	00:00:37,632	| Brian_Gu_of_XPENG_Motors_Why_Chinas_EV_Market_Excites_Me |	I'm a managing partner at GTB capital and I've been working at and investing in startups
EDL	00:00:37,632	00:00:38,656	| Brian_Gu_of_XPENG_Motors_Why_Chinas_EV_Market_Excites_Me |	Across the US
EDL	00:00:38,656	00:00:45,056	| Brian_Gu_of_XPENG_Motors_Why_Chinas_EV_Market_Excites_Me |	China and other emerging markets for the last 20 years
EDL	00:00:45,056	00:00:48,128	| Brian_Gu_of_XPENG_Motors_Why_Chinas_EV_Market_Excites_Me |	And a former journalist why is this show called 96
EDL	00:00:48,128	00:00:52,224	| Brian_Gu_of_XPENG_Motors_Why_Chinas_EV_Market_Excites_Me |	96 is the work schedule and many Chinese Founders that organically adopted
EDL	00:00:52,224	00:00:58,624	| Brian_Gu_of_XPENG_Motors_Why_Chinas_EV_Market_Excites_Me |	That is 9 a.m. to 9 p.m. 6 days a week
EDL	00:00:58,624	00:01:02,720	| Brian_Gu_of_XPENG_Motors_Why_Chinas_EV_Market_Excites_Me |	Chinese internet companies that produce many growth Miracles over last decade
EDL	00:01:02,720	00:01:07,072	| Brian_Gu_of_XPENG_Motors_Why_Chinas_EV_Market_Excites_Me |	Also I highly recommend joining our listeners WeChat group in slack Channel
EDL	00:01:07,072	00:01:13,472	| Brian_Gu_of_XPENG_Motors_Why_Chinas_EV_Market_Excites_Me |	Where you can connect with like-minded people interested in Tech in China we organize regular offline events across the world for Apollo
EDL	00:01:13,472	00:01:19,616	| Brian_Gu_of_XPENG_Motors_Why_Chinas_EV_Market_Excites_Me |	You can join these by visiting 96. Ggvc. Com
EDL	00:01:19,616	00:01:21,920	| Brian_Gu_of_XPENG_Motors_Why_Chinas_EV_Market_Excites_Me |	Imma show today we have Brian goo
EDL	00:01:21,920	00:01:23,456	| Brian_Gu_of_XPENG_Motors_Why_Chinas_EV_Market_Excites_Me |	Or cooking tea in Chinese
EDL	00:01:24,480	00:01:26,016	| Brian_Gu_of_XPENG_Motors_Why_Chinas_EV_Market_Excites_Me |	He's a vice chairman and present
EDL	00:01:26,016	00:01:26,784	| Brian_Gu_of_XPENG_Motors_Why_Chinas_EV_Market_Excites_Me |	Xpeng Motors
EDL	00:01:27,296	00:01:29,344	| Brian_Gu_of_XPENG_Motors_Why_Chinas_EV_Market_Excites_Me |	Also known as shell promoters in Chinese
EDL	00:01:30,112	00:01:32,416	| Brian_Gu_of_XPENG_Motors_Why_Chinas_EV_Market_Excites_Me |	It is a Chinese electric vehicle company
EDL	00:01:32,416	00:01:33,440	| Brian_Gu_of_XPENG_Motors_Why_Chinas_EV_Market_Excites_Me |	Energy portfolio
