EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:06,656	| Eric_Yuan_of_Zoom_From_Immigrant_to_Top_CEO |	Everyone before we begin I just wanted to remind you that we have created a WeChat group and a slack channel for you or
EDL	00:00:06,656	00:00:07,424	| Eric_Yuan_of_Zoom_From_Immigrant_to_Top_CEO |	Our listeners
EDL	00:00:07,424	00:00:12,032	| Eric_Yuan_of_Zoom_From_Immigrant_to_Top_CEO |	This is a community of people brought together by their shared interest in Tech in China
EDL	00:00:12,544	00:00:17,664	| Eric_Yuan_of_Zoom_From_Immigrant_to_Top_CEO |	Through these groups are listeners have made friends recruited team members and found clients
EDL	00:00:17,664	00:00:21,248	| Eric_Yuan_of_Zoom_From_Immigrant_to_Top_CEO |	We also organize regular offline meetups for this community
EDL	00:00:21,248	00:00:23,552	| Eric_Yuan_of_Zoom_From_Immigrant_to_Top_CEO |	We had a meet-up in Beijing last month
EDL	00:00:23,552	00:00:27,392	| Eric_Yuan_of_Zoom_From_Immigrant_to_Top_CEO |	And we'll be having another way in San Francisco on Thursday July 26th
EDL	00:00:27,904	00:00:30,720	| Eric_Yuan_of_Zoom_From_Immigrant_to_Top_CEO |	Details for these meetups will be announced in a groups
EDL	00:00:30,720	00:00:37,120	| Eric_Yuan_of_Zoom_From_Immigrant_to_Top_CEO |	To join the group's please go to 996. GG vici.com community and
EDL	00:00:37,120	00:00:38,656	| Eric_Yuan_of_Zoom_From_Immigrant_to_Top_CEO |	Follow the instructions there
EDL	00:00:38,656	00:00:45,056	| Eric_Yuan_of_Zoom_From_Immigrant_to_Top_CEO |	Once again that's 996. GG vici.com community
EDL	00:00:45,056	00:00:51,200	| Eric_Yuan_of_Zoom_From_Immigrant_to_Top_CEO |	Vincent wrestler
EDL	00:00:57,856	00:01:04,256	| Eric_Yuan_of_Zoom_From_Immigrant_to_Top_CEO |	Hi there welcome to the 9th at 6 Park
EDL	00:01:04,256	00:01:10,656	| Eric_Yuan_of_Zoom_From_Immigrant_to_Top_CEO |	Brought to you by ggv capital on the show interview movers and shakers of China's tech industry
EDL	00:01:10,656	00:01:17,056	| Eric_Yuan_of_Zoom_From_Immigrant_to_Top_CEO |	As was Tech leaders who have a us China cross-border perspective
EDL	00:01:17,056	00:01:23,456	| Eric_Yuan_of_Zoom_From_Immigrant_to_Top_CEO |	Partner at ggv Capital it had been working at startup investment in them in both in us and China
EDL	00:01:23,456	00:01:29,856	| Eric_Yuan_of_Zoom_From_Immigrant_to_Top_CEO |	For the past 20 years my name is Zahra Jones and investment analyst ggv capital and a former Journal
EDL	00:01:29,856	00:01:36,256	| Eric_Yuan_of_Zoom_From_Immigrant_to_Top_CEO |	What is this show called 96 Chinese Founders have Oregon
EDL	00:01:36,256	00:01:40,864	| Eric_Yuan_of_Zoom_From_Immigrant_to_Top_CEO |	Technically adopted that is 9 a.m. to 9 p.m. 6 days a week
EDL	00:01:40,864	00:01:47,264	| Eric_Yuan_of_Zoom_From_Immigrant_to_Top_CEO |	To us996 captures intensity Drive in speed of Chinese internet companies
EDL	00:01:47,264	00:01:51,360	| Eric_Yuan_of_Zoom_From_Immigrant_to_Top_CEO |	Many of which are moving faster than even their American counterparts
EDL	00:01:53,920	00:01:57,760	| Eric_Yuan_of_Zoom_From_Immigrant_to_Top_CEO |	Imma show today we have Erica and the founder and CEO of Zoom
EDL	00:01:57,760	00:02:00,320	| Eric_Yuan_of_Zoom_From_Immigrant_to_Top_CEO |	Deleting video conference solution for Enterprise
EDL	00:02:01,088	00:02:04,416	| Eric_Yuan_of_Zoom_From_Immigrant_to_Top_CEO |	Zoom is used by one-third of Fortune 500 companies
EDL	00:02:04,416	00:02:05,696	| Eric_Yuan_of_Zoom_From_Immigrant_to_Top_CEO |	90%
EDL	00:02:05,696	00:02:08,000	| Eric_Yuan_of_Zoom_From_Immigrant_to_Top_CEO |	The top 200 universities in the US
EDL	00:02:08,000	00:02:09,024	| Eric_Yuan_of_Zoom_From_Immigrant_to_Top_CEO |	It is facing San Jose
EDL	00:02:10,048	00:02:12,352	| Eric_Yuan_of_Zoom_From_Immigrant_to_Top_CEO |	Erica Rock I went to college in China
EDL	00:02:12,352	00:02:14,144	| Eric_Yuan_of_Zoom_From_Immigrant_to_Top_CEO |	Bobby 997
