EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:02,304	00:00:08,448	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Vincent wrestler
EDL	00:00:15,104	00:00:19,200	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Hi there
EDL	00:00:19,200	00:00:20,992	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Welcome to the -6 podcast
EDL	00:00:20,992	00:00:23,552	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Brought to you by Gigi Capital under show
EDL	00:00:23,552	00:00:25,088	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Wintergreen movers and shakers
EDL	00:00:25,088	00:00:26,624	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	China's tech industry
EDL	00:00:26,624	00:00:28,160	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	And discuss how I found her
EDL	00:00:28,160	00:00:29,440	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	From around the world can draw
EDL	00:00:29,952	00:00:31,488	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	I'm fine Aztec ecosystem
EDL	00:00:31,488	00:00:32,768	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	My name is Khan song
EDL	00:00:32,768	00:00:34,816	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	I'm a managing partner at ggv capital
EDL	00:00:34,816	00:00:37,632	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	And I've been working at and investing in startups
EDL	00:00:37,632	00:00:38,656	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Across the US
EDL	00:00:38,656	00:00:40,448	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	China and other Emerging Markets
EDL	00:00:40,448	00:00:46,336	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Play last 20 years my name is Emma marketing manager at ggv Capital and a former journalist
EDL	00:00:46,336	00:00:48,128	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Why is the show called 96
EDL	00:00:48,128	00:00:52,224	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	96 is the work schedule and many Chinese Founders that organically adopted
EDL	00:00:52,224	00:00:55,040	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	That is 9 a.m. to 9 p.m. 6 days a week
EDL	00:00:55,040	00:00:58,112	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Genesis captures Lane tensity Drive
EDL	00:00:58,112	00:00:59,904	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Speed of Chinese internet companies
EDL	00:00:59,904	00:01:02,720	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Booty growth Miracles over last decade
EDL	00:01:02,720	00:01:07,072	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Also I highly recommend joining our listeners WeChat group in slack Channel
EDL	00:01:07,072	00:01:13,472	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Where you can connect with like-minded people interested in Tech in China we organize regular offline events across the world for Apollo
EDL	00:01:13,472	00:01:19,360	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	You can join these by visiting 96. Ggvc. Com
EDL	00:01:19,360	00:01:22,688	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Imma show today we have or will how in Chinese
EDL	00:01:23,200	00:01:23,968	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Is American
EDL	00:01:26,016	00:01:26,784	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Producer
EDL	00:01:26,784	00:01:28,320	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	And Rider in your opinion
EDL	00:01:28,320	00:01:29,088	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Super Start in Tacoma
EDL	00:01:29,856	00:01:31,648	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Originally trained as a molecular biologist
EDL	00:01:33,696	00:01:34,976	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Before becoming full-time filmmaker
EDL	00:01:35,744	00:01:37,024	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	He held various
EDL	00:01:37,024	00:01:39,328	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Position to Quality Companies in Kuna, Idaho
EDL	00:01:39,328	00:01:40,352	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Yahoo China
EDL	00:01:40,352	00:01:40,864	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	And Ali Baba
EDL	00:01:41,632	00:01:42,656	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Composer Satie
EDL	00:01:43,936	00:01:45,984	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	He was a China country manager for TripAdvisor
EDL	00:01:46,752	00:01:48,032	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	As his career progressed
EDL	00:01:48,032	00:01:50,080	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	So his passion anymore tistic
EDL	00:01:50,080	00:01:50,848	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Accretive
EDL	00:01:50,848	00:01:51,360	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Pursuits
EDL	00:01:51,872	00:01:54,432	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	April 12th documentary filmmaking
EDL	00:01:54,944	00:01:55,456	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Full-time
EDL	00:01:55,968	00:01:56,992	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Is there
EDL	00:01:56,992	00:01:58,272	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	What's the subject of our show today
EDL	00:01:58,784	00:02:00,064	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Is a documentary called
EDL	00:02:00,064	00:02:01,088	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	People's Republic
EDL	00:02:01,088	00:02:02,112	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Desire
EDL	00:02:02,112	00:02:04,416	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Is a journey into livestreaming industry in China
EDL	00:02:04,928	00:02:05,696	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Warehouse
EDL	00:02:06,208	00:02:07,744	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	NYY
EDL	00:02:09,024	00:02:10,560	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	The document their lives behind the scene
EDL	00:02:11,072	00:02:12,352	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	The film has won
EDL	00:02:12,352	00:02:14,656	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	The grand jury award at the 2018
EDL	00:02:15,168	00:02:16,192	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	South by Southwest
EDL	00:02:16,192	00:02:16,960	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Anime
EDL	00:02:16,960	00:02:17,472	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Mini Opera War
EDL	00:02:18,240	00:02:20,544	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	And has green an over 40 film
EDL	00:02:21,824	00:02:23,360	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	New York Times Coco film
EDL	00:02:23,360	00:02:23,872	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Hypercharge
EDL	00:02:24,640	00:02:25,664	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	What Allie X
EDL	00:02:26,176	00:02:27,968	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Seth is in a really surprising
EDL	00:02:27,968	00:02:28,480	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	An Everlast
EDL	00:02:29,504	00:02:30,784	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	If you haven't watched the film
EDL	00:02:33,088	00:02:34,112	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Is Vivillon
EDL	00:02:34,112	00:02:36,160	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	BMO iTunes Amazon and Google Play
EDL	00:02:36,672	00:02:37,696	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Does visit
EDL	00:02:37,696	00:02:39,232	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Desert. Film4 links
EDL	00:02:40,000	00:02:41,792	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	How has Bruce to
EDL	00:02:42,304	00:02:43,328	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	Glorifying
EDL	00:02:43,328	00:02:44,352	| Hao_Wu_on_Making_Peoples_Republic_of_Desire |	And nowhere to call home
