EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,024	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Hi listener
EDL	00:00:01,024	00:00:03,072	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	This is Zara from ggv capital
EDL	00:00:03,072	00:00:07,680	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	I wanted to tell you about our newly created ggv 96 community
EDL	00:00:07,680	00:00:08,960	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	By popular demand
EDL	00:00:08,960	00:00:14,336	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	We've created a WeChat group and a slack channel for followers of 96 podcast and newsletter
EDL	00:00:14,848	00:00:19,712	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	This is a community brought together by shared interest in Tech in China in these groups
EDL	00:00:20,224	00:00:25,344	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Will regular share China related news insights as well as events and job opportunities
EDL	00:00:25,856	00:00:28,160	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	You will get to talk directly with tons of me
EDL	00:00:28,160	00:00:31,744	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Unconnect with other like-minded people who care about tech in China
EDL	00:00:32,256	00:00:35,840	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Last week Hans did it live Ama or ask me anything
EDL	00:00:35,840	00:00:39,424	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	In the WeChat group on the topic of Maitland and paying and super ABS
EDL	00:00:39,936	00:00:42,240	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	We're also in the process of planning offline meetups
EDL	00:00:42,752	00:00:46,848	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	For a commission members in multiple cities including the Bay Area and Beijing
EDL	00:00:47,360	00:00:50,688	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Details for these meetups as well as future and a session
EDL	00:00:50,688	00:00:51,968	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Will be announced in the group
EDL	00:00:52,736	00:00:59,136	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	To join the group's please go to 996. Gigi vici.com community
EDL	00:00:59,136	00:01:00,928	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	And follow the instructions there
EDL	00:01:01,440	00:01:02,208	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Once again
EDL	00:01:02,208	00:01:06,816	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	That's 996. GG vici.com community
EDL	00:01:07,328	00:01:08,864	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Now onto today's episode
EDL	00:01:09,376	00:01:15,520	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Intervention
EDL	00:01:22,176	00:01:27,040	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Hi there
EDL	00:01:27,040	00:01:33,440	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Welcome to the 9th at 6 podcast brought to you by ggv capital and co-produced by the Seneca podcast
EDL	00:01:33,440	00:01:36,256	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	On the show interview movers and shakers
EDL	00:01:36,256	00:01:40,864	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	China's tech industry as well as Tech leaders who have a us China
EDL	00:01:40,864	00:01:47,264	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Cross-border perspective, managing partner at ggv Capital it had been working at startup
EDL	00:01:47,264	00:01:53,664	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Investing in them in both the US and China for the past 20 years my name is
EDL	00:01:53,664	00:01:57,504	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	I meant investment analyst RGB capital and a former journalist
EDL	00:01:57,504	00:02:03,904	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Why is the show called 9696 is the work schedule than any Chinese Founders have organically it
EDL	00:02:03,904	00:02:07,744	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Adopted that is 9 a.m. to 9 p.m. 6 days a week
EDL	00:02:08,256	00:02:12,864	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	To us996 captures intensity Drive in speed
EDL	00:02:12,864	00:02:18,752	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Of Chinese internet companies many which are moving faster that even their American counterparts
EDL	00:02:18,752	00:02:25,152	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	On the show today we have Jenny Lee one of the managing partner is IGG vcap
EDL	00:02:25,152	00:02:29,504	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Capital Jenny is usually based in China but she comes to us once in awhile as well
EDL	00:02:30,016	00:02:34,112	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Jenny joins UV capital in 2005 as managing partner
EDL	00:02:34,112	00:02:37,440	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	And was instrumental in setting up to see his presence in China
EDL	00:02:38,208	00:02:42,816	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	As a self-professed geek Jenny has an infectious left for new technologies and new products
EDL	00:02:43,584	00:02:48,192	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Jenny was recently ranked by Forbes as the world's 16th most powerful women in Tech
EDL	00:02:48,704	00:02:51,776	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Her name has also appeared on the Forbes Midas list
EDL	00:02:51,776	00:02:54,848	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Of the world's top Venture capitalists since 2011
EDL	00:02:54,848	00:02:58,688	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Ranking is number 1 woman and number 10 overall in 2015
EDL	00:02:59,200	00:03:03,040	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Igtv Jenny has invested in companies in consumer internet
EDL	00:03:03,040	00:03:04,576	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Sassa Frontier Technologies
EDL	00:03:05,088	00:03:07,648	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	She has helped several companies go public
EDL	00:03:07,648	00:03:08,928	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Including High soft
EDL	00:03:08,928	00:03:09,696	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	21vianet
EDL	00:03:10,208	00:03:11,744	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Thanos son and why
EDL	00:03:12,256	00:03:15,072	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	She's on the board of Liberty show also known as lingochamp
EDL	00:03:15,584	00:03:17,376	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Casualty hung
EDL	00:03:17,376	00:03:18,912	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Keep kingsoft
EDL	00:03:18,912	00:03:20,192	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	New.com
EDL	00:03:20,192	00:03:20,960	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Fanatic
EDL	00:03:20,960	00:03:21,984	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	For your bong
EDL	00:03:21,984	00:03:23,264	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Surgeon salary
EDL	00:03:23,264	00:03:26,336	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	We are done done and you see what until it was acquired by Alibaba
EDL	00:03:26,848	00:03:28,384	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	She has also invested in
EDL	00:03:28,384	00:03:30,432	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Striped Rai momento and clobotics
EDL	00:03:30,944	00:03:32,736	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Jenny grub in Singapore
EDL	00:03:32,736	00:03:35,552	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Came to the US for school where she obtained
EDL	00:03:35,552	00:03:39,136	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	A bachelor's and master's degree in electrical engineering from Cornell
EDL	00:03:39,136	00:03:41,184	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	As well as an MBA from the Kellogg
EDL	00:03:41,184	00:03:42,208	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Score at Northwestern
EDL	00:03:42,720	00:03:44,512	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	So Jennie my first question to you is
EDL	00:03:45,024	00:03:46,560	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Could you describe to us
EDL	00:03:46,560	00:03:48,352	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Your journey from Singapore
EDL	00:03:48,864	00:03:50,912	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	To the US and then to China
EDL	00:03:50,912	00:03:57,056	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Now you are very renowned investor in China but when you first started out there it was actually your first time in China
EDL	00:03:58,336	00:03:59,360	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Thank you Sarah
EDL	00:03:59,360	00:04:03,200	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	So it's an interesting background I have I think if I
EDL	00:04:03,200	00:04:03,968	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Call back
EDL	00:04:04,480	00:04:06,272	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	To when I was 18 years old
EDL	00:04:07,040	00:04:09,856	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	And that was a time when I realized it
EDL	00:04:10,368	00:04:12,160	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	You know being one of
EDL	00:04:12,160	00:04:15,232	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	A tree 4 million population in Singapore
EDL	00:04:15,232	00:04:16,000	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	That's released
EDL	00:04:16,768	00:04:20,095	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	When you think about the wolf population at 7 billion
EDL	00:04:20,095	00:04:22,399	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	And I'm in a little country
EDL	00:04:22,399	00:04:23,935	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	With such a small Market
EDL	00:04:24,447	00:04:26,495	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	You know I followed it
EDL	00:04:26,495	00:04:27,775	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	I needed something bigger
EDL	00:04:27,775	00:04:30,591	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	I need the opportunity to go out and do
EDL	00:04:30,591	00:04:31,103	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Taobao without
EDL	00:04:31,615	00:04:33,151	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	As well naturally
EDL	00:04:33,151	00:04:34,943	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Is in Nepal
EDL	00:04:34,943	00:04:35,711	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Student has a kid
EDL	00:04:36,223	00:04:38,527	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Yeah told that you can't when you grow up to be in four different
EDL	00:04:39,807	00:04:41,599	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	You're either doctor a lawyer
EDL	00:04:41,599	00:04:44,159	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	An engineer or an accountant
EDL	00:04:44,159	00:04:45,695	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Edmodo
EDL	00:04:46,207	00:04:48,511	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	I want to see you at the choices that work
EDL	00:04:48,511	00:04:51,839	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	But pulling the engineering route multiple choices it was
EDL	00:04:51,839	00:04:52,863	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	It just makes more sense
EDL	00:04:52,863	00:04:53,375	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Is to be in the US
EDL	00:04:53,887	00:04:56,959	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Square education in the US on the technology site
EDL	00:04:56,959	00:04:59,519	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	At least ranks ahead of you know other countries
EDL	00:05:00,031	00:05:02,079	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	So that's how that's how I got to
EDL	00:05:02,079	00:05:05,151	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	The US
EDL	00:05:05,151	00:05:11,295	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	That's why I obviously
EDL	00:05:12,575	00:05:15,135	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Singapore does it snow all the time
EDL	00:05:15,135	00:05:20,255	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Never had a chance to go to Four Seasons on the East Coast
EDL	00:05:20,255	00:05:23,839	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	I let's go to a place where it's nice and conducive and hopefully safe
EDL	00:05:23,839	00:05:26,399	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	When I went to Cornell was my first trip to the USA
EDL	00:05:27,423	00:05:30,239	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	I didn't do it I had no idea how the colleges book
EDL	00:05:30,239	00:05:34,335	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Is alpha-gal accepted by Cornell
EDL	00:05:34,335	00:05:35,359	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Check it out
EDL	00:05:35,359	00:05:37,151	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	To my suitcase
EDL	00:05:37,151	00:05:39,711	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Blue by myself
EDL	00:05:39,711	00:05:40,479	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Spend the next four years
EDL	00:05:41,247	00:05:42,271	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Without coming back
EDL	00:05:42,271	00:05:43,295	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Singapore
EDL	00:05:48,671	00:05:50,975	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Back in 2001
EDL	00:05:50,975	00:05:52,511	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	I was graduating from Kellogg
EDL	00:05:53,023	00:05:56,607	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	I was going East West Kellogg Chicago
EDL	00:05:59,935	00:06:01,727	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Did my MBA
EDL	00:06:01,727	00:06:05,311	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	McDaniel won the market the world was crashing
EDL	00:06:05,311	00:06:06,847	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Play we had 911
EDL	00:06:06,847	00:06:09,663	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	In the US the whole internet bobbleheads
EDL	00:06:09,663	00:06:12,223	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Crash and so when I looked around as well
EDL	00:06:12,735	00:06:13,759	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	The in between
EDL	00:06:13,759	00:06:16,063	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Cornell in Kellogg you were in
EDL	00:06:16,063	00:06:16,831	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Engineer
EDL	00:06:16,831	00:06:17,599	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	You are flying drums
EDL	00:06:18,111	00:06:18,879	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	That's right
EDL	00:06:18,879	00:06:22,719	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	So before my MBA graduate in 01
EDL	00:06:22,719	00:06:26,815	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	IQ Spencer between Cornell and my MBA I spent about four and a half years
EDL	00:06:27,327	00:06:31,679	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Newly walking the field so I was a electrical engineer India
EDL	00:06:32,447	00:06:34,751	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	What we called electronic warfare division
EDL	00:06:34,751	00:06:36,543	| Jenny_Lee_of_GGV_Capital_on_Being_a_VC_in_China |	Optical Technologies Aerospace
