EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:12,800	00:00:19,200	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	Hi there
EDL	00:00:19,200	00:00:21,504	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	Welcome to the night at six podcast
EDL	00:00:21,504	00:00:23,552	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	Brought to you by ggv capital
EDL	00:00:23,552	00:00:24,320	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	And co-produced
EDL	00:00:24,320	00:00:25,344	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	Pacifica podcast
EDL	00:00:26,112	00:00:28,672	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	On the show interview movers and shakers
EDL	00:00:28,672	00:00:30,208	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	China's tech industry
EDL	00:00:30,208	00:00:31,488	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	As well as Tech leaders
EDL	00:00:31,488	00:00:32,512	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	Weather us
EDL	00:00:32,512	00:00:33,280	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	China
EDL	00:00:33,280	00:00:34,304	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	Cross-border perspective
EDL	00:00:34,816	00:00:35,840	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	My name is Khan song
EDL	00:00:35,840	00:00:38,144	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	I'm a managing partner at ggv Capital
EDL	00:00:38,144	00:00:41,984	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	And I've been working at startup investing in them in both in US
EDL	00:00:41,984	00:00:42,752	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	A China
EDL	00:00:42,752	00:00:43,776	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	For the past 20 years
EDL	00:00:44,288	00:00:45,824	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	My name is Sarah Jeong
EDL	00:00:45,824	00:00:48,384	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	I meant investment analyst igb capital
EDL	00:00:48,384	00:00:49,408	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	Jennifer Moore journalist
EDL	00:00:50,176	00:00:52,224	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	Why is the show called 96
EDL	00:00:52,224	00:00:56,832	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	Texas to work schedule that many Chinese Founders have organically adopted
EDL	00:00:56,832	00:00:59,904	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	That is 9 a.m. to 9 p.m. 6 days a week
EDL	00:01:00,416	00:01:01,184	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	To us
EDL	00:01:01,184	00:01:03,488	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	996 captures intensity
EDL	00:01:03,488	00:01:04,256	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	Drive
EDL	00:01:04,256	00:01:05,280	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	In speed
EDL	00:01:05,280	00:01:06,304	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	Of Chinese internet
EDL	00:01:06,816	00:01:07,840	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	Many of which
EDL	00:01:07,840	00:01:08,608	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	I'm moving faster
EDL	00:01:09,120	00:01:10,400	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	But even the American counterpart
EDL	00:01:13,216	00:01:19,616	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	On the show today we have Jerry and the co-founder and former CEO of Yahoo and the founding partner of America
EDL	00:01:19,616	00:01:20,384	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	Cloud Ventures
EDL	00:01:20,384	00:01:25,248	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	Which focuses on C2 later-stage companies booting infrastructure invalid chains around data
EDL	00:01:25,248	00:01:29,600	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	Jerry was a Pioneer in a consumer in an industry and icon of Silicon Valley
EDL	00:01:29,600	00:01:33,440	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	It has been an inspiration to both engineers and entrepreneurs worldwide
EDL	00:01:34,208	00:01:39,328	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	Jerry also orchestrated one of the most famous and lucrative deals in Tech History anywhere in the world
EDL	00:01:40,096	00:01:41,120	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	12 + 5
EDL	00:01:41,120	00:01:42,912	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	Earrings for Yahoo to invest
EDL	00:01:42,912	00:01:44,192	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	1 billion dollars in cash
EDL	00:01:44,704	00:01:46,496	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	Plus that sell Yahoo China
EDL	00:01:46,496	00:01:48,544	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	Exige for a 40% stake
EDL	00:01:48,544	00:01:51,104	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	A small but fast-growing Chinese company
EDL	00:01:51,104	00:01:52,640	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	By the name of Ali Baba
EDL	00:01:52,640	00:01:54,944	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	Which happened to be a GB profolio already backed
EDL	00:01:55,712	00:01:57,504	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	Post-money valuation of a deal
EDL	00:01:57,504	00:01:58,784	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	What's for 5 billion dollars
EDL	00:01:59,296	00:02:01,600	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	The deal was considered by many as being
EDL	00:02:01,600	00:02:02,368	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	Expensive
EDL	00:02:02,368	00:02:03,136	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	In Risky
EDL	00:02:03,136	00:02:06,464	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	It was awesome largest foreign investment ever made in China tech industry
EDL	00:02:07,232	00:02:08,768	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	Today 12 years later
EDL	00:02:08,768	00:02:12,352	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	What about this was close to 500 billion dollars or have a trillion
EDL	00:02:12,864	00:02:15,424	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	And for the return of 100x
EDL	00:02:15,424	00:02:16,192	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	In 10 years
EDL	00:02:16,192	00:02:16,704	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	For y'all
EDL	00:02:17,216	00:02:20,800	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	Jarrett remains active on the US China cross-border technology scene
EDL	00:02:21,312	00:02:23,872	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	He's on the board of Alibaba and Lenovo
EDL	00:02:23,872	00:02:25,920	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	Speaks frequently at various events
EDL	00:02:25,920	00:02:29,248	| Jerry_Yang_of_Yahoo__Why_I_Believed_in_Alibaba |	Advises US tech companies looking to go to China
