EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:03,328	00:00:09,728	| Lin_Bin_on_How_Xiaomi_Engineered_Its__Surprise_Comeback_ |	Recent arrest Monroe County
EDL	00:00:09,728	00:00:16,128	| Lin_Bin_on_How_Xiaomi_Engineered_Its__Surprise_Comeback_ |	Airport
EDL	00:00:16,128	00:00:19,456	| Lin_Bin_on_How_Xiaomi_Engineered_Its__Surprise_Comeback_ |	Hi dear
EDL	00:00:19,456	00:00:25,600	| Lin_Bin_on_How_Xiaomi_Engineered_Its__Surprise_Comeback_ |	Welcome to the 96 podcast brought to you by tgb capital and co-produced by the Seneca podcast
EDL	00:00:26,112	00:00:28,672	| Lin_Bin_on_How_Xiaomi_Engineered_Its__Surprise_Comeback_ |	On the show interview movers and shakers
EDL	00:00:28,672	00:00:30,208	| Lin_Bin_on_How_Xiaomi_Engineered_Its__Surprise_Comeback_ |	China's tech industry
EDL	00:00:30,208	00:00:33,280	| Lin_Bin_on_How_Xiaomi_Engineered_Its__Surprise_Comeback_ |	That's was Tech leaders who have a us China
EDL	00:00:33,280	00:00:34,560	| Lin_Bin_on_How_Xiaomi_Engineered_Its__Surprise_Comeback_ |	Cross-border perspective
EDL	00:00:34,560	00:00:40,960	| Lin_Bin_on_How_Xiaomi_Engineered_Its__Surprise_Comeback_ |	My name is Sunstone, managing partner at GTB Capital it has been working at startup investing in them
EDL	00:00:40,960	00:00:44,288	| Lin_Bin_on_How_Xiaomi_Engineered_Its__Surprise_Comeback_ |	In both the US and China for the past 20 years
EDL	00:00:44,288	00:00:49,664	| Lin_Bin_on_How_Xiaomi_Engineered_Its__Surprise_Comeback_ |	My name is Zahra Jones I'm an investment Analyst at ggv Capital and a former journalist
EDL	00:00:50,176	00:00:56,576	| Lin_Bin_on_How_Xiaomi_Engineered_Its__Surprise_Comeback_ |	Why is the show called 9696 is the work schedule that many Chinese Founders have organically adopt
EDL	00:00:56,576	00:01:00,416	| Lin_Bin_on_How_Xiaomi_Engineered_Its__Surprise_Comeback_ |	That is 9 a.m. to 9 p.m. 6 days a week
EDL	00:01:00,416	00:01:04,256	| Lin_Bin_on_How_Xiaomi_Engineered_Its__Surprise_Comeback_ |	To us996 captures intensity Drive
EDL	00:01:04,256	00:01:05,280	| Lin_Bin_on_How_Xiaomi_Engineered_Its__Surprise_Comeback_ |	In speed
EDL	00:01:05,280	00:01:07,840	| Lin_Bin_on_How_Xiaomi_Engineered_Its__Surprise_Comeback_ |	Of Chinese internet companies many which
EDL	00:01:07,840	00:01:09,120	| Lin_Bin_on_How_Xiaomi_Engineered_Its__Surprise_Comeback_ |	I'm moving faster
EDL	00:01:09,120	00:01:10,912	| Lin_Bin_on_How_Xiaomi_Engineered_Its__Surprise_Comeback_ |	But even their American counterparts
EDL	00:01:14,496	00:01:16,544	| Lin_Bin_on_How_Xiaomi_Engineered_Its__Surprise_Comeback_ |	How much do today we have limping
EDL	00:01:16,544	00:01:18,592	| Lin_Bin_on_How_Xiaomi_Engineered_Its__Surprise_Comeback_ |	Who's the co-founder and had a mobile phone xiaomi
EDL	00:01:19,360	00:01:22,176	| Lin_Bin_on_How_Xiaomi_Engineered_Its__Surprise_Comeback_ |	We're having this conversation at a very exciting time
EDL	00:01:22,176	00:01:23,200	| Lin_Bin_on_How_Xiaomi_Engineered_Its__Surprise_Comeback_ |	Both for being himself
