EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:02,816	| Unpacking__Xiaomis__IPO |	Hi everyone I'm going to tell you about our sister podcast
EDL	00:00:03,328	00:00:04,096	| Unpacking__Xiaomis__IPO |	Thunder
EDL	00:00:04,096	00:00:04,608	| Unpacking__Xiaomis__IPO |	Real talk
EDL	00:00:05,120	00:00:07,424	| Unpacking__Xiaomis__IPO |	It is a biweekly show that gets real with under
EDL	00:00:07,936	00:00:09,728	| Unpacking__Xiaomis__IPO |	About the challenges that founders
EDL	00:00:09,728	00:00:11,008	| Unpacking__Xiaomis__IPO |	In startup Executives face
EDL	00:00:11,776	00:00:14,336	| Unpacking__Xiaomis__IPO |	And also how they have grown from Top experience
EDL	00:00:15,104	00:00:18,176	| Unpacking__Xiaomis__IPO |	The show's host by my fellow managing partner at ggv Capital
EDL	00:00:18,176	00:00:19,200	| Unpacking__Xiaomis__IPO |	Glenn Solomon
EDL	00:00:19,200	00:00:20,736	| Unpacking__Xiaomis__IPO |	Albany Park office
EDL	00:00:20,736	00:00:23,552	| Unpacking__Xiaomis__IPO |	Produce pericolic Fisher again Ann Arbor San Francisco office
EDL	00:00:24,064	00:00:25,600	| Unpacking__Xiaomis__IPO |	Past episodes of the showings
EDL	00:00:25,600	00:00:27,136	| Unpacking__Xiaomis__IPO |	Food Stewart Butterfield
EDL	00:00:27,136	00:00:28,928	| Unpacking__Xiaomis__IPO |	From slack Sarah Friar from
EDL	00:00:28,928	00:00:30,976	| Unpacking__Xiaomis__IPO |	Square and Nate blue Charizard from Airbnb
EDL	00:00:31,744	00:00:34,304	| Unpacking__Xiaomis__IPO |	You can take a listen by searching founder real talk
EDL	00:00:34,304	00:00:35,328	| Unpacking__Xiaomis__IPO |	Can any podcast app
EDL	00:00:42,752	00:00:49,152	| Unpacking__Xiaomis__IPO |	Airport
EDL	00:00:49,152	00:00:53,504	| Unpacking__Xiaomis__IPO |	Hi there
EDL	00:00:53,504	00:00:57,600	| Unpacking__Xiaomis__IPO |	Welcome to the 9th at 6 podcast brought to you by ggv capital
EDL	00:00:57,600	00:01:00,160	| Unpacking__Xiaomis__IPO |	On the show interview movers and shakers
EDL	00:01:00,160	00:01:04,768	| Unpacking__Xiaomis__IPO |	China's tech industry as well as Tech leaders who have a us China
EDL	00:01:04,768	00:01:11,168	| Unpacking__Xiaomis__IPO |	Cross-border perspective, managing partner at GTV capital and I've been working at startup
EDL	00:01:11,168	00:01:15,776	| Unpacking__Xiaomis__IPO |	Investing in them in both the US and China for the past 20 years
EDL	00:01:15,776	00:01:21,408	| Unpacking__Xiaomis__IPO |	My name is Zahra Jones an investment Analyst at ggv Capital and a former journalist
EDL	00:01:21,408	00:01:23,712	| Unpacking__Xiaomis__IPO |	Why is the show called 96
EDL	00:01:23,712	00:01:30,112	| Unpacking__Xiaomis__IPO |	6 is the work schedule that many Chinese Founders have organically adopted that is 9 a.m.
EDL	00:01:30,112	00:01:31,904	| Unpacking__Xiaomis__IPO |	5 p.m. 6 days a week
EDL	00:01:31,904	00:01:32,672	| Unpacking__Xiaomis__IPO |	To us
EDL	00:01:32,672	00:01:35,744	| Unpacking__Xiaomis__IPO |	996 captures intensity Drive
EDL	00:01:35,744	00:01:36,768	| Unpacking__Xiaomis__IPO |	And speed
EDL	00:01:36,768	00:01:42,400	| Unpacking__Xiaomis__IPO |	Of Chinese internet companies many which are moving faster that even their American counterparts
EDL	00:01:44,192	00:01:45,216	| Unpacking__Xiaomis__IPO |	Eyeless nurse
EDL	00:01:45,216	00:01:48,032	| Unpacking__Xiaomis__IPO |	Starting from this episode we like to try something new
EDL	00:01:48,544	00:01:49,824	| Unpacking__Xiaomis__IPO |	Instead of having a guest
EDL	00:01:49,824	00:01:53,152	| Unpacking__Xiaomis__IPO |	Hans and I will have a dialogue about a current event or Hot Topic
EDL	00:01:53,152	00:01:53,664	| Unpacking__Xiaomis__IPO |	Internist
EDL	00:01:54,176	00:01:54,688	| Unpacking__Xiaomis__IPO |	Seen today
EDL	00:01:55,200	00:01:59,808	| Unpacking__Xiaomis__IPO |	On this episode we're going to talk about shammys IPO which took place in Hong Kong
EDL	00:01:59,808	00:02:00,576	| Unpacking__Xiaomis__IPO |	On July 9th
EDL	00:02:01,088	00:02:04,928	| Unpacking__Xiaomis__IPO |	House is one of the earliest investors in xiaomi as well as a former board member of the
EDL	00:02:05,952	00:02:10,560	| Unpacking__Xiaomis__IPO |	So hum these two weeks have been a world when for you you are in Hong Kong for a Siamese IPL
EDL	00:02:11,072	00:02:13,888	| Unpacking__Xiaomis__IPO |	And appeared on TV four times in a single day
EDL	00:02:13,888	00:02:14,912	| Unpacking__Xiaomis__IPO |	What was that day like for you
EDL	00:02:15,680	00:02:18,240	| Unpacking__Xiaomis__IPO |	Oh I think that's amazing milestone
EDL	00:02:18,240	00:02:19,264	| Unpacking__Xiaomis__IPO |	For the management
EDL	00:02:20,032	00:02:21,056	| Unpacking__Xiaomis__IPO |	And his board members
EDL	00:02:21,056	00:02:22,336	| Unpacking__Xiaomis__IPO |	Who I participate
EDL	00:02:22,336	00:02:23,360	| Unpacking__Xiaomis__IPO |	In the closet company from the
EDL	00:02:24,384	00:02:26,432	| Unpacking__Xiaomis__IPO |	It's amazing that this company started
EDL	00:02:26,432	00:02:26,944	| Unpacking__Xiaomis__IPO |	Years ago
EDL	00:02:27,712	00:02:28,480	| Unpacking__Xiaomis__IPO |	Yeah
EDL	00:02:28,992	00:02:30,016	| Unpacking__Xiaomis__IPO |	Somebody remarks
EDL	00:02:30,528	00:02:33,088	| Unpacking__Xiaomis__IPO |	Back in 2010 that the only way show me where when
EDL	00:02:33,856	00:02:34,880	| Unpacking__Xiaomis__IPO |	And become big
EDL	00:02:34,880	00:02:37,952	| Unpacking__Xiaomis__IPO |	Is it the Motorola Ericsson Nokia out all day
EDL	00:02:38,720	00:02:39,232	| Unpacking__Xiaomis__IPO |	Go away
EDL	00:02:39,744	00:02:44,352	| Unpacking__Xiaomis__IPO |	Adam back in 2010 everybody in tunnels using Nokia or Motorola
EDL	00:02:44,864	00:02:45,632	| Unpacking__Xiaomis__IPO |	So it was
EDL	00:02:45,632	00:02:47,424	| Unpacking__Xiaomis__IPO |	Pretty remarkable how the war has
EDL	00:02:47,424	00:02:47,936	| Unpacking__Xiaomis__IPO |	Drink a lot
EDL	00:02:48,448	00:02:49,728	| Unpacking__Xiaomis__IPO |	Air in the ears
EDL	00:02:49,728	00:02:50,240	| Unpacking__Xiaomis__IPO |	And xiaomi
EDL	00:02:51,776	00:02:52,288	| Unpacking__Xiaomis__IPO |	I'm through with
EDL	00:02:53,824	00:02:55,872	| Unpacking__Xiaomis__IPO |	Cheer accounts that moment
EDL	00:02:55,872	00:02:57,920	| Unpacking__Xiaomis__IPO |	When Legend first told you about
EDL	00:02:57,920	00:02:58,688	| Unpacking__Xiaomis__IPO |	The idea of
EDL	00:02:58,688	00:02:59,200	| Unpacking__Xiaomis__IPO |	Xiaomi
EDL	00:02:59,968	00:03:02,784	| Unpacking__Xiaomis__IPO |	I remember it was so cold winter night in Beijing 2010
EDL	00:03:03,296	00:03:05,088	| Unpacking__Xiaomis__IPO |	That's right it was in late January 2010
EDL	00:03:05,600	00:03:09,184	| Unpacking__Xiaomis__IPO |	Allegiant called out by Richelieu yo Ching from Morningside first
EDL	00:03:09,696	00:03:10,464	| Unpacking__Xiaomis__IPO |	How to
