EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:20,224	00:00:20,992	| 1f183e85-0bcd-4bcb-9e35-d8c6f34eabd9_0518dd6f064373335908393f77dbddd7 |	Virus
EDL	00:00:21,760	00:00:22,784	| 1f183e85-0bcd-4bcb-9e35-d8c6f34eabd9_0518dd6f064373335908393f77dbddd7 |	Eagle One
EDL	00:00:22,784	00:00:23,808	| 1f183e85-0bcd-4bcb-9e35-d8c6f34eabd9_0518dd6f064373335908393f77dbddd7 |	Packaged
EDL	00:00:23,808	00:00:30,208	| 1f183e85-0bcd-4bcb-9e35-d8c6f34eabd9_0518dd6f064373335908393f77dbddd7 |	In Spring 2017 teenager walk behind a woman reading the metro in Northeast Washington DC
EDL	00:00:30,208	00:00:31,488	| 1f183e85-0bcd-4bcb-9e35-d8c6f34eabd9_0518dd6f064373335908393f77dbddd7 |	Put on a choke hold
EDL	00:00:32,000	00:00:32,768	| 1f183e85-0bcd-4bcb-9e35-d8c6f34eabd9_0518dd6f064373335908393f77dbddd7 |	Be quiet
EDL	00:00:32,768	00:00:34,304	| 1f183e85-0bcd-4bcb-9e35-d8c6f34eabd9_0518dd6f064373335908393f77dbddd7 |	He said delete your iCloud
EDL	00:00:34,816	00:00:36,096	| 1f183e85-0bcd-4bcb-9e35-d8c6f34eabd9_0518dd6f064373335908393f77dbddd7 |	Grab her iPhone 6s
EDL	00:00:36,608	00:00:37,376	| 1f183e85-0bcd-4bcb-9e35-d8c6f34eabd9_0518dd6f064373335908393f77dbddd7 |	And ran away
EDL	00:00:37,888	00:00:41,216	| 1f183e85-0bcd-4bcb-9e35-d8c6f34eabd9_0518dd6f064373335908393f77dbddd7 |	The iCloud security feature a cut down on the number of iPhones
EDL	00:00:42,752	00:00:47,104	| 1f183e85-0bcd-4bcb-9e35-d8c6f34eabd9_0518dd6f064373335908393f77dbddd7 |	Ways to remove iCloud
EDL	00:00:47,872	00:00:50,176	| 1f183e85-0bcd-4bcb-9e35-d8c6f34eabd9_0518dd6f064373335908393f77dbddd7 |	The fish the phone's original owners
EDL	00:00:50,688	00:00:52,480	| 1f183e85-0bcd-4bcb-9e35-d8c6f34eabd9_0518dd6f064373335908393f77dbddd7 |	Or scam employees at Apple stores
EDL	00:00:53,248	00:00:58,368	| 1f183e85-0bcd-4bcb-9e35-d8c6f34eabd9_0518dd6f064373335908393f77dbddd7 |	Deeds coders and hackers participate in an underground industry
EDL	00:00:58,880	00:01:00,928	| 1f183e85-0bcd-4bcb-9e35-d8c6f34eabd9_0518dd6f064373335908393f77dbddd7 |	My phone said they can then resell the
EDL	00:01:01,696	00:01:03,232	| 1f183e85-0bcd-4bcb-9e35-d8c6f34eabd9_0518dd6f064373335908393f77dbddd7 |	Hundreds of millions of us
EDL	00:01:03,232	00:01:04,768	| 1f183e85-0bcd-4bcb-9e35-d8c6f34eabd9_0518dd6f064373335908393f77dbddd7 |	Use find my iPhone
EDL	00:01:05,280	00:01:06,560	| 1f183e85-0bcd-4bcb-9e35-d8c6f34eabd9_0518dd6f064373335908393f77dbddd7 |	Find her phone
EDL	00:01:06,560	00:01:09,376	| 1f183e85-0bcd-4bcb-9e35-d8c6f34eabd9_0518dd6f064373335908393f77dbddd7 |	When it's just lost in the couch or maybe left at Starbucks
EDL	00:01:10,144	00:01:11,424	| 1f183e85-0bcd-4bcb-9e35-d8c6f34eabd9_0518dd6f064373335908393f77dbddd7 |	It's been stolen
EDL	00:01:12,192	00:01:13,984	| 1f183e85-0bcd-4bcb-9e35-d8c6f34eabd9_0518dd6f064373335908393f77dbddd7 |	And now with activation lock
EDL	00:01:15,520	00:01:16,288	| 1f183e85-0bcd-4bcb-9e35-d8c6f34eabd9_0518dd6f064373335908393f77dbddd7 |	Turn off
EDL	00:01:16,800	00:01:18,080	| 1f183e85-0bcd-4bcb-9e35-d8c6f34eabd9_0518dd6f064373335908393f77dbddd7 |	Find my iPhone
EDL	00:01:18,080	00:01:20,640	| 1f183e85-0bcd-4bcb-9e35-d8c6f34eabd9_0518dd6f064373335908393f77dbddd7 |	They will not be able to reactivate it
EDL	00:01:21,152	00:01:27,552	| 1f183e85-0bcd-4bcb-9e35-d8c6f34eabd9_0518dd6f064373335908393f77dbddd7 |	Because they don't know your iCloud username motherboard editor-in-chief Jason Cavalier Inn
EDL	00:01:27,552	00:01:29,344	| 1f183e85-0bcd-4bcb-9e35-d8c6f34eabd9_0518dd6f064373335908393f77dbddd7 |	Senior staff writer Joseph Cox
EDL	00:01:29,344	00:01:33,184	| 1f183e85-0bcd-4bcb-9e35-d8c6f34eabd9_0518dd6f064373335908393f77dbddd7 |	But the last few months diving into the notably complicated world of
EDL	00:01:33,184	00:01:33,952	| 1f183e85-0bcd-4bcb-9e35-d8c6f34eabd9_0518dd6f064373335908393f77dbddd7 |	ICloud unlock
EDL	00:01:34,464	00:01:38,304	| 1f183e85-0bcd-4bcb-9e35-d8c6f34eabd9_0518dd6f064373335908393f77dbddd7 |	In the ways in which involves not only physical and cyber crime
