EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:20,992	00:00:27,392	| 2fb0f37a-bf15-43cd-9f26-2ce899ec1fe2_5ca531719c4081880950ef20c03850a1 |	Eagle one package being delivered
EDL	00:00:27,392	00:00:32,768	| 2fb0f37a-bf15-43cd-9f26-2ce899ec1fe2_5ca531719c4081880950ef20c03850a1 |	National Security reporter with Vice and this is cyber
EDL	00:00:32,768	00:00:39,168	| 2fb0f37a-bf15-43cd-9f26-2ce899ec1fe2_5ca531719c4081880950ef20c03850a1 |	A podcast for motherboard about hacking their voting machines are vulnerable to hackers on Friday
EDL	00:00:39,168	00:00:45,312	| 2fb0f37a-bf15-43cd-9f26-2ce899ec1fe2_5ca531719c4081880950ef20c03850a1 |	Packers were able to penetrate a touch-screen voting machine in less than 2 hours
EDL	00:00:52,992	00:00:56,832	| 2fb0f37a-bf15-43cd-9f26-2ce899ec1fe2_5ca531719c4081880950ef20c03850a1 |	You've heard it before disinformation campaigns Colbert plans hatch
EDL	00:00:56,832	00:01:00,416	| 2fb0f37a-bf15-43cd-9f26-2ce899ec1fe2_5ca531719c4081880950ef20c03850a1 |	Deep inside the Kremlin by dark Putin to use Astro factories
EDL	00:01:00,416	00:01:05,280	| 2fb0f37a-bf15-43cd-9f26-2ce899ec1fe2_5ca531719c4081880950ef20c03850a1 |	Facebook ad buying sprees ninja hackers just do Hillary's emails and embarrass the Democrats
EDL	00:01:06,304	00:01:07,072	| 2fb0f37a-bf15-43cd-9f26-2ce899ec1fe2_5ca531719c4081880950ef20c03850a1 |	I mean it kind of works
EDL	00:01:07,584	00:01:09,632	| 2fb0f37a-bf15-43cd-9f26-2ce899ec1fe2_5ca531719c4081880950ef20c03850a1 |	We say election acting
EDL	00:01:09,632	00:01:10,656	| 2fb0f37a-bf15-43cd-9f26-2ce899ec1fe2_5ca531719c4081880950ef20c03850a1 |	Need something more
EDL	00:01:11,168	00:01:12,448	| 2fb0f37a-bf15-43cd-9f26-2ce899ec1fe2_5ca531719c4081880950ef20c03850a1 |	Sling very specific
EDL	00:01:13,472	00:01:17,056	| 2fb0f37a-bf15-43cd-9f26-2ce899ec1fe2_5ca531719c4081880950ef20c03850a1 |	Today we want to talk about what real election hacking is
EDL	00:01:17,056	00:01:20,384	| 2fb0f37a-bf15-43cd-9f26-2ce899ec1fe2_5ca531719c4081880950ef20c03850a1 |	We brought in motherboard contributor and actor recording Legend
EDL	00:01:20,384	00:01:21,408	| 2fb0f37a-bf15-43cd-9f26-2ce899ec1fe2_5ca531719c4081880950ef20c03850a1 |	Kim zetter
EDL	00:01:21,408	00:01:24,224	| 2fb0f37a-bf15-43cd-9f26-2ce899ec1fe2_5ca531719c4081880950ef20c03850a1 |	Just want a piece for New York Times magazine called
EDL	00:01:24,224	00:01:26,016	| 2fb0f37a-bf15-43cd-9f26-2ce899ec1fe2_5ca531719c4081880950ef20c03850a1 |	The crisis of election security
EDL	00:01:27,040	00:01:29,088	| 2fb0f37a-bf15-43cd-9f26-2ce899ec1fe2_5ca531719c4081880950ef20c03850a1 |	He doesn't call out Russian hackers as a key
EDL	00:01:29,088	00:01:29,856	| 2fb0f37a-bf15-43cd-9f26-2ce899ec1fe2_5ca531719c4081880950ef20c03850a1 |	Spectrum
EDL	00:01:29,856	00:01:30,368	| 2fb0f37a-bf15-43cd-9f26-2ce899ec1fe2_5ca531719c4081880950ef20c03850a1 |	Democracy
EDL	00:01:30,880	00:01:31,904	| 2fb0f37a-bf15-43cd-9f26-2ce899ec1fe2_5ca531719c4081880950ef20c03850a1 |	Instead
EDL	00:01:31,904	00:01:32,928	| 2fb0f37a-bf15-43cd-9f26-2ce899ec1fe2_5ca531719c4081880950ef20c03850a1 |	Something around me
EDL	00:01:33,440	00:01:34,976	| 2fb0f37a-bf15-43cd-9f26-2ce899ec1fe2_5ca531719c4081880950ef20c03850a1 |	Voting machines
EDL	00:01:34,976	00:01:35,488	| 2fb0f37a-bf15-43cd-9f26-2ce899ec1fe2_5ca531719c4081880950ef20c03850a1 |	Carry out
EDL	00:01:36,256	00:01:37,024	| 2fb0f37a-bf15-43cd-9f26-2ce899ec1fe2_5ca531719c4081880950ef20c03850a1 |	Civic duties
EDL	00:01:38,304	00:01:39,072	| 2fb0f37a-bf15-43cd-9f26-2ce899ec1fe2_5ca531719c4081880950ef20c03850a1 |	Benedetails
EDL	00:01:39,584	00:01:40,352	| 2fb0f37a-bf15-43cd-9f26-2ce899ec1fe2_5ca531719c4081880950ef20c03850a1 |	Terrifying
EDL	00:01:44,192	00:01:45,216	| 2fb0f37a-bf15-43cd-9f26-2ce899ec1fe2_5ca531719c4081880950ef20c03850a1 |	Tell me
EDL	00:01:45,216	00:01:49,312	| 2fb0f37a-bf15-43cd-9f26-2ce899ec1fe2_5ca531719c4081880950ef20c03850a1 |	What is election hacking exactly because a lot of people throw this term around
EDL	00:01:49,824	00:01:50,592	| 2fb0f37a-bf15-43cd-9f26-2ce899ec1fe2_5ca531719c4081880950ef20c03850a1 |	Yeah I hate it
