EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:21,504	00:00:27,904	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	Eagle one package being delivered
EDL	00:00:27,904	00:00:34,048	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	Siri wrong
EDL	00:00:34,816	00:00:36,096	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	I don't like you T Series
EDL	00:00:37,632	00:00:38,912	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	Nothing Personnel kid
EDL	00:00:40,448	00:00:41,728	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	But I must go all out
EDL	00:00:43,520	00:00:44,288	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	Just this once
EDL	00:00:45,312	00:00:51,712	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	Bobs or vegana whichever will it be set the fuk down is a reason I'm here to spill.
EDL	00:00:51,712	00:00:58,112	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	Realty
EDL	00:00:58,112	00:01:04,512	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	November 50,000 printers started suddenly printing a message urging recipients to subscribe to PewDiePie
EDL	00:01:04,512	00:01:10,912	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	Most popular star ever with 80 million subscribers to the printers were hacked
EDL	00:01:10,912	00:01:17,312	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	Because they were dangerously exposed internet the same hacker hacker giraffe
EDL	00:01:17,312	00:01:23,712	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	Again this time I can Smart TVs and Chromecast devices to autoplay a video promoting PewDiePie and
EDL	00:01:23,712	00:01:30,112	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	Urging them to fix their exposed devices things only got crazier from there a few days later have a draft
EDL	00:01:30,112	00:01:36,512	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	Remorseful statement from PewDiePie fans and heaters
EDL	00:01:36,512	00:01:42,912	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	Bi and surface and safety transmission by saying they were hanging up
EDL	00:01:42,912	00:01:49,312	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	How something that started in good fun become so toxic
EDL	00:01:49,312	00:01:55,712	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	We were talking about the board staff writer Samantha Cole prison following this drama from the beginning
EDL	00:01:55,712	00:02:02,112	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	This is cyber Samantha first time on the show
EDL	00:02:02,112	00:02:08,512	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	And you're going to be on the show right now because you did an article on somebody called
EDL	00:02:08,512	00:02:14,912	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	PewDiePie it's cute that you say it like you don't know who he is
EDL	00:02:14,912	00:02:17,472	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	His army which will find out it will not like this but
EDL	00:02:17,472	00:02:19,008	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	I only found out
EDL	00:02:19,008	00:02:19,520	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	About
EDL	00:02:20,288	00:02:22,336	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	PewDiePie because I got tweet a few times
EDL	00:02:22,848	00:02:24,128	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	Where someone said
EDL	00:02:24,640	00:02:25,408	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	Somebody looks
EDL	00:02:25,920	00:02:26,944	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	Like if
EDL	00:02:26,944	00:02:32,832	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	PewDiePie and I had a kid and they were ugly and I kept getting it and I was like who the f***
EDL	00:02:32,832	00:02:33,600	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	Is PewDiePie
EDL	00:02:34,368	00:02:38,720	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	And I checked it out and now I know who he is
EDL	00:02:38,720	00:02:43,328	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	I'm sorry for I think it's just because we're both white guys with beards is not exactly like a
EDL	00:02:43,328	00:02:44,864	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	I really like we look alike
EDL	00:02:44,864	00:02:46,656	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	Fair enough but I'm bi
EDL	00:02:47,424	00:02:47,936	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	But of course
EDL	00:02:48,448	00:02:50,240	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	Like everything on the show
EDL	00:02:50,240	00:02:51,520	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	How to let you down a bit of rabbit
EDL	00:02:51,520	00:02:52,032	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	What happened
EDL	00:02:52,544	00:02:55,104	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	Yeah so just to get people in my contacts
EDL	00:02:55,104	00:02:57,152	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	Who don't know
EDL	00:02:57,152	00:02:57,920	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	PewDiePie
EDL	00:02:58,432	00:03:01,760	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	He is a YouTube most popular
EDL	00:03:02,528	00:03:03,552	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	I got the flogger
EDL	00:03:03,552	00:03:04,832	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	Vlogger
EDL	00:03:04,832	00:03:05,856	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	I don't think so
EDL	00:03:05,856	00:03:09,952	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	I feel really dated this a fogger but yeah he's the most popular YouTuber
EDL	00:03:10,720	00:03:12,256	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	Right now he's got he just broke
EDL	00:03:12,768	00:03:14,304	| 99d107c9-2d97-4d9f-8c87-9f31756816f0_9e3e5e5105c4a47503170e091f732a54 |	80 million subscribers so
