EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:21,760	00:00:28,160	| becc9d01-497d-49be-927b-e3fd06f39d88_27d5eca29bea2d3b2bc1be441680ea4b |	Eagle one package being delivered
EDL	00:00:28,160	00:00:34,560	| becc9d01-497d-49be-927b-e3fd06f39d88_27d5eca29bea2d3b2bc1be441680ea4b |	Macros hipster take on white supremacist him in the unity of them buying online
EDL	00:00:34,560	00:00:40,960	| becc9d01-497d-49be-927b-e3fd06f39d88_27d5eca29bea2d3b2bc1be441680ea4b |	Publication known as unicorn Riot what they did was dumbest series of 770,000 messages
EDL	00:00:40,960	00:00:47,360	| becc9d01-497d-49be-927b-e3fd06f39d88_27d5eca29bea2d3b2bc1be441680ea4b |	From the identity evropa Discord slack and other chat channels exposing the group's attempts
EDL	00:00:47,360	00:00:53,760	| becc9d01-497d-49be-927b-e3fd06f39d88_27d5eca29bea2d3b2bc1be441680ea4b |	Is the deadly unite the right rally in Charlottesville
EDL	00:00:53,760	00:01:00,160	| becc9d01-497d-49be-927b-e3fd06f39d88_27d5eca29bea2d3b2bc1be441680ea4b |	The plan was to go mainstream Indie player in American politics
EDL	00:01:00,160	00:01:06,560	| becc9d01-497d-49be-927b-e3fd06f39d88_27d5eca29bea2d3b2bc1be441680ea4b |	Identity evropa try to Rebrand as simply pro-white decrying their Neo-Nazi labels I think that would be a major
EDL	00:01:06,560	00:01:12,960	| becc9d01-497d-49be-927b-e3fd06f39d88_27d5eca29bea2d3b2bc1be441680ea4b |	Yes if we can finally start having a dialogue and not so one of these oh we need to talk about race but let's go
EDL	00:01:12,960	00:01:19,360	| becc9d01-497d-49be-927b-e3fd06f39d88_27d5eca29bea2d3b2bc1be441680ea4b |	Just bring on a person of European Heritage she's going to sit there as a stool pigeon as a yes man
EDL	00:01:19,360	00:01:25,760	| becc9d01-497d-49be-927b-e3fd06f39d88_27d5eca29bea2d3b2bc1be441680ea4b |	Reveals that was total BS the Unicorn ride dump is an example of how people are
EDL	00:01:25,760	00:01:32,160	| becc9d01-497d-49be-927b-e3fd06f39d88_27d5eca29bea2d3b2bc1be441680ea4b |	Trying to fight back online against a growing radical popular Neo-Nazi extremist
EDL	00:01:32,160	00:01:38,560	| becc9d01-497d-49be-927b-e3fd06f39d88_27d5eca29bea2d3b2bc1be441680ea4b |	Right. Things like the ideologies that spawned the Christ Church Terror attacks from ever happening today
EDL	00:01:38,560	00:01:44,960	| becc9d01-497d-49be-927b-e3fd06f39d88_27d5eca29bea2d3b2bc1be441680ea4b |	Hey we have Freddie Martinez I got none within how can circles who's a member of the Unicorn ride team that took down identity
EDL	00:01:44,960	00:01:51,360	| becc9d01-497d-49be-927b-e3fd06f39d88_27d5eca29bea2d3b2bc1be441680ea4b |	Europa to tell us what it's like tracking Nazis online well thanks
EDL	00:01:51,360	00:01:53,152	| becc9d01-497d-49be-927b-e3fd06f39d88_27d5eca29bea2d3b2bc1be441680ea4b |	For coming on the show today
EDL	00:01:53,664	00:01:55,456	| becc9d01-497d-49be-927b-e3fd06f39d88_27d5eca29bea2d3b2bc1be441680ea4b |	So tell me what is
EDL	00:01:55,456	00:01:56,736	| becc9d01-497d-49be-927b-e3fd06f39d88_27d5eca29bea2d3b2bc1be441680ea4b |	Unicorn
EDL	00:01:56,736	00:01:57,504	| becc9d01-497d-49be-927b-e3fd06f39d88_27d5eca29bea2d3b2bc1be441680ea4b |	Riot
EDL	00:01:57,504	00:02:01,600	| becc9d01-497d-49be-927b-e3fd06f39d88_27d5eca29bea2d3b2bc1be441680ea4b |	That's a good question. Is a decentralized
EDL	00:02:02,112	00:02:04,160	| becc9d01-497d-49be-927b-e3fd06f39d88_27d5eca29bea2d3b2bc1be441680ea4b |	Alternative media Collective
EDL	00:02:04,160	00:02:06,208	| becc9d01-497d-49be-927b-e3fd06f39d88_27d5eca29bea2d3b2bc1be441680ea4b |	So we cover everything
EDL	00:02:06,208	00:02:06,720	| becc9d01-497d-49be-927b-e3fd06f39d88_27d5eca29bea2d3b2bc1be441680ea4b |	Fromm
EDL	00:02:07,232	00:02:13,632	| becc9d01-497d-49be-927b-e3fd06f39d88_27d5eca29bea2d3b2bc1be441680ea4b |	Like social justice issues to environmental issues racism
EDL	00:02:13,632	00:02:14,912	| becc9d01-497d-49be-927b-e3fd06f39d88_27d5eca29bea2d3b2bc1be441680ea4b |	Avalon doing journalism
EDL	00:02:16,448	00:02:19,776	| becc9d01-497d-49be-927b-e3fd06f39d88_27d5eca29bea2d3b2bc1be441680ea4b |	Other people aren't doing but we checked
EDL	00:02:19,776	00:02:21,312	| becc9d01-497d-49be-927b-e3fd06f39d88_27d5eca29bea2d3b2bc1be441680ea4b |	Big restaurant rustic stands
EDL	00:02:22,336	00:02:26,944	| becc9d01-497d-49be-927b-e3fd06f39d88_27d5eca29bea2d3b2bc1be441680ea4b |	We work very hard to uphold like Barry Sanders on ourselves
EDL	00:02:27,712	00:02:28,736	| becc9d01-497d-49be-927b-e3fd06f39d88_27d5eca29bea2d3b2bc1be441680ea4b |	So
EDL	00:02:29,248	00:02:31,808	| becc9d01-497d-49be-927b-e3fd06f39d88_27d5eca29bea2d3b2bc1be441680ea4b |	Yeah that's how we approach
EDL	00:02:31,808	00:02:36,160	| becc9d01-497d-49be-927b-e3fd06f39d88_27d5eca29bea2d3b2bc1be441680ea4b |	Decentralized
EDL	00:02:36,672	00:02:37,184	| becc9d01-497d-49be-927b-e3fd06f39d88_27d5eca29bea2d3b2bc1be441680ea4b |	Group
EDL	00:02:37,696	00:02:39,232	| becc9d01-497d-49be-927b-e3fd06f39d88_27d5eca29bea2d3b2bc1be441680ea4b |	What was the ethos
