EDL	Record In	Record Out	Clipname	Subtitle

Origin TITLE: dchha62_Supernova_in_the_East_I.tsv 
URL:  http://dts.podtrac.com/redirect.mp3/traffic.libsyn.com/dancarlinhh/dchha62_Supernova_in_the_East_I.mp3

* Abstract from author

The Asia-Pacific War of 1937-1945 has deep roots. It also involves a Japanese society that's been called one of the most distinctive on Earth. If there were a Japanese version of Captain America, this would be his origin story.

* AD

EDL	00:00:00,256	00:00:02,304	| E62 |	Today Show sponsored by Audible
EDL	00:00:02,304	00:00:05,376	| E62 |	Go to audible.com hardcore history
EDL	00:00:05,376	00:00:06,144	| E62 |	Or text
EDL	00:00:06,144	00:00:12,544	| E62 |	Hardcore History to 500 500 to get started Amazon Prime members can get Audible for 495
EDL	00:00:12,544	00:00:13,824	| E62 |	The month for the first three months
EDL	00:00:13,824	00:00:17,664	| E62 |	If I get in 3 months for the price of one 14.95 a month
EDL	00:00:17,664	00:00:21,248	| E62 |	And this offer ends July 31st 2018 so move on that fast
EDL	00:00:21,248	00:00:22,016	| E62 |	If it sounds good to you

* Intro

EDL	00:00:23,552	00:00:28,672	| E62 |	December 7th 1941
EDL	00:00:28,672	00:00:30,208	| E62 |	Its history
EDL	00:00:30,208	00:00:31,744	| E62 |	A date which will live
EDL	00:00:31,744	00:00:33,024	| E62 |	[ SPACE 1.3 secs ]
EDL	00:00:33,024	00:00:33,792	| E62 |	In infamy
EDL	00:00:33,792	00:00:35,584	| E62 |	[ SPACE 1.8 secs ]
EDL	00:00:35,584	00:00:37,376	| E62 |	Call Steph Curry
EDL	00:00:37,376	00:00:39,424	| E62 |	[ SPACE 2.0 secs ]
EDL	00:00:39,424	00:00:42,752	| E62 |	Barclays Premier League events
EDL	00:00:42,752	00:00:56,064	| E62 |	[ SPACE 13.3 secs ]
EDL	00:00:56,064	00:01:02,464	| E62 |	Call nist time and place I take pride in the words ich bin ein Berliner
EDL	00:01:02,464	00:01:04,768	| E62 |	Instagram
EDL	00:01:04,768	00:01:12,192	| E62 |	[ SPACE 7.4 secs ]
EDL	00:01:12,192	00:01:18,592	| E62 |	The Deep question
EDL	00:01:18,592	00:01:23,712	| E62 |	Time of examination
EDL	00:01:23,712	00:01:30,112	| E62 |	And remember that we are not descended
EDL	00:01:30,112	00:01:33,952	| E62 |	From fearful man eats hardcore history
EDL	00:01:33,952	00:01:38,048	| E62 |	[ SPACE 4.1 secs ]
EDL	00:01:38,048	00:01:38,816	| E62 |	1940s
EDL	00:01:38,816	00:01:40,864	| E62 |	[ SPACE 2.0 secs ]
EDL	00:01:40,864	00:01:42,656	| E62 |	When the second world war is
