EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:02,048	| dchha53_Blueprint_for_Armageddon_IV_clean |	What you're about to hear is part
EDL	00:00:02,048	00:00:04,352	| dchha53_Blueprint_for_Armageddon_IV_clean |	4 of a multi-part series on the first world
EDL	00:00:05,120	00:00:08,448	| dchha53_Blueprint_for_Armageddon_IV_clean |	If you like your stories to have some sort of cohesive
EDL	00:00:08,448	00:00:11,008	| dchha53_Blueprint_for_Armageddon_IV_clean |	Linear narrative flow although I'm not promising
EDL	00:00:12,800	00:00:14,336	| dchha53_Blueprint_for_Armageddon_IV_clean |	But if that's what you like we're
EDL	00:00:14,336	00:00:16,640	| dchha53_Blueprint_for_Armageddon_IV_clean |	Probably better off suggesting you go check out
EDL	00:00:16,640	00:00:18,688	| dchha53_Blueprint_for_Armageddon_IV_clean |	Episode number one and work your way to here
EDL	00:00:19,200	00:00:22,272	| dchha53_Blueprint_for_Armageddon_IV_clean |	You don't care about that kind of stuff at all you just don't trust me to
EDL	00:00:22,272	00:00:25,088	| dchha53_Blueprint_for_Armageddon_IV_clean |	To deliver a cohesive linear narrative flowing
EDL	00:00:25,088	00:00:25,856	| dchha53_Blueprint_for_Armageddon_IV_clean |	Blame you
EDL	00:00:25,856	00:00:27,392	| dchha53_Blueprint_for_Armageddon_IV_clean |	Well then by all means start he
EDL	00:00:27,392	00:00:27,904	| dchha53_Blueprint_for_Armageddon_IV_clean |	Kira part 4
EDL	00:00:28,416	00:00:31,744	| dchha53_Blueprint_for_Armageddon_IV_clean |	And check out this series that we're calling blueprint
EDL	00:00:31,744	00:00:32,512	| dchha53_Blueprint_for_Armageddon_IV_clean |	Armageddon
EDL	00:00:32,512	00:00:37,376	| dchha53_Blueprint_for_Armageddon_IV_clean |	December 7th 1941
EDL	00:00:38,912	00:00:41,216	| dchha53_Blueprint_for_Armageddon_IV_clean |	A date which will live
EDL	00:00:42,240	00:00:48,640	| dchha53_Blueprint_for_Armageddon_IV_clean |	In infamy
EDL	00:00:48,640	00:00:51,968	| dchha53_Blueprint_for_Armageddon_IV_clean |	The events
EDL	00:01:05,024	00:01:11,168	| dchha53_Blueprint_for_Armageddon_IV_clean |	Call nist time and place I take pride in the words ich bin ein Berliner
EDL	00:01:24,224	00:01:30,624	| dchha53_Blueprint_for_Armageddon_IV_clean |	I welcome this kind of examination
EDL	00:01:30,624	00:01:37,024	| dchha53_Blueprint_for_Armageddon_IV_clean |	Weather now
EDL	00:01:37,024	00:01:41,632	| dchha53_Blueprint_for_Armageddon_IV_clean |	We are not descended from fearful men
EDL	00:01:42,144	00:01:45,216	| dchha53_Blueprint_for_Armageddon_IV_clean |	Hardcore history
EDL	00:01:53,920	00:01:54,944	| dchha53_Blueprint_for_Armageddon_IV_clean |	How do you Market
EDL	00:01:55,456	00:01:55,968	| dchha53_Blueprint_for_Armageddon_IV_clean |	War
EDL	00:01:57,504	00:01:59,296	| dchha53_Blueprint_for_Armageddon_IV_clean |	How do you sell combat
EDL	00:02:00,064	00:02:02,624	| dchha53_Blueprint_for_Armageddon_IV_clean |	To the people who are actually going to have to engage
EDL	00:02:04,160	00:02:05,440	| dchha53_Blueprint_for_Armageddon_IV_clean |	Hypothetical question
EDL	00:02:06,976	00:02:08,256	| dchha53_Blueprint_for_Armageddon_IV_clean |	Any military
EDL	00:02:08,768	00:02:14,912	| dchha53_Blueprint_for_Armageddon_IV_clean |	That requires volunteers to decide they want to join the service has to think about how you actually
EDL	00:02:15,424	00:02:17,728	| dchha53_Blueprint_for_Armageddon_IV_clean |	Sell the idea to the people who
EDL	00:02:17,728	00:02:19,264	| dchha53_Blueprint_for_Armageddon_IV_clean |	You'll have to take part in it
EDL	00:02:19,264	00:02:22,592	| dchha53_Blueprint_for_Armageddon_IV_clean |	An idea that carries with it the potential for
EDL	00:02:23,104	00:02:27,712	| dchha53_Blueprint_for_Armageddon_IV_clean |	Some very nasty outcomes in the very worst of circumstances done that the difficult
EDL	00:02:27,712	00:02:29,504	| dchha53_Blueprint_for_Armageddon_IV_clean |	Job perhaps to Market
EDL	00:02:30,016	00:02:30,784	| dchha53_Blueprint_for_Armageddon_IV_clean |	Combat
EDL	00:02:31,552	00:02:34,368	| dchha53_Blueprint_for_Armageddon_IV_clean |	Easier to do in peacetime though right if you have to sell
EDL	00:02:34,880	00:02:37,440	| dchha53_Blueprint_for_Armageddon_IV_clean |	Suntan oil to people in Alaska
EDL	00:02:37,952	00:02:40,000	| dchha53_Blueprint_for_Armageddon_IV_clean |	You might be able to pull that off in the summer
EDL	00:02:40,512	00:02:42,560	| dchha53_Blueprint_for_Armageddon_IV_clean |	In December it's a really tough sell
EDL	00:02:43,840	00:02:45,376	| dchha53_Blueprint_for_Armageddon_IV_clean |	The first world war breaks out
EDL	00:02:45,888	00:02:47,168	| dchha53_Blueprint_for_Armageddon_IV_clean |	If you're trying to Market
EDL	00:02:47,168	00:02:49,472	| dchha53_Blueprint_for_Armageddon_IV_clean |	Recruitment into the British army
EDL	00:02:49,472	00:02:53,568	| dchha53_Blueprint_for_Armageddon_IV_clean |	You can sell the same sort of talking points the same soda angles that have worked
EDL	00:02:54,080	00:03:00,224	| dchha53_Blueprint_for_Armageddon_IV_clean |	For governments and monarchies and tribes going back to the beginning of civilization the military's long hair
EDL	00:03:00,736	00:03:02,272	| dchha53_Blueprint_for_Armageddon_IV_clean |	Certain selling points
EDL	00:03:02,272	00:03:03,296	| dchha53_Blueprint_for_Armageddon_IV_clean |	I think we're all familiar
EDL	00:03:03,296	00:03:03,808	| dchha53_Blueprint_for_Armageddon_IV_clean |	With them
EDL	00:03:05,088	00:03:08,672	| dchha53_Blueprint_for_Armageddon_IV_clean |	Add regular pay thrown into that as well
EDL	00:03:09,440	00:03:10,464	| dchha53_Blueprint_for_Armageddon_IV_clean |	Heroism
EDL	00:03:10,464	00:03:12,256	| dchha53_Blueprint_for_Armageddon_IV_clean |	The adventure
EDL	00:03:12,256	00:03:14,560	| dchha53_Blueprint_for_Armageddon_IV_clean |	The status and meaning of this a lot of things
EDL	00:03:15,328	00:03:17,120	| dchha53_Blueprint_for_Armageddon_IV_clean |	Some people just like to fight I mean you never know
EDL	00:03:18,400	00:03:19,424	| dchha53_Blueprint_for_Armageddon_IV_clean |	The problem is is that
EDL	00:03:19,936	00:03:22,752	| dchha53_Blueprint_for_Armageddon_IV_clean |	That's a pre 1914
EDL	00:03:23,520	00:03:28,640	| dchha53_Blueprint_for_Armageddon_IV_clean |	In a talking point when it comes to what happens when the first world war breaks out
EDL	00:03:28,640	00:03:32,480	| dchha53_Blueprint_for_Armageddon_IV_clean |	And how that just totally messes with your marketing strategy
EDL	00:03:32,480	00:03:33,760	| dchha53_Blueprint_for_Armageddon_IV_clean |	Unless you're marketing
EDL	00:03:34,528	00:03:35,040	| dchha53_Blueprint_for_Armageddon_IV_clean |	Hell
EDL	00:03:35,552	00:03:37,088	| dchha53_Blueprint_for_Armageddon_IV_clean |	As a travel destination
EDL	00:03:38,624	00:03:39,392	| dchha53_Blueprint_for_Armageddon_IV_clean |	You can't
EDL	00:03:39,392	00:03:44,768	| dchha53_Blueprint_for_Armageddon_IV_clean |	No matter how much press censorship you have in the British had plenty in the first world war just like everyone else
EDL	00:03:45,280	00:03:46,560	| dchha53_Blueprint_for_Armageddon_IV_clean |	You can't mask
EDL	00:03:46,560	00:03:47,840	| dchha53_Blueprint_for_Armageddon_IV_clean |	Those kind of casual
EDL	00:03:47,840	00:03:50,656	| dchha53_Blueprint_for_Armageddon_IV_clean |	Now you can mask the reality the sort of stuff that
EDL	00:03:50,656	00:03:54,752	| dchha53_Blueprint_for_Armageddon_IV_clean |	These newspaper reporters who were sent there during the war after the war
EDL	00:03:54,752	00:03:58,080	| dchha53_Blueprint_for_Armageddon_IV_clean |	You know they would write books telling you the real story what really happened
EDL	00:03:58,080	00:04:01,152	| dchha53_Blueprint_for_Armageddon_IV_clean |	Tell you to never imagined it was all censored by the Press
EDL	00:04:01,152	00:04:02,944	| dchha53_Blueprint_for_Armageddon_IV_clean |	Even with the censorship
EDL	00:04:02,944	00:04:03,712	| dchha53_Blueprint_for_Armageddon_IV_clean |	You can't
EDL	00:04:03,712	00:04:04,736	| dchha53_Blueprint_for_Armageddon_IV_clean |	Haida
