EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,536	| dchha55_Blueprint_for_Armageddon_VI |	What you're about to hear is the six
EDL	00:00:01,536	00:00:02,560	| dchha55_Blueprint_for_Armageddon_VI |	And Final
EDL	00:00:02,560	00:00:03,840	| dchha55_Blueprint_for_Armageddon_VI |	Part of a six-part
EDL	00:00:03,840	00:00:05,120	| dchha55_Blueprint_for_Armageddon_VI |	Series on the first World War
EDL	00:00:05,120	00:00:05,632	| dchha55_Blueprint_for_Armageddon_VI |	[ SPACE 0.5 secs ]
EDL	00:00:05,632	00:00:09,216	| dchha55_Blueprint_for_Armageddon_VI |	Traditionally we suggest people listen to them in order but I realize not everyone
EDL	00:00:09,216	00:00:09,728	| dchha55_Blueprint_for_Armageddon_VI |	[ SPACE 0.5 secs ]
EDL	00:00:09,728	00:00:10,496	| dchha55_Blueprint_for_Armageddon_VI |	Additional
EDL	00:00:10,496	00:00:12,288	| dchha55_Blueprint_for_Armageddon_VI |	And there may be a few
EDL	00:00:12,288	00:00:14,080	| dchha55_Blueprint_for_Armageddon_VI |	Historical dyslexia
EDL	00:00:14,080	00:00:15,872	| dchha55_Blueprint_for_Armageddon_VI |	6 out there and if that's the case
EDL	00:00:15,872	00:00:16,640	| dchha55_Blueprint_for_Armageddon_VI |	It might not matter to you
EDL	00:00:16,640	00:00:17,408	| dchha55_Blueprint_for_Armageddon_VI |	[ SPACE 0.8 secs ]
EDL	00:00:17,408	00:00:17,920	| dchha55_Blueprint_for_Armageddon_VI |	You listening
EDL	00:00:17,920	00:00:18,432	| dchha55_Blueprint_for_Armageddon_VI |	[ SPACE 0.5 secs ]
EDL	00:00:18,432	00:00:21,248	| dchha55_Blueprint_for_Armageddon_VI |	If that's the case please feel free to Jump Right In
EDL	00:00:21,248	00:00:23,808	| dchha55_Blueprint_for_Armageddon_VI |	Those of you who've heard the previous episodes welcome back
EDL	00:00:23,808	00:00:24,320	| dchha55_Blueprint_for_Armageddon_VI |	[ SPACE 0.5 secs ]
EDL	00:00:24,320	00:00:25,344	| dchha55_Blueprint_for_Armageddon_VI |	Two-part
EDL	00:00:25,344	00:00:25,856	| dchha55_Blueprint_for_Armageddon_VI |	Sex
EDL	00:00:25,856	00:00:26,624	| dchha55_Blueprint_for_Armageddon_VI |	[ SPACE 0.8 secs ]
EDL	00:00:26,624	00:00:27,648	| dchha55_Blueprint_for_Armageddon_VI |	He said the final
EDL	00:00:27,648	00:00:28,928	| dchha55_Blueprint_for_Armageddon_VI |	Part not counting next
EDL	00:00:28,928	00:00:29,440	| dchha55_Blueprint_for_Armageddon_VI |	Picture Show
EDL	00:00:29,440	00:00:30,464	| dchha55_Blueprint_for_Armageddon_VI |	[ SPACE 1.0 secs ]
EDL	00:00:30,464	00:00:31,232	| dchha55_Blueprint_for_Armageddon_VI |	Blueprint for Armageddon
EDL	00:00:31,232	00:00:33,024	| dchha55_Blueprint_for_Armageddon_VI |	[ SPACE 1.8 secs ]
EDL	00:00:33,024	00:00:39,424	| dchha55_Blueprint_for_Armageddon_VI |	December 7th 1941
EDL	00:00:39,424	00:00:41,984	| dchha55_Blueprint_for_Armageddon_VI |	A date which will live
EDL	00:00:41,984	00:00:43,520	| dchha55_Blueprint_for_Armageddon_VI |	In infamy
EDL	00:00:43,520	00:00:50,176	| dchha55_Blueprint_for_Armageddon_VI |	[ SPACE 6.7 secs ]
EDL	00:00:50,176	00:00:56,320	| dchha55_Blueprint_for_Armageddon_VI |	Leo events
EDL	00:00:56,320	00:01:05,536	| dchha55_Blueprint_for_Armageddon_VI |	[ SPACE 9.2 secs ]
EDL	00:01:05,536	00:01:11,936	| dchha55_Blueprint_for_Armageddon_VI |	Call nist time and place I take pride in the words ich bin ein Berliner
EDL	00:01:11,936	00:01:18,080	| dchha55_Blueprint_for_Armageddon_VI |	Mister barber shop
EDL	00:01:18,080	00:01:24,736	| dchha55_Blueprint_for_Armageddon_VI |	[ SPACE 6.7 secs ]
EDL	00:01:24,736	00:01:31,136	| dchha55_Blueprint_for_Armageddon_VI |	I welcome this kind of examination
EDL	00:01:31,136	00:01:37,536	| dchha55_Blueprint_for_Armageddon_VI |	Whether or not their president
EDL	00:01:37,536	00:01:41,888	| dchha55_Blueprint_for_Armageddon_VI |	We are not descended from fearful men
EDL	00:01:41,888	00:01:42,400	| dchha55_Blueprint_for_Armageddon_VI |	[ SPACE 0.5 secs ]
EDL	00:01:42,400	00:01:45,984	| dchha55_Blueprint_for_Armageddon_VI |	It's hardcore history
EDL	00:01:45,984	00:01:52,128	| dchha55_Blueprint_for_Armageddon_VI |	[ SPACE 6.1 secs ]
EDL	00:01:52,128	00:01:53,920	| dchha55_Blueprint_for_Armageddon_VI |	What's the most dangerous weapon in the world
EDL	00:01:53,920	00:01:55,200	| dchha55_Blueprint_for_Armageddon_VI |	[ SPACE 1.3 secs ]
EDL	00:01:55,200	00:01:57,248	| dchha55_Blueprint_for_Armageddon_VI |	I've had this discussion many times
EDL	00:01:57,248	00:01:57,760	| dchha55_Blueprint_for_Armageddon_VI |	With many people
EDL	00:01:57,760	00:01:58,784	| dchha55_Blueprint_for_Armageddon_VI |	[ SPACE 1.0 secs ]
EDL	00:01:58,784	00:02:00,064	| dchha55_Blueprint_for_Armageddon_VI |	And I seen it Go all over the
EDL	00:02:00,064	00:02:00,832	| dchha55_Blueprint_for_Armageddon_VI |	[ SPACE 0.8 secs ]
EDL	00:02:00,832	00:02:03,136	| dchha55_Blueprint_for_Armageddon_VI |	But generally you focus on nuclear war
EDL	00:02:03,136	00:02:05,184	| dchha55_Blueprint_for_Armageddon_VI |	Because that's an obvious thing to put
EDL	00:02:05,184	00:02:05,696	| dchha55_Blueprint_for_Armageddon_VI |	[ SPACE 0.5 secs ]
EDL	00:02:05,696	00:02:08,512	| dchha55_Blueprint_for_Armageddon_VI |	You don't win the number 1 spot for most dangerous weapon in the world
EDL	00:02:08,512	00:02:09,024	| dchha55_Blueprint_for_Armageddon_VI |	[ SPACE 0.5 secs ]
EDL	00:02:09,024	00:02:11,840	| dchha55_Blueprint_for_Armageddon_VI |	But there are some that are little bit more Insidious and potentially worse
EDL	00:02:11,840	00:02:12,608	| dchha55_Blueprint_for_Armageddon_VI |	[ SPACE 0.8 secs ]
EDL	00:02:12,608	00:02:13,888	| dchha55_Blueprint_for_Armageddon_VI |	Take for example
EDL	00:02:13,888	00:02:14,656	| dchha55_Blueprint_for_Armageddon_VI |	Biological
EDL	00:02:14,656	00:02:16,192	| dchha55_Blueprint_for_Armageddon_VI |	[ SPACE 1.5 secs ]
EDL	00:02:16,192	00:02:17,472	| dchha55_Blueprint_for_Armageddon_VI |	Think about some of the worst
EDL	00:02:17,472	00:02:18,752	| dchha55_Blueprint_for_Armageddon_VI |	Plagues that if ever
EDL	00:02:18,752	00:02:24,896	| dchha55_Blueprint_for_Armageddon_VI |	Infested mankind now imagine human Ingenuity in a laboratory used to make
EDL	00:02:24,896	00:02:26,176	| dchha55_Blueprint_for_Armageddon_VI |	Such plagues worse
EDL	00:02:26,176	00:02:26,688	| dchha55_Blueprint_for_Armageddon_VI |	[ SPACE 0.5 secs ]
EDL	00:02:26,688	00:02:29,504	| dchha55_Blueprint_for_Armageddon_VI |	And now imagine releasing those upon your
EDL	00:02:29,504	00:02:30,016	| dchha55_Blueprint_for_Armageddon_VI |	Anime
EDL	00:02:30,016	00:02:31,040	| dchha55_Blueprint_for_Armageddon_VI |	[ SPACE 1.0 secs ]
EDL	00:02:31,040	00:02:32,832	| dchha55_Blueprint_for_Armageddon_VI |	The reason they're so extra dangerous
EDL	00:02:32,832	00:02:33,344	| dchha55_Blueprint_for_Armageddon_VI |	[ SPACE 0.5 secs ]
EDL	00:02:33,344	00:02:35,904	| dchha55_Blueprint_for_Armageddon_VI |	Is because of the way they spread
EDL	00:02:35,904	00:02:39,744	| dchha55_Blueprint_for_Armageddon_VI |	And the fact that once you open the Pandora's box of biological warfare
EDL	00:02:39,744	00:02:40,256	| dchha55_Blueprint_for_Armageddon_VI |	[ SPACE 0.5 secs ]
EDL	00:02:40,256	00:02:42,816	| dchha55_Blueprint_for_Armageddon_VI |	You generally lose the ability to shut the box again
EDL	00:02:42,816	00:02:43,584	| dchha55_Blueprint_for_Armageddon_VI |	[ SPACE 0.8 secs ]
EDL	00:02:43,584	00:02:47,680	| dchha55_Blueprint_for_Armageddon_VI |	You may exchange a few nuclear weapons with an opponent and decide to stop
EDL	00:02:47,680	00:02:50,752	| dchha55_Blueprint_for_Armageddon_VI |	Once you open up that box and unleash
EDL	00:02:50,752	00:02:54,080	| dchha55_Blueprint_for_Armageddon_VI |	Super smallpox or what have you
EDL	00:02:54,080	00:02:55,360	| dchha55_Blueprint_for_Armageddon_VI |	You can't turn that off again
EDL	00:02:55,360	00:02:56,128	| dchha55_Blueprint_for_Armageddon_VI |	[ SPACE 0.8 secs ]
EDL	00:02:56,128	00:02:58,944	| dchha55_Blueprint_for_Armageddon_VI |	Another reason is very dangerous is that super smallpox
EDL	00:02:58,944	00:02:59,456	| dchha55_Blueprint_for_Armageddon_VI |	[ SPACE 0.5 secs ]
EDL	00:02:59,456	00:03:02,528	| dchha55_Blueprint_for_Armageddon_VI |	Doesn't differentiate between the people you targeted
EDL	00:03:02,528	00:03:04,832	| dchha55_Blueprint_for_Armageddon_VI |	And everyone else that it may spread to
EDL	00:03:04,832	00:03:08,928	| dchha55_Blueprint_for_Armageddon_VI |	It's a bit of a doomsday device when you think about how something like that could backfire
EDL	00:03:08,928	00:03:10,720	| dchha55_Blueprint_for_Armageddon_VI |	On the very people who decide to use it
EDL	00:03:10,720	00:03:11,232	| dchha55_Blueprint_for_Armageddon_VI |	[ SPACE 0.5 secs ]
EDL	00:03:11,232	00:03:12,512	| dchha55_Blueprint_for_Armageddon_VI |	It's a little light to siding
EDL	00:03:12,512	00:03:13,024	| dchha55_Blueprint_for_Armageddon_VI |	[ SPACE 0.5 secs ]
EDL	00:03:13,024	00:03:18,400	| dchha55_Blueprint_for_Armageddon_VI |	To get rid of your next-door neighbor in your apartment complex by burning down his place
EDL	00:03:18,400	00:03:19,680	| dchha55_Blueprint_for_Armageddon_VI |	[ SPACE 1.3 secs ]
