EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:05,632	| dchha61_BLITZ_Painfotainment |	Stay tuned at the end of today's program for information on where you can get more free hardcore history audio
EDL	00:00:10,752	00:00:12,544	| dchha61_BLITZ_Painfotainment |	Today Show is sponsored by Audible
EDL	00:00:13,056	00:00:19,456	| dchha61_BLITZ_Painfotainment |	Get a free audiobook with a 30-day trial membership if you sign up with audible today go to audible.com hardcore history
EDL	00:00:19,456	00:00:20,224	| dchha61_BLITZ_Painfotainment |	War
EDL	00:00:20,224	00:00:22,528	| dchha61_BLITZ_Painfotainment |	Text Hardcore History all one word
EDL	00:00:23,040	00:00:25,600	| dchha61_BLITZ_Painfotainment |	2500 - 500 to get started
EDL	00:00:26,880	00:00:33,280	| dchha61_BLITZ_Painfotainment |	December 7th 1941
EDL	00:00:33,280	00:00:37,120	| dchha61_BLITZ_Painfotainment |	A date which will live
EDL	00:00:37,120	00:00:39,168	| dchha61_BLITZ_Painfotainment |	It's hardcore history
EDL	00:00:39,680	00:00:40,448	| dchha61_BLITZ_Painfotainment |	The blitz Edition
EDL	00:00:46,336	00:00:47,872	| dchha61_BLITZ_Painfotainment |	I'm very interested
EDL	00:00:47,872	00:00:48,384	| dchha61_BLITZ_Painfotainment |	In pain
EDL	00:00:49,920	00:00:53,248	| dchha61_BLITZ_Painfotainment |	Not a masochistic Carissa District way
EDL	00:00:53,248	00:00:55,296	| dchha61_BLITZ_Painfotainment |	I'm interested in pain and suffering
EDL	00:00:56,064	00:00:58,112	| dchha61_BLITZ_Painfotainment |	For much the same reason that
EDL	00:00:58,112	00:01:00,160	| dchha61_BLITZ_Painfotainment |	Virtually All of You Are
EDL	00:01:01,184	00:01:03,488	| dchha61_BLITZ_Painfotainment |	Look at the entertainment you consume
EDL	00:01:04,000	00:01:08,352	| dchha61_BLITZ_Painfotainment |	Take out all of the physical and mental pain and suffering what do you have left
EDL	00:01:10,144	00:01:13,216	| dchha61_BLITZ_Painfotainment |	It's a source of Art and always has been
EDL	00:01:13,984	00:01:14,752	| dchha61_BLITZ_Painfotainment |	Because it's
EDL	00:01:14,752	00:01:16,288	| dchha61_BLITZ_Painfotainment |	Speaks to us on a human level
EDL	00:01:16,800	00:01:19,360	| dchha61_BLITZ_Painfotainment |	Does it matter how many things are different
EDL	00:01:19,360	00:01:23,200	| dchha61_BLITZ_Painfotainment |	With human beings Through the Ages and how much the culture changes us
EDL	00:01:24,224	00:01:27,552	| dchha61_BLITZ_Painfotainment |	How much the technology makes us different from our forebears
EDL	00:01:27,552	00:01:28,832	| dchha61_BLITZ_Painfotainment |	We can all understand pain
EDL	00:01:31,136	00:01:32,160	| dchha61_BLITZ_Painfotainment |	I think about it a lot
EDL	00:01:33,440	00:01:38,816	| dchha61_BLITZ_Painfotainment |	I say that I'm interested in the extremes of The Human Experience what does that mean
EDL	00:01:39,584	00:01:42,144	| dchha61_BLITZ_Painfotainment |	Sometimes I break it down I think it just means pain
EDL	00:01:43,168	00:01:44,192	| dchha61_BLITZ_Painfotainment |	Mental and physical
EDL	00:01:46,496	00:01:50,848	| dchha61_BLITZ_Painfotainment |	You start to wonder about being so interested in that by James Baldwin the writer
EDL	00:01:52,640	00:01:56,480	| dchha61_BLITZ_Painfotainment |	Wonderfully I thought when he pointed out that this connects us to each other
EDL	00:01:56,992	00:01:57,760	| dchha61_BLITZ_Painfotainment |	Any road quote
EDL	00:01:58,784	00:02:03,648	| dchha61_BLITZ_Painfotainment |	You think your pain and your heartbreak are unprecedented in the history of the world
EDL	00:02:03,648	00:02:04,416	| dchha61_BLITZ_Painfotainment |	But then you read
EDL	00:02:05,184	00:02:11,584	| dchha61_BLITZ_Painfotainment |	It was books that taught me that the things that tormented me most with a very things that connected me with all the people who were
EDL	00:02:11,584	00:02:13,376	| dchha61_BLITZ_Painfotainment |	Oral I've never been alive
EDL	00:02:14,144	00:02:14,656	| dchha61_BLITZ_Painfotainment |	And quote
EDL	00:02:16,192	00:02:18,752	| dchha61_BLITZ_Painfotainment |	It's such a strange thing this pain right this
EDL	00:02:19,520	00:02:21,056	| dchha61_BLITZ_Painfotainment |	Evolutionary
EDL	00:02:21,568	00:02:26,944	| dchha61_BLITZ_Painfotainment |	Adaptation that's probably saved more human lives than anything fear and pain together especially
EDL	00:02:28,480	00:02:30,016	| dchha61_BLITZ_Painfotainment |	The same time
EDL	00:02:30,016	00:02:31,552	| dchha61_BLITZ_Painfotainment |	Think of the loophole
EDL	00:02:31,552	00:02:35,392	| dchha61_BLITZ_Painfotainment |	I think it's a loophole that I wouldn't want to fight say that it's an evolutionary feature
EDL	00:02:35,392	00:02:36,416	| dchha61_BLITZ_Painfotainment |	Think of the
EDL	00:02:36,416	00:02:42,048	| dchha61_BLITZ_Painfotainment |	Loophole that the infliction of pain the ability to turn your own senses against U2
EDL	00:02:42,816	00:02:44,096	| dchha61_BLITZ_Painfotainment |	Hurt you
EDL	00:02:44,096	00:02:46,656	| dchha61_BLITZ_Painfotainment |	Think about what a huge role that's played in history
EDL	00:02:48,448	00:02:53,568	| dchha61_BLITZ_Painfotainment |	Going from a place where the pain is so useful to tell you you just put your hand on a hot stove
EDL	00:02:54,336	00:02:57,664	| dchha61_BLITZ_Painfotainment |	To a place where somebody else can put your hand on a hot stove
EDL	00:02:58,432	00:03:01,760	| dchha61_BLITZ_Painfotainment |	To hurt you deliberately for one reason or another then all of a sudden
EDL	00:03:02,272	00:03:04,320	| dchha61_BLITZ_Painfotainment |	Those sensors that keep you safe
EDL	00:03:04,832	00:03:06,112	| dchha61_BLITZ_Painfotainment |	Are the very
EDL	00:03:06,112	00:03:07,904	| dchha61_BLITZ_Painfotainment |	Weapon used to hurt you
EDL	00:03:08,416	00:03:12,512	| dchha61_BLITZ_Painfotainment |	To torment you and to compel you to do things against your will
EDL	00:03:14,816	00:03:15,840	| dchha61_BLITZ_Painfotainment |	Strange thing this
EDL	00:03:16,352	00:03:16,864	| dchha61_BLITZ_Painfotainment |	Sense
EDL	00:03:19,168	00:03:23,776	| dchha61_BLITZ_Painfotainment |	My reaction to other people's pain and suffering fascinating to isn't it
EDL	00:03:25,056	00:03:26,592	| dchha61_BLITZ_Painfotainment |	You can sort of run the gamut
EDL	00:03:26,592	00:03:27,360	| dchha61_BLITZ_Painfotainment |	Anywhere from
EDL	00:03:27,872	00:03:29,664	| dchha61_BLITZ_Painfotainment |	Empathy and sympathy
EDL	00:03:30,688	00:03:31,456	| dchha61_BLITZ_Painfotainment |	Two kind of
EDL	00:03:31,968	00:03:34,528	| dchha61_BLITZ_Painfotainment |	Amusement or enjoyment
EDL	00:03:34,528	00:03:35,296	| dchha61_BLITZ_Painfotainment |	Or
EDL	00:03:35,296	00:03:38,368	| dchha61_BLITZ_Painfotainment |	Maybe even you could say emotional voyeurism
EDL	00:03:41,184	00:03:42,208	| dchha61_BLITZ_Painfotainment |	But in our defense
EDL	00:03:43,488	00:03:45,024	| dchha61_BLITZ_Painfotainment |	Most of the time the kind of
EDL	00:03:45,536	00:03:47,840	| dchha61_BLITZ_Painfotainment |	Pain and suffering we're enjoying is
EDL	00:03:48,608	00:03:49,120	| dchha61_BLITZ_Painfotainment |	Back pain
EDL	00:03:50,912	00:03:55,520	| dchha61_BLITZ_Painfotainment |	Theatrical pain storytelling pain Hollywood pain and suffering
EDL	00:03:57,056	00:03:59,104	| dchha61_BLITZ_Painfotainment |	And no one getting hurt for real
EDL	00:04:00,384	00:04:00,896	| dchha61_BLITZ_Painfotainment |	But
EDL	00:04:01,920	00:04:04,224	| dchha61_BLITZ_Painfotainment |	The more real something seems
EDL	00:04:04,736	00:04:09,856	| dchha61_BLITZ_Painfotainment |	The more emotionally intense it can be and that can be more satisfied
EDL	00:04:13,696	00:04:14,976	| dchha61_BLITZ_Painfotainment |	My kids have been watching
EDL	00:04:15,744	00:04:22,143	| dchha61_BLITZ_Painfotainment |	Live performances of plays on television and they make a big deal about how it's live and in front of you in more real that way
EDL	00:04:22,143	00:04:23,167	| dchha61_BLITZ_Painfotainment |	And I thought what if they did
EDL	00:04:24,191	00:04:24,959	| dchha61_BLITZ_Painfotainment |	Action
EDL	00:04:25,471	00:04:30,591	| dchha61_BLITZ_Painfotainment |	Films or maybe not even the action film just the trailers the promos that run
EDL	00:04:30,591	00:04:34,431	| dchha61_BLITZ_Painfotainment |	Before the movie that you go to see assuming you still go to see movies
EDL	00:04:35,455	00:04:36,479	| dchha61_BLITZ_Painfotainment |	What is a
EDL	00:04:36,479	00:04:41,087	| dchha61_BLITZ_Painfotainment |	Did a live performance in front of an audience of that in a real car crashes
EDL	00:04:41,087	00:04:43,135	| dchha61_BLITZ_Painfotainment |	Real bullets in the real guns
EDL	00:04:45,183	00:04:46,975	| dchha61_BLITZ_Painfotainment |	What would be a horror show wouldn't it
EDL	00:04:47,743	00:04:51,327	| dchha61_BLITZ_Painfotainment |	I think they go quickly off-script is the bodies piled up at
EDL	00:04:51,327	00:04:53,119	| dchha61_BLITZ_Painfotainment |	No person in there
EDL	00:04:53,119	00:04:57,983	| dchha61_BLITZ_Painfotainment |	Decent sensibilities would go to watch people killed in public for entertainment
EDL	00:04:58,751	00:05:00,543	| dchha61_BLITZ_Painfotainment |	But of course we all know
EDL	00:05:01,055	00:05:02,591	| dchha61_BLITZ_Painfotainment |	The people have done that
EDL	00:05:03,103	00:05:05,407	| dchha61_BLITZ_Painfotainment |	Which is the normal behavior
EDL	00:05:05,919	00:05:11,551	| dchha61_BLITZ_Painfotainment |	The one that says oh my God torturing and killing people in public for entertainment is barbaric
EDL	00:05:12,575	00:05:14,111	| dchha61_BLITZ_Painfotainment |	For the people that say
EDL	00:05:14,623	00:05:19,999	| dchha61_BLITZ_Painfotainment |	As someone from a time. Where this was common and approved of behavior might say
EDL	00:05:19,999	00:05:21,279	| dchha61_BLITZ_Painfotainment |	Hey wait a minute
EDL	00:05:22,047	00:05:24,351	| dchha61_BLITZ_Painfotainment |	You just put a thin veil
EDL	00:05:24,863	00:05:26,143	| dchha61_BLITZ_Painfotainment |	Between what you like
EDL	00:05:26,655	00:05:27,679	| dchha61_BLITZ_Painfotainment |	And what we like
EDL	00:05:28,447	00:05:30,239	| dchha61_BLITZ_Painfotainment |	We both like the same thing
EDL	00:05:30,239	00:05:31,775	| dchha61_BLITZ_Painfotainment |	He just like yours to be faked
EDL	00:05:33,567	00:05:39,199	| dchha61_BLITZ_Painfotainment |	Whatever part of the brain is enjoying it maybe the same part is being titillated one way or the other
EDL	00:05:41,503	00:05:44,831	| dchha61_BLITZ_Painfotainment |	I'd like to warn those who might be squeamish
EDL	00:05:46,111	00:05:50,975	| dchha61_BLITZ_Painfotainment |	But this particular story is going to be very graphic indeed even by our standards
EDL	00:05:52,255	00:05:53,023	| dchha61_BLITZ_Painfotainment |	But the fact
EDL	00:05:53,535	00:05:56,351	| dchha61_BLITZ_Painfotainment |	That we need to issue such a warning
EDL	00:05:56,351	00:05:59,167	| dchha61_BLITZ_Painfotainment |	Because we might be too sensitive about this
