EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:03,584	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Support for this podcast and the following message come from Madewell
EDL	00:00:03,584	00:00:06,400	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Where the motto is good days start with great jeans
EDL	00:00:06,912	00:00:10,496	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Madewell offers premium denim styles for seriously everyone
EDL	00:00:11,008	00:00:12,544	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Stop by a Madewell store
EDL	00:00:12,544	00:00:15,872	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Or go to madewell.com to find your perfect pair
EDL	00:00:17,664	00:00:22,784	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Hey just a heads up to let you know that there's a little bit of strong language in about the first minute and a half
EDL	00:00:22,784	00:00:23,808	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Are the show soap
EDL	00:00:23,808	00:00:25,088	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	If you got the kids register
EDL	00:00:25,600	00:00:27,904	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Cover their ears for men men and a half in the
EDL	00:00:27,904	00:00:28,672	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Can you get to go
EDL	00:00:30,208	00:00:36,608	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	So you called your dad like that guess what I'm drawing the family business
EDL	00:00:36,608	00:00:43,008	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	How to make beer whiskey I was worse I went home and and was he excited
EDL	00:00:43,008	00:00:49,408	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Really but I told him I was kind of hoping that he put his arm around me and
EDL	00:00:49,408	00:00:55,808	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Cuz this 150 year old family tradition was going to be carried on no heel
EDL	00:00:55,808	00:01:02,208	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Look at my gym you've done some really stupid things in your life this is this
EDL	00:01:02,208	00:01:08,608	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Stupidest from NPR is how I
EDL	00:01:08,608	00:01:14,752	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Built this show about innovators entrepreneurs idealist and the stories behind the movements they built
EDL	00:01:21,408	00:01:22,688	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Today Show
EDL	00:01:22,688	00:01:28,576	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Jim Cook started Brewing an old family beer recipe called at Samuel Adams bottle it up
EDL	00:01:28,576	00:01:30,880	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	And then helped kick-start the craft beer movement
EDL	00:01:31,392	00:01:31,904	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	In America
EDL	00:01:36,256	00:01:42,144	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	It's a boy last year the number of breweries in America past the 4000 mark
EDL	00:01:42,656	00:01:44,448	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Most of us breweries make
EDL	00:01:44,448	00:01:49,824	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Craft beer seems like ipas Porter Stout sloggers you name it
EDL	00:01:49,824	00:01:52,640	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Beer that wins Awards all over the world
EDL	00:01:52,640	00:01:56,992	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	And a lot of it even gets exported to places like Germany in Holland and Belgium
EDL	00:01:57,504	00:01:59,808	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Beer brewing is practically a religion
EDL	00:02:00,576	00:02:01,856	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	But if somehow
EDL	00:02:01,856	00:02:04,416	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	He went back in time to like 1980
EDL	00:02:04,928	00:02:08,768	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	And someone handed you a cold bottle of American Beer
EDL	00:02:08,768	00:02:11,072	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	You might not recognize it because
EDL	00:02:11,584	00:02:13,376	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	A mighty python fans might remember this
EDL	00:02:13,888	00:02:20,032	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	American Beer used to be a joke
EDL	00:02:26,688	00:02:33,088	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	So that was what it was like when Jim Cook was a young man but he knew a lot about beer because he
EDL	00:02:33,088	00:02:37,440	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	She happened to come from a family of beer makers my dad was a broom
EDL	00:02:37,440	00:02:38,720	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	And
EDL	00:02:38,720	00:02:40,256	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	It's like being a chef
EDL	00:02:40,256	00:02:41,280	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	In the kitchen
EDL	00:02:41,280	00:02:42,816	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	He was responsible
EDL	00:02:42,816	00:02:43,840	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	4
EDL	00:02:43,840	00:02:45,120	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	The recipe and
EDL	00:02:45,120	00:02:45,632	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	The quality
EDL	00:02:46,144	00:02:46,912	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Of
EDL	00:02:46,912	00:02:47,936	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	The berry wasn't the only
EDL	00:02:48,704	00:02:49,728	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	So
EDL	00:02:49,728	00:02:51,776	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	He got out of brewmaster School in 19
EDL	00:02:51,776	00:02:52,544	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	48
EDL	00:02:52,544	00:02:55,360	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	There were a thousand breweries all over the US
EDL	00:02:55,360	00:03:00,224	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	36 years later when I started Sam Adams that thousand had dwindled down to
EDL	00:03:00,224	00:03:00,992	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	250
EDL	00:03:00,992	00:03:02,528	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	And my dad
EDL	00:03:03,040	00:03:03,808	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Bad
EDL	00:03:03,808	00:03:06,368	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	To move from Brewery to brewery as
EDL	00:03:06,368	00:03:07,392	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	The breweries closed
EDL	00:03:07,392	00:03:08,672	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Did you have any
EDL	00:03:08,672	00:03:10,720	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Intention like as a kid or as a
EDL	00:03:10,720	00:03:11,232	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Teen of
EDL	00:03:11,744	00:03:14,048	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	I like doing this doing the same thing your dad did
EDL	00:03:14,048	00:03:14,816	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	No
EDL	00:03:14,816	00:03:15,584	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	My dad
EDL	00:03:16,096	00:03:18,400	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Told me that it was a miserable way to make a living
EDL	00:03:18,912	00:03:19,936	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	And he eventually left
EDL	00:03:20,448	00:03:21,472	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	The Brewing industry
EDL	00:03:21,472	00:03:21,984	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Entirely
EDL	00:03:22,496	00:03:24,544	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	The last thing that he wanted for me to do
EDL	00:03:25,056	00:03:25,824	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Was to go
EDL	00:03:25,824	00:03:26,848	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Back into Brewing
EDL	00:03:29,152	00:03:30,432	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Crazy cuz if they were like it wasn't
EDL	00:03:31,712	00:03:33,248	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	His dad
EDL	00:03:34,016	00:03:36,576	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Every oldest son for six Generations
EDL	00:03:37,088	00:03:37,856	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Has been
EDL	00:03:37,856	00:03:38,368	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Brewer
EDL	00:03:38,880	00:03:40,672	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	I believe I'm the only
EDL	00:03:40,672	00:03:41,696	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	6th generation
EDL	00:03:42,208	00:03:43,232	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Brewer in the United
EDL	00:03:43,232	00:03:43,744	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Is States
EDL	00:03:44,768	00:03:45,280	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	What did you do
EDL	00:03:46,560	00:03:48,352	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Actually I really didn't know
EDL	00:03:49,120	00:03:51,168	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	You know I had this wonderful Edge
EDL	00:03:51,168	00:03:51,680	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Educational
EDL	00:03:52,192	00:03:52,704	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Opportunity
EDL	00:03:53,216	00:03:54,240	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	That nobody in my family
EDL	00:03:54,752	00:03:55,520	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Had ever had
EDL	00:03:56,032	00:03:58,336	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	I after I graduated from
EDL	00:03:59,104	00:03:59,872	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	College
EDL	00:03:59,872	00:04:01,664	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Started a JD MBA program
EDL	00:04:02,432	00:04:03,968	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	And I could just feel this
EDL	00:04:03,968	00:04:05,760	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Pressure behind me pushing me
EDL	00:04:06,272	00:04:07,040	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Towards
EDL	00:04:07,040	00:04:08,320	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Some career decision
EDL	00:04:08,832	00:04:09,600	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	So
EDL	00:04:09,600	00:04:10,368	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	I dropped out
EDL	00:04:11,392	00:04:12,928	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	So what would you do that
EDL	00:04:12,928	00:04:13,696	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Well
EDL	00:04:13,696	00:04:15,744	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	At the time I was involved in a
EDL	00:04:15,744	00:04:17,024	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Lot of outdoor activities
EDL	00:04:17,536	00:04:20,607	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Rock climbing kayaking backpacking
EDL	00:04:21,119	00:04:21,887	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Things like that
EDL	00:04:22,399	00:04:23,679	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	And my climbing partner
EDL	00:04:24,191	00:04:24,959	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	He got me involved
EDL	00:04:25,471	00:04:26,239	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	In
EDL	00:04:26,239	00:04:27,007	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Outward Bound
EDL	00:04:27,519	00:04:29,567	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	I was able to do that
EDL	00:04:29,567	00:04:30,847	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	During the summer
EDL	00:04:30,847	00:04:31,615	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Bars and then
EDL	00:04:32,127	00:04:32,639	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Hyatt
EDL	00:04:33,663	00:04:35,199	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	I learned that
EDL	00:04:35,711	00:04:36,479	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	You don't need
EDL	00:04:36,991	00:04:38,527	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	That much to live on
EDL	00:04:38,527	00:04:41,343	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	If you're really enjoying what you're doing
EDL	00:04:41,343	00:04:43,647	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	And so how many years did you take
EDL	00:04:43,647	00:04:44,415	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Did you do that for
EDL	00:04:44,415	00:04:47,743	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	I did it on and off for three and a half years
EDL	00:04:48,255	00:04:51,583	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	At the end of that three and a half years I thought okay
EDL	00:04:52,095	00:04:53,375	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	I think I'm ready to go back
EDL	00:04:54,143	00:04:55,167	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	And got my
EDL	00:04:55,679	00:04:56,703	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	MBA in
EDL	00:04:56,703	00:04:57,471	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	My JD
EDL	00:04:57,983	00:04:59,007	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	And
EDL	00:04:59,519	00:05:01,055	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Dave started
EDL	00:05:01,055	00:05:03,103	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Working as a Management Consultant
EDL	00:05:03,103	00:05:03,871	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	4
EDL	00:05:03,871	00:05:05,919	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	A company called Boston Consulting Group
EDL	00:05:06,431	00:05:07,455	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	And you
EDL	00:05:07,455	00:05:09,759	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	We flew first class you know you
EDL	00:05:09,759	00:05:10,527	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	You consulted
EDL	00:05:10,527	00:05:11,807	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	CEOs and retreated
EDL	00:05:12,319	00:05:13,087	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Really well
EDL	00:05:13,087	00:05:14,367	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	It was great job
EDL	00:05:14,367	00:05:14,879	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	For a while
EDL	00:05:15,391	00:05:16,415	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Yeah that's pretty good
EDL	00:05:16,415	00:05:17,439	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Why did you leave
EDL	00:05:19,231	00:05:19,743	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Redis
EDL	00:05:20,255	00:05:21,023	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Epiphany
EDL	00:05:21,023	00:05:24,095	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	I guess after 6 years it
EDL	00:05:24,095	00:05:25,375	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Bcgi
EDL	00:05:25,375	00:05:26,143	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Ask myself
EDL	00:05:26,655	00:05:28,447	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	I want to do this the rest
EDL	00:05:28,447	00:05:28,959	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	My life
EDL	00:05:29,471	00:05:30,751	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	And the answer came back
EDL	00:05:31,263	00:05:31,775	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	No
EDL	00:05:33,567	00:05:34,335	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	The next
EDL	00:05:34,335	00:05:37,919	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	So the corollary to that was look I don't do it for the rest of my life
EDL	00:05:38,431	00:05:39,711	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Probably don't want to do it
EDL	00:05:39,711	00:05:41,247	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Tomorrow
EDL	00:05:41,759	00:05:43,295	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	So how did that like
EDL	00:05:43,295	00:05:44,319	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	That decision
EDL	00:05:44,831	00:05:46,879	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Lead to hit you think you have beer
EDL	00:05:48,159	00:05:49,695	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	That's a good question and
EDL	00:05:50,719	00:05:53,023	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	I knew I didn't want to work in the corporate
EDL	00:05:54,047	00:05:55,839	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	So I thought I'm going to start my own business
EDL	00:05:55,839	00:05:56,863	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	I don't know what it's going to be
EDL	00:05:58,399	00:06:00,447	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	My dad had given me
EDL	00:06:00,447	00:06:02,239	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Actually copy of Inc magazine
EDL	00:06:02,751	00:06:05,311	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	And there was an article in there
EDL	00:06:05,311	00:06:06,591	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	About Anchor Steam
EDL	00:06:07,359	00:06:07,871	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Is this
EDL	00:06:08,383	00:06:11,199	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Small Brewery in California it was owned by
EDL	00:06:11,199	00:06:13,247	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Great guy named Fritz Maytag
EDL	00:06:13,247	00:06:14,015	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	And
EDL	00:06:14,015	00:06:14,783	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Fritz
EDL	00:06:14,783	00:06:15,807	| 20161025_hibt_samadams.mp3_08e182791ac6b83f7692e88a19e1ce2c_33842556 |	Had a viable
