EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:03,840	| 20170728_hibt_kickstarter-b6193375-2e18-44c7-ab9c-1dfc52b880be.mp3_5b957ee05bcd4a5413f5bbb5cc749d0d_41745912 |	Support for this podcast in the following message come from mizzenandmain
EDL	00:00:03,840	00:00:06,912	| 20170728_hibt_kickstarter-b6193375-2e18-44c7-ab9c-1dfc52b880be.mp3_5b957ee05bcd4a5413f5bbb5cc749d0d_41745912 |	Creators of moisture wicking wrinkle-resistant dress shirt
EDL	00:00:06,912	00:00:09,216	| 20170728_hibt_kickstarter-b6193375-2e18-44c7-ab9c-1dfc52b880be.mp3_5b957ee05bcd4a5413f5bbb5cc749d0d_41745912 |	Shirts that require no ironing or dry
EDL	00:00:09,728	00:00:11,520	| 20170728_hibt_kickstarter-b6193375-2e18-44c7-ab9c-1dfc52b880be.mp3_5b957ee05bcd4a5413f5bbb5cc749d0d_41745912 |	Head to mizzen & Main.
EDL	00:00:11,520	00:00:13,824	| 20170728_hibt_kickstarter-b6193375-2e18-44c7-ab9c-1dfc52b880be.mp3_5b957ee05bcd4a5413f5bbb5cc749d0d_41745912 |	Come and use code NPR at checkout
EDL	00:00:13,824	00:00:15,872	| 20170728_hibt_kickstarter-b6193375-2e18-44c7-ab9c-1dfc52b880be.mp3_5b957ee05bcd4a5413f5bbb5cc749d0d_41745912 |	To receive $10 off your dress shirt
EDL	00:00:16,640	00:00:18,944	| 20170728_hibt_kickstarter-b6193375-2e18-44c7-ab9c-1dfc52b880be.mp3_5b957ee05bcd4a5413f5bbb5cc749d0d_41745912 |	He is guy here I know a lot of you have been asked
EDL	00:00:18,944	00:00:20,224	| 20170728_hibt_kickstarter-b6193375-2e18-44c7-ab9c-1dfc52b880be.mp3_5b957ee05bcd4a5413f5bbb5cc749d0d_41745912 |	King about our live shows
EDL	00:00:20,224	00:00:22,272	| 20170728_hibt_kickstarter-b6193375-2e18-44c7-ab9c-1dfc52b880be.mp3_5b957ee05bcd4a5413f5bbb5cc749d0d_41745912 |	Happening this summer we have one more happening
EDL	00:00:22,784	00:00:24,320	| 20170728_hibt_kickstarter-b6193375-2e18-44c7-ab9c-1dfc52b880be.mp3_5b957ee05bcd4a5413f5bbb5cc749d0d_41745912 |	In Seattle in mid September
EDL	00:00:24,832	00:00:29,952	| 20170728_hibt_kickstarter-b6193375-2e18-44c7-ab9c-1dfc52b880be.mp3_5b957ee05bcd4a5413f5bbb5cc749d0d_41745912 |	And tickets for that event will go on sale soon we will let you know when they do go on sale UK
EDL	00:00:29,952	00:00:32,512	| 20170728_hibt_kickstarter-b6193375-2e18-44c7-ab9c-1dfc52b880be.mp3_5b957ee05bcd4a5413f5bbb5cc749d0d_41745912 |	You can follow us at how I built this or at
EDL	00:00:32,512	00:00:33,024	| 20170728_hibt_kickstarter-b6193375-2e18-44c7-ab9c-1dfc52b880be.mp3_5b957ee05bcd4a5413f5bbb5cc749d0d_41745912 |	Gyros
EDL	00:00:33,536	00:00:35,072	| 20170728_hibt_kickstarter-b6193375-2e18-44c7-ab9c-1dfc52b880be.mp3_5b957ee05bcd4a5413f5bbb5cc749d0d_41745912 |	To find out when and when they
EDL	00:00:35,072	00:00:35,584	| 20170728_hibt_kickstarter-b6193375-2e18-44c7-ab9c-1dfc52b880be.mp3_5b957ee05bcd4a5413f5bbb5cc749d0d_41745912 |	Available
EDL	00:00:36,096	00:00:38,144	| 20170728_hibt_kickstarter-b6193375-2e18-44c7-ab9c-1dfc52b880be.mp3_5b957ee05bcd4a5413f5bbb5cc749d0d_41745912 |	You can buy them at NPR presents
EDL	00:00:38,144	00:00:38,656	| 20170728_hibt_kickstarter-b6193375-2e18-44c7-ab9c-1dfc52b880be.mp3_5b957ee05bcd4a5413f5bbb5cc749d0d_41745912 |	. org
EDL	00:00:39,168	00:00:39,936	| 20170728_hibt_kickstarter-b6193375-2e18-44c7-ab9c-1dfc52b880be.mp3_5b957ee05bcd4a5413f5bbb5cc749d0d_41745912 |	Okay here's the show
EDL	00:00:48,128	00:00:54,528	| 20170728_hibt_kickstarter-b6193375-2e18-44c7-ab9c-1dfc52b880be.mp3_5b957ee05bcd4a5413f5bbb5cc749d0d_41745912 |	Do the same thing but I think there's also like we could have tried
EDL	00:00:54,528	00:01:00,928	| 20170728_hibt_kickstarter-b6193375-2e18-44c7-ab9c-1dfc52b880be.mp3_5b957ee05bcd4a5413f5bbb5cc749d0d_41745912 |	To go any faster there's just not that much was in our control we didn't have a lot of money we didn't have a lot of info
EDL	00:01:00,928	00:01:07,328	| 20170728_hibt_kickstarter-b6193375-2e18-44c7-ab9c-1dfc52b880be.mp3_5b957ee05bcd4a5413f5bbb5cc749d0d_41745912 |	A lot of connections so we're moving as fast as we could and that's kind of his that's as much as
EDL	00:01:07,328	00:01:07,840	| 20170728_hibt_kickstarter-b6193375-2e18-44c7-ab9c-1dfc52b880be.mp3_5b957ee05bcd4a5413f5bbb5cc749d0d_41745912 |	You can do
EDL	00:01:08,608	00:01:14,496	| 20170728_hibt_kickstarter-b6193375-2e18-44c7-ab9c-1dfc52b880be.mp3_5b957ee05bcd4a5413f5bbb5cc749d0d_41745912 |	From NPR how I built this
EDL	00:01:14,496	00:01:20,640	| 20170728_hibt_kickstarter-b6193375-2e18-44c7-ab9c-1dfc52b880be.mp3_5b957ee05bcd4a5413f5bbb5cc749d0d_41745912 |	Show that innovators entrepreneurs idealists stories behind the movement
