EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,792	| 20170818_hibt_podcast-596c12ed-4cdc-43ec-a5aa-76fbe19daf9d.mp3_a50f0609687a4a14a816c13ee4365f0b_47800560 |	Support for this podcast
EDL	00:00:01,792	00:00:03,584	| 20170818_hibt_podcast-596c12ed-4cdc-43ec-a5aa-76fbe19daf9d.mp3_a50f0609687a4a14a816c13ee4365f0b_47800560 |	In the following message come from Madewell
EDL	00:00:03,584	00:00:05,888	| 20170818_hibt_podcast-596c12ed-4cdc-43ec-a5aa-76fbe19daf9d.mp3_a50f0609687a4a14a816c13ee4365f0b_47800560 |	Where the motto is good day start
EDL	00:00:05,888	00:00:06,400	| 20170818_hibt_podcast-596c12ed-4cdc-43ec-a5aa-76fbe19daf9d.mp3_a50f0609687a4a14a816c13ee4365f0b_47800560 |	With great jeans
EDL	00:00:06,912	00:00:07,936	| 20170818_hibt_podcast-596c12ed-4cdc-43ec-a5aa-76fbe19daf9d.mp3_a50f0609687a4a14a816c13ee4365f0b_47800560 |	Madewell offer
EDL	00:00:07,936	00:00:10,496	| 20170818_hibt_podcast-596c12ed-4cdc-43ec-a5aa-76fbe19daf9d.mp3_a50f0609687a4a14a816c13ee4365f0b_47800560 |	Premium denim styles for seriously everyone
EDL	00:00:11,008	00:00:12,544	| 20170818_hibt_podcast-596c12ed-4cdc-43ec-a5aa-76fbe19daf9d.mp3_a50f0609687a4a14a816c13ee4365f0b_47800560 |	Stop by a Madewell store
EDL	00:00:12,544	00:00:14,336	| 20170818_hibt_podcast-596c12ed-4cdc-43ec-a5aa-76fbe19daf9d.mp3_a50f0609687a4a14a816c13ee4365f0b_47800560 |	Or go to madewell.com
EDL	00:00:14,336	00:00:15,360	| 20170818_hibt_podcast-596c12ed-4cdc-43ec-a5aa-76fbe19daf9d.mp3_a50f0609687a4a14a816c13ee4365f0b_47800560 |	Define your
EDL	00:00:15,360	00:00:15,872	| 20170818_hibt_podcast-596c12ed-4cdc-43ec-a5aa-76fbe19daf9d.mp3_a50f0609687a4a14a816c13ee4365f0b_47800560 |	Perfect pear
EDL	00:00:18,688	00:00:25,088	| 20170818_hibt_podcast-596c12ed-4cdc-43ec-a5aa-76fbe19daf9d.mp3_a50f0609687a4a14a816c13ee4365f0b_47800560 |	I remember at showing of The Brochure and he looks at Migos
EDL	00:00:25,088	00:00:31,488	| 20170818_hibt_podcast-596c12ed-4cdc-43ec-a5aa-76fbe19daf9d.mp3_a50f0609687a4a14a816c13ee4365f0b_47800560 |	Why do you think this is going to work
EDL	00:00:31,488	00:00:37,888	| 20170818_hibt_podcast-596c12ed-4cdc-43ec-a5aa-76fbe19daf9d.mp3_a50f0609687a4a14a816c13ee4365f0b_47800560 |	Does anybody else does this do you think you'll be
EDL	00:00:37,888	00:00:44,032	| 20170818_hibt_podcast-596c12ed-4cdc-43ec-a5aa-76fbe19daf9d.mp3_a50f0609687a4a14a816c13ee4365f0b_47800560 |	So I would encourage you to stick to your daytime job you have very successful flower shops sticks of that
