EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,792	| 20180309_hibt_knot-c4004563-a12c-44a5-8f47-bd98f27bcebe.mp3_7bb4c43144351c4491a594c0c56f7eb5_54459836 |	Support for this podcast
EDL	00:00:01,792	00:00:03,584	| 20180309_hibt_knot-c4004563-a12c-44a5-8f47-bd98f27bcebe.mp3_7bb4c43144351c4491a594c0c56f7eb5_54459836 |	And the following message come from Madewell
EDL	00:00:03,584	00:00:05,888	| 20180309_hibt_knot-c4004563-a12c-44a5-8f47-bd98f27bcebe.mp3_7bb4c43144351c4491a594c0c56f7eb5_54459836 |	Where the motto is good day start
EDL	00:00:05,888	00:00:06,400	| 20180309_hibt_knot-c4004563-a12c-44a5-8f47-bd98f27bcebe.mp3_7bb4c43144351c4491a594c0c56f7eb5_54459836 |	With great jeans
EDL	00:00:06,912	00:00:07,936	| 20180309_hibt_knot-c4004563-a12c-44a5-8f47-bd98f27bcebe.mp3_7bb4c43144351c4491a594c0c56f7eb5_54459836 |	Madewell offer
EDL	00:00:07,936	00:00:10,496	| 20180309_hibt_knot-c4004563-a12c-44a5-8f47-bd98f27bcebe.mp3_7bb4c43144351c4491a594c0c56f7eb5_54459836 |	Premium denim styles for seriously everyone
EDL	00:00:11,008	00:00:12,544	| 20180309_hibt_knot-c4004563-a12c-44a5-8f47-bd98f27bcebe.mp3_7bb4c43144351c4491a594c0c56f7eb5_54459836 |	Stop by a Madewell store
EDL	00:00:12,544	00:00:14,336	| 20180309_hibt_knot-c4004563-a12c-44a5-8f47-bd98f27bcebe.mp3_7bb4c43144351c4491a594c0c56f7eb5_54459836 |	Or go to madewell.com
EDL	00:00:14,336	00:00:15,360	| 20180309_hibt_knot-c4004563-a12c-44a5-8f47-bd98f27bcebe.mp3_7bb4c43144351c4491a594c0c56f7eb5_54459836 |	Define Dior
EDL	00:00:15,360	00:00:15,872	| 20180309_hibt_knot-c4004563-a12c-44a5-8f47-bd98f27bcebe.mp3_7bb4c43144351c4491a594c0c56f7eb5_54459836 |	Perfect pear
EDL	00:00:18,432	00:00:23,040	| 20180309_hibt_knot-c4004563-a12c-44a5-8f47-bd98f27bcebe.mp3_7bb4c43144351c4491a594c0c56f7eb5_54459836 |	We put together this deck
EDL	00:00:23,040	00:00:29,440	| 20180309_hibt_knot-c4004563-a12c-44a5-8f47-bd98f27bcebe.mp3_7bb4c43144351c4491a594c0c56f7eb5_54459836 |	Practice the presentation we go through this whole dog-and-pony talk about The Libertine and doing and what we were going to build
EDL	00:00:29,440	00:00:35,840	| 20180309_hibt_knot-c4004563-a12c-44a5-8f47-bd98f27bcebe.mp3_7bb4c43144351c4491a594c0c56f7eb5_54459836 |	And he looks up and he says this is got to be the worst business plan ever seen
EDL	00:00:35,840	00:00:38,656	| 20180309_hibt_knot-c4004563-a12c-44a5-8f47-bd98f27bcebe.mp3_7bb4c43144351c4491a594c0c56f7eb5_54459836 |	And and the air just got sucked out of the room
EDL	00:00:44,544	00:00:46,592	| 20180309_hibt_knot-c4004563-a12c-44a5-8f47-bd98f27bcebe.mp3_7bb4c43144351c4491a594c0c56f7eb5_54459836 |	Ramen PR
EDL	00:00:46,592	00:00:47,360	| 20180309_hibt_knot-c4004563-a12c-44a5-8f47-bd98f27bcebe.mp3_7bb4c43144351c4491a594c0c56f7eb5_54459836 |	How I built this
EDL	00:00:47,872	00:00:49,152	| 20180309_hibt_knot-c4004563-a12c-44a5-8f47-bd98f27bcebe.mp3_7bb4c43144351c4491a594c0c56f7eb5_54459836 |	Show about innovators
EDL	00:00:49,152	00:00:50,688	| 20180309_hibt_knot-c4004563-a12c-44a5-8f47-bd98f27bcebe.mp3_7bb4c43144351c4491a594c0c56f7eb5_54459836 |	Entrepreneurs idealist
EDL	00:00:50,688	00:00:52,480	| 20180309_hibt_knot-c4004563-a12c-44a5-8f47-bd98f27bcebe.mp3_7bb4c43144351c4491a594c0c56f7eb5_54459836 |	Stories behind the movement
EDL	00:00:52,992	00:00:59,136	| 20180309_hibt_knot-c4004563-a12c-44a5-8f47-bd98f27bcebe.mp3_7bb4c43144351c4491a594c0c56f7eb5_54459836 |	They built
EDL	00:01:01,440	00:01:03,488	| 20180309_hibt_knot-c4004563-a12c-44a5-8f47-bd98f27bcebe.mp3_7bb4c43144351c4491a594c0c56f7eb5_54459836 |	Inspire their business than not
EDL	00:01:03,488	00:01:05,536	| 20180309_hibt_knot-c4004563-a12c-44a5-8f47-bd98f27bcebe.mp3_7bb4c43144351c4491a594c0c56f7eb5_54459836 |	The number one wedding planning site
EDL	00:01:06,048	00:01:06,560	| 20180309_hibt_knot-c4004563-a12c-44a5-8f47-bd98f27bcebe.mp3_7bb4c43144351c4491a594c0c56f7eb5_54459836 |	Us
EDL	00:01:12,192	00:01:13,728	| 20180309_hibt_knot-c4004563-a12c-44a5-8f47-bd98f27bcebe.mp3_7bb4c43144351c4491a594c0c56f7eb5_54459836 |	Right now I've got
EDL	00:01:13,728	00:01:15,264	| 20180309_hibt_knot-c4004563-a12c-44a5-8f47-bd98f27bcebe.mp3_7bb4c43144351c4491a594c0c56f7eb5_54459836 |	3 wedding invitations
EDL	00:01:15,264	00:01:16,032	| 20180309_hibt_knot-c4004563-a12c-44a5-8f47-bd98f27bcebe.mp3_7bb4c43144351c4491a594c0c56f7eb5_54459836 |	Hanging out my fridge
EDL	00:01:16,544	00:01:18,336	| 20180309_hibt_knot-c4004563-a12c-44a5-8f47-bd98f27bcebe.mp3_7bb4c43144351c4491a594c0c56f7eb5_54459836 |	That's a kind of wonder about the
EDL	00:01:18,336	00:01:19,872	| 20180309_hibt_knot-c4004563-a12c-44a5-8f47-bd98f27bcebe.mp3_7bb4c43144351c4491a594c0c56f7eb5_54459836 |	People behind those cards
EDL	00:01:20,384	00:01:23,712	| 20180309_hibt_knot-c4004563-a12c-44a5-8f47-bd98f27bcebe.mp3_7bb4c43144351c4491a594c0c56f7eb5_54459836 |	6 people who are probably freaking out right now
EDL	00:01:24,480	00:01:26,272	| 20180309_hibt_knot-c4004563-a12c-44a5-8f47-bd98f27bcebe.mp3_7bb4c43144351c4491a594c0c56f7eb5_54459836 |	Caterers the flowers
EDL	00:01:26,272	00:01:27,296	| 20180309_hibt_knot-c4004563-a12c-44a5-8f47-bd98f27bcebe.mp3_7bb4c43144351c4491a594c0c56f7eb5_54459836 |	Bridesmaids
EDL	00:01:27,296	00:01:32,416	| 20180309_hibt_knot-c4004563-a12c-44a5-8f47-bd98f27bcebe.mp3_7bb4c43144351c4491a594c0c56f7eb5_54459836 |	The groomsman the venue the hotel discount for guests are the make up the
EDL	00:01:32,416	00:01:33,184	| 20180309_hibt_knot-c4004563-a12c-44a5-8f47-bd98f27bcebe.mp3_7bb4c43144351c4491a594c0c56f7eb5_54459836 |	Photographer
