EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,024	| 20180928_hibt_hibtpod-96e6dba5-0c76-4b39-87ab-0b86908b34a5.mp3_9281a858bf6765deed0d55a3061a39b1_59596141 |	Thanks
EDL	00:00:01,024	00:00:03,840	| 20180928_hibt_hibtpod-96e6dba5-0c76-4b39-87ab-0b86908b34a5.mp3_9281a858bf6765deed0d55a3061a39b1_59596141 |	Who are 2019 lead sponsor of how I built
EDL	00:00:04,352	00:00:04,864	| 20180928_hibt_hibtpod-96e6dba5-0c76-4b39-87ab-0b86908b34a5.mp3_9281a858bf6765deed0d55a3061a39b1_59596141 |	Campaign
EDL	00:00:05,376	00:00:06,400	| 20180928_hibt_hibtpod-96e6dba5-0c76-4b39-87ab-0b86908b34a5.mp3_9281a858bf6765deed0d55a3061a39b1_59596141 |	An email marketing
EDL	00:00:07,168	00:00:08,192	| 20180928_hibt_hibtpod-96e6dba5-0c76-4b39-87ab-0b86908b34a5.mp3_9281a858bf6765deed0d55a3061a39b1_59596141 |	Used by more than
EDL	00:00:08,192	00:00:09,984	| 20180928_hibt_hibtpod-96e6dba5-0c76-4b39-87ab-0b86908b34a5.mp3_9281a858bf6765deed0d55a3061a39b1_59596141 |	In 250000 cost
EDL	00:00:10,496	00:00:12,032	| 20180928_hibt_hibtpod-96e6dba5-0c76-4b39-87ab-0b86908b34a5.mp3_9281a858bf6765deed0d55a3061a39b1_59596141 |	With mobile-friendly email Tim
EDL	00:00:12,544	00:00:13,824	| 20180928_hibt_hibtpod-96e6dba5-0c76-4b39-87ab-0b86908b34a5.mp3_9281a858bf6765deed0d55a3061a39b1_59596141 |	A drag-and-drop email
EDL	00:00:14,592	00:00:15,104	| 20180928_hibt_hibtpod-96e6dba5-0c76-4b39-87ab-0b86908b34a5.mp3_9281a858bf6765deed0d55a3061a39b1_59596141 |	And customers
EDL	00:00:15,616	00:00:16,384	| 20180928_hibt_hibtpod-96e6dba5-0c76-4b39-87ab-0b86908b34a5.mp3_9281a858bf6765deed0d55a3061a39b1_59596141 |	7 days away
EDL	00:00:16,896	00:00:17,664	| 20180928_hibt_hibtpod-96e6dba5-0c76-4b39-87ab-0b86908b34a5.mp3_9281a858bf6765deed0d55a3061a39b1_59596141 |	Campaign
EDL	00:00:17,664	00:00:18,176	| 20180928_hibt_hibtpod-96e6dba5-0c76-4b39-87ab-0b86908b34a5.mp3_9281a858bf6765deed0d55a3061a39b1_59596141 |	Monitor.
EDL	00:00:19,200	00:00:24,064	| 20180928_hibt_hibtpod-96e6dba5-0c76-4b39-87ab-0b86908b34a5.mp3_9281a858bf6765deed0d55a3061a39b1_59596141 |	Hey it's guy here and before we start the show I just want to let you know that we still have tickets
EDL	00:00:24,064	00:00:28,672	| 20180928_hibt_hibtpod-96e6dba5-0c76-4b39-87ab-0b86908b34a5.mp3_9281a858bf6765deed0d55a3061a39b1_59596141 |	Available for our upcoming live show in La it's with Michael Dubin
EDL	00:00:29,184	00:00:34,560	| 20180928_hibt_hibtpod-96e6dba5-0c76-4b39-87ab-0b86908b34a5.mp3_9281a858bf6765deed0d55a3061a39b1_59596141 |	He's a co-founder of Dollar Shave Club it's an amazing story of how we turn that into a billion dollar company
EDL	00:00:35,072	00:00:39,680	| 20180928_hibt_hibtpod-96e6dba5-0c76-4b39-87ab-0b86908b34a5.mp3_9281a858bf6765deed0d55a3061a39b1_59596141 |	And if you haven't been to a live show they are so much fun at the chance to
EDL	00:00:39,680	00:00:40,704	| 20180928_hibt_hibtpod-96e6dba5-0c76-4b39-87ab-0b86908b34a5.mp3_9281a858bf6765deed0d55a3061a39b1_59596141 |	Meet me and meet the
EDL	00:00:40,704	00:00:43,264	| 20180928_hibt_hibtpod-96e6dba5-0c76-4b39-87ab-0b86908b34a5.mp3_9281a858bf6765deed0d55a3061a39b1_59596141 |	The team behind the show and also chance to meet your
EDL	00:00:43,264	00:00:45,568	| 20180928_hibt_hibtpod-96e6dba5-0c76-4b39-87ab-0b86908b34a5.mp3_9281a858bf6765deed0d55a3061a39b1_59596141 |	Fellow HIV tea listener soap
EDL	00:00:45,568	00:00:46,592	| 20180928_hibt_hibtpod-96e6dba5-0c76-4b39-87ab-0b86908b34a5.mp3_9281a858bf6765deed0d55a3061a39b1_59596141 |	If you want to take it
EDL	00:00:46,592	00:00:49,408	| 20180928_hibt_hibtpod-96e6dba5-0c76-4b39-87ab-0b86908b34a5.mp3_9281a858bf6765deed0d55a3061a39b1_59596141 |	Go to NPR presents. Org
EDL	00:00:49,408	00:00:50,176	| 20180928_hibt_hibtpod-96e6dba5-0c76-4b39-87ab-0b86908b34a5.mp3_9281a858bf6765deed0d55a3061a39b1_59596141 |	Metro
EDL	00:00:50,176	00:00:51,712	| 20180928_hibt_hibtpod-96e6dba5-0c76-4b39-87ab-0b86908b34a5.mp3_9281a858bf6765deed0d55a3061a39b1_59596141 |	Supported by American Express
EDL	00:00:52,736	00:00:53,248	| 20180928_hibt_hibtpod-96e6dba5-0c76-4b39-87ab-0b86908b34a5.mp3_9281a858bf6765deed0d55a3061a39b1_59596141 |	Hope to see you there
EDL	00:00:55,808	00:00:59,136	| 20180928_hibt_hibtpod-96e6dba5-0c76-4b39-87ab-0b86908b34a5.mp3_9281a858bf6765deed0d55a3061a39b1_59596141 |	I had to go get another job besides Cisco
EDL	00:00:59,136	00:01:01,952	| 20180928_hibt_hibtpod-96e6dba5-0c76-4b39-87ab-0b86908b34a5.mp3_9281a858bf6765deed0d55a3061a39b1_59596141 |	And we had only my income and we were
EDL	00:01:01,952	00:01:06,304	| 20180928_hibt_hibtpod-96e6dba5-0c76-4b39-87ab-0b86908b34a5.mp3_9281a858bf6765deed0d55a3061a39b1_59596141 |	Mortgage the house to the hill which we might have lasted any particular time
EDL	00:01:06,304	00:01:11,680	| 20180928_hibt_hibtpod-96e6dba5-0c76-4b39-87ab-0b86908b34a5.mp3_9281a858bf6765deed0d55a3061a39b1_59596141 |	And we had creditors up the Wazoo and I have people calling me at 2 in the morning complaining because
