EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,512	00:00:01,536	| 20181113_hibt_runway.mp3_708a17c5d09e76c7a06193990fa2834c_15670016 |	I quit thanks to her
EDL	00:00:01,536	00:00:02,304	| 20181113_hibt_runway.mp3_708a17c5d09e76c7a06193990fa2834c_15670016 |	2019
EDL	00:00:02,304	00:00:03,328	| 20181113_hibt_runway.mp3_708a17c5d09e76c7a06193990fa2834c_15670016 |	How I built this
EDL	00:00:03,328	00:00:04,352	| 20181113_hibt_runway.mp3_708a17c5d09e76c7a06193990fa2834c_15670016 |	Lead sponsor
EDL	00:00:04,352	00:00:05,120	| 20181113_hibt_runway.mp3_708a17c5d09e76c7a06193990fa2834c_15670016 |	Campaign monitor
EDL	00:00:05,888	00:00:06,912	| 20181113_hibt_runway.mp3_708a17c5d09e76c7a06193990fa2834c_15670016 |	Campaign monitor
EDL	00:00:07,424	00:00:09,216	| 20181113_hibt_runway.mp3_708a17c5d09e76c7a06193990fa2834c_15670016 |	Email marketing radical easy
EDL	00:00:09,984	00:00:10,752	| 20181113_hibt_runway.mp3_708a17c5d09e76c7a06193990fa2834c_15670016 |	The big thinkers
EDL	00:00:10,752	00:00:11,520	| 20181113_hibt_runway.mp3_708a17c5d09e76c7a06193990fa2834c_15670016 |	Can focus
EDL	00:00:11,520	00:00:13,312	| 20181113_hibt_runway.mp3_708a17c5d09e76c7a06193990fa2834c_15670016 |	Developing Big Ideas
EDL	00:00:13,312	00:00:15,872	| 20181113_hibt_runway.mp3_708a17c5d09e76c7a06193990fa2834c_15670016 |	Try for free at campaignmonitor com
EDL	00:00:16,384	00:00:17,664	| 20181113_hibt_runway.mp3_708a17c5d09e76c7a06193990fa2834c_15670016 |	Campaign monitor
EDL	00:00:17,664	00:00:19,200	| 20181113_hibt_runway.mp3_708a17c5d09e76c7a06193990fa2834c_15670016 |	Make your emails and your business
EDL	00:00:19,968	00:00:20,480	| 20181113_hibt_runway.mp3_708a17c5d09e76c7a06193990fa2834c_15670016 |	Unforgettable
EDL	00:00:20,992	00:00:22,784	| 20181113_hibt_runway.mp3_708a17c5d09e76c7a06193990fa2834c_15670016 |	Support for the how I built this Summit
EDL	00:00:22,784	00:00:24,576	| 20181113_hibt_runway.mp3_708a17c5d09e76c7a06193990fa2834c_15670016 |	Comes from American Express
EDL	00:00:24,576	00:00:27,648	| 20181113_hibt_runway.mp3_708a17c5d09e76c7a06193990fa2834c_15670016 |	Offering eligible cardmembers flexible funding
