EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,792	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Support for this podcast
EDL	00:00:01,792	00:00:03,584	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	In the following message come from Madewell
EDL	00:00:03,584	00:00:06,400	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Where the motto is good days start with great jeans
EDL	00:00:06,912	00:00:10,496	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Madewell offers premium denim styles for seriously everyone
EDL	00:00:11,008	00:00:12,544	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Stop by a Madewell store
EDL	00:00:12,544	00:00:14,336	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Or go to madewell.com
EDL	00:00:14,336	00:00:15,360	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Define your
EDL	00:00:15,360	00:00:15,872	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Perfect pear
EDL	00:00:16,640	00:00:20,224	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Support for the how I built this Summit comes from American Express
EDL	00:00:20,224	00:00:23,552	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Offering eligible cardmembers flexible Funding Solution
EDL	00:00:24,320	00:00:26,624	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	PetSmart Savi way to fund your business
EDL	00:00:27,392	00:00:29,440	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Powerful backing of American Express
EDL	00:00:29,440	00:00:31,232	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Don't do business without it
EDL	00:00:31,232	00:00:32,768	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Terms apply visit
EDL	00:00:32,768	00:00:35,072	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Americanexpress.com business
EDL	00:00:40,192	00:00:46,592	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Hate this guy here today we got another brand new episode from the house
EDL	00:00:46,592	00:00:50,176	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Built this Summit in San Francisco that happened this past October
EDL	00:00:50,688	00:00:57,088	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	This one is for my live interview with Joe gebbia the co-founder of Airbnb
EDL	00:00:57,088	00:01:01,184	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	October of 2016 for one of our very first episode
EDL	00:01:01,696	00:01:06,048	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	And you haven't heard about the wild rollercoaster ride of starting Airbnb
EDL	00:01:06,560	00:01:09,376	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	You should definitely go back and get that episode of listen
EDL	00:01:09,376	00:01:15,776	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Because Jonah co-founders they really went through major changes and pivots and disappointment
EDL	00:01:15,776	00:01:16,544	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Send failure
EDL	00:01:16,544	00:01:19,104	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Before they hit on the idea that today
EDL	00:01:19,104	00:01:25,504	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	We all recognize one of the most iconic travel brands in the world so when I sat down with Joe Bacci
EDL	00:01:25,504	00:01:26,272	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	October
EDL	00:01:26,272	00:01:30,880	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	I want to spend time talking with him about why they never gave up
EDL	00:01:30,880	00:01:33,696	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Even when lots of people were saying
EDL	00:01:33,696	00:01:34,720	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	That idea
EDL	00:01:34,720	00:01:39,072	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Was never going to work
EDL	00:01:39,072	00:01:40,608	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Joe
EDL	00:01:40,608	00:01:41,888	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Guy
EDL	00:01:42,400	00:01:43,168	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	It is
EDL	00:01:44,192	00:01:46,240	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	It is actually amazing a 10 years ago
EDL	00:01:46,752	00:01:50,336	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	No one in this room no one listening no one in the world
EDL	00:01:50,848	00:01:55,200	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Imagine that people will be sleeping at the homes of random strangers
EDL	00:01:56,224	00:01:56,736	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Soap
EDL	00:01:57,248	00:01:58,272	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Let's start with the idea
EDL	00:01:59,040	00:02:01,856	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	The beginning of Airbnb go back to 2008
EDL	00:02:01,856	00:02:03,136	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Really at this point
EDL	00:02:03,136	00:02:05,184	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Nobody wants to invest in this business
EDL	00:02:05,184	00:02:05,696	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Does Hugo
EDL	00:02:06,208	00:02:07,488	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	If you remember the podcast
EDL	00:02:07,488	00:02:09,280	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	They email 20 investors
EDL	00:02:09,280	00:02:12,608	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	10 replied 5 coffee with them none invest
EDL	00:02:13,376	00:02:15,424	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	I mean I'm not surprised
EDL	00:02:15,424	00:02:16,960	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	The time people are telling you
EDL	00:02:16,960	00:02:19,776	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	This is a stupid idea and it's not going to work
EDL	00:02:19,776	00:02:21,312	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Right because that's what you were hearing
EDL	00:02:21,824	00:02:25,408	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	We got that I can tell you all the times and show you all the emails from
EDL	00:02:25,408	00:02:27,968	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	I'm really credible investors like people that
EDL	00:02:27,968	00:02:30,016	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Disturb investors that picked
EDL	00:02:30,016	00:02:34,624	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Google and PayPal and YouTube and Facebook and all of the kind of Internet Grace that came before us
EDL	00:02:35,392	00:02:35,904	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	And so
EDL	00:02:36,416	00:02:38,464	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Sitting there offices you know
EDL	00:02:38,464	00:02:39,744	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	It was just demoralizing
EDL	00:02:40,256	00:02:41,024	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	To be
EDL	00:02:41,536	00:02:43,072	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Sitting across from somebody who has
EDL	00:02:44,096	00:02:46,912	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	A good Instinct for a good idea paint lead based on their portfolio
EDL	00:02:47,424	00:02:49,216	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	And to look at you in just say
EDL	00:02:49,728	00:02:51,520	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	This is never going to work
EDL	00:02:51,520	00:02:52,032	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Or
EDL	00:02:52,544	00:02:55,360	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	There's one investor that will go unnamed who said
EDL	00:02:55,360	00:02:57,408	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	You should really focus on Church groups
EDL	00:02:57,920	00:03:02,016	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	And then he said but you know what church groups aren't a big it's not a big market so I'm going to pass on this
EDL	00:03:04,320	00:03:05,856	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Cuz he couldn't get over the hump of
EDL	00:03:06,368	00:03:07,392	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	How could you possibly
EDL	00:03:07,904	00:03:09,696	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Build a company that's based on Strangers
EDL	00:03:10,720	00:03:11,488	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Posting pictures
EDL	00:03:12,000	00:03:12,768	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Of the most intimate
EDL	00:03:13,280	00:03:14,816	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Parts of their home there
EDL	00:03:14,816	00:03:16,864	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	Bedroom Gallery kitchen or bathroom
EDL	00:03:16,864	00:03:17,888	| 20181203_hibt_airbnb.mp3_b4058e73f718de87e8ef19ff8607b724_16915427 |	On the internet
