EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:06,144	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	Hey happy New Year everyone if you're listening to this podcast on December 31st is the last day of the
EDL	00:00:06,144	00:00:08,192	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	The annual public radio fundraiser soap
EDL	00:00:08,192	00:00:09,984	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	Please pitch in right now
EDL	00:00:10,496	00:00:13,824	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	When you give to your local public radio station you are showing yours
EDL	00:00:13,824	00:00:14,848	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	Support for our show
EDL	00:00:15,360	00:00:16,384	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	To go to donate
EDL	00:00:16,384	00:00:18,688	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	Got npr.org
EDL	00:00:18,688	00:00:19,456	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	Built
EDL	00:00:19,456	00:00:21,504	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	To get your contribution counted
EDL	00:00:21,504	00:00:22,272	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	2018
EDL	00:00:22,784	00:00:23,296	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	And thanks
EDL	00:00:23,808	00:00:25,856	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	Okay now on today's show
EDL	00:00:26,368	00:00:27,648	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	If you happen to be planning a
EDL	00:00:27,648	00:00:31,232	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	Brand new project or launching a new idea in the new year
EDL	00:00:31,232	00:00:34,048	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	You might get some inspiration for my interview with Terry Chen
EDL	00:00:35,072	00:00:37,120	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	Kickstarter in 2009
EDL	00:00:37,120	00:00:38,144	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	A year later
EDL	00:00:38,656	00:00:41,216	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	I made it one of the best inventions
EDL	00:00:41,216	00:00:41,728	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	Xavier
EDL	00:00:42,240	00:00:44,544	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	This episode first ran in July of
EDL	00:00:44,544	00:00:45,056	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	Last year
EDL	00:00:45,824	00:00:46,336	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	Enjoy
EDL	00:00:54,016	00:01:00,416	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	But I think there's also like we could have tried
EDL	00:01:00,416	00:01:06,816	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	To go any faster there's just not that much was in our control we didn't have a lot of money we didn't have a lot of info
EDL	00:01:06,816	00:01:13,216	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	A lot of connections so we're moving as fast as we could and and that's kind of his that's as much as
EDL	00:01:13,216	00:01:13,728	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	You can do
EDL	00:01:14,496	00:01:20,384	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	From NPR how I built this
EDL	00:01:20,384	00:01:26,528	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	Show that innovators entrepreneurs idealists stories behind the movement
EDL	00:01:33,184	00:01:39,584	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	How Perry Chad build Kickstarter and was it a culture of crowdfunding ideas
EDL	00:01:39,584	00:01:43,168	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	Might have never gotten off the ground
EDL	00:01:48,544	00:01:51,872	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	You know there's a kind of mythical narrative around
EDL	00:01:51,872	00:01:55,456	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	Startups especially if we're talking about tech startups and
EDL	00:01:55,968	00:01:56,736	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	It goes something like this
EDL	00:01:57,248	00:01:59,040	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	Founder has an idea
EDL	00:01:59,040	00:02:04,928	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	Ben founder recruit some friends than friends sit in a room and start writing code
EDL	00:02:04,928	00:02:10,816	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	And then they try to get the app or the website out to the world as fast as possible and then
EDL	00:02:10,816	00:02:12,608	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	It just explodes blows up
EDL	00:02:12,608	00:02:15,936	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	Millions of customers sign up and investors.
EDL	00:02:15,936	00:02:16,960	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	Beating down the door
EDL	00:02:17,472	00:02:18,240	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	But today
EDL	00:02:18,752	00:02:20,800	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	We have a somewhat different story
EDL	00:02:21,312	00:02:24,640	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	This is the story of Kickstarter and they did of course
EDL	00:02:24,640	00:02:26,176	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	Start with an idea
EDL	00:02:26,176	00:02:29,248	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	But it'll be years before that idea
EDL	00:02:29,760	00:02:30,528	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	Became a reality
EDL	00:02:31,296	00:02:33,856	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	The three co-founders did build a website but
EDL	00:02:33,856	00:02:35,392	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	None of them knew had a code
EDL	00:02:35,392	00:02:40,000	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	And he spent years refining the concept before anything even went live
EDL	00:02:40,512	00:02:42,816	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	And they were working with a very small amount of money
EDL	00:02:43,328	00:02:45,120	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	It's a path Less Traveled exam
EDL	00:02:45,888	00:02:46,912	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	Much less likely to 6
EDL	00:02:47,424	00:02:49,472	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	It's not how I would recommend anybody
EDL	00:02:49,472	00:02:50,752	| 20181221_hibt_kickstarterpod-98ce0d68-ed5a-4e91-81e1-d929aea7c6ca.mp3_5f12ec41a8a17fb7bb131a4a0f9d1cc9_40856190 |	Attempt to do this
