EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,024	| 20190215_hibt_burtsbees-30bfdde1-4657-402a-81df-d276c96d763d.mp3_b3d8ca0964d5c9cf2a8c6bf5395943f6_57913253 |	Support for how I built
EDL	00:00:01,536	00:00:02,560	| 20190215_hibt_burtsbees-30bfdde1-4657-402a-81df-d276c96d763d.mp3_b3d8ca0964d5c9cf2a8c6bf5395943f6_57913253 |	Send the following message
EDL	00:00:02,560	00:00:04,352	| 20190215_hibt_burtsbees-30bfdde1-4657-402a-81df-d276c96d763d.mp3_b3d8ca0964d5c9cf2a8c6bf5395943f6_57913253 |	Come from Michigan Economic Development
EDL	00:00:05,376	00:00:07,168	| 20190215_hibt_burtsbees-30bfdde1-4657-402a-81df-d276c96d763d.mp3_b3d8ca0964d5c9cf2a8c6bf5395943f6_57913253 |	If you want to start or grow your bed
EDL	00:00:07,680	00:00:09,728	| 20190215_hibt_burtsbees-30bfdde1-4657-402a-81df-d276c96d763d.mp3_b3d8ca0964d5c9cf2a8c6bf5395943f6_57913253 |	Michigan is the place to make it happen
EDL	00:00:09,728	00:00:10,496	| 20190215_hibt_burtsbees-30bfdde1-4657-402a-81df-d276c96d763d.mp3_b3d8ca0964d5c9cf2a8c6bf5395943f6_57913253 |	Learn
EDL	00:00:10,496	00:00:12,288	| 20190215_hibt_burtsbees-30bfdde1-4657-402a-81df-d276c96d763d.mp3_b3d8ca0964d5c9cf2a8c6bf5395943f6_57913253 |	Why by searching Michigan pure Roberts
EDL	00:00:13,568	00:00:16,384	| 20190215_hibt_burtsbees-30bfdde1-4657-402a-81df-d276c96d763d.mp3_b3d8ca0964d5c9cf2a8c6bf5395943f6_57913253 |	We had a great artist
EDL	00:00:16,384	00:00:22,784	| 20190215_hibt_burtsbees-30bfdde1-4657-402a-81df-d276c96d763d.mp3_b3d8ca0964d5c9cf2a8c6bf5395943f6_57913253 |	And he did a woodcut portrait of Bert and we started putting that on the package
EDL	00:00:22,784	00:00:29,184	| 20190215_hibt_burtsbees-30bfdde1-4657-402a-81df-d276c96d763d.mp3_b3d8ca0964d5c9cf2a8c6bf5395943f6_57913253 |	A very conscious decision to use Burt's face he have a long grey beard and long grey crew
EDL	00:00:29,184	00:00:35,584	| 20190215_hibt_burtsbees-30bfdde1-4657-402a-81df-d276c96d763d.mp3_b3d8ca0964d5c9cf2a8c6bf5395943f6_57913253 |	Curly hair in a bun as a woman who could never measure up to this
EDL	00:00:35,584	00:00:41,984	| 20190215_hibt_burtsbees-30bfdde1-4657-402a-81df-d276c96d763d.mp3_b3d8ca0964d5c9cf2a8c6bf5395943f6_57913253 |	Glamorous image in mainstream cosmetics and beauty products you know I felt like where
EDL	00:00:41,984	00:00:48,128	| 20190215_hibt_burtsbees-30bfdde1-4657-402a-81df-d276c96d763d.mp3_b3d8ca0964d5c9cf2a8c6bf5395943f6_57913253 |	Going to put a picture of a guy that everybody is going to feel more
EDL	00:00:54,528	00:01:00,928	| 20190215_hibt_burtsbees-30bfdde1-4657-402a-81df-d276c96d763d.mp3_b3d8ca0964d5c9cf2a8c6bf5395943f6_57913253 |	NPR how I built this a show about innovators entrepreneurs idealists
EDL	00:01:00,928	00:01:07,328	| 20190215_hibt_burtsbees-30bfdde1-4657-402a-81df-d276c96d763d.mp3_b3d8ca0964d5c9cf2a8c6bf5395943f6_57913253 |	Stories behind the movement
EDL	00:01:07,328	00:01:12,704	| 20190215_hibt_burtsbees-30bfdde1-4657-402a-81df-d276c96d763d.mp3_b3d8ca0964d5c9cf2a8c6bf5395943f6_57913253 |	Roxanne
EDL	00:01:13,216	00:01:13,984	| 20190215_hibt_burtsbees-30bfdde1-4657-402a-81df-d276c96d763d.mp3_b3d8ca0964d5c9cf2a8c6bf5395943f6_57913253 |	And turn it in
