EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:03,584	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Support for how I built this and the following message come from America
EDL	00:00:03,584	00:00:04,096	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Express
EDL	00:00:04,608	00:00:05,888	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	You want to build your business
EDL	00:00:06,400	00:00:06,912	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Can help building
EDL	00:00:07,680	00:00:08,448	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	With financing
EDL	00:00:08,448	00:00:09,216	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Solutions for
EDL	00:00:09,216	00:00:10,240	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Eligible business
EDL	00:00:10,240	00:00:10,752	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Customers
EDL	00:00:11,264	00:00:13,056	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	The powerful backing of American Express
EDL	00:00:13,568	00:00:15,104	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Don't do business without it
EDL	00:00:15,104	00:00:15,872	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Terms apply
EDL	00:00:16,384	00:00:18,176	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Americanexpress.com
EDL	00:00:18,176	00:00:18,688	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Business
EDL	00:00:22,016	00:00:23,552	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	So really quick before we start the show
EDL	00:00:24,064	00:00:27,648	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	I want to tell you about a live event we are about to do in
EDL	00:00:27,648	00:00:28,416	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Portland Oregon
EDL	00:00:29,184	00:00:30,208	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Thursday Mesa
EDL	00:00:30,208	00:00:30,976	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	XVI
EDL	00:00:30,976	00:00:33,792	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	I'll be talking with Seth Tibbott he's the founder and
EDL	00:00:33,792	00:00:34,560	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	CEO of
EDL	00:00:34,560	00:00:35,328	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Tofurky
EDL	00:00:35,328	00:00:37,376	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	The show is supported by Americans
EDL	00:00:37,376	00:00:39,168	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Express and our other Live Events
EDL	00:00:39,168	00:00:40,448	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Sold out fast so
EDL	00:00:40,448	00:00:40,960	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Ticket ticket
EDL	00:00:41,472	00:00:43,264	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Go to nprpresents.org
EDL	00:00:44,544	00:00:45,056	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	In Portland
EDL	00:00:46,336	00:00:52,736	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	I was a nobody from Key Largo
EDL	00:00:52,736	00:00:59,136	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	And here are named venture capitalist I mean I don't want to call him out by name but think of 20
EDL	00:00:59,136	00:01:05,536	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Venture capitalist you further name I'm sitting there and they're saying No this is dumb no thank you and you're like
EDL	00:01:05,536	00:01:11,680	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Who am I to think that this named person at this name shop is wrong
EDL	00:01:16,800	00:01:18,080	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	NPR
EDL	00:01:18,592	00:01:20,384	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	How I built this
EDL	00:01:20,384	00:01:22,432	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Innovators entrepreneurs idealists
EDL	00:01:22,944	00:01:23,456	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Stories
EDL	00:01:30,624	00:01:32,672	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	How man who knew almost nothing
EDL	00:01:32,672	00:01:35,232	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Fitness Media or technology
EDL	00:01:35,232	00:01:37,536	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Delta brand that does all three
EDL	00:01:37,536	00:01:38,304	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Peloton
EDL	00:01:38,816	00:01:41,120	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Home Fitness Company value
EDL	00:01:41,120	00:01:42,144	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	More than four
EDL	00:01:42,144	00:01:42,912	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Billion dollars
EDL	00:01:46,752	00:01:49,824	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Account for all the money generated by the Fitness in
EDL	00:01:49,824	00:01:50,848	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	History in the US but
EDL	00:01:51,360	00:01:53,920	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	If you factor in gym memberships alone
EDL	00:01:53,920	00:01:56,736	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	It's around 30 billion dollars a year
EDL	00:01:57,248	00:01:58,272	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	And that number is
EDL	00:01:58,272	00:01:59,040	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Is growing
EDL	00:01:59,040	00:02:00,320	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Because
EDL	00:02:00,320	00:02:01,344	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	People are becoming more
EDL	00:02:01,344	00:02:01,856	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Health-conscious
EDL	00:02:02,624	00:02:03,904	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	A lot of that growth is
EDL	00:02:03,904	00:02:04,928	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Being driven by what
EDL	00:02:04,928	00:02:05,440	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Call the
EDL	00:02:06,208	00:02:06,720	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Fitness category
EDL	00:02:07,488	00:02:09,536	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Things like bar yoga
EDL	00:02:10,048	00:02:10,816	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Spin Studios
EDL	00:02:11,328	00:02:14,912	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	A smaller gyms that do one thing
EDL	00:02:14,912	00:02:15,936	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Really well
EDL	00:02:16,448	00:02:18,496	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	All of these options is that
EDL	00:02:19,008	00:02:20,032	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Post Park
EDL	00:02:20,032	00:02:21,824	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	You need to book a slot
EDL	00:02:21,824	00:02:24,384	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Which is fine if you're super organized
EDL	00:02:24,384	00:02:25,408	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Not so great
EDL	00:02:26,176	00:02:26,688	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	You forget
EDL	00:02:27,200	00:02:29,248	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Which is where John Foley was
EDL	00:02:29,248	00:02:30,784	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Back in 2011
EDL	00:02:31,296	00:02:32,064	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	You realize
EDL	00:02:32,064	00:02:33,344	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	A spinning class
EDL	00:02:33,344	00:02:34,880	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	Can only accommodate the
EDL	00:02:34,880	00:02:35,648	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	20 years
EDL	00:02:35,648	00:02:37,184	| 20190426_hibt_peloton.mp3_96fdce57a3f820805aa8e91dfcf88d35_54144412 |	30 people in the room
