EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,024	| 20190524_hibt_pitachips.mp3_ec123b548b542c48d428a825f2dadc54_63828193 |	Support for this in
EDL	00:00:01,024	00:00:01,536	| 20190524_hibt_pitachips.mp3_ec123b548b542c48d428a825f2dadc54_63828193 |	NPR Podcast
EDL	00:00:02,048	00:00:02,816	| 20190524_hibt_pitachips.mp3_ec123b548b542c48d428a825f2dadc54_63828193 |	In the following message
EDL	00:00:02,816	00:00:04,864	| 20190524_hibt_pitachips.mp3_ec123b548b542c48d428a825f2dadc54_63828193 |	Did come from VSP individual Vision play
EDL	00:00:05,376	00:00:07,424	| 20190524_hibt_pitachips.mp3_ec123b548b542c48d428a825f2dadc54_63828193 |	Entrepreneurs innovators and creators
EDL	00:00:07,936	00:00:09,728	| 20190524_hibt_pitachips.mp3_ec123b548b542c48d428a825f2dadc54_63828193 |	Stop overpaying for eye exam
EDL	00:00:09,728	00:00:10,752	| 20190524_hibt_pitachips.mp3_ec123b548b542c48d428a825f2dadc54_63828193 |	Sam's and Quality Glass
EDL	00:00:11,264	00:00:13,056	| 20190524_hibt_pitachips.mp3_ec123b548b542c48d428a825f2dadc54_63828193 |	You can buy vision coverage on your own
EDL	00:00:13,568	00:00:16,128	| 20190524_hibt_pitachips.mp3_ec123b548b542c48d428a825f2dadc54_63828193 |	Learn more at need VSP coverage.
EDL	00:00:16,640	00:00:20,224	| 20190524_hibt_pitachips.mp3_ec123b548b542c48d428a825f2dadc54_63828193 |	Just before we start the show a bit of news
EDL	00:00:20,736	00:00:21,760	| 20190524_hibt_pitachips.mp3_ec123b548b542c48d428a825f2dadc54_63828193 |	Last year
EDL	00:00:21,760	00:00:23,808	| 20190524_hibt_pitachips.mp3_ec123b548b542c48d428a825f2dadc54_63828193 |	After a year of doing live shows
EDL	00:00:23,808	00:00:25,088	| 20190524_hibt_pitachips.mp3_ec123b548b542c48d428a825f2dadc54_63828193 |	We decided we more than
EDL	00:00:25,088	00:00:25,856	| 20190524_hibt_pitachips.mp3_ec123b548b542c48d428a825f2dadc54_63828193 |	Deeper
EDL	00:00:25,856	00:00:27,904	| 20190524_hibt_pitachips.mp3_ec123b548b542c48d428a825f2dadc54_63828193 |	Experience with you with our community
EDL	00:00:27,904	00:00:29,440	| 20190524_hibt_pitachips.mp3_ec123b548b542c48d428a825f2dadc54_63828193 |	So we decided to Launch
EDL	00:00:29,952	00:00:31,744	| 20190524_hibt_pitachips.mp3_ec123b548b542c48d428a825f2dadc54_63828193 |	Full day how I built this Summit
EDL	00:00:32,256	00:00:36,608	| 20190524_hibt_pitachips.mp3_ec123b548b542c48d428a825f2dadc54_63828193 |	It was so amazing and fun that we're doing it again this year
EDL	00:00:37,120	00:00:38,912	| 20190524_hibt_pitachips.mp3_ec123b548b542c48d428a825f2dadc54_63828193 |	This time we're doing it over
EDL	00:00:38,912	00:00:39,424	| 20190524_hibt_pitachips.mp3_ec123b548b542c48d428a825f2dadc54_63828193 |	Today's
EDL	00:00:39,936	00:00:40,704	| 20190524_hibt_pitachips.mp3_ec123b548b542c48d428a825f2dadc54_63828193 |	It's happening
EDL	00:00:40,704	00:00:41,984	| 20190524_hibt_pitachips.mp3_ec123b548b542c48d428a825f2dadc54_63828193 |	October 22nd
EDL	00:00:41,984	00:00:44,032	| 20190524_hibt_pitachips.mp3_ec123b548b542c48d428a825f2dadc54_63828193 |	The 23rd in San Francisco
EDL	00:00:44,032	00:00:45,312	| 20190524_hibt_pitachips.mp3_ec123b548b542c48d428a825f2dadc54_63828193 |	With support from American
EDL	00:00:45,312	00:00:45,824	| 20190524_hibt_pitachips.mp3_ec123b548b542c48d428a825f2dadc54_63828193 |	Express
EDL	00:00:46,336	00:00:49,664	| 20190524_hibt_pitachips.mp3_ec123b548b542c48d428a825f2dadc54_63828193 |	And this year we are doubling down on our main stage speakers
EDL	00:00:50,176	00:00:51,712	| 20190524_hibt_pitachips.mp3_ec123b548b542c48d428a825f2dadc54_63828193 |	Able to hear from and
EDL	00:00:51,712	00:00:56,320	| 20190524_hibt_pitachips.mp3_ec123b548b542c48d428a825f2dadc54_63828193 |	Probably even meet some of the greatest living Founders and entrepreneurs in the world
EDL	00:00:56,320	00:00:58,112	| 20190524_hibt_pitachips.mp3_ec123b548b542c48d428a825f2dadc54_63828193 |	Including Sara Blakely Spanx
EDL	00:00:58,880	00:00:59,904	| 20190524_hibt_pitachips.mp3_ec123b548b542c48d428a825f2dadc54_63828193 |	Stewart Butterfield
