EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:03,840	| 20190610_hibt_allbirds.mp3_68fec9908f4bb3b05e30cda94ff8d44c_68819616 |	So I want to tell you that we're coming to the Twin Cities for a live event
EDL	00:00:03,840	00:00:05,376	| 20190610_hibt_allbirds.mp3_68fec9908f4bb3b05e30cda94ff8d44c_68819616 |	On Wednesday July 17th
EDL	00:00:06,144	00:00:08,192	| 20190610_hibt_allbirds.mp3_68fec9908f4bb3b05e30cda94ff8d44c_68819616 |	Talking with Dan and Angie Bastian
EDL	00:00:08,192	00:00:08,960	| 20190610_hibt_allbirds.mp3_68fec9908f4bb3b05e30cda94ff8d44c_68819616 |	Co-founders
EDL	00:00:08,960	00:00:10,496	| 20190610_hibt_allbirds.mp3_68fec9908f4bb3b05e30cda94ff8d44c_68819616 |	Angie's boom chicka pop
EDL	00:00:11,008	00:00:14,336	| 20190610_hibt_allbirds.mp3_68fec9908f4bb3b05e30cda94ff8d44c_68819616 |	How is history teacher and a psychiatric nurse started making
EDL	00:00:14,336	00:00:14,848	| 20190610_hibt_allbirds.mp3_68fec9908f4bb3b05e30cda94ff8d44c_68819616 |	Popcorn
EDL	00:00:15,360	00:00:16,384	| 20190610_hibt_allbirds.mp3_68fec9908f4bb3b05e30cda94ff8d44c_68819616 |	Eventually got it in
EDL	00:00:16,384	00:00:17,152	| 20190610_hibt_allbirds.mp3_68fec9908f4bb3b05e30cda94ff8d44c_68819616 |	The stores
EDL	00:00:17,152	00:00:17,920	| 20190610_hibt_allbirds.mp3_68fec9908f4bb3b05e30cda94ff8d44c_68819616 |	Coast to Coast
EDL	00:00:18,432	00:00:19,968	| 20190610_hibt_allbirds.mp3_68fec9908f4bb3b05e30cda94ff8d44c_68819616 |	The show is supported by America
EDL	00:00:19,968	00:00:20,992	| 20190610_hibt_allbirds.mp3_68fec9908f4bb3b05e30cda94ff8d44c_68819616 |	Express and
EDL	00:00:20,992	00:00:22,784	| 20190610_hibt_allbirds.mp3_68fec9908f4bb3b05e30cda94ff8d44c_68819616 |	Are other Live Events have sold out fast
EDL	00:00:23,552	00:00:26,624	| 20190610_hibt_allbirds.mp3_68fec9908f4bb3b05e30cda94ff8d44c_68819616 |	Get tickets go to NPR presents. Org
EDL	00:00:26,624	00:00:27,392	| 20190610_hibt_allbirds.mp3_68fec9908f4bb3b05e30cda94ff8d44c_68819616 |	And
EDL	00:00:27,392	00:00:27,904	| 20190610_hibt_allbirds.mp3_68fec9908f4bb3b05e30cda94ff8d44c_68819616 |	Hope to see you there
EDL	00:00:28,416	00:00:30,208	| 20190610_hibt_allbirds.mp3_68fec9908f4bb3b05e30cda94ff8d44c_68819616 |	And one more thing before we start the show
EDL	00:00:30,720	00:00:33,280	| 20190610_hibt_allbirds.mp3_68fec9908f4bb3b05e30cda94ff8d44c_68819616 |	I want to tell you about a brand new disc
EDL	00:00:33,280	00:00:34,304	| 20190610_hibt_allbirds.mp3_68fec9908f4bb3b05e30cda94ff8d44c_68819616 |	How I built this Summit
EDL	00:00:34,816	00:00:35,840	| 20190610_hibt_allbirds.mp3_68fec9908f4bb3b05e30cda94ff8d44c_68819616 |	Which is happening this
EDL	00:00:35,840	00:00:36,608	| 20190610_hibt_allbirds.mp3_68fec9908f4bb3b05e30cda94ff8d44c_68819616 |	October
EDL	00:00:36,608	00:00:37,376	| 20190610_hibt_allbirds.mp3_68fec9908f4bb3b05e30cda94ff8d44c_68819616 |	San Francisco
EDL	00:00:37,888	00:00:39,680	| 20190610_hibt_allbirds.mp3_68fec9908f4bb3b05e30cda94ff8d44c_68819616 |	Wheeler New Deal for group tickets
