EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:02,304	| 20190621_hibt_yelppod.mp3_a0086d7cedf0287e1bddef8bee68d2dd_59964029 |	So I get some more exciting news
EDL	00:00:02,816	00:00:05,376	| 20190621_hibt_yelppod.mp3_a0086d7cedf0287e1bddef8bee68d2dd_59964029 |	How I built this Summit happening this fall in
EDL	00:00:05,376	00:00:05,888	| 20190621_hibt_yelppod.mp3_a0086d7cedf0287e1bddef8bee68d2dd_59964029 |	In San Francisco
EDL	00:00:06,656	00:00:07,936	| 20190621_hibt_yelppod.mp3_a0086d7cedf0287e1bddef8bee68d2dd_59964029 |	On top of the amazing yes
EDL	00:00:08,448	00:00:09,728	| 20190621_hibt_yelppod.mp3_a0086d7cedf0287e1bddef8bee68d2dd_59964029 |	Taken 2 on the main stage
EDL	00:00:09,728	00:00:11,264	| 20190621_hibt_yelppod.mp3_a0086d7cedf0287e1bddef8bee68d2dd_59964029 |	Will have breakout sessions
EDL	00:00:11,264	00:00:12,288	| 20190621_hibt_yelppod.mp3_a0086d7cedf0287e1bddef8bee68d2dd_59964029 |	Throughout the summit
EDL	00:00:12,288	00:00:13,056	| 20190621_hibt_yelppod.mp3_a0086d7cedf0287e1bddef8bee68d2dd_59964029 |	Speakers like
EDL	00:00:13,056	00:00:14,592	| 20190621_hibt_yelppod.mp3_a0086d7cedf0287e1bddef8bee68d2dd_59964029 |	Katia Beauchamp of Birchbox
EDL	00:00:15,104	00:00:16,128	| 20190621_hibt_yelppod.mp3_a0086d7cedf0287e1bddef8bee68d2dd_59964029 |	James Park
EDL	00:00:16,128	00:00:17,920	| 20190621_hibt_yelppod.mp3_a0086d7cedf0287e1bddef8bee68d2dd_59964029 |	Eric Friedman of Fitbit
EDL	00:00:17,920	00:00:19,456	| 20190621_hibt_yelppod.mp3_a0086d7cedf0287e1bddef8bee68d2dd_59964029 |	James Reinhart thredup
EDL	00:00:19,456	00:00:20,224	| 20190621_hibt_yelppod.mp3_a0086d7cedf0287e1bddef8bee68d2dd_59964029 |	Sadie Lincoln
EDL	00:00:20,224	00:00:20,992	| 20190621_hibt_yelppod.mp3_a0086d7cedf0287e1bddef8bee68d2dd_59964029 |	Barre3
EDL	00:00:20,992	00:00:23,040	| 20190621_hibt_yelppod.mp3_a0086d7cedf0287e1bddef8bee68d2dd_59964029 |	And many many more and also
