EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:02,048	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	Quickly before we start to show
EDL	00:00:02,048	00:00:05,376	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	We got another live show coming to Washington DC on some
EDL	00:00:05,376	00:00:06,144	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	September 12th
EDL	00:00:06,144	00:00:06,912	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	The Lincoln Theater
EDL	00:00:07,424	00:00:10,240	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	I'll be talking with Tristan Walker founder of Walker & Company brands
EDL	00:00:10,752	00:00:11,520	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	Best beauty products
EDL	00:00:11,520	00:00:12,032	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	Devil
EDL	00:00:12,544	00:00:16,384	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	Forum what's going to be announcing two more live shows on the East Coast
EDL	00:00:16,384	00:00:17,152	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	Soon
EDL	00:00:17,152	00:00:22,784	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	And don't forget we still have a few tickets available for the how I built this Summit in San Francisco in
EDL	00:00:22,784	00:00:23,552	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	October
EDL	00:00:23,552	00:00:24,320	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	The Summit
EDL	00:00:24,320	00:00:25,344	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	Supported by America
EDL	00:00:25,344	00:00:26,880	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	Express at The Summit
EDL	00:00:26,880	00:00:30,208	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	You'll be able to hear and probably even meet some of the world
EDL	00:00:30,208	00:00:32,768	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	Greatest entrepreneurs Founders Beyond companies
EDL	00:00:32,768	00:00:36,352	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	Instagram / JetBlue away Jeni's Ice Cream
EDL	00:00:36,864	00:00:38,144	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	And many many more
EDL	00:00:38,912	00:00:39,680	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	The Summit is a man
EDL	00:00:39,680	00:00:41,472	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	Incredible opportunity to connect with
EDL	00:00:41,472	00:00:44,032	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	Other builders and hear from experts on how
EDL	00:00:44,032	00:00:45,568	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	Grow and scale your business
EDL	00:00:46,080	00:00:50,944	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	You can get tickets for both the DC live show and the Summit AT NPR presents
EDL	00:00:50,944	00:00:51,456	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	. org
EDL	00:00:51,968	00:00:52,736	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	And helped
EDL	00:00:52,736	00:00:53,248	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	To see you there
EDL	00:00:54,272	00:01:00,672	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	So the meeting that we went to with the new buyer
EDL	00:01:00,672	00:01:07,072	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	The first meeting tonight with the first meeting I think I was nursing I remember being in that room having a baby
EDL	00:01:07,072	00:01:13,472	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	Baby and just presenting this woman was I don't know in her late twenties and
EDL	00:01:13,472	00:01:19,616	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	She was not responding to anything that we are saying in a positive manner
EDL	00:01:19,616	00:01:21,152	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	So it was a hard meeting
EDL	00:01:21,152	00:01:22,432	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	And without them we were sunk
EDL	00:01:28,576	00:01:30,112	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	Running PR
EDL	00:01:30,112	00:01:31,392	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	How I built this
EDL	00:01:31,392	00:01:33,696	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	Innovators entrepreneurs
EDL	00:01:33,696	00:01:40,096	| 20190712_hibt_eoproducts.mp3_debc5e3c105bab5dc9ae260a000f19ee_59686065 |	Idealist and the stories behind the movements they built
