EDL	Record In	Record Out	Clipname	Subtitle

https://sphinx.acast.com/p/acast/s/theintelligencepodcast/e/646767bac6d90200117fd4b6/media.mp3

EDL	00:00:00,000	00:00:01,875	| Kissinger |	What do you see on the horizon?
EDL	00:00:01,875	00:00:02,541	| Kissinger |	[ SPACE 0.7 secs ]
EDL	00:00:02,541	00:00:04,208	| Kissinger |	Uncertainty or opportunity?
EDL	00:00:04,208	00:00:05,041	| Kissinger |	[ SPACE 0.8 secs ]
EDL	00:00:05,041	00:00:07,125	| Kissinger |	Whatever you see at PGIM,
EDL	00:00:07,125	00:00:08,416	| Kissinger |	we can help you rise to
EDL	00:00:08,416	00:00:09,583	| Kissinger |	the challenges of today
EDL	00:00:09,583	00:00:09,916	| Kissinger |	[ SPACE 0.3 secs ]
EDL	00:00:09,916	00:00:11,750	| Kissinger |	when active investing and disciplined
EDL	00:00:11,750	00:00:14,000	| Kissinger |	risk management are needed most.
EDL	00:00:14,000	00:00:14,583	| Kissinger |	[ SPACE 0.6 secs ]
EDL	00:00:14,583	00:00:16,291	| Kissinger |	Drawing on deep expertise across the
EDL	00:00:16,291	00:00:18,541	| Kissinger |	world's public and private markets
EDL	00:00:18,541	00:00:20,708	| Kissinger |	in pursuit of long-term returns.
EDL	00:00:20,708	00:00:21,208	| Kissinger |	[ SPACE 0.5 secs ]
EDL	00:00:21,208	00:00:23,625	| Kissinger |	Our investments shape tomorrow, today.
EDL	00:00:23,625	00:00:24,250	| Kissinger |	[ SPACE 0.6 secs ]
EDL	00:00:24,250	00:00:27,000	| Kissinger |	Pursue your tomorrow with PGIM, a leading
EDL	00:00:27,000	00:00:28,208	| Kissinger |	global asset manager.
EDL	00:00:28,208	00:00:30,000	| Kissinger |	[ SPACE 1.8 secs ]
EDL	00:00:30,000	00:00:34,125	| Kissinger |	What is PGIM?
EDL	00:00:34,125	00:00:37,458	| Kissinger |	What is PGIM?
EDL	00:00:37,458	00:00:38,583	| Kissinger |	[ SPACE 1.1 secs ]
EDL	00:00:38,583	00:00:40,458	| Kissinger |	Henry Kissinger's undergraduate thesis
EDL	00:00:40,458	00:00:42,000	| Kissinger |	set a record at Harvard.
EDL	00:00:42,000	00:00:43,333	| Kissinger |	[ SPACE 1.3 secs ]
EDL	00:00:43,333	00:00:46,958	| Kissinger |	At 383 pages, it is thought to be the
EDL	00:00:46,958	00:00:48,083	| Kissinger |	longest ever written.
EDL	00:00:48,083	00:00:49,416	| Kissinger |	[ SPACE 1.3 secs ]
EDL	00:00:49,416	00:00:51,625	| Kissinger |	So lengthy that future projects were
EDL	00:00:51,625	00:00:53,416	| Kissinger |	limited to a third of the size.
EDL	00:00:53,416	00:00:54,583	| Kissinger |	[ SPACE 1.2 secs ]
EDL	00:00:54,583	00:00:56,541	| Kissinger |	It examined the meaning of history
EDL	00:00:56,541	00:00:57,541	| Kissinger |	[ SPACE 1.0 secs ]
EDL	00:00:57,541	00:00:58,250	| Kissinger |	and the role that
EDL	00:00:58,250	00:01:00,125	| Kissinger |	individuals play in shaping it.
EDL	00:01:00,125	00:01:01,750	| Kissinger |	[ SPACE 1.6 secs ]
EDL	00:01:01,750	00:01:03,750	| Kissinger |	The young Kissinger took in thinkers from
EDL	00:01:03,750	00:01:06,208	| Kissinger |	Socrates to Kant to Dostoevsky.
EDL	00:01:06,208	00:01:07,583	| Kissinger |	[ SPACE 1.4 secs ]
EDL	00:01:07,583	00:01:09,500	| Kissinger |	Eventually, the thesis was awarded the
EDL	00:01:09,500	00:01:10,625	| Kissinger |	highest possible honors.
EDL	00:01:10,625	00:01:12,708	| Kissinger |	[ SPACE 2.1 secs ]
EDL	00:01:12,708	00:01:14,375	| Kissinger |	For the best part of a century,
EDL	00:01:14,375	00:01:14,916	| Kissinger |	[ SPACE 0.5 secs ]
EDL	00:01:14,916	00:01:16,250	| Kissinger |	Kissinger has thought a lot about the
EDL	00:01:16,250	00:01:17,166	| Kissinger |	relationships between
