EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:03,328	| 20161111_pmoney_podcast111116.mp3_386864c282f86b4cdaaaab08bd422fd7_24160840 |	Support for NPR comes from investor.gov
EDL	00:00:03,328	00:00:04,096	| 20161111_pmoney_podcast111116.mp3_386864c282f86b4cdaaaab08bd422fd7_24160840 |	Presenting this mess
EDL	00:00:04,608	00:00:05,888	| 20161111_pmoney_podcast111116.mp3_386864c282f86b4cdaaaab08bd422fd7_24160840 |	When it comes to investing
EDL	00:00:05,888	00:00:06,912	| 20161111_pmoney_podcast111116.mp3_386864c282f86b4cdaaaab08bd422fd7_24160840 |	We all have Quest
EDL	00:00:07,424	00:00:09,728	| 20161111_pmoney_podcast111116.mp3_386864c282f86b4cdaaaab08bd422fd7_24160840 |	And investor.gov has answers
EDL	00:00:09,728	00:00:11,520	| 20161111_pmoney_podcast111116.mp3_386864c282f86b4cdaaaab08bd422fd7_24160840 |	If you're free resource for
EDL	00:00:11,520	00:00:14,080	| 20161111_pmoney_podcast111116.mp3_386864c282f86b4cdaaaab08bd422fd7_24160840 |	Tools tips and information about investing
EDL	00:00:14,080	00:00:15,360	| 20161111_pmoney_podcast111116.mp3_386864c282f86b4cdaaaab08bd422fd7_24160840 |	Before you invest
EDL	00:00:15,360	00:00:16,640	| 20161111_pmoney_podcast111116.mp3_386864c282f86b4cdaaaab08bd422fd7_24160840 |	Investor.gov
EDL	00:00:18,688	00:00:19,712	| 20161111_pmoney_podcast111116.mp3_386864c282f86b4cdaaaab08bd422fd7_24160840 |	Scott Horsley
EDL	00:00:19,712	00:00:23,808	| 20161111_pmoney_podcast111116.mp3_386864c282f86b4cdaaaab08bd422fd7_24160840 |	You are NPR's senior White House correspondent
EDL	00:00:23,808	00:00:30,208	| 20161111_pmoney_podcast111116.mp3_386864c282f86b4cdaaaab08bd422fd7_24160840 |	Now that's senior but yes I spent the last eight years covering the Obama Administration and I've also been follow
EDL	00:00:30,208	00:00:36,352	| 20161111_pmoney_podcast111116.mp3_386864c282f86b4cdaaaab08bd422fd7_24160840 |	Going to campaign in which Donald Trump promised to undo a great deal of what Barack Obama did over the last 8 years
EDL	00:00:36,352	00:00:39,424	| 20161111_pmoney_podcast111116.mp3_386864c282f86b4cdaaaab08bd422fd7_24160840 |	He wants to roll back Obamacare he wants to build a
EDL	00:00:39,424	00:00:42,240	| 20161111_pmoney_podcast111116.mp3_386864c282f86b4cdaaaab08bd422fd7_24160840 |	New wall on the US Southern border with Mexico
EDL	00:00:42,240	00:00:44,288	| 20161111_pmoney_podcast111116.mp3_386864c282f86b4cdaaaab08bd422fd7_24160840 |	He wants to deport criminal immigrants
EDL	00:00:44,288	00:00:47,360	| 20161111_pmoney_podcast111116.mp3_386864c282f86b4cdaaaab08bd422fd7_24160840 |	Drain the swamp of corruption in Washington
EDL	00:00:47,360	00:00:49,920	| 20161111_pmoney_podcast111116.mp3_386864c282f86b4cdaaaab08bd422fd7_24160840 |	And undo what Trump calls
EDL	00:00:49,920	00:00:52,480	| 20161111_pmoney_podcast111116.mp3_386864c282f86b4cdaaaab08bd422fd7_24160840 |	Stupid trade deals and that's just the first 100 days
EDL	00:00:55,296	00:01:01,440	| 20161111_pmoney_podcast111116.mp3_386864c282f86b4cdaaaab08bd422fd7_24160840 |	Are you out there a lot of campaigns candidates say a lot of stuff on the campaign Trail a lot of it does get done some of it doesn't
EDL	00:01:01,440	00:01:04,000	| 20161111_pmoney_podcast111116.mp3_386864c282f86b4cdaaaab08bd422fd7_24160840 |	But Turley Trump has filled out a bold agenda
