EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:05,120	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	Support for NPR and the following message come from service now making the world of work
EDL	00:00:05,120	00:00:06,400	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	Work better for people
EDL	00:00:06,400	00:00:10,496	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	Their cloud-based platform and solutions deliver digital workflow
EDL	00:00:10,496	00:00:15,360	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	Spell create great experiences and unlock productivity for your whole company
EDL	00:00:15,360	00:00:17,408	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	More at servicenow.com
EDL	00:00:18,944	00:00:22,528	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	In 2008 Neel Kashkari was working in the treasury
EDL	00:00:22,528	00:00:23,552	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	Under George W bush
EDL	00:00:24,064	00:00:25,088	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	And he got what was
EDL	00:00:25,600	00:00:27,136	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	What was kind of a promotion
EDL	00:00:27,136	00:00:28,672	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	But a promotion into a job.
EDL	00:00:29,184	00:00:29,952	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	Sounds off
EDL	00:00:30,720	00:00:32,000	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	It was the middle of the financial
EDL	00:00:32,000	00:00:33,792	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	The crisis and Kush Curry got picked
EDL	00:00:33,792	00:00:36,096	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	To run the government bailout of the bank
EDL	00:00:36,864	00:00:38,400	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	How old were you at the time
EDL	00:00:38,400	00:00:42,496	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	I was 35 at the time and how much money were you
EDL	00:00:42,496	00:00:43,264	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	In charge of
EDL	00:00:44,032	00:00:46,848	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	The program is maximum size with 700 billion dollars
EDL	00:00:47,360	00:00:48,896	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	Taupe Qashqai trending
EDL	00:00:48,896	00:00:50,688	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	Massive bailout of the bank
EDL	00:00:51,456	00:00:52,480	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	The country made it through the finance
EDL	00:00:53,760	00:00:57,856	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	And a few years later Congress passed a law that changed the way banks are ready
EDL	00:00:58,624	00:00:59,904	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	The lot is called.
EDL	00:00:59,904	00:01:00,672	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	Frank
EDL	00:01:00,672	00:01:03,744	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	Dodd-Frank does have some good points
EDL	00:01:03,744	00:01:05,536	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	But when you get to the big question
EDL	00:01:06,048	00:01:08,864	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	Is Dodd-Frank going to protect us from having to bail out the banks again
EDL	00:01:09,376	00:01:10,656	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	Unfortunately no
EDL	00:01:10,656	00:01:11,680	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	What do you think the
EDL	00:01:11,680	00:01:13,728	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	The backers of Dodd-Frank are
EDL	00:01:13,728	00:01:15,008	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	Basing their beliefs
EDL	00:01:15,776	00:01:16,544	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	Hope and prayer
EDL	00:01:18,592	00:01:19,616	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	You really
EDL	00:01:19,616	00:01:20,384	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	Yes
EDL	00:01:20,384	00:01:21,920	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	They don't want to do anyting
EDL	00:01:21,920	00:01:22,432	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	2
EDL	00:01:22,944	00:01:24,992	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	Fundamentally restructure the financial system
EDL	00:01:25,504	00:01:27,296	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	And instead they will hope and pray
EDL	00:01:27,808	00:01:28,832	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	The next time will be different
EDL	00:01:29,856	00:01:31,136	| 20161227_pmoney_v2podcast122716.mp3_a452b41ba959954bcc103cf50780d273_16524161 |	So last month
