EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:02,304	| 20170106_pmoney_podcast010617.mp3_bd9b32a1b8a00440089292d66be57c4d_19923304 |	The other day I caught this guy Steve Dion
EDL	00:00:02,816	00:00:03,584	| 20170106_pmoney_podcast010617.mp3_bd9b32a1b8a00440089292d66be57c4d_19923304 |	She lives out
EDL	00:00:03,584	00:00:04,096	| 20170106_pmoney_podcast010617.mp3_bd9b32a1b8a00440089292d66be57c4d_19923304 |	In Las Vegas
EDL	00:00:04,864	00:00:06,144	| 20170106_pmoney_podcast010617.mp3_bd9b32a1b8a00440089292d66be57c4d_19923304 |	Three decades he worth
EDL	00:00:06,144	00:00:07,168	| 20170106_pmoney_podcast010617.mp3_bd9b32a1b8a00440089292d66be57c4d_19923304 |	At a professional game
EDL	00:00:07,936	00:00:11,264	| 20170106_pmoney_podcast010617.mp3_bd9b32a1b8a00440089292d66be57c4d_19923304 |	And I was trying to get him to explain a few things to me about sports
EDL	00:00:12,032	00:00:13,568	| 20170106_pmoney_podcast010617.mp3_bd9b32a1b8a00440089292d66be57c4d_19923304 |	But we had to completely stop the in
EDL	00:00:14,336	00:00:15,616	| 20170106_pmoney_podcast010617.mp3_bd9b32a1b8a00440089292d66be57c4d_19923304 |	Hey can you do me a favor
EDL	00:00:16,896	00:00:18,176	| 20170106_pmoney_podcast010617.mp3_bd9b32a1b8a00440089292d66be57c4d_19923304 |	Could you please tell my wife
EDL	00:00:18,176	00:00:18,944	| 20170106_pmoney_podcast010617.mp3_bd9b32a1b8a00440089292d66be57c4d_19923304 |	I'm not talkin
EDL	00:00:18,944	00:00:19,456	| 20170106_pmoney_podcast010617.mp3_bd9b32a1b8a00440089292d66be57c4d_19923304 |	Angel cop
EDL	00:00:19,968	00:00:21,760	| 20170106_pmoney_podcast010617.mp3_bd9b32a1b8a00440089292d66be57c4d_19923304 |	Ski fumble around for a second
EDL	00:00:21,760	00:00:23,040	| 20170106_pmoney_podcast010617.mp3_bd9b32a1b8a00440089292d66be57c4d_19923304 |	Then put me on speakerphone
EDL	00:00:23,040	00:00:28,416	| 20170106_pmoney_podcast010617.mp3_bd9b32a1b8a00440089292d66be57c4d_19923304 |	I am as as he I'm not a cop I'm a journalist with National Public Radio
EDL	00:00:29,184	00:00:31,232	| 20170106_pmoney_podcast010617.mp3_bd9b32a1b8a00440089292d66be57c4d_19923304 |	I'm very complex
EDL	00:00:32,000	00:00:32,768	| 20170106_pmoney_podcast010617.mp3_bd9b32a1b8a00440089292d66be57c4d_19923304 |	It wasn't just
EDL	00:00:32,768	00:00:33,536	| 20170106_pmoney_podcast010617.mp3_bd9b32a1b8a00440089292d66be57c4d_19923304 |	Paranoid
EDL	00:00:33,536	00:00:35,328	| 20170106_pmoney_podcast010617.mp3_bd9b32a1b8a00440089292d66be57c4d_19923304 |	That made Steve's wife think I might be
EDL	00:00:35,328	00:00:36,096	| 20170106_pmoney_podcast010617.mp3_bd9b32a1b8a00440089292d66be57c4d_19923304 |	A cop
EDL	00:00:36,096	00:00:37,120	| 20170106_pmoney_podcast010617.mp3_bd9b32a1b8a00440089292d66be57c4d_19923304 |	A few years back
EDL	00:00:37,632	00:00:40,448	| 20170106_pmoney_podcast010617.mp3_bd9b32a1b8a00440089292d66be57c4d_19923304 |	Police were listening into a lot of Steve's phone calls
