EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:01,792	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Warning
EDL	00:00:01,792	00:00:03,840	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	This podcast contains profanity
EDL	00:00:04,352	00:00:06,656	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Also graphic descriptions of dead animal
EDL	00:00:08,960	00:00:11,264	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	White Oak pastures in Bluffton Georgia
EDL	00:00:11,776	00:00:13,056	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	About 2500 Acres
EDL	00:00:13,568	00:00:17,152	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Will Harris runs the farm which has been in his family for more than a hundred year
EDL	00:00:17,920	00:00:22,784	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	And Will was raised by his father and trained in school to be a modern Industrial
EDL	00:00:22,784	00:00:23,296	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Cattle farm
EDL	00:00:23,808	00:00:25,600	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	When I got out of college
EDL	00:00:26,368	00:00:28,160	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	I was excited
EDL	00:00:28,160	00:00:31,232	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	About a new pharmaceutical product light
EDL	00:00:31,744	00:00:33,536	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Hormone implants
EDL	00:00:34,048	00:00:34,816	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Why
EDL	00:00:34,816	00:00:36,096	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Increase production
EDL	00:00:36,096	00:00:37,888	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	You you are able to do
EDL	00:00:37,888	00:00:40,192	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	More and more cheaper and cheaper
EDL	00:00:41,216	00:00:42,752	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Will take over from his father
EDL	00:00:42,752	00:00:44,288	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Made a profit every year
EDL	00:00:44,288	00:00:46,848	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	But at some point the way you looked at the world started to chew
EDL	00:00:47,872	00:00:53,504	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	I wish I had a better story to tell you I wish it was the burning bush something but got a big bed one like that
EDL	00:00:53,504	00:00:56,832	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	It was way more gradual than that and it happened in all these different
EDL	00:00:57,856	00:00:59,904	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	For one thing he started to look at the soil
EDL	00:01:00,928	00:01:02,464	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	I noticed that
EDL	00:01:02,464	00:01:03,488	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Soil
EDL	00:01:04,000	00:01:05,024	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Just over that fence
EDL	00:01:05,536	00:01:07,328	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Wade
EDL	00:01:07,328	00:01:09,120	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Soil right here
EDL	00:01:09,632	00:01:13,984	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	He saw that the soil on the other side of the fence so that had just been left alone was
EDL	00:01:13,984	00:01:14,752	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Teeming with life
EDL	00:01:15,264	00:01:17,312	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	This will right here on his farm
EDL	00:01:17,312	00:01:17,824	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Was debt
EDL	00:01:18,592	00:01:21,408	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	She thought it was in the world and is just a fence
EDL	00:01:21,408	00:01:22,176	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	A wire fence
EDL	00:01:22,944	00:01:28,576	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	And then there was the day he was sending off about a hundred cattle onto a double decker truck to go to a feedlot thousands of miles
EDL	00:01:29,344	00:01:31,136	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	He realized maybe on the truck for days
EDL	00:01:31,136	00:01:33,696	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	The ones on the top would be going to the bathroom on the ones on the
EDL	00:01:34,976	00:01:35,744	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	And
EDL	00:01:36,256	00:01:39,840	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Ulysses Ramos that we have had on this Farm
EDL	00:01:39,840	00:01:42,656	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Nurture them to Care album
EDL	00:01:42,656	00:01:44,192	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	It just didn't seem right
EDL	00:01:44,704	00:01:48,288	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	And eventually he decided to change everything about the way he
EDL	00:01:49,056	00:01:51,360	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	You bringing chickens to fertilize the grass
EDL	00:01:52,128	00:01:53,408	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	The grass would nurture the
EDL	00:01:53,408	00:01:57,760	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	The cattle Shoppers at Wholefoods with line up around the block to buy his
EDL	00:01:58,528	00:02:00,064	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	It was also
EDL	00:02:00,064	00:02:01,600	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Perfect it was such a
EDL	00:02:01,600	00:02:06,464	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Beautiful vision of the enlightened 21st century American Farm
EDL	00:02:06,464	00:02:11,328	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	It wasn't that so perfect that a literal symbol of America showed up at his farm
EDL	00:02:11,328	00:02:12,352	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	The bald eagle
EDL	00:02:13,120	00:02:15,424	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	But the bald eagle America's bird
EDL	00:02:15,936	00:02:17,984	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Was not on board with Will Harrison
EDL	00:02:18,752	00:02:24,128	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Hello and welcome to Planet Money I'm Jacob Goldstein
EDL	00:02:24,128	00:02:27,968	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Put on the show The Meat you buy in Whole Foods the farmer who makes it
EDL	00:02:27,968	00:02:31,808	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	And a bad-tempered All-American killing machine
EDL	00:02:31,808	00:02:34,880	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Farmers have been trying to put nature in a cage for thousands of
EDL	00:02:35,648	00:02:38,976	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	What happens when you start to let nature out of that cage
EDL	00:02:38,976	00:02:45,376	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Support for this podcast and the following message come from Rocky
EDL	00:02:45,376	00:02:46,912	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Rocket mortgage by Quicken Loan
EDL	00:02:46,912	00:02:48,704	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	When choosing a mortgage lender
EDL	00:02:48,704	00:02:51,264	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Work with one that has your best interest in mind
EDL	00:02:51,776	00:02:56,640	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Rocket mortgage provides a transparent online process that helps you understand your home loan
EDL	00:02:57,152	00:03:02,784	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	You can even adjust the rate and length of your loan in real time to make sure you get the right mortgage
EDL	00:03:03,552	00:03:04,576	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Skip the bank
EDL	00:03:04,576	00:03:09,184	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Skip the waiting and go completely online at quickenloans.com money
EDL	00:03:09,696	00:03:14,304	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Equal Housing lender license in all 50 states nmls
EDL	00:03:14,304	00:03:16,096	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Consumer access. Org
EDL	00:03:16,096	00:03:16,864	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Number 3030
EDL	00:03:23,520	00:03:25,312	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Will Harris is 62
EDL	00:03:25,312	00:03:27,616	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Goatee shaved head white Stetson hat
EDL	00:03:28,128	00:03:29,408	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	He drives around all day in history
EDL	00:03:29,920	00:03:30,944	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Basically running is
EDL	00:03:31,456	00:03:32,992	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	And a few weeks ago I tagged along with
EDL	00:03:33,760	00:03:40,160	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	This house was built in 1870 something by my great grandpa one day I live with my grandfather built
EDL	00:03:40,160	00:03:43,744	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	Open early nineteen hundreds
EDL	00:03:45,024	00:03:50,656	| 20170203_pmoney_pmpod.mp3_2d620866066630a469d63c790911d341_16769676 |	My day was bigger than me and meaner than me and talk more like Foghorn Leghorn than I do
