EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:03,328	| 20170705_pmoney_pmmpod586rerun-7a234333-834d-4d3a-b39a-45f5a71f2e90.mp3_b7476aa535a1562a9b776a51c42c201d_13960801 |	Support for NPR comes from investor.gov
EDL	00:00:03,328	00:00:04,096	| 20170705_pmoney_pmmpod586rerun-7a234333-834d-4d3a-b39a-45f5a71f2e90.mp3_b7476aa535a1562a9b776a51c42c201d_13960801 |	Presenting this mess
EDL	00:00:04,608	00:00:05,888	| 20170705_pmoney_pmmpod586rerun-7a234333-834d-4d3a-b39a-45f5a71f2e90.mp3_b7476aa535a1562a9b776a51c42c201d_13960801 |	When it comes to investing
EDL	00:00:05,888	00:00:06,912	| 20170705_pmoney_pmmpod586rerun-7a234333-834d-4d3a-b39a-45f5a71f2e90.mp3_b7476aa535a1562a9b776a51c42c201d_13960801 |	We all have Quest
EDL	00:00:07,424	00:00:09,728	| 20170705_pmoney_pmmpod586rerun-7a234333-834d-4d3a-b39a-45f5a71f2e90.mp3_b7476aa535a1562a9b776a51c42c201d_13960801 |	And investor.gov has answers
EDL	00:00:09,728	00:00:12,032	| 20170705_pmoney_pmmpod586rerun-7a234333-834d-4d3a-b39a-45f5a71f2e90.mp3_b7476aa535a1562a9b776a51c42c201d_13960801 |	If you're free resource for tools
EDL	00:00:12,032	00:00:14,080	| 20170705_pmoney_pmmpod586rerun-7a234333-834d-4d3a-b39a-45f5a71f2e90.mp3_b7476aa535a1562a9b776a51c42c201d_13960801 |	Tips and information about investing
EDL	00:00:14,080	00:00:16,640	| 20170705_pmoney_pmmpod586rerun-7a234333-834d-4d3a-b39a-45f5a71f2e90.mp3_b7476aa535a1562a9b776a51c42c201d_13960801 |	Before you invest investor.gov
EDL	00:00:17,920	00:00:22,528	| 20170705_pmoney_pmmpod586rerun-7a234333-834d-4d3a-b39a-45f5a71f2e90.mp3_b7476aa535a1562a9b776a51c42c201d_13960801 |	Paint just a quick note Today Show is a rerun it originally ran in 2014
EDL	00:00:23,552	00:00:25,088	| 20170705_pmoney_pmmpod586rerun-7a234333-834d-4d3a-b39a-45f5a71f2e90.mp3_b7476aa535a1562a9b776a51c42c201d_13960801 |	A while back I got this
